en,fr,pt,de,title,speaker,duration,tags
"
											Now, I know some of you
won't believe me when I tell you this,
											but I am not against fear.
											I know it's an important emotion,
and it's there to keep us safe.
											But the problem is
when fear is the primary reaction
											that we teach and encourage in girls
											whenever they face something
outside their comfort zone.
									","
											Je sais que certains ne me croiront pas
quand je dirai ceci
											mais je ne suis pas anti peur.
											Je sais que c'est une émotion importante
qui est là pour nous protéger.
											Ce qui pose problème, c'est quand
la peur est la réaction principale
											que nous enseignons
et encourageons chez les filles
											confrontées à quelques chose
sortant de leur zone de confort.
									","
											Eu sei que alguns de vocês
não acreditam quando digo isto,
											mas eu não sou contra o medo.
											Eu sei que é uma emoção importante
e que existe para nos manter seguros.
											Mas o problema é quando
o medo é a principal reação
											que ensinamos e incentivamos
nas raparigas
											sempre que enfrentam algo
fora da sua zona de conforto
									","
											Ich weiß, dass einige von Ihnen 
mir nicht glauben werden,
											aber ich habe nichts gegen Angst.
											Ich weiß, dass es ein wichtiges Gefühl 
ist, das uns Sicherheit geben kann.
											Aber das Problem ist, 
wenn Furcht die primäre Reaktion ist,
											die wir Mädchen beibringen,
											wenn sie ihren Wohlfühlbereich verlassen.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											So I was a paraglider pilot
for many years —
									","
											J'ai été parapentiste
durant de nombreuses années —
									","
											Eu fiz parapente
durante muitos anos.
									","
											Ich war jahrelang Gleitschirmfliegerin —
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											and a paraglider is a parachute-like wing,
											and it does fly very well,
											but to many people I realize
it looks just like a bedsheet
											with strings attached.
									","
											Un parapente est une aile
ressemblant à un parachute
											qui vole très bien,
											mais beaucoup de gens
voient le parapente comme un drap
											avec des ficelles.
									","
											Um parapente é como
um paraquedas com asas,
											e voa bastante bem,
											mas percebo que, para muitas pessoas,
pareça apenas um lençol
											com cordéis agarrados.
									","
											ein Gleitschirm ist
ein fallschirmähnlicher Flügel
											und er fliegt sehr gut,
											aber ich weiß, dass er 
für viele wie ein Bettlaken
											mit Schnüren aussieht.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Lachen)
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											And I spent a lot of time on mountaintops
											inflating this bedsheet,
											running off and flying.
											And I know what you're thinking.
											You're like, Caroline,
a little fear would make sense here.
											And you're right, it does.
											I assure you, I did feel fear.
											But on that mountaintop,
											waiting for the wind
to come in just right,
											I felt so many other things, too:
											exhilaration, confidence.
											I knew I was a good pilot.
											I knew the conditions were good,
or I wouldn't be there.
											I knew how great it was going to be
a thousand feet in the air.
											So yes, fear was there,
											but I would take a good hard look at it,
											assess just how relevant it was
											and then put it where it belonged,
											which was more often than not
											behind my exhilaration, my anticipation
											and my confidence.
											So I'm not against fear.
											I'm just pro-bravery.
									","
											J'ai passé beaucoup de temps
au sommet de montagnes
											à faire gonfler ce drap,
											courir et voler.
											Je sais ce que vous pensez.
											Vous vous dites
qu'un peu de peur serait censée.
											Vous avez raison.
											Je vous assure que j'avais peur.
											Au sommet d'une montagne,
											attendant que le vent
soit comme il fallait,
											je ressentais aussi
plein d'autres choses :
											de l'exaltation, de la confiance.
											Je me savais bonne parapentiste,
											je savais les conditions bonnes
ou je ne serais pas là,
											à quel point cela allait être génial
d'être à 300 mètres dans les airs.
											Oui, il y avait de la peur,
											mais je la regardais sérieusement,
											estimais son importance
											puis la remettais à sa place,
											ce qui le plus souvent était
											derrière mon exaltation, mon anticipation
											et ma confiance.
											Je ne suis pas anti peur.
											Je suis pour le courage.
									","
											Passei muito tempo
em cumes de montanhas
											a insuflar este lençol,
											a correr e a voar.
											E sei o que estão a pensar.
											Tipo ""Caroline, um pouco de medo
faz sentido nessa situação"".
											E têm razão, faz mesmo.
											Asseguro-vos, eu tive medo.
											Mas no topo daquela montanha,
											à espera que o vento estivesse certo,
											sentia muitas outras coisas também:
											euforia, confiança.
											Eu sabia que era um bom piloto.
											Sabia que as condições
eram boas ou não estaria ali.
											Sabia que ia ser espetacular
estar a 300 metros no ar.
											Por isso sim, o medo estava lá,
											mas eu olhava bem para ele,
											pensava na sua relevância
											e depois colocava-o onde ele pertencia,
											o que era, muitas vezes,
											atrás da minha euforia,
da minha expetativa
											e da minha confiança.
											Por isso, eu não sou contra o medo.
											Sou apenas a favor da coragem.
									","
											Ich verbrachte viel Zeit auf Berggipfeln,
											blähte dieses Bettlaken auf,
											lief los und flog.
											Ich weiß, was Sie jetzt denken.
											Sie denken: ""Caroline,
hier wäre etwas Furcht sinnvoll.""
											Und da haben Sie recht.
											Ich versichere Ihnen, ich spürte Furcht.
											Aber auf dem Berggipfel,
											als ich auf den richtigen Wind wartete,
											fühlte ich auch so viele andere Dinge:
											ein Hochgefühl, Selbstvertrauen.
											Ich war eine gute Fliegerin.
											Die Bedingungen waren gut,
sonst wäre ich nicht dort gewesen.
											Ich wusste, wie toll es 
300 m in der Luft sein würde.
											Ja, die Furcht war da,
											aber ich habe sie mir genau angesehen,
											bewertet, wie relevant sie war,
											und sie dahin gepackt, wo sie hingehörte,
											was meistens
											hinter Hochgefühl, Vorfreude
											und Selbstvertrauen war.
											Ich bin also nicht gegen Furcht.
											Ich bin bloß für Mut.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											Now, I'm not saying
your girls must be firefighters
											or that they should be paragliders,
											but I am saying that we are raising
our girls to be timid, even helpless,
											and it begins when we caution them
against physical risk.
											The fear we learn
and the experiences we don't
											stay with us as we become women
											and morphs into all those things
that we face and try to shed:
											our hesitation in speaking out,
											our deference so that we can be liked
											and our lack of confidence
in our own decisions.
									","
											Je ne dis pas que vos filles
devraient être sapeurs-pompiers
											ou bien parapentistes,
											je dis que nous éduquons nos filles
à être timides, voire impuissantes,
											et que cela commence quand
nous les avertissons de risques physiques.
											La peur apprise
et les expériences non vécues
											demeurent quand nous devenons femmes
											et se transforment en toutes ces choses
dont nous voulons nous débarrasser :
											notre hésitation à nous exprimer,
											notre déférence
dans le but d'être appréciées
											et notre manque de confiance
en nos propres décisions.
									","
											Não estou a dizer que as vossas filhas
têm de ser bombeiras
											ou que devem fazer parapente,
											só estou a dizer que as estamos a educar
para serem tímidas ou até indefesas,
											e isso começa quando
as advertimos para os riscos físicos.
											O medo que aprendemos
e as experiências que não vivemos
											ficam connosco quando
nos tornamos adultas
											e transforma-se em todas aquelas coisas
que enfrentamos e tentamos esconder:
											a nossa hesitação
em falar abertamente,
											a nossa deferência
para que gostem de nós
											a falta de confiança nas nossas decisões.
									","
											Ich sage nicht, dass Ihre Töchter
Feuerwehrfrauen werden müssen
											oder gleitschirmfliegen sollen,
											aber ich sage, wir erziehen unsere 
Töchter zu Schüchternheit, Hilflosigkeit,
											und es beginnt, wenn wir sie 
vor physischen Gefahren warnen.
											Die erlernte Furcht und
die verpassten Erfahrungen bleiben,
											während wir zu Frauen werden,
											und verwandeln sich in all diese Dinge,
die wir versuchen, abzuwerfen:
											Unser Zögern, uns zu äußern,
											unsere Rücksichtnahme, damit man uns mag,
											unser mangelndes Selbstbewusstsein 
bei Entscheidungen.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											So how do we become brave?
											Well, here's the good news.
											Bravery is learned,
											and like anything learned,
											it just needs to be practiced.
											So first,
											we have to take a deep breath
											and encourage our girls
											to skateboard, climb trees
											and clamber around
on that playground fire pole.
											This is what my own mother did.
											She didn't know it then,
											but researchers have a name for this.
											They call it risky play,
											and studies show that risky play
is really important for kids, all kids,
											because it teaches hazard assessment,
											it teaches delayed gratification,
											it teaches resilience,
											it teaches confidence.
											In other words,
											when kids get outside
and practice bravery,
											they learn valuable life lessons.
									","
											Comment devenir plus courageuses ?
											Voici la bonne nouvelle :
											le courage s'apprend
											et, puisqu'il s'apprend,
											il suffit de s'entraîner.
											Tout d'abord,
											il nous faut respirer profondément
											et encourager nos filles
											à faire du skateboard,
à grimper aux arbres
											et à escalader cette rampe de pompier.
											C'est ce que ma mère a fait.
											Elle ne le savait pas à l'époque,
											mais les chercheurs ont un nom pour cela,
											« le jeu risqué »,
											et des études montrent que le jeu risqué
est très important pour tous les enfants
											car cela leur enseigne
l'évaluation des risques,
											la récompense déférée,
											la persévérance,
											la confiance.
											En d'autres mots,
											quand les enfants sortent
et s'entraînent à être courageux,
											ils apprennent
de précieuses leçons de vie.
									","
											Como nos tornamos destemidas?
											Aqui estão as boas notícias.
											Podemos aprender a coragem,
											e como qualquer
coisa que se aprende,
											só precisa de ser praticada.
											Primeiro,
											temos de respirar fundo
											e incentivar as nossas filhas
											a fazer skate, a trepar às árvores
											e a subir àquele varão
de bombeiro no recreio.
											Foi isso que a minha mãe fez.
											Ela não o sabia na altura,
											mas os investigadores
têm um nome para isso.
											Chamam-lhe brincadeira de risco,
											e os estudos mostram
que a brincadeira de risco
											é muito importante
para todas as crianças,
											porque ensina a avaliar o perigo,
											ensina o que é uma recompensa diferida,
											ensina resiliência,
											ensina confiança.
											Por outras palavras,
											quando as crianças vão
para a rua praticar a coragem,
											aprendem lições de vida
muito importantes.
									","
											Wie werden wir mutig?
											Jetzt kommt die gute Nachricht.
											Mut kann man lernen
											und wie alles, was man lernt,
											muss man es nur üben.
											Zuerst
											müssen wir also tief durchatmen
											und unsere Töchter dazu ermutigen,
											Skateboard zu fahren, 
auf Bäume zu klettern
											und an der Rutschstange rumzuturnen.
											Das hat meine Mutter getan.
											Sie wusste es damals noch nicht,
											aber Forscher haben einen Namen dafür.
											Sie nennen es risikoreiches Spiel
											und Studien zeigen, dass es 
für alle Kinder sehr wichtig ist,
											denn es lehrt, Gefahren einzuschätzen,
											es lehrt Belohnungsaufschub,
											es lehrt Belastbarkeit,
											es lehrt Selbstvertrauen.
											Anders gesagt:
											Wenn Kinder rausgehen und Mut üben,
											lernen sie wichtige Lektionen fürs Leben.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											Second, we have to stop
cautioning our girls willy-nilly.
											So notice next time you say,
											""Watch out, you're going to get hurt,""
											or, ""Don't do that, it's dangerous.""
											And remember that often
what you're really telling her
											is that she shouldn't be pushing herself,
											that she's really not good enough,
											that she should be afraid.
									","
											Deuxièmement, nous devons arrêter
d'avertir nos filles bon gré, mal gré.
											Faites attention
la prochaine fois que vous dites :
											« Attention, tu vas te faire mal »
											ou « Ne fais pas ça, c'est dangereux ».
											Souvenez-vous que souvent
ce que vous lui dites,
											c'est qu'elle ne devrait pas
faire d'efforts,
											qu'elle n'est pas assez bonne,
											qu'elle devrait avoir peur.
									","
											Segundo, temos de deixar de advertir
as raparigas por tudo e por nada.
											Tenham atenção
da próxima vez que disserem:
											""Cuidado, vais-te magoar,""
											ou ""Não faças isso, é perigoso.""
											Lembrem-se que, muitas vezes,
o que lhe estão a dizer
											é que ela não devia puxar por ela,
											que ela não é boa o suficiente,
											que deveria ter medo.
									","
											Zweitens müssen wir aufhören, 
unsere Mädchen ständig zu warnen.
											Achten Sie darauf,
wann Sie das nächste Mal sagen:
											""Pass auf, du wirst dir wehtun"",
											oder: ""Tu das nicht, das ist gefährlich.""
											Und vergessen Sie nicht, 
dass Sie ihr häufig in Wirklichkeit sagen,
											dass sie sich nicht anstrengen soll,
											dass sie gar nicht gut genug ist,
											dass sie Angst haben sollte.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											Third,
											we women have to start
practicing bravery, too.
											We cannot teach our girls
until we teach ourselves.
											So here's another thing:
											fear and exhilaration
											feel very similar —
											the shaky hands,
the heightened heart rate,
											the nervous tension,
											and I'm betting that for many of you
											the last time you thought
you were scared out of your wits,
											you may have been feeling
mostly exhilaration,
											and now you've missed an opportunity.
											So practice.
											And while girls should be getting
outside to learn to be gutsy,
											I get that adults don't want
to get on hoverboards or climb trees,
											so we all should be practicing
											at home, in the office
											and even right here getting up the guts
											to talk to someone that you really admire.
									","
											Troisièmement,
											nous, les femmes, devons commencer
à nous entraîner au courage.
											Nous ne pouvons pas l'enseigner
à nos filles sans nous l'enseigner.
											Il y autre chose :
											la peur et l'exaltation
											sont très similaires —
											les mains qui tremblent,
le cœur qui s'accélère,
											la tension nerveuse
											et je parie que pour beaucoup,
											la dernière fois que vous croyez
avoir été mort de peur,
											c'était probablement
surtout de l'exaltation
											et vous avez loupé une opportunité.
											Entraînez-vous !
											Si les filles doivent sortir
et apprendre à être courageuses,
											je sais que les adultes ne veulent pas
monter sur un hoverboard ou dans un arbre,
											nous devrions donc tous nous entraîner
											à la maison, au bureau
											et même ici en ayant le courage
											de parler à quelqu'un que nous admirons.
									","
											Terceiro,
											Nós mulheres temos
de praticar coragem também.
											Não podemos ensinar as nossas filhas
se não aprendermos primeiro.
											E há outra coisa:
											o medo e a euforia
											são muito parecidos:
											as mãos a tremer,
o batimento cardíaco acelerado,
											a tensão nervosa.
											Aposto que muitos de vocês
											da última vez que pensaram
estar assustados,
											estavam sim a sentir euforia,
											e agora perderam
uma oportunidade.
											Então pratiquem.
											E se as raparigas deviam estar lá fora
a aprender a serem corajosas,
											percebo que os adultos não queiram andar
de skate voador ou trepar às árvores,
											por isso, todos devíamos praticar
											em casa, no escritório
											e mesmo aqui a ganhar coragem
											para falar com alguém que admiramos.
									","
											Drittens
											müssen auch wir Frauen Mut üben.
											Wir können Mädchen nichts lehren, 
was wir nicht selbst lernen.
											Hier ist also noch eine Sache:
											Furcht und Hochgefühl
											fühlen sich sehr ähnlich an —
											die zitternden Hände,
der erhöhte Herzschlag,
											die nervöse Anspannung
											und ich wette, dass viele von Ihnen
											das letzte Mal, als Sie dachten, 
Sie hätten große Angst,
											vielleicht hauptsächlich 
ein Hochgefühl verspürten
											und eine Gelegenheit verpassten.
											Also üben Sie das.
											Und während Mädchen 
lernen sollten, mutig zu sein,
											weiß ich, Erwachsene wollen nicht auf 
Hoverboards steigen oder Bäume klettern,
											also sollten wir alle
											zu Hause, im Büro
											oder sogar hier üben, 
den Mut aufzubringen,
											mit jemandem zu reden, den wir bewundern.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											Finally, when your girl is, let's say,
											on her bike on the top of the steep hill
											that she insists
she's too scared to go down,
											guide her to access her bravery.
											Ultimately, maybe that hill
really is too steep,
											but she'll come to that conclusion
through courage, not fear.
											Because this is not
about the steep hill in front of her.
											This is about the life ahead of her
											and that she has the tools
											to handle and assess
											all the dangers
that we cannot protect her from,
											all the challenges that we won't
be there to guide her through,
											everything that our girls here
											and around the world
											face in their future.
									","
											Finalement, quand votre fille est, disons,
											sur son vélo en haut d'une colline
											et qu'elle dit avoir
trop peur de descendre,
											guidez-la vers ce courage.
											Au final, cette colline
est peut-être trop pentue
											mais elle arrivera à cette conclusion
via le courage et non la peur.
											Il ne s'agit pas de la colline
qui est juste devant elle.
											Il s'agit de la vie qui est devant elle
											et qu'elle ait les outils
											pour gérer et évaluer
											tous les dangers dont
nous ne pouvons pas la protéger,
											tous les défis pour lesquels
nous ne serons pas là pour la guider,
											tout ce à quoi les filles ici,
											et à travers le monde,
											feront face plus tard.
									","
											Por fim, quando a vossa filha,
por exemplo,
											estiver na bicicleta, no topo da colina,
											e insistir que está demasiado
assustada para descer,
											ajudem-na a ganhar coragem.
											A colina pode até ser demasiado alta,
											mas ela vai chegar a essa conclusão
através da coragem e não do medo.
											Porque isto não é sobre
a colina à sua frente.
											É sobre a vida à sua frente,
											e que ela tenha as ferramentas
											para lidar e avaliar
											todos os perigos dos quais
não a podemos proteger,
											todos os desafios durante os quais
não a vamos poder guiar,
											tudo aquilo que
as nossas filhas aqui
											e em todo o mundo
											irão enfrentar no futuro.
									","
											Und letztlich, wenn 
Ihre Tochter, sagen wir,
											mit dem Rad auf einem steilen Hügel steht
											und darauf besteht, dass sie zu 
viel Angst hat, um runterzufahren,
											leiten Sie sie auf ihren Weg zum Mut.
											Vielleicht ist dieser 
Hügel wirklich zu steil,
											aber sie wird durch Mut und nicht 
durch Furcht zu diesem Schluss kommen.
											Denn es geht hier nicht 
um den steilen Hügel vor ihr.
											Es geht um das Leben vor ihr.
											Und um die Werkzeuge,
											alle Gefahren, vor denen
											wir sie nicht beschützen können,
zu meistern und zu bewerten,
											alle Herausforderungen, durch 
die wir sie nicht führen können,
											alles, was unseren Töchtern hier
											und in der ganzen Welt
											in der Zukunft bevorsteht.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											So by the way,
											the world record for crawling today —
									","
											Au passage,
											aujourd'hui, le record de quatre pattes —
									","
											Já agora,
											o recorde mundial
em rastejar está hoje...
									","
											Übrigens
											liegt der derzeitige 
Weltrekord im Kriechen —-
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Lachen)
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											is 35.18 miles,
											and I would really love
to see a girl go break that.
									","
											est de 56,62 kilomètres
											et j'aimerais vraiment
voir une fille le battre de nouveau.
									","
											... nos 57 km.
											Gostaria muito de ver
uma rapariga a bater o recorde.
									","
											bei 56,62 Kilometern
											und es würde mir sehr gefallen,
wenn ein Mädchen ihn bricht.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
