fr,en,de,tr,es,title,speaker,duration,tags
"
											Cette chaise est assez connue.
											Sa première version avait une base en «X» . C'est ce que les collectionneurs préfèrent.
											Charles et Ray préféraient celle-ci, parce qu'elle était ""meilleure"".
											Elle fonctionnait mieux.Une base en «H», beaucoup plus pratique.
											Voici ce qu'on appelle une attelle.
											Et j'ai été très touchée par le travail de Dean Kamen
											pour les militaires, ou pour les soldats.
											Parce que Charles et Ray avaient conçu une attelle en contreplaqué moulé. La voilà.
											Ils avaient déjà travaillé sur du mobilier, avant ça.
											Mais, en faisant ces attelles, ils ont beaucoup appris sur le processus de fabrication,
											ce qui était incroyablement important pour eux.
									","
											This is a relatively famous chair.
											Its early version had an ""X"" base. That's what the collectors like.
											Charles and Ray liked this one because it was better.
											It worked better: ""H"" base, much more practical.
											This is something called a splint.
											And I was very touched by Dean Kamen's
											work for the military, or for the soldiers,
											because Charles and Ray designed a molded plywood splint. This is it.
											And they'd been working on furniture before.
											But doing these splints they learned a lot about the manufacturing process,
											which was incredibly important to them.
									","
											Das ist ein ziemlich bekannter Stuhl.
											Die frühre Versionen haben ein ""X"" Gestell. Das mögen die Sammler.
											Charles und Ray mochten das hier lieber, weil es besser funktionierte.
											Es funktionierte besser. ""H"" Basis, viel praktischer.
											Das nennt man Splint.
											Ich war sehr berührt von Dean Kamens
											Werk für die Armee und die Soldaten.
											Weil Charles und Ray ein modelliertes Formsperrholzsplint entworfen haben. Hier ist es.
											Und sie haben vorher an Möbeln gearbeitet.
											Aber beim Entwurf dieser Splints haben sie viel über den Herstellungsprozess erfahren,
											was unglaublich wichtig für sie war.
									","
											Bu oldukça ünlü bir sandalyedir.
											Erken medellerinde X şeklinde bir tabanı vardı. Koleksiyoncular bunu sever.
											Charles ve Ray bunu severlerdi çünkü bu daha iyiydi.
											Bu daha işe yarıyordu: ""H"" temeli daha pratiktir.
											Buna atel denilir.
											Ben Dean Kamen'in ordu ve askerler için
											yaptığı tasarımlardan çok etkilendim,
											çünkü Charles ve Ray oyulmuş bir sunta yarattı. İşte bu.
											Daha önce de mobilya üzerinde çalışıyorlardı.
											Ancak bu parçalar üzerinde çalışırken üretim süreciyle ilgili çok şey öğrendiler,
											bu onlar için çok önemliydi.
									","
											Esta es una silla relativamente famosa.
											Su versión anterior tenía una base en forma de ""X"". Eso es lo que a los coleccionistas les gusta.
											A Charles y Ray les gustaba esta porque era mejor.
											Funcionaba mejor. La base ""H"", mucho más práctica.
											Esto es algo llamado tablilla.
											Y me conmovió el trabajo para la milicia,
											o para los soldados de Dean Kamen.
											Porque Charles y Ray diseñaron una tablilla moldeada en contrachapado. Esta es.
											Y ellos habían estado trabajando en muebles anteriormente.
											Pero haciendo estas tablillas ellos aprendieron mucho acerca del proceso de manufactura,
											que fue increíblemente importante para ellos.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											J'essaie de vous montrer trop de choses.
											Parce que je veux que vous ayez vraiment un bouillonnement d'idées et d'images.
											Voici une maison que Charles et Ray ont conçue.
											Ma soeur est en train de courir après quelqu'un, quelqu'un d'autre que moi.
											Bien que je le soutienne de tout cœur pour avoir volé son journal intime, ce n'est pas moi.
											Et puis il y a ce film, en bas à gauche, que Charles et Ray ont fait.
											Maintenant, regardez cette chaise en plastique.
											La maison est de 1949.
											La chaise date de 1949.
									","
											I'm trying to show you too much,
											because I want you to really get a broth of ideas and images.
											This is a house that Charles and Ray designed.
											My sister is chasing someone else. It's not me.
											Although I endorse heartily the fact that he stole her diary, it's not me.
											And then this is a film, on the lower left, that Charles and Ray made.
											Now look at that plastic chair.
											The house is 1949.
											The chair is done in 1949.
									","
											Ich versuche zu viel zu zeigen.
											Weil ich euch wirklich einen Eindruck der Ideen und Bilder mitnehmt.
											Das ist ein Haus, das Charles und Ray entworfen haben.
											Meine Schwester rennt jemand anderem hinterher, nicht mir.
											Obwohl ich es klasse finde, dass er ihr Tagebuch gestohlen hat. Es war nicht ich.
											Und das hier ist ein Film, unten links, den Charles und Ray gemacht haben.
											Schaut euch den Plakstikstuhl an.
											Das ist Haus ist 1949.
											Der Stuhl wurde 1949 gemacht.
									","
											Size bunları bol bol gösteriyorum
											çünkü size fikirlerin ve imajların özünü vermek istiyorum.
											Bu Charles ve Ray'ın tasarladığı bir ev.
											Kız kardeşim başka birini kovalıyor. Beni değil.
											Onun günlüğü çalınmış olsa bile, ben değilim.
											Sol altta gördüğünüz de Charles ve Ray'ın yaptığı bir film.
											Şimdi bu plastik sandalyeye bakın.
											Ev 1949'da yapıldı.
											Sandalye 1949'da yapıldı.
									","
											Estoy tratando de enseñarles mucho.
											Porque quiero que tengan una amplia muestra de ideas e imágenes.
											Esta es una casa que Charles y Ray diseñaron.
											Mi hermana está persiguiendo a otra persona. No es a mí.
											Aunque afirme de corazón el hecho de que él le robó su diario. No soy yo.
											Y luego tenemos aquí una película, en la esquina inferior izquierda, que Charles y Ray hicieron.
											Miren la silla plástica.
											La casa es de 1949.
											La silla está hecha en 1949.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Charles et Ray
											n'étaient pas obsédés par le style pour le style.
											Ils ne disaient pas: «Notre style, c'est des courbes. Faisons une maison tout en courbes.""
											Ils ne disaient pas: «Notre style, c'est des grilles. Faisons une chaise grillagée.""
											Ils se concentraient sur le besoin.
											Ils essayaient de résoudre le problème de conception.
											Charles disait: «La mesure dans laquelle vous avez un style de conception
											est la mesure dans laquelle vous n'avez pas résolu le problème de conception. ""
											C'est une citation plutôt brutale.
											Il s'agit de la première étape de conception de cette maison.
											Et une fois de plus, ils ont réussi à faire un prototype
											de la maison. L'architecture, un moyen d'expression très coûteux.
									","
											Charles and Ray,
											they didn't obsess about style for it's own sake.
											They didn't say, ""Our style is curves. Let's make the house curvy.""
											They didn't say, ""Our style is grids. Let's make the chair griddy.""
											They focused on the need.
											They tried to solve the design problem.
											Charles used to say, ""The extent to which you have a design style
											is the extent to which you have not solved the design problem.""
											It's kind of a brutal quote.
											This is the earlier design of that house.
											And again, they managed to figure out a way to make a prototype
											of a house — architecture, very expensive medium.
									","
											Charles und Ray,
											waren nicht vom Stil an sich besessen.
											Sie haben nicht gesagt: ""Unser Stil sind Kurven. Lass uns das Haus kurvig machen.""
											Sie haben nicht gesagt: ""Unser Stil ist das Gitter, lass uns den Stuhl mit Gittern machen.""
											Sie haben sich auf die Bedürfnisse konzentriert.
											Sie haben versucht, die Entwurfsschwierigkeit zu lösen.
											Charles hat immer gesagt; ""Der Ausmass indem du Stile entwirfst,
											ist der Ausmass in welchem du die Entwurfsproblemen nicht gelöst hast.
											Das ist ziemlich brutal.
											Das ist der frühere Entwurf von dem Haus.
											Und wieder haben sie einen Weg gefunden, um ein Prototyp zu machen,
											von einem Haus. Architektur, ein sehr teures Medium.
									","
											Charles ve Ray,
											sadece yapmış olmak için tarza saplanmadılar.
											""Tarzımız kıvrımlar. Evi de kıvrımlı yapalım."" demediler.
											""Tarzımız mazgallar. Sandalyeyi de mazgallı yapalım."" demediler.
											İhtiyaca odaklandılar.
											Tasarım sorunun çözmeyi denediler.
											Charles ""Ne kadar tasarım tarzınız varsa,
											tasarım problemini çözmeye de o kadar uzaksınızdır."" dedi.
											Acımasız bir söz.
											Bu, evin daha evvelki tasarımı.
											Yine de evin prototipini yapmanın bir yolunu buldular —
											mimarisi oldukça pahalı.
									","
											Charles y Ray
											no se obsesionaron por el estilo en sí mismo.
											No dijeron: ""Nuestro estilo son las curvas. Hagamos la casa con curvas"".
											No dijeron: ""Nuestro estilo son las líneas. Hagamos la silla con líneas"".
											Se centraron en la necesidad.
											Trataron de resolver el problema del diseño.
											Charles solía decir: ""La razón por la cual tienes un estilo de diseño
											es la razón por la cual no has resuelto el problema de diseño"".
											Es en cierta manera una frase brutal.
											Este es el diseño anterior de esa casa.
											Y, nuevamente, ellos buscaron la manera de hacer un prototipo
											de una casa. La arquitectura, un medio muy caro.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Voici un film dont nous avons tous entendu parler.
											«Les puissances de 10"", un film qu'ils ont réalisé.
											Si on regarde le clip suivant,
											vous allez voir la première version de ""Powers of Ten"", en haut à gauche.
											La version connue sur la partie inférieure droite.
											Le fim ""Tops' fait par les Eames, en bas à gauche.
											Et une lampe que Charles avait conçue pour une église.
									","
											Here's a film we've been hearing things about.
											The ""Powers of Ten"" is a film they made.
											If we watch the next clip,
											you're going to see the first version of ""Powers of Ten,"" upper left.
											The familiar one on the lower right.
											The Eames' film Tops, lower left.
											And a lamp that Charles designed for a church.
									","
											Das ist ein Film, von dem wir schon vieles gehört haben.
											Die ""Macht der 10"" ist ein Film, den sie gemacht haben.
											Wenn wir den nächsten Clip anschauen,
											Werdet ihr die erste Version der ""Macht der 10"" oben sehen.
											Das bekannte ist unten rechts.
											Der Eames Film Topos, unten links.
											Und eine Lampe, die Charles für eine Kirche entworfen hat.
									","
											Bu hakkında çok şey duyduğumuz bir film.
											""Onun katları"" yaptıkları bir filmin ismi.
											Eğer diğer filmi izlerseniz,
											""Onun Katların""nin ilk versiyonunun sol yukarıda göreceksiniz.
											Sağ daha alttaki tanıdık.
											Eamesler'in Tops filmi, sol altta.
											Ve Charles'in klişe için tasarladığı bi lamba.
									","
											He aquí una película de la que hemos estado escuchando hablar.
											Las ""Potencias de 10"" es una película que ellos hicieron.
											Si vemos el próximo clip,
											van a ver la primera versión de ""Potencias de Diez"", en la esquina superior izquierda.
											La versión más familiar en la esquina inferior derecha.
											La película Top de Eames, en la esquina inferior izquierda.
											Y una lámpara que Charles diseñó para una iglesia.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Vidéo: ...Qui, à leur tour appartiennent à un groupe local de galaxies.
											Elles font partie d'un regroupement
											aussi important en nombre que les étoiles.
											Elles sont si nombreuses et si variées que, de cette distance
											elless apparaissent comme les étoiles vues de la Terre.
									","
											Video: Which in turn belongs to a local group of galaxies.
											These form part of a grouping system
											much as the stars do.
											They are so many and so varied that from this distance
											they appear like the stars from Earth.
									","
											Video: Welches in der Drehung zu einer lokalen Gruppe der Galaxien gehört
											Diese formieren zu einem gruppierenden System,
											ähnlich wie es Sterne tun.
											Es sind so viele verschiedene, dass sie aus dieser Entfernung
											aussehen wie Sterne von der Erde.
									","
											Video: Galaksilerdeki yerel gruba ait .
											Bunlar tıpkı yıldızların yaptığı gibi
											bir gruplama sistemi oluşturuyorlar.
											O kadar çok ve çeşitliler ki
											bu uzaklıktan dünyadan yıldızların gözüktüğü gibi gözüküyorlar.
									","
											Video: Lo cual pertenece a un grupo local de galaxias.
											Estas forman parte de un sistema grupal
											al igual que las estrellas.
											Son tantas y tan variadas que desde esta distancia
											se ven como las estrelles desde la Tierra.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											ED: Vous avez vu ce film, et ce qui est si extraordinaire à propos de toute
											cette conférence, c' est que tout le monde y a parlé d'échelle.
											Tout le monde ici y est arrivé par un chemin différent.
											Je vais vous donner un exemple.
											E.O. Wilson m'a dit un jour que quand il regardait les fourmis —
											il les aimait, bien sûr, et il voulait en apprendre plus sur elles —
											il a les regardait consciemment du point de vue d'échelle.
											Donc, voici la petite créature.
											Et pourtant, simplement en changeant le cadre de référence
											elle révèle tant de choses, y compris ce qui finit par être le prix TED.
									","
											ED: You've seen that film, and what's so great about this
											whole conference is that everybody has been talking about scale.
											Everybody here is coming at it from a different way.
											I want to give you one example.
											E.O. Wilson once told me that when he looked at ants —
											he loved them, of course, and he wanted to learn more about them —
											he consciously looked at them from the standpoint of scale.
											So here is the tiny creature.
											And yet simply by changing the frame of reference
											it reveals so much, including what ended up being the TED Prize.
									","
											ED: Ihr kennt den Film und was so grossartig über diese
											ganze Konferenz ist, dass alle über den Massstab diskutiert haben.
											Alle gehen es aus einem anderen Blickwinkeln her an.
											Ich werde euch ein Beispiel geben.
											E.O. Wilson sagte einst zu mir, dass wenn er Ameisen sieht –
											liebt er sie und natürlich wollte der mehr über sie erfahren…
											er hat sie bewusst vom Standpunkt des Massstabs her betrachtet.
											Hier sind die winzigen Kreaturen.
											Und nun, einfach indem der Rahmen verändert wird,
											offenbart es so vieles, inklusive das, was am Ende als TED Preis herausgekommen ist.
									","
											ED: Bu filmi gördünüz ve bununla ilgili harika olan
											konferanstaki herkes ölçeklendirmekten bahsediyor.
											Buradaki herkes farklı bir geçmişten geliyor.
											Bir örnek vermek istiyorum.
											E.O. Wilson bana bir keresinde karıncalara baktığında —
											onları sevdiğini ve onlar hakkında daha fazlasını öğrenmek istediğini söyledi. —
											onlara ölçeklerini düşünerek baktığını söyledi.
											Burada minik bir yaratık var.
											Ve sadece bakış açısını değiştirdiğinizde
											TED Ödülü'nün de dahil olduğu o kadar çok şey açığa çıkar ki.
									","
											ED: Han visto esa película, y lo que es tan grandioso de esta
											conferencia es que todo el mundo ha estado hablando sobre la escala.
											Todo el mundo aquí lo aborda de una forma diferente.
											Quiero darles un ejemplo.
											E. O. Wilson una vez me dijo que cuando observaba a las hormigas —
											le encantaban, por supuesto, y quería aprender más sobre ellas—
											él conscientemente las veía desde una perspectiva de escala.
											Así que aquí esta la criatura diminuta.
											Y simplemente, al cambiar el marco de referencia
											se revela tanto, incluyendo lo que terminó siendo un TED Prize.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Modéliser, ils ont tout le temps essayé de modéliser. Ils étaient en train de modéliser des choses.
											Et je crois qu'une des raisons à cela est qu'ils n'ont jamais délégué la compréhension.
											Et je pense que dans notre famille, nous avons été très chanceux.
											Parce que nous avons appris les dessous de la conception.
											Le design n'était rien d'autre.
											Il faisait partie du métier de la vie en général.
											Il faisait partie de la qualité de vie.
											Et voici quelques photos de famille.
											Et vous pouvez voir pourquoi je ne suis pas un fou du style, avec une coupe de cheveux comme ça.
											Mais de toute façon, (Rires)
											Je me souviens du pamplemousse coupé que nous avions à la maison Eames, quand j'étais gamin.
											Regardons maintenant un autre film.
									","
											Modeling, they tried modeling all the time. They were always modeling things.
											And I think part of that is that they never delegated understanding.
											And I think in our family we were very lucky,
											because we learned about design backwards.
											Design was not something other.
											It was part of the business of life in general.
											It was part of the quality of life.
											And here is some family pictures.
											And you can see why I'm down on style, with a haircut like that.
											But anyway, (Laughter)
											I remember the cut grapefruit that we would have at the Eames house when I was a kid.
											So we're going to watch another film.
									","
											Sie haben die ganze Zeit modelliert.
											Ich denke das kommt davon, dass sie das Begreifen niemals delegiert haben.
											Ich denke in meiner Familie hatten wir sehr viel Glück.
											Weil wir Design rückwärts gelernt haben.
											Design war nichts anderes.
											Es ist Teil des Lebens und alltäglichen Geschäfts.
											Es ist Teil der Lebensqualität.
											Und hier sind einige Familienfotos.
											Und ihr könnte sehen warum mein Stil ziemlich tief ist, mit so einem Haarschnitt.
											Aber trotzdem (lacht)
											erinnere ich mich an die Grapfruithälften, die wir in dem Eames Haus hatten, als ich klein war.
											Jetzt schauen wir uns einen anderen Film an.
									","
											Modelleme, her zaman modellemeyle uğraştılar. Sürekli bir şeyleri modelliyorlardı.
											Sanırım bunun bir parçası olarak hiçbir zaman anlayıştan ödün vermediler.
											Ailemde bu konuda şanslı olduğumuzu düşünüyorum,
											çünkü tasarımı tersten öğrendik.
											Tasarım acayip birşey değildi.
											O büyük ölçekteki işlerin bir parçasıydı.
											O hayatın kalitesiydi.
											Burada bazı aile resimlerini göstereceğim.
											Burada tarzdan pek de anlamadığımı saç stilimden görebilirsiniz.
											Fakat neyse, (Gülüşmeler)
											Çocukken Eames evinde greyfurt yediğimizi hatırlıyorum.
											Şimdi başka bir film izleyeceğiz.
									","
											Modelado, ellos intentaron el modelado todo el tiempo. Siempre estaban modelando cosas.
											Y pienso que parte de eso es que nunca delegaron el entendimiento.
											Y creo que en nuestra familia fuimos muy afortunados.
											Porque aprendimos sobre diseño al revés.
											El diseño no era algo más.
											Era parte del negocio de la vida en general.
											Era parte de la calidad de vida.
											Y aquí están algunas fotos familiares.
											Y pueden ver por qué tengo un estilo fuera de moda, con un corte de pelo como ese.
											Pero de todos modos (Risas)
											recuerdo aquel pomelo que solíamos comer en la casa de los Eames cuando yo era pequeño.
											Así que veremos otra película.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Il s'agit d'un film, intitulé ""Jouets"".
											Vous pouvez me voir, j'ai la même coupe de cheveux, dans le coin supérieur droit.
											En haut à gauche, un film qu'ils ont fait sur les trains jouets.
											En bas à droite, un jouet à énergie solaire Qui-ne-fait-rien.
											En bas à gauche, les jouets du Jour des Morts ( au Mexique).
											Charles avait coutume de dire que les jouets ne sont pas aussi innocents qu'elles le paraissent.
											Ils sont souvent le précurseur de choses plus importantes.
											Et ces idées — ce train là-haut, au sujet de l'utilisation honnête des matériaux,
											c'est exactement pareil que pour
											l'utilisation honnête des matériaux avec le contreplaqué.
									","
											This is a film, the one called Toys.
											You can see me, I have the same haircut, in the upper right corner.
											Upper left is a film they did on toy trains.
											Lower right is a solar do-nothing toy.
											Lower left is Day-of-the-Dead toys.
											Charles used to say that toys are not as innocent as they appear.
											They are often the precursor to bigger things.
											And these ideas — that train up there, being about the honest use of materials,
											is totally the same
											as the honest use of materials in the plywood.
									","
											Der Film hier heisst Toys.
											Ihr erkennt mich, ich habe den gleichen Haarschnitt, in der oberen rechten Ecke.
											Oben links ist ein Film, den sie über Spielzeugzüge gedreht haben.
											Unten rechts ist ein Nichtsnutz-Spielzeug.
											Unten links sind Day-of-the-Dead Spielzeuge.
											Charles hat immer gesagt, dass Spielzeuge nicht so unschuldig sind, wie sie erscheinen.
											Sie sind oft Vorboten grösserer Dinge.
											Und diese Gedanken – die hier entstehen, über den ehrlichen Materialeinsatz,
											ist der exakt gleiche
											wie der ehrliche Einsatz der Materialien im Formsperrholz.
									","
											Bu filmin adı ""Oyuncaklar"".
											Beni aynı saç kesimiyle sağ yukarıda görebilirsiniz.
											Sol üstte oyuncak trenler filmi var.
											Sağ altta güneşle çalışan hiçbir şey yapmayan oyuncağı.
											Sol altta Ölülerin Günü oyuncakları.
											Charles oyuncakların göründükleri kadar masum olmadıklarını söylerdi.
											Onlar genellikle daha büyük şeylerin habercisidirler.
											Ve bu fikirler — yukarıdaki o tren, maddelerin açıkça kullanılması
											suntadaki maddelerin açıkça kullanılmasıyla
											aynıdır.
									","
											Esta es una película llamada Juguetes.
											Me pueden ver, tengo el mismo corte de pelo, en la esquina superior derecha.
											En la esquina superior podemos ver una película que ellos hicieron sobre los trenes de juguete.
											En la esquina inferior derecha hay un juguete solar que no hace nada.
											En la esquina inferior izquierda están los juguetes Día-de-los-Muertos.
											Charles solía decir que los juguetes no son tan inocentes como parecen.
											Son a menudo precursores de grandes cosas.
											Y estas ideas, que se pusieron en práctica ahí acerca del uso honesto de los materiales,
											es exactamente lo mismo
											que el uso honesto de materiales en el contrachapado.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Et maintenant je vais vous tester.
											Ceci est une lettre que mon grand-père a envoyée à ma mère quand elle avait cinq ans.
											Alors,vous arrivez à la lire?
											Lucie [mon] ange,
											Okay, ""eye"" [pour ""I"" = Je).
									","
											And now I'm going to test you.
											This is a letter that my grandfather sent to my mom when she was five years old.
											So can you read it?
											Lucia angel,
											okay, eye.
									","
											Und jetzt werde ich euch testen.
											Das ist ein Brief, den mein Grossvater meiner Mutter geschickt hat, als sie 5 Jahre alt war.
											Könnt ihr ihn lesen?
											Lucia Engel,
											okay, Auge
									","
											Ve şimdi sizi test edeceğim.
											Bu dedemin annem beş yaşındayken ona gönderdiği mektup.
											Okuyabiliyor musunuz?
											Lucia meleğim,
											tamam, ben.
									","
											Y ahora los voy a poner a prueba.
											Esta es una carta que mi abuelo envió a mi madre cuando ella tenía 5 años de edad.
											¿Pueden leerla?
											Lucía angel,
											Vale, ojo.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Public:ai vu de nombreux trains. [""saw / Men / Knee/ Trains"" ]
									","
											Audience: Saw many trains.
									","
											Publikum: Sah viele Züge
									","
											birçok tren gördüm.
									","
											Audiencia: Vio muchos trenes.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											ED: une alêne, heureusement que la guilde des artisan du cuir est ici.
											Celui-ci, que fait-il? Il rame...
											Soleil? Y a-t-il un autre nom pour un lever de soleil?
											Aube, très bon.
											""Je suis aussi monté sur un...""
									","
											ED: Awl, also, good that the leather crafter's guild is here.
											Also, what is he doing? Row, rowed.
											Sun? No. Well is there another name for a sunrise?
											Dawn, very good.
											Also rode on one. I ...
									","
											ED: AAh, gut dass die Leder Handwerkgilde da ist.
											Also, was hat er gemacht? Gefahren.
											Sonner? Nein, ist da ein anderer Name für Sonnenaufgang?
											Dämmerung, sehr gut!
											Bin auch auf einem gefahren. Ich
									","
											ED: Deri oymağının burada olması iyi olmuş.
											Başka ne yapıyor? Kürek çekiyor.
											Güneş? Hayır. Gündoğumunun diğer bir adı nedir?
											Şafak, çok iyi.
											Aynı zamanda birine bindi. ben...
									","
											ED: La lezna, además, que bueno que el gremio de los artesanos del cuero está aquí.
											Aslo, ¿qué está haciendo él? Rema, remó.
											¿Sol? No. Bueno, ¿existe algún otro nombre para el amanecer?
											El alba, muy bien.
											También anduve en uno. Yo...
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Public: ""Tu as eu, j'espère que tu as eu..."" —
									","
											Audience: You had, I hope you had —
									","
											Publikum: Du hattest, Ich hoffe du hattest
									","
											Seyirciler: Umarım
									","
											Audiencia: Ustedes tuvieron, espero que tuvieran —
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											ED: Là, si vous aviez visité le site internet des ""Dogs de Saint-Louis""
											à la fin ou au milieu des années 1930,
											alors vous sauriez que c'est un grand danois.
											Donc : ""J'espère que tu as passé..""
									","
											ED: Now you've been to the website Dogs of Saint Louis
											in the late, in the mid-1930's,
											then you'd know that was a Great Dane.
											So, I hope you had a
									","
											ED: Ihr wart doch schon auf der Dogs of Saint Louis Website.
											in den späten Mitt 1930er,
											dann wüsstet ihr das ein Great Dane ist.
											Also, ich hoffe du hattest eine
									","
											ED: Şimdi 1930'ların ortalarında,
											Saint Louis Dogs'un websitesine girseydiniz
											onun Great Dane olduğunu bilirdiniz.
											Umarım
									","
											ED: Ustedes habrán estado en la página Web Dogs of Saint Louis (Perros de Saint Louis)
											a finales, a mediados de 1930,
											y sabrán que ese era un Gran Danés.
											Así que, espero que hayan tenido un
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Public : ""un bon .. un bon moment...""
									","
											Audience: Nice time, time —
									","
											Publikum: Gute Zeit bei
									","
											Seyirciler: Umarım iyi vakit geçirmişsindir.
									","
											Audiencia: Buen momento, momento—
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											ED: ""Un moment chez...""
											Citizen Kane, la rose —
									","
											ED: Time at.
											Citizen Kane, rose —
									","
											ED: Zeit bei
											Citizen Kane, Rose
									","
											ED: Orada
											Yurttaş Kane, gül —
									","
											ED: Momento en.
											Ciudadano Kane, rosa—
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Public : ""Rosebud ,""
									","
											Audience: Rosebud.
									","
											Publikum: Rosenknospe
									","
											Seyirciler: Gonca.
									","
											Audiencia: Capullo.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											ED: Non, ""bud"" [bourgeon]. ""Chez Buddy pour sa ..""
									","
											ED: No, bud. ""D""'s right. At Buddy's —
									","
											ED: Nein, bud (Konspe), ""D"" ist richtig, auf Buddys
									","
											ED: Hayır, arkadaş. Arkadaşlarında.
									","
											ED: No, botón. ""D"" es correcto. En casa de Buddy —
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Public: ""Fête""
									","
											Audience: Party. Love.
									","
											Publikum: Party. Alles Liebe.
									","
											Seyirci: Parti, sevgilerimle.
									","
											Audiencia: Fiesta. Amor.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
