fr,en,es,de,title,speaker,duration,tags
"
											Comptez vos moutons, et non point vos années.
									","
											Count thy sheep and not thy years.
									","
											Cuenta tus ovejas y no tus años.
									","
											Zähle deine Schafe und nicht deine Jahre.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Rien de bon n'en peut sortir.
									","
											Nothing good can come of this.
									","
											Nada bueno puede resultar de esto.
									","
											Nichts Gutes kommt dabei heraus.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Le Temps règne en maître, très chère.
									","
											Time rules all, my dearest.
									","
											El tiempo rige todo, mi querida.
									","
											Die Zeit regiert alle, meine Teuerste.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											C'est folie que d'entrer en guerre
									","
											'Tis but folly to be waging war
									","
											Es una locura hacer guera
									","
											Krieg zu führen ist sinnlos gegen einen,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											contre celui qu'on n'a jamais vaincu.
									","
											On one who never lost before.
									","
											Sobre uno que no ha perdido nunca.
									","
											der noch nie verloren hat.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Belle Dame, tout ça ne sert à rien.
									","
											Lady, this is all in vain.
									","
											Dama, todo esto es en vano.
									","
											Meine Dame, es ist alles umsonst.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											La jeunesse jamais ne revient.
									","
											Youth can never come again;
									","
											La juventud nunca volverá.
									","
											Jugend kann nie zurückkehren;
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Nous avons bu le doux vin de l'été.
									","
											We have drunk the summer wine.
									","
											Hemos bebido el vino del verano.
									","
											Wir haben gekostet 
von den Früchten des Sommers.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Nul ne saurait le Temps raccommoder.
									","
											None can make a stitch in time.
									","
											Niguno puede prevenir el paso del tiempo.
									","
											Niemand kann die Zeit zurück drehen.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Nip et Tuck jusqu'à la fin des temps.
									","
											Nip and tuck till crack of doom.
									","
											Cirugía estética hasta la muerte.
									","
											Ziehen und Strecken bis das Ende naht.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Ce qui dans la matrice est prédit
									","
											What is foretold in the womb
									","
											Lo que se predice en la matriz
									","
											Was im Mutterleib prophezeit
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											ne saurait par l'or être effacé.
									","
											May not be foresworn with gold.
									","
											No puede ser renegado con oro.
									","
											kann mit Geld nicht abgeschworen werden.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Non plus le temps ne saurait être vendu.
									","
											Nor may time be bought or sold.
									","
											Ni puede ser comprado o vendido el tiempo.
									","
											Noch kann Zeit gekauft 
oder veräußert werden.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Très chère, t'aimé-je moins ?
									","
											Dearest, do I love thee less?
									","
											Querida, ¿te amo menos?
									","
											Meine Liebste, liebe ich dich weniger?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Me rétracté-je sous la caresse de ta main ?
									","
											Do I shrink from thy caress?
									","
											¿Me retrocedo ante tu caricia?
									","
											Weiche ich zurück 
von deinen Liebkosungen?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Crois-tu que de toi je puisse cesser de prendre soin ?
									","
											Think you I could cease to care?
									","
											¿Crees que podría cesar los cuidados?
									","
											Denkst du, ich könnte 
mein Interesse verlieren?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Jamais il n'y eut de Dame si belle !
									","
											Never was there one so fair!
									","
											¡No hay nadie más hermosa!
									","
											Niemals gab es eine so schön wie du!
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Belle dame, Belle Dame, ne pleurez pas.
									","
											Lady lady, do not weep —
									","
											Dama, dama, no llores.
									","
											Lady, Lady, weine nicht —
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Ce qui est passé est passé. Dormez maintenant.
									","
											What is gone is gone. Now sleep.
									","
											Lo hecho, hecho está. Duerme.
									","
											Was vergangen, ist vergangen. Ruhe nun.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Là, contre moi, calmez vos peurs.
									","
											Lean against me, calm your fears,
									","
											Apóyate contra mí, no tengas miedo.
									","
											Lehn dich an mich, lass los deine Ängste,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Comptez vos bonheurs, et non point vos années.
									","
											Count thy blessings, not thy years.
									","
											Cuenta tus bendiciones, no tus años.
									","
											zähle deine Segnungen, nicht deine Jahre.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											L'Amérique, Mesdames et Messieurs, a fait plus pour moi, financièrement, que la Grande-Bretagne
											n'a jamais fait, ou n'aurait pu le faire.
											Je suis né en Grande-Bretagne, comme vous l'avez probablement deviné.
											Même dans ses pires comportements,
											je défends automatiquement les USA
											contre les attaques mordantes des europhiles aux yeux verts
											qui jouent leur carte grecque par-dessus l'atout romain.
											L'Amérique est un empire.
											J'espère que maintenant vous le savez.
											Tous les empires sont, par définition, des institutions bureaucratiques
											maladroites, chaotiques, tyranniques.
											Aussi certains de la justesse de leur cause, dans leur jeunesse
											qu'ils sont corrompus par le pouvoir dans leurs vieux jours.
											Je ne suis certes pas historien, Mesdames et Messieurs.
											Mais il me semble que les péchés des USA,
											comparés à ceux de nombreux empires précédents,
											soient d'une nature plus modérée,
											même si plus répandus.
											Permettez-moi de m'exprimer sans fards.
											Si les américains sont si gras,
											si stupides et si ignorants,
											mes chers amis de Birmingham,
											comment se fait-il qu'ils dirigent le monde ?
									","
											America, ladies and gentlemen, has done more for me financially than Britain
											ever has, or ever could have done.
											I was born in Britain, as you have probably guessed.
											Even when on its worst behavior,
											I find myself automatically defending the USA
											from the sneers of green-eyed Europhiles
											playing their Greek card to Roman trumps.
											America is an empire.
											I hope you know that now.
											All empires, by definition, are bumbling,
											shambolic, bullying, bureaucratic affairs,
											as certain of the rightness of their cause in infancy,
											as they are corrupted by power in their dotage.
											I am no historian, ladies and gentlemen.
											But it seems to be that the USA's sins,
											compared to those of many previous empires,
											are of a more moderate,
											if more pervasive, kind.
											Let me put this bluntly.
											If Americans are so fat,
											stupid and ignorant,
											my dear friends from Birmingham,
											how come they rule the world?
									","
											Los Estados Unidos, damas y caballeros me han apoyado financieramente más que Gran Bretaña
											ha hecho, o podría haber hecho jamás.
											Yo nací en Gran Bretaña, como probablemente han adivinado.
											Aun con su peor comportamiento,
											encuentro que mi reacción automática es defender los EEUU
											de las expresiones desdeñosas de europeístas que se mueren de envidia
											jugando su carta griega a los triunfos romanos.
											América es un imperio.
											Espero que ya lo sepan.
											Todos los imperios son, por definición, cosas torpes,
											caóticas, amenazadoras, burocráticas.
											Tan seguros de la rectitud de su causa en su infancia
											como corrompidos por el poder en su vejez.
											No soy historiador, damas y caballeros.
											Pero parece que los pecados de los EE UU,
											comparados con los de muchos imperios previos,
											son de un carácter más moderado,
											pero más omnipresente.
											Déjenme decirlo sin rodeos.
											Si es que los norteamericanos son tan gordos,
											estúpidos e ignorantes,
											mis queridos amigos de Birmingham
											¿por qué dominan el mundo?
									","
											Amerika, meine Damen und Herren, 
hat finanziell mehr für mich getan
											als es Großbritannien jemals konnte.
											Ich wurde in Großbritannien geboren, 
wie Sie vermutlich wissen.
											Selbst wenn sie sich furchtbar verhalten,
											verteidige ich automatisch die USA
											gegen den Spott 
der grünäugigen Europhilen,
											die ihre griechische Karte 
mit römischen Trümpfen spielen.
											Amerika ist ein Imperium.
											Ich hoffe, Sie wissen das jetzt.
											Alle Imperien sind von Natur aus
											stümperhafte, rechthaberische, 
bürokratische Angelegenheiten,
											so überzeugt von der Richtigkeit 
ihrer Sache am Anfang,
											wie sie später von ihrer Macht 
korrumpiert werden.
											Ich bin kein Historiker, 
meine Damen und Herren.
											Aber es scheint mir, 
dass die Sünden der USA,
											im Vergleich mit vielen vorigen Imperien
											von gemäßigter Natur sind,
											auch wenn sie dauerhafter sind.
											Lassen Sie es mich deutlicher sagen.
											Wenn Amerikaner so fett,
											dumm und ignorant sind,
											meine lieben Freunde in Birmingham,
											warum beherrschen sie dann die Welt?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											""Saluons les Dieux de l'Amérique !""
									","
											""Hail to the Gods of America.""
									","
											""¡Vivan los dioses de América!”
									","
											""Preiset die Götter von Amerika!""
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Saluons les Dieux de l'Amérique !
									","
											Hail to the Gods of America!
									","
											¡Vivan los dioses de América!
									","
											Preiset die Götter von Amerika!
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Saluons les Dieux du rêve !
									","
											Hail to the gods of the dream.
									","
											Vivan los dioses del sueño.
									","
											Preiset die Götter des Traums.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Invictus E Pluribus Unum.
									","
											Invictus E Pluribus Unum.
									","
											Invictus E Pluribus Unum.
									","
											Invictus e pluribus unum.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Mais lequel d'entre tous règne-t-il en maître ?
									","
											But which of them reigns supreme?
									","
											Pero ¿cuál de ellos impera?
									","
											Aber welcher von ihnen 
ist der absolute Souverän?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Lequel est le Jupiter d'Amérique ?
									","
											Which is America's Jupiter?
									","
											¿Cuál es el Júpiter de América?
									","
											Welcher von ihnen ist Amerikas Jupiter?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Sont-ce les brahmanes de Capital Hill ?
									","
											The Brahmins of Capital Hill?
									","
											¿Los brahmanes de Capitol Hill?
									","
											Die Brahmanen von Capitol Hill?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Le profit d'un sorcier de Wall Street ?
									","
											A sorcerer's profit on Wall Street?
									","
											¿Las ganancias de un hechicero en Wall Street?
									","
											Der Profit der Zauberer 
an der Wall Street?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											L'Oeil d'un billet d'un dollar ?
									","
											They eye of a dollar bill?
									","
											¿El ojo de un billete de un dólar?
									","
											Das Auge eines Dollarscheins?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Ou est-ce le statut de la renommée ?
									","
											Or is it celebrity status?
									","
											O ¿es la condición de famosa?
									","
											Oder ist es Ruhm?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Le culte de ceux que nous haïssons.
									","
											The worship of those we hate.
									","
											¿La adoración de los que odiamos?
									","
											Die Verehrung derer, die wir hassen?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Ou bien le culte de la vie éternelle,
									","
											Or the cult of living forever,
									","
											O ¿es el culto de vivir para siempre,
									","
											Oder der Kult der Unsterblichkeit,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											à condition que nous surveillions notre poids.
									","
											If only we'd watch our weight.
									","
											Si sólo cuidáramos nuestro peso.
									","
											wenn wir nur auf unser Gewicht achteten.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Seraient-ce les Titans des média ?
									","
											What of the titans of media?
									","
											¿Y qué pasa con los titans de los medios?
									","
											Sind es die Media-Titanen?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Ou l'appel des sirènes d'Hollywood ?
									","
											Or Hollywood's siren call?
									","
											¿O el canto de la sirena de Hollywood?
									","
											Oder der Sirenengesang Hollywoods?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Et si c'étaient les temples de justice,
									","
											What of the temples of justice,
									","
											¿Qué pasa con los templos de justicia,
									","
											Sind es die Tempel der Justiz,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											dont les serviteurs nous enchaînent tous ?
									","
											Whose servants enslave us all?
									","
											cuyos sirvientes nos esclavizan a todos?
									","
											deren Diener uns alle versklaven?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Seraient-ce la Marque et l'Étiquette ?
									","
											What of the Brand and the Label?
									","
											¿Qué pasa con la Marca y la Etiqueta?
									","
											Oder sind es die Marke und das Label?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Ou encore le Sport plein d'arrogance ?
									","
											What of the upstart Sport?
									","
											¿Qué pasa con el Deporte advenedizo?
									","
											Ist es der neue Trendsport?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Et que dire de la Constitution,
									","
											And what of the Constitution,
									","
											Y ¿qué pasa con la Constitución?
									","
											Ist es die Verfassung,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											ce tyran du dernier recours ?
									","
											That bully of last resort?
									","
											Ese matón de último recurso?
									","
											dieser Tyrann des letzten Auswegs?
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Saluons les Dieux de l'Amérique,
									","
											Hail to the God of America,
									","
											Viva el Dios de América.
									","
											Preiset den Gott Amerikas,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											dont les masses exaltent la puissance !
									","
											Whose power the masses extol —
									","
											Cuyo poder ensalzan las masas.
									","
											dessen Macht die Massen besingen —
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Le Confort règne sur l'Amérique.
									","
											Convenience rules America;
									","
											La conveniencia rige América.
									","
											Bequemlichkeit regiert Amerika;
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Le Confort est maître de nos âmes.
									","
											Convenience owns our soul.
									","
											La conveniencia es dueña de nuestra alma.
									","
											Unsere Seelen sind ihr Besitz.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											En vérité, c'est lui.
									","
											Aye, that it does.
									","
											Así es.
									","
											Ja, das sind sie.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Et si vous voulez savoir pourquoi je ne suis pas père,
											moi qui, par miracle, ai 22 filleuls,
											la réponse est dans ce poème,
											qui me bouleverse chaque fois que je le lis.
									","
											And if you would like to know why I am not a father —
											I, who by a miracle have 22 godchildren —
											the answer is in this poem,
											which upsets me every time I read it.
									","
											Y si les gustaría saber por qué no soy padre-
											yo, el que por milagro tengo 22 ahijados.
											La respuesta está en este poema,
											que me molesta cada vez que lo leo.
									","
											Falls Sie wissen wollen, 
warum ich kein Vater geworden bin —
											ich, der wie durch ein Wunder 
22 Patenkinder hat —
											finden Sie die Antwort in diesem Gedicht,
											das mich jedes Mal aufwühlt, 
wenn ich es lese.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											""L'amour est venu me rendre visite""
									","
											""Love Came to Visit Me.""
									","
											""El amor vino a visitarme.""
									","
											""Die Liebe besuchte mich.""
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											L'amour est venu me rendre visite,
											timide tel une biche.
									","
											Love came to visit me,
											shy as a fawn.
									","
											El amor vino a visitarme,
											tímido como un cervato.
									","
											Die Liebe besuchte mich,
											scheu wie ein Reh.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Mais me trouvant occupé,
											elle s'est envolée avec le jour.
									","
											But finding me busy,
											she fled, with the dawn.
									","
											Pero como me halló ocupado,
											voló, con el amanacer.
									","
											Aber sie fand mich beschäftigt
											und floh im Morgengrauen.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											A 20 ans, la torche du ressentiment fut allumée.
									","
											At 20 the torch of resentment was lit.
									","
											A los 20 la antorcha del rencor se encendió.
									","
											Mit 20 zündete
die Fackel der Verbitterung.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Ma colère envers l'injustice
											brulante comme la cire chaude sous les aisselles.
									","
											My rage at injustice
											waxed hot as the pits.
									","
											Mi rabia a la injusticia
											encerada caliente, como lo peor que hay.
									","
											Meine Wut gegenüber Ungerechtigkeit
											glühte wie ein Schmelzofen.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Le flux de sa lave effaçait tout sur son passage.
									","
											The flux of its lava cleared all in its path.
									","
											El flujo de su lava aclaró todo en su camino.
									","
											Der Lavastrom löschte alles 
auf seinem Weg aus.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Camarades comme ennemis fuyaient devant son courroux.
									","
											Comrades and enemies fled from its wrath.
									","
											Camaradas y enemigos se huyeron de su ira.
									","
											Freunde wie Feinde flohen vor diesem Zorn.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Les amantes pourtant commençaient à se méfier, une fois la nouveauté enfuie,
									","
											Yet lovers grew wary, once novelty waned
									","
											Pero los amantes no se fiaron, una vez que se disminuyó la novedad,
									","
											Geliebte waren auf der Hut,
											sobald der Reiz des Neuen verblasst,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											de dormir aux côtés d'un homme ensanglanté,
											à la terreur non feinte.
									","
											To lie with a bloody man,
											his terror unfeigned.
									","
											Tenderse con un hombre ensangrentado,
											su terror real.
									","
											sich neben einem blutigen Mann zu legen,
											sein Schrecken ungebändigt.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											A 30 ans mes pouvoirs me paraissaient puissants.
									","
											At 30 my powers seemed mighty to me.
									","
											A los 30 mis poderes me parecieron grandiosos.
									","
											Mit 30 schien ich mir mächtig.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Les fruits de mes rivaux, je les faisais tomber des arbres.
									","
											The fruits of my rivals, I shook from the tree.
									","
											Los frutos de mis rivales, los recogí del árbol.
									","
											Die Früchte meiner Feinde 
schüttelte ich vom Baum.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Par ruse et par menace,
											de jour comme de nuit,
									","
											By guile and by bluster,
											by night and by day,
									","
											Por astucia y por bravatas,
											noche y día,
									","
											Durch List und durch Toben,
											bei Tag und bei Nacht,
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											j'ai combattu et étendu mes ennemis sur mon chemin.
									","
											I battered and scattered the fools from my way.
									","
											yo apeleaba y dispersaba los torpes de mi camino.
									","
											schlug und vertrieb ich 
die Narren aus meinem Weg.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
											Et les femmes voulaient simuler et bluffer.
									","
											And women grew willing to sham and to bluff.
									","
											Y las mujeres estaban dispuestas a fingir y hacer blofes.
									","
											Frauen begannen zu mogeln und zu täuschen.
									",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
"
","
","
","
",Odes to vice and consequences,Felix Dennis,17:24,"entertainment,history,literature,poetry,writing,books"
