en,pt,tr,fr,de,es,title,speaker,duration,tags
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											These days, I share my story openly,
											and I ask others to share theirs, too.
											I believe that's what it takes
											to help people who may
be suffering in silence
											to know that they are not alone
											and to know that with help,
											they can heal.
											Now, I still have my struggles,
											particularly with the anxiety,
											but I'm able to manage it
											through daily mediation,
yoga and a relatively healthy diet.
									","
											Hoje em dia, partilho
a minha história abertamente
											e peço a outros que também
partilhem as suas.
											Acredito que isso é necessário
											para ajudar as pessoas
que sofrem silêncio
											a perceberem que não estão sozinhas
											e que, com ajuda, podem curar-se.
											Claro que ainda tenho as minhas lutas,
											particularmente com a ansiedade,
											mas consigo controlá-la
											através de meditação diária, ioga 
e uma dieta relativamente saudável.
									","
											Bu günlerde,
hikâyemi açıkça paylaşıyorum
											ve diğerlerinden de
aynı şeyi yapmalarını istiyorum.
											Sessizce mücadele edenlerin
											yalnız olmadıklarını
											ve yardımla iyileşebileceklerini
											bilmeleri gerektiğine
											inanıyorum.
											Hâlâ, anksiyete başta olmak üzere
											savaşım sürüyor.
											Ama günlük meditasyon,
											yoga ve nispeten sağlıklı beslenmeyle
icabına bakabiliyorum.
									","
											Récemment, je partage
mon histoire ouvertement,
											et j'invite les autres
à partager la leur aussi
											Il suffit juste de cela
											pour aider les gens qui
souffrent en silence
											à savoir qu'ils ne sont pas seuls
											et qu'avec de l'aide,
											ils peuvent guérir.
											Mais, j'ai toujours des difficultés
											particulièrement avec l'anxiété,
											mais j'arrive à la gérer
											en faisant de la méditation, du yoga
et un régime plutôt sain.
									","
											Heutzutage erzähle ich
meine Geschichte öffentlich
											und ich bitte andere,
ihre auch zu erzählen.
											Ich denke, das braucht es,
											um Menschen, die still leiden, zu helfen,
											damit sie wissen,
dass sie nicht allein sind,
											und dass sie wissen, dass sie mit Hilfe
											geheilt werden können.
											Ich habe immer noch Probleme,
											vor allem mit meiner Angst,
											aber ich kann damit umgehen,
											durch tägliche Meditation, Yoga
und eine relativ gesunde Ernährung.
									","
											En estos días comparto 
mi historia abiertamente
											y pido a los demás que también 
compartan las suyas.
											Creo que eso es lo que se necesita
											para ayudar a las personas que 
pueden estar sufriendo en silencio,
											saber que no están solas,
											y saber que con ayuda,
											ellas pueden recuperarse.
											Todavía sigo teniendo mis dificultades,
											particularmente con la ansiedad,
											pero puedo gestionarla
											con mediación diaria, yoga 
y una dieta relativamente saludable.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											(Laughter)
									","
											(Risos)
									","
											(Kahkaha)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risas)
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											If I feel like things
are starting to spiral,
											I make an appointment to see my therapist,
											a dynamic black woman
named Dawn Armstrong,
											who has a great sense of humor
											and a familiarity that I find comforting.
											I will always regret
											that I couldn't be there for my nephew.
											But my sincerest hope
											is that I can inspire others
with the lesson that I've learned.
									","
											Se sinto que as coisas
estão a entrar em espiral,
											marco uma consulta com a minha terapeuta,
											uma mulher negra dinâmica
chamada Dawn Armstrong,
											que tem um sentido de humor fantástico
											e uma familiaridade
que acho reconfortante.
											Sempre me arrependerei
											de não ter estado lá para o meu sobrinho.
											Mas espero sinceramente
											que possa inspirar outros 
com aquilo que aprendi.
									","
											Bazı şeylerin
döngüye girdiğini hissedersem,
											terapistimden randevu alıyorum.
											Mükemmel bir mizah anlayışı olan,
											rahatlatıcı bulduğum samimiyetiyle,
											hayat dolu siyahi kadın Dawn Armstrong.
											Yeğenimin yanında olamadığım için
											her zaman pişmanlık duyacağım.
											En büyük umudum,
											çıkardığım derslerle
bir başkasına ilham kaynağı olmak.
									","
											Si je sens que les choses
commencent à basculer,
											je prends rendez-vous avec mon thérapeute,
											une femme noire dynamique
appelée Dawn Armstrong,
											qui a un très bon sens de l'humour
											et une certaine familiarité
très confortante.
											J'aurai toujours le regret
											de ne pas avoir été présente
pour mon neveu.
											Mais mon sincère espoir
											est de pouvoir inspirer les autres
avec ce que j'ai appris.
									","
											Wenn ich fühle, dass die Dinge
außer Kontrolle geraten,
											mache ich einen Termin
bei meiner Therapeutin,
											einer dynamischen, schwarzen Frau
namens Dawn Armstrong,
											mit einem großartigen Sinn für Humor
											und einer Vertrautheit,
die ich beruhigend finde.
											Ich werde immer bedauern,
											dass ich nicht für meinen Neffen da war.
											Aber meine aufrichtige Hoffnung ist,
											dass ich andere durch
meine Erfahrung inspirieren kann.
									","
											Si siento que las cosas comienzan 
a girar en espiral,
											pido cita para ver a mi terapeuta,
											una mujer negra dinámica 
llamada Dawn Armstrong,
											con un gran sentido del humor
											y una familiaridad que 
encuentro reconfortante.
											Siempre me arrepentiré
											de no haber estado allí para mi sobrino.
											Pero mi más sincera esperanza
											es que puedo inspirar a otros 
con la lección que aprendí.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											Life is beautiful.
											Sometimes it's messy,
											and it's always unpredictable.
											But it will all be OK
											when you have your support system
to help you through it.
											I hope that if your burden gets too heavy,
											you'll ask for a hand, too.
									","
											A vida é bela.
											Por vezes é complicada,
											e é sempre imprevisível.
											Mas vai ficar tudo bem
											quando temos um sistema
de apoio para nos ajudar.
											Espero que, se o vosso fardo
ficar demasiado pesado,
											peçam ajuda, também.
									","
											Hayat güzel.
											Bazen darmaduman
											ve her zaman sürprizlerle dolu.
											Üstesinden gelmeniz için
											desteğiniz olduğunda
her şey yoluna girecek.
											Olur da yükünüz ağırlaşırsa,
											umarım siz de yardım istersiniz.
									","
											La vie est belle.
											Parfois c'est le désordre,
											et c'est toujours imprévisible.
											Mais tout ira bien
											si ce qui te donne du soutien
t'aide à passer outre cela.
											J'espère que si ton fardeau
devient trop lourd,
											tu demanderas un coup de main.
									","
											Das Leben ist schön.
											Manchmal ist es chaotisch
											und es ist immer unvorhersehbar.
											Aber alles wird gut,
											wenn man ein unterstützendes Umfeld hat,
das einem da durch hilft.
											Ich hoffe, wenn Ihre Last zu schwer wird,
											dass Sie dann auch um Hilfe bitten.
									","
											La vida es bella.
											A veces desordenada,
											y siempre impredecible.
											Pero todo saldrá bien
											si uno tiene el sistema 
de soporte para superarlo.
											Espero que si su carga 
se vuelve muy pesada,
											también pidan ayuda.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											Thank you.
									","
											Obrigada.
									","
											Teşekkürler.
									","
											Merci.
									","
											Danke.
									","
											Gracias.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Aplausos)
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
