fr,pt,de,title,speaker,duration,tags
"
											Réfléchissez à ceci...
											Voici Houston, au Texas,
après l'ouragan Harvey.
											J'écris périodiquement une contribution
pour le magazine « Forbes »
											et, une semaine avant que l'ouragan Harvey
ne frappe, j'ai écrit un article disant :
											« Il y aura probablement
entre 100 et 130 centimètres de pluie. »
											Je l'ai écrit une semaine
avant que cela n'arrive.
											Pourtant, quand vous parlez
aux gens de Houston,
											les gens disent : « Nous ignorions
que cela serait si grave. »
											Je...
									","
											Mas pensem nisto.
											Aqui é Houston, no Texas,
depois do Furacão Harvey.
											Eu escrevo periodicamente 
uma contribuição para a revista Forbes
											e escrevi um artigo, uma semana antes
de o Furacão Harvey ali chegar, dizendo:
											""Provavelmente, vai haver
uns 100 a 130 cm de chuva"".
											Escrevi isto uma semana
antes de acontecer.
											Mas, quando falamos
com pessoas de Houston, elas dizem:
											""Não fazíamos ideia
de que ia ser tão mau"".
											Eu só...
									","
											Aber denken Sie darüber nach ...
											Das ist Houston in Texas
nach dem Hurricane Harvey.
											Ich schreibe regelmäßig Beiträge
für die Zeitschrift ""Forbes"".
											So auch eine Woche bevor Hurricane
Harvey aufs Land traf. Ich schrieb:
											""Es wird wahrscheinlich
1000 bis 1300 mm Niederschlag geben.""
											Ich schrieb das eine Woche
bevor es passierte.
											Aber wenn Sie mit Leuten
aus Huston sprechen,
											werden sie Ihnen sagen: ""Wir wussten
nicht, dass es so schlimm sein würde.""
											Ich bin nur ...
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Soupire)
									","
											(Risos)
									","
											(Seufzen)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											Uma semana antes.
											Eu sei, é engraçado,
mas a realidade é que
											todos tentamos perceber coisas
fora do nosso nível de experiência.
											As pessoas em Houston
estão sempre a apanhar chuva
											têm sempre inundações.
											Mas nunca tinham visto uma coisa assim.
											Houston tem cerca de 90 cm de chuva
durante o ano inteiro.
											Tiveram 130 cm em três dias.
											É uma ocorrência anómala
está fora do normal.
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Une semaine avant.
											Mais —
											Je sais que c'est amusant,
mais en réalité,
											nous éprouvons tous des difficultés
à percevoir quelque chose
											au-delà de notre niveau d'expérience.
											Les gens de Houston
ont constamment de la pluie,
											constamment des inondations.
											Mais ils n'ont jamais connu cela.
											Il y a environ 86 centimètres
de précipitations par an à Houston.
											Il y en a eu 130 en trois jours.
											C'est une anomalie,
c'est en dehors de la norme.
									","
											Portanto, os sistemas de crença
e os preconceitos,
											a literacia e a desinformação.
											Como é que nos libertamos das caixas
que nos impõem as suas perceções?
											Nem sequer precisamos de ir a Houston,
podemos manter-nos perto de casa.
									","
											Eine Woche zuvor.
											Aber —
											Ich weiß, es ist amüsant,
aber die Realität ist:
											Wir alle haben Probleme damit,
											etwas außerhalb unserer
Erfahrungsebene wahrzunehmen.
											In Houston regnet es ständig,
											es gibt immer wieder Hochwasser.
											Die Leute dort haben noch
nie zuvor so etwas erlebt.
											Huston bekommt im gesamten
Jahr ca. 860 mm Regen.
											Es regnete 1300 mm in drei Tagen.
											Das ist ein abnormales Ereignis,
das ist jenseits von normal.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Les croyances, les préjugés,
l'alphabétisation, la mésinformation.
											Comment sortir des cases
qui acculent nos perceptions ?
											Pas besoin d'aller à Houston,
nous pouvons aller proche de chez nous.
									","
											(Risos)
									","
											Also das Glaubenssystem, Vorurteile,
Alphabetisierung und Fehlinformationen.
											Wie können wir, was unsere Wahrnehmung
betrifft, einen neuen Weg einschlagen?
											Wir müssen dafür nicht nach Houston gehen,
wir können dafür nahezu zu Hause bleiben.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											Lembram-se do Snowpocalypse?
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Vous souvenez-vous de « snowpocalypse » ?
									","
											(Risos)
									","
											Können Sie sich an
die 'Schneepokalypse' erinnern?
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											do Snowmageddon?
											do Snowzilla?
											Chamem-lhe o que quiserem.
											São só cinco centímetros.
									","
											(Gelächter)
											Schneemageddon?
											Schneezilla?
											Wie auch immer Sie es nennen wollen.
											Die ganzen 5 cm davon.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											« Snowmageddon » ?
											« Snowzilla » ?
											Peu importe comment vous l'appelez.
											Les cinq centimètres que cela a été.
									","
											(Risos)
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											Cinco centímetros de neve
imobilizaram a cidade de Atlanta.
									","
											5 cm Schnee haben
die Stadt Atlanta lahm gelegt.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Cinq centimètres de neige
ont paralysé Atlanta.
									","
											(Risos)
									","
											(Gelächter)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Rires)
									","
											Mas a realidade é que estávamos
a monitorar numa tempestade de inverno,
											divulgámos um aviso meteorológico
											mas muitas pessoas acharam
que isso era um exagero:
											""Oh, não vai ser assim tão mau"".
											A perceção era de que não ia ser tão mau,
											mas, na realidade, era um alerta.
											As coisas começaram a piorar
quando começaram a chegar os dados.
											Este é um exemplo de como
as nossas perceções nos enganam.
									","
											Aber die Wahrheit ist, wir hatten
eine Wintersturm-Vorwarnung,
											daraus wurde ein Winterwetter-Ausschuss
											und viele empfanden das
als eine Herabstufung,
											""Es wird nicht so schlimm werden.""
											Tatsache ist: die Wahrnehmung ging
in Richtung 'es wird nicht so schlimm',
											aber es war eine Höherstufung.
											Das Ganze wurde mit jeder
neuen Simulation schlimmer.
											Das ist ein Beispiel dafür, wie wir
in unserer Wahrnehmung gefangen sind.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											En réalité, nous étions en vigilance
pour tempête hivernale,
											nous sommes passés
à un avertissement météo
											et beaucoup de gens ont perçu cela
comme un déclassement :
											« Cela ne va pas être si grave. »
											Alors que la perception était
que cela n'allait pas être si grave,
											c'était un surclassement.
											Les choses empiraient
au fur et à mesure des modèles.
											C'est un exemple de comment
nos perceptions nous coincent.
									","
											A pergunta passa a ser:
											Como alargamos o nosso raio?
											A área de um círculo é ""pi r ao quadrado"".
											Se aumentarmos o raio,
aumentamos a área.
											Como expandimos o raio
de compreensão da ciência?
											Estes são os meus pensamentos.
											Fazemos o inventário
dos nossos preconceitos.
											E vou desafiar-vos a fazerem o mesmo.
											Façam um inventário
dos vossos preconceitos.
											De onde é que eles surgem?
											Da vossa educação, da vossa
perspetiva política, da vossa fé...
											o que é que modela os vossos preconceitos?
											Depois, avaliem as vossas fontes.
											Onde é que vão buscar
as informações sobre a ciência?
											O que é que leem, o que é que ouvem,
											para consumir as informações
sobre ciência?
											Depois, é importante falar.
											Falem sobre como avaliam
os vossos preconceitos
											e avaliam as vossas fontes.
											Gostava que escutassem este ""clip""
de 40 segundos,
											de Greg Fishel, um dos melhores
meteorologistas da TV, nos EUA,
											na área de Raleigh, Durham.
											É respeitado naquela região.
											Mas era um cético do clima.
											Oiçam o que ele diz
quanto a falar abertamente:
									","
											Die Frage ist also:
											Wie erweitern wir unseren Radius?
											Die Fläche eines Kreises
ist ""pi mal r Quadrat"".
											Vergrößert man den Radius
vergrößert sich auch die Fläche.
											Wie vergößern wir unseren
Wissenschafts-Verständnisradius?
											Hier sind meine Gedanken:
											Sie machen eine Bestandsaufnahme
Ihrer eigenen Vorurteile.
											Und ich fordere Sie alle auf, dies zu tun.
											Machen Sie eine Bestandsaufnahme
Ihrer Vorurteile.
											Woher kommen Sie?
											Ihre Erziehung, Ihre politischen
Sichtweisen, Ihr Glaube —
											was formt Ihre eigenen Vorurteile?
											Dann bewerten Sie Ihre Quellen —
											woher beziehen Sie Ihre
Wissenschaftsinformationen?
											Was lesen Sie, was hören Sie sich an
											um Ihre Informationen zu erlangen?
											Es ist wichtig seine Meinung mitzuteilen.
											Sprechen Sie darüber, wie Sie Ihre
Vorurteile und Quellen bewertet haben.
											Ich möchte, dass Sie sich
diesen 40 Sekunden Clip
											von einem der Top-TV-Meterologen
der USA, Greg Fishel, aus der
											Raleigh, Durham Gegend anhören.
											Er wird in dieser Region verehrt.
											Er war ein Klima-Skeptiker.
											Aber hören Sie was er
dazu sagt, sich zu äußern.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											La question devient :
											comment augmenter notre rayon ?
											L'aire d'un cercle est pi x r².
											Nous augmentons le rayon,
nous augmentons l'aire.
											Comment augmenter notre rayon
de compréhension scientifique ?
											Voici mes idées.
											Vous dressez l'inventaire de vos préjugés.
											Je vous défie tous de le faire.
											Dressez l'inventaire de vos préjugés.
											D'où viennent-ils ?
											Votre éducation, votre vision
politique, votre croyance —
											qu'est-ce qui donne forme à vos préjugés ?
											Puis, évaluez vos sources —
											d'où tirez-vous
vos informations scientifiques ?
											Que lisez-vous, qu'écoutez-vous,
											pour consommer
vos informations scientifiques ?
											Ensuite, il est important
de vous exprimer.
											Parlez de comment vous avez évalué
vos préjugés et vos sources.
											Je veux que vous écoutiez
cet enregistrement de 40 secondes
											de l'un des meilleurs météorologues télé
des États-Unis, Greg Fishel,
											dans la zone de Raleigh et Durham.
											Il a changé d'avis
											mais était un climato-sceptique.
											Écoutez ce qu'il dit
sur le fait de s'exprimer.
									","
											Greg Fishel: O erro que eu fazia
											e só há muito pouco tempo
me apercebi disso,
											foi que só olhava para as informações
											que apoiavam aquilo que eu já pensava
											e não estava interessado
em ouvir nada em contrário.
											Assim, acordei uma manhã
											e havia uma pergunta na minha cabeça:
											""Greg, estás apanhado num preconceito
de confirmação?
											""Só procuras informações
para apoiar aquilo que já pensas?""
											Para ser honesto comigo mesmo
e tentei sê-lo,
											tive de reconhecer que era
o que se passava.
											Quanto mais falava com cientistas
											e lia literatura revista pelos pares
											e tentava comportar-me da forma
que me tinham ensinado
											em Penn State, quando era estudante,
											mais difícil se tornava defender
											que não tínhamos nenhuma influência.
											Talvez ainda houvesse uma dúvida
quanto à dimensão,
											mas dizer ""nenhuma"" não era uma coisa
responsável para eu fazer
											enquanto cientista ou enquanto pessoa.
									","
											Greg Fishel: Mein Fehler war,
											und ich habe es erst
vor kurzem realisiert,
											dass ich nur Informationen
betrachtet habe,
											die unterstützten,
was ich bereits glaubte,
											und ich war nicht daran interessiert,
mir etwas gegenteiliges anzuhören.
											Und so bin ich eines Morgens aufgewacht
											mit folgender Frage in meinen Gedanken:
											""Greg, übst du Bestätigungsfehler aus?
											Betrachtest du nur Informationen,
die belegen, was du bereits vermutest?""
											Und wenn ich ehrlich zu mir war,
und ich versuchte das,
											musste ich mir eingestehen,
dass genau das passierte.
											Je mehr ich mit Wissenschaftlern sprach,
											geprüfte Literatur las
und versuchte, mich so zu verhalten,
											wie man es mir an der 'Penn State
University' als Student beigebracht hatte,
											umso schwieriger wurde es für mich
daran festzuhalten, dass wir [Menschen]
											gar keinen Einfluss haben.
											Vielleicht gab es immer
noch Zweifel daran wie viel,
											aber zu sagen ""keinen"",
war keine verantwortliche Aussage
											für mich als Wissenschaftler
oder als Person.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Greg Fishel : L'erreur que je faisais,
											et je ne l'ai réalisé que récemment,
											était que je ne cherchais
que des informations
											pour confirmer ce que je pensais déjà
											et écouter toute information contraire
ne m'intéressait pas.
											Je me suis réveillé un matin
											et j'avais cette question en tête :
											« Greg, te livres-tu
au biais de confirmation ?
											Ne cherches-tu que des informations
appuyant ce que tu penses déjà ? »
											Si j'étais honnête -
et j'essayais de l'être -
											j'admettais que c'était ça.
											Plus j'ai parlé à des scientifiques,
											lu la littérature revue par des pairs
											et essayé de me conduire
comme on m'avait appris à me conduire
											quand j'étais étudiant à l'université,
											plus il est devenu difficile
pour moi d'avancer
											que nous n'avions pas
une petite incidence.
											Il y avait peut-être un doute
sur son importance,
											mais dire « aucune » n'était pas
la chose responsable à faire
											en tant que scientifique ou personne.
									","
											JMS: Greg Fishel falou
de alargar o seu raio
											de compreensão da ciência.
											Quando alargamos o nosso raio,
											não se trata de fazer um futuro melhor,
											mas de preservar a vida
tal como a conhecemos.
									","
											JMS: Greg Fishel sprach darüber,
dass er seinen Verständnisradius
											von der Wissenschaft erweitert hat.
											Wenn wir unseren Radius erweitern,
											geht es nicht darum,
eine bessere Zukunft zu erschaffen,
											sondern darum, das Leben,
wie wir es kennen, zu erhalten.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											JMS : Greg Fishel vient de parler
d'augmenter son rayon
											de compréhension scientifique.
											Quand nous augmentons notre rayon,
											il ne s'agit pas
de rendre l'avenir meilleur,
											mais de préserver la vie
telle que nous la connaissons.
											Alors que nous pensons à augmenter
notre rayon de compréhension scientifique,
											cela est crucial pour Athens, en Géorgie,
pour Atlanta, en Géorgie,
											pour l'État de Géorgie et pour le monde.
											Augmentez votre rayon.
									","
											Assim, quando pensamos em alargar
o nosso raio na compreensão da ciência,
											é fundamental para Atenas, na Geórgia,
para Atlanta, na Geórgia,
											para o estado da Geórgia
e para o mundo.
											Portanto, alarguem o vosso raio.
									","
											Denken Sie also daran,
											Ihren Wissenschafts-Verständnisradius
											zu vergrößern;
											es ist entscheidend für Athens, Georgia,
für Atlanta, Georgia,
											für den Staat von Georgia
und für die ganze Welt.
											Also vergrößern Sie Ihren Radius.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											Merci.
									","
											Obrigado.
									","
											Danke schön.
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
"
","
","
",3 kinds of bias that shape your worldview,J. Marshall Shepherd,12:21,"TEDx,climate change,science,culture,psychology,mind,personality"
