en,pt,es,tr,fr,de,title,speaker,duration,tags
"
											One such example of this is what
I'm showing here, called ""Galaxy Zoo.""
											Galaxy Zoo is a project
											where people get a 20-minute —
even less than that, actually — tutorial
											on how to interact
with these images of galaxies.
											They learn to annotate the images,
											and within a couple of minutes,
they're up and running,
											and they're making really
useful categorizations
											and classifications of these galaxies.
											Now, it's easy to understand
											why Galaxy Zoo would be an easy sell
for people to be involved with:
											it involves pretty pictures;
											galaxies are, generally
speaking, pretty attractive.
											However, there are many other flavors
of citizen science projects
											that people have delved into
											that have varying levels of abstraction,
											that you wouldn't necessarily think
people would jump at.
									","
											Um exemplo disso é o que estou a mostrar,
o chamado ""Galaxy Zoo"".
											O Galaxy Zoo é um projeto
											em que as pessoas recebem um tutorial
de 20 minutos — ou menos do que isso —
											sobre como interagir
com estas imagens de galáxias.
											Aprendem a comentar as imagens
											e em alguns minutos estão preparadas
											e a fazer categorizações 
bastante úteis
											bem como classificações destas galáxias.
											É fácil de entender
											porque é que as pessoas se envolvem
facilmente com Galaxy Zoo:
											tem imagens bonitas;
											as galáxias são, genericamente falando,
bastante atrativas.
											No entanto, há muitas outras formas
de projetos de ciência cidadã,
											que as pessoas analisaram
											e com diferentes níveis de abstração,
											que não se pensava
que as pessoas se poderiam interessar.
									","
											Un ejemplo es ""Galaxy Zoo"",
											un proyecto en el que los participantes
											aprenden a través de un tutorial
de 20 minutos, o menos,
											a interactuar con imágenes de galaxias.
											Aprenden a hacer anotaciones
sobre las imágenes,
											y en poco minutos
se ponen manos a la obra,
											haciendo categorizaciones
y clasificaciones de las galaxias
											que resultan sumamente útiles.
											Ahora bien, resulta fácil entender
											por qué Galaxy Zoo sería una invitación
tentadora para que la gente participe:
											ofrece imágenes bonitas;
											las galaxias, en general, son muy bellas.
											Pero los proyectos de ciencia ciudadana
tienen también otros atractivos
											que han seducido a los participantes.
											Son proyectos con 
distintos niveles de abstracción,
											de los que uno no pensaría 
ser de interés para el público.
									","
											Bunun bir örneği, şurada gösterdiğim,
""Galaksi Hayvanat Bahçesi"" adlı şey.
											Galaksi Hayvanat Bahçesi, insanların
											bu galaksi resimleriyle nasıl etkileşime
geçeceklerine dair 20 dakikalık — hatta
											daha az —
bir eğitim aldığı bir projedir.
											Resimlere not eklemeyi öğreniyorlar
											ve birkaç dakika içerisinde
düzgünce çalışabiliyorlar
											ve bu galaksileri
faydalı bir biçimde tanımlıyor
											ve sınıflandırıyorlar.
											Şimdi, Galaksi Hayvanat
											Bahçesi'nin, katılan insanlar için
neden kolay olduğu belli:
											güzel resimler içeriyor;
											galaksiler genelde
etkileyicidir, oldukça çekicidir.
											Ancak, insanların katıldığı vatandaş
bilim projelerinin diğer birçok
											lezzeti de vardır; insanların
											katılmayacağını düşüneceğiniz
											çeşitli soyutluk seviyeleri vardır.
									","
											Par exemple, le projet que
je montre ici, appelé « Galaxy Zoo ».
											Galaxy Zoo est un projet
											où des gens voient un tutoriel
de 20 minutes, voire moins,
											pour apprendre à comprendre
ces images de galaxies.
											Ils apprennent à annoter les images,
											et en quelques minutes,
ils sont prêts à travailler,
											ils réalisent des catégorisations
et classifications vraiment utiles
											de ces galaxies.
											Il est facile de comprendre
											pourquoi il serait facile de convaincre
des gens de s'impliquer dans Galaxy Zoo :
											il y a de belles images ;
											les galaxies sont, en général,
plutôt attrayantes.
											Mais il y a plein d'autres saveurs
de projets de science grand public
											dans lesquels des gens
se sont plongés
											et qui ont des niveaux
d'abstraction divers,
											dont on ne penserait pas
forcément qu'ils sont intéressants.
									","
											Ein Beispiel ist der ""Galaxie-Zoo"".
											Galaxie-Zoo ist ein Projekt
											mit einer 20-minütigen Einführung,
											wie man mit Bildern
von Galaxien interagiert.
											Sie lernen, Bilder zu annotieren
											und innerhalb weniger Minuten
können Sie anfangen.
											Sie machen nützliche Kategorisierungen
											und Klassifizierungen dieser Galaxien.
											Man versteht leicht,
											warum Galaxie-Zoo so attraktiv
für Menschen ist:
											Es enthält hübsche Bilder;
											Galaxien sind, generell, sehr attraktiv.
											Doch es gibt noch viele andere
Projekte der Bürgerwissenschaft,
											denen Menschen sich widmen,
											und die so unterschiedlich abstrakt sind,
											dass man nicht vermutet,
dass sich jemand dafür interessiert.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											One such example of this
is the citizen science project
											associated with the mission
that I'm part of,
											called the Kepler Mission.
											Kepler is a space telescope and it looks
for planets around other stars
											by measuring the light
from those stars very precisely.
											And we're looking for the dimmings
											caused by stars blocking off
some of that light.
											We have an associated citizen science
project called ""Planet Hunters.""
											Planet Hunters gives you,
like Galaxy Zoo, a short tutorial,
											and within a couple of minutes,
you're up and running;
											you're looking at data
from the Kepler Mission
											and looking for planets.
											The idea behind this
is an easy sell, right?
											But the actual process of planet-hunting
involves a lot of looking at graphs,
											like the one I'm showing you here,
and annotating them.
											I do this all day and that doesn't even
sound that interesting to me.
											However, not only are people
interested in doing this,
											but the citizen scientists
that work with Planet Hunters
											have actually found planets in the data
											that would have gone
undiscovered otherwise.
									","
											Um exemplo disto
é o projeto de ciência cidadã
											associado a uma missão
de que eu faço parte,
											chamada Missão Kepler.
											O Kepler é um telescópio espacial
que procura planetas à volta das estrelas
											através da medição muito precisa
da luz dessas estrelas.
											Estamos à procura de zonas escurecidas
											causadas pelo bloqueamento
dessa luz pelas estrelas.
											Temos um projeto de ciência cidadã
asoociado que se chama ""Planet Hunters"".
											O Planet Hunters dá-vos, tal como
o Galaxy Zoo, um pequeno tutorial
											e em poucos minutos estão preparados;
											estão a observar informações
da Missão Kepler
											e à procura de planetas.
											A ideia por detrás disto
é fácil de vender, certo?
											Mas o processo em si de procurar planetas
envolve muito observar gráficos,
											como este que vos estou a mostrar,
e comentá-los.
											Eu faço isto o dia todo
e nem a mim me soa interessante.
											No entanto, não só há pessoas 
interessadas em fazer isto,
											mas os cientistas cidadãos
que trabalham com o Planet Hunters
											encontraram mesmo planetas
nessas informações
											que teriam passado despercebidos
de outro modo.
									","
											Un ejemplo es el proyecto 
de ciencia ciudadana
											asociado a la misión
de la que formo parte:
											la Misión Kepler.
											Kepler es un telescopio espacial
en busca de planetas
											que giran alrededor de otras estrellas,
											midiendo de manera muy precisa
la luz que emiten esas estrellas.
											Nuestro objetivo es detectar 
las disminuciones que se producen
											en la intensidad de la luz cuando
las estrellas bloquean parte de esa luz.
											Hemos incorporado un proyecto 
de ciencia ciudadana
											llamado ""Planet Hunters""
[Cazadores de planetas].
											Este proyecto, al igual que Galaxy Zoo,
ofrece un breve tutorial
											que en unos minutos
capacita al interesado
											en la observación de los datos
recogidos por la Misión Kepler
											y en la búsqueda de planetas.
											La idea de este proyecto
es realmente tentadora.
											Pero el proceso de búsqueda de planetas
											supone un análisis
pormenorizado de gráficos,
											como se ve en esta imagen,
que deben ser anotados.
											Yo hago esta tarea a diario
y no la veo particularmente interesante.
											(Risas)
											Sin embargo, esta actividad no sólo
es de interés para los participantes,
											sino para los científicos aficionados
de Planet Hunters
											quienes han logrado encontrar 
planetas a partir de los datos
											que de otra manera 
habrían pasado inadvertidos.
									","
											Bunun bir örneği de, benim de dâhil
olduğum, Kepler Görevi adlı
											bir vatandaş
											bilim projesi.
											Kepler bir uzay teleskobu ve
yıldızların ışıklarını tam olarak
											ölçerek, yıldızların etrafındaki
gezegenleri arıyor.
											Bizler de bu ışığın bir kısmını
											engelleyen yıldızlar sayesinde
oluşan karanlıkları arıyoruz.
											""Gezegen Avcıları"" adlı ortak bir
vatandaş bilim projemiz var.
											Tıpkı Galaksi Hayvanat Bahçesi gibi,
Gezegen Avcıları da size birkaç dakikalık
											bir eğitim veriyor, siz de çalışıyorsunuz;
											Kepler Görevi'nin verilerine bakarak
											gezegen arıyorsunuz.
											Bunun ardındaki fikir kolay, değil mi?
											Fakat gerçek gezegen avcılığı süreci,
çok fazla grafiğe bakmayı gerektiriyor,
											burada size gösterdiğim gibi
ve notlar eklemeyi gerektiriyor.
											Bunu bütün gün yapıyorum ve
bu bana o kadar da ilginç gelmiyor.
											Ancak, yalnızca bunu yapmakla
ilgilenen insanlar değil, aynı zamanda
											Gezegen Avcıları ile çalışan
vatandaş bilim insanları da,
											verilerde aksi takdirde keşfedilemeyecek

											gezegenler buldular.
									","
											Un exemple de cela
est le projet de science grand public
											associé à la mission dont je fais partie,
la mission Kepler.
											Kepler est un télescope spatial cherchant
des planètes autour d'autres étoiles
											en mesurant précisément
la lumière issue de ces étoiles.
											Nous cherchons les atténuations
											causées par les étoiles bloquant
une partie de cette lumière.
											Nous avons un projet de science
grand public associé, « Planet Hunters ».
											Planet Hunters vous propose,
comme Galaxy Zoo, un court tutoriel
											et après quelques minutes,
vous êtes prêts à commencer ;
											vous regardez les données
de la mission Kepler
											et cherchez des planètes.
											L'idée derrière cela
est facile à vendre, n'est-ce pas ?
											Mais le processus de recherche de planètes
											implique de regarder
beaucoup de graphiques
											comme celui que je vous montre ici,
et de les annoter.
											Je fais ça toute la journée et même
à moi, ça ne semble pas très intéressant.
											Cependant, des gens sont non seulement
intéressés pour le faire,
											mais les scientifiques grand public
travaillant avec Planet Hunters
											ont découvert des planètes
dans les données
											qui n'auraient pas été
découvertes autrement.
									","
											Ein Beispiel ist ein Projekt
der Bürgerwissenschaft,
											das mit einer Mission zu tun hat,
an der auch ich beteiligt bin.
											Die Mission von Kepler.
											Kepler ist ein Weltraumteleskop,
das nach Planeten um andere Sterne sucht,
											indem es das Licht dieser Sterne
sehr genau misst.
											Wir suchen nach der Trübung,
											die von Sternen verursacht wird,
die dieses Licht blockieren.
											Die ""Planetenjäger"" sind ein zugehöriges
Projekt der Bürgerwissenschaft.
											Planetenjäger gibt Ihnen,
wie Galaxie-Zoo, eine Einführung,
											und innerhalb weniger Minuten
können Sie loslegen;
											Sie sehen sich Daten der Kepler-Mission an
											und suchen nach Planeten.
											Diese Idee klingt interessant, oder?
											Tatsächlich müssen dabei
											viele Graphen wie dieser
gesichtet und annotiert werden.
											Ich mache das den ganzen Tag
und es klingt wenig spannend für mich.
											Doch Menschen sind nicht nur interessiert;
											die Bürgerwissenschaftler,
die mit den Planetenjägern arbeiten,
											haben tatsächlich Planeten
in den Daten gefunden,
											die sonst unentdeckt geblieben wären.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											This is an author list
from the paper that they published
											of the planet they discovered.
											You'll see that all the people
who contributed are listed below,
											and it's sort of an odd amalgam
of people's real names
											and their log-in names.
											You'll notice if you look carefully,
this is the first academic acknowledgment
											of the importance of Irish coffee
in the discovery process.
									","
											Isto é uma lista de autores
do artigo que publicaram
											do planeta que descobriram.
											Verão que todas as pessoas
que contribuíram estão listadas
											e é uma espécie de uma amálgama
estranha de nomes reais de pessoas
											e dos seus nomes de utilizadores.
											Notarão, se observarem atentamente,
que é o primeiro reconhecimento académico
											com a importância do café Irlandês
no processo de descoberta.
									","
											Esta es una lista de los autores
que publicaron el trabajo
											sobre el planeta que descubrieron.
											Y todas las personas
que contribuyeron figuran abajo,
											dando lugar a una rara amalgama

											entre los nombres reales de las personas
y sus nombres de usuario.
											Si lo piensan detenidamente, este es 
el primer reconocimiento académico
											de la importancia del café irlandés
en el proceso de descubrimiento.
									","
											Bu, keşfettikleri gezegen hakkında
yayınladıkları makaleden
											bir yazar listesi.
											Katkıda bulunan herkesin
burada listelendiğini görüyorsunuz
											ve bu, insanların gerçek isimleri
ile sistemdeki isimlerinin
											garip bir karışımından oluşuyor.
											Dikkatli bakarsanız, keşif sürecindeki
İrlanda kahvelerinin önemine dair
											ilk akademik teyit
olduğunu görebilirsiniz.
									","
											Voici la liste des auteurs
de la publication
											sur la planète qu'ils ont découverte.
											Toutes les personnes
ayant contribué sont listées
											et c'est un amalgame étrange de vrais
noms de gens et de leurs identifiants.
											Vous remarquerez que c'est
la première reconnaissance académique
											sur l'importance de l'Irish coffee
dans le processus de découverte.
									","
											Dies ist eine Autorenliste
eines veröffentlichten Papiers
											des gefundenen Planeten.
											Alle Menschen, die beteiligt waren,
sind unten aufgelistet,
											und es ist eine merkwürdige Mischung
aus ihren echten Namen
											und ihren Login-Namen.
											Bei genauer Betrachtung wird hier
erstmalig die Wichtigkeit von Kaffee
											bei Entdeckungen akademisch anerkannt.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Lachen)
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											I don't want to give you the idea
that these are some out-of-work scientists
											or just a bunch of nerds
that are really into this.
											There are 60,000 people
who participate in these projects,
											and most of them don't have
technical backgrounds.
											So clearly, what this is feeding into
is people's curiosity
											and their willingness to be part
of the scientific discovery process.
											People want to do this.
									","
											Não vos quero dar a impressão
que são cientistas desempregados
											ou só um grupo de ""nerds""
que estão interessados nisto.
											São 60 000 pessoas
que participam nestes projetos
											e a maior parte delas
não tem formação técnica.
											Claramente, isto está a alimentar
a curiosidade das pessoas
											e a sua vontade de fazerem parte
do processo de descoberta científica.
											As pessoas querem fazer isto.
									","
											No quiero insinuar que estas personas
son científicos desempleados
											o un grupo de nerds a quienes
les interesó este tema.
											Hay 60 mil participantes en este proyecto,
											la mayoría de los cuales no tiene
formación técnica.
											Queda claro, entonces, que este proyecto
se alimenta de la curiosidad de la gente
											y del interés por participar en el proceso
del descubrimiento científico.
											La gente quiere hacerlo.
									","
											Bunların bazı işsiz bilim insanları
ya da bu işle ilgilenen bir takım
											manyaklar olduğu fikrini
oluşturmak istemiyorum.
											Bu projelere katılan 60,000 insan var
											ve çoğunun da teknik özgeçmişi yok.
											Açıkçası, insanları bu işe sokan
şey, insanların merakı ve bilimsel keşif
											sürecinin bir parçası olma istekleri.
											İnsanlar bunu yapmak istiyor.
									","
											Je ne veux pas que vous pensiez
que ce sont des scientifiques au chômage
											ou juste quelques intellos passionnés.
											Il y a 60 000 personnes
qui participent à ces projets
											et la plupart n'ont même pas
de formation technique.
											Clairement, cela se nourrit
de la curiosité des gens
											et de leur volonté à prendre part
au processus de découverte scientifique.
											Les gens veulent le faire.
									","
											Sie sollen nicht denken, dass dies hier
brotlose Wissenschaftler sind
											oder nur ein Haufen Nerds,
die das alles super finden.
											60.000 Menschen nehmen
an diesen Projekten teil
											und viele von ihnen
ohne technischen Hintergrund.
											Es füttert die menschliche Neugierde
											und die Bereitschaft, Teil dieses
wissenschaftlichen Prozesses zu werden.
											Menschen wollen das.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											But all of this technology
											and all these digitally mediated ways
of experiencing the sky
											still have something of a feel to me
like looking at an animal in a zoo.
											It's a valid way
of experiencing that thing —
											indeed, the lion in the cage
is still real,
											the Hubble images are indeed real,
											and you can get closer to a lion in a zoo
than you can in the wild.
											However, it's missing something.
											It's missing that savage beauty
											of experiencing that very thing
in the wild for yourself,
											unmediated by a screen.
									","
											Mas toda esta tecnologia
											e todas estas formas digitalmente mediadas
de experienciar o céu
											ainda me parecem como ver
um animal num jardim zoológico.
											É uma forma válida de experienciar isso...
											de facto, o leão na jaula ainda é real,
											as imagens do Hubble são, de facto, reais
											e podemos aproximar-nos mais do leão 
no jardim zoológico do que na selva.
											No entanto, falta-nos alguma coisa.
											Falta-nos aquela beleza feroz
											de experienciar aquilo mesmo,
na selva, por nós próprios,
											sem um ecrã pelo meio.
									","
											Pero toda esta tecnología
											y todos estos medios digitales
para estudiar el cielo
											aún me dan la sensación de estar
observando animales en el zoológico.
											Es un medio válido de experimentarlo;
											de hecho, el león en la jaula
siendo siendo real,
											las imágenes del Hubble son reales,
											y podemos estar más cerca de un león
en un zoológico que en su hábitat natural.
											Pero algo está faltando:
											esa belleza salvaje de vivir
la experiencia
											en el entorno natural, de primera mano,
sin que medie una pantalla.
									","
											Fakat gökyüzü keşfi konusunda
											tüm bu teknoloji ve tüm bu
dijital yollar bende hâlâ hayvanat
											bahçesinde bir hayvana
bakıyormuş hissi uyandırıyor.
											Bu, o şeyi tecrübe
etmenin mantıklı bir yolu —
											aslında, kafesteki aslan hâlâ gerçek,
											Hubble görüntüleri de gerçek
											ve hayvanat bahçesindeki aslana, vahşi
doğadakinden daha fazla yaklaşabilirsiniz.
											Ancak, bir şey eksik.
											O şeyi vahşi doğasında,
											arada bir ekran olmadan
kendi kendinize tecrübe etmenin
											vahşi güzelliği eksik.
									","
											Mais toute cette technologie
											et ces moyens numériques
de découvrir le ciel
											me rappellent l'émotion ressentie
à la vision d'un animal dans un zoo.
											C'est une façon valide
de découvrir quelque chose :
											le lion dans la cage est réel,
les images de Hubble sont réelles,
											et vous pouvez voir le lion de plus près
au zoo que dans la nature.
											Cependant, il manque quelque chose.
											Il manque la beauté sauvage
											de la découverte de cette même chose
dans la nature par vous-même,
											pas à travers un écran.
									","
											Doch diese ganze Technik
											und all diese digital geleiteten Wege,
den Himmel zu entdecken,
											fühlen sich für mich an,
als würde man ein Tier im Zoo sehen.
											Es ist ein berechtigter Weg,
die Dinge so zu erleben —
											der Löwe im Käfig ist immerhin lebendig,
											die Hubble-Bilder sind wirklich echt,
											und Sie können sich einem Löwen im Zoo
mehr nähern als einem wilden Löwen.
											Doch etwas fehlt.
											Es fehlt diese wilde Schönheit,
											genau das in der Wildnis selbst zu erleben
											und nicht vor einem Bildschirm.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											The experience of looking up
											and knowing that the sky you're looking at
surrounds every known living thing
											in the universe
											is very profound.
											Think about that for a moment.
											We are the only planet we know of
that has life on it.
											The sky that you see is shared
by every other living thing
											that we know of in existence.
											One of the things
that I really like about my work
											is that it allows me to step back
from my every day
											and to experience the larger context,
											this feeling that just as we go out
and try to find planets in the universe
											that might be like ours,
											it always reminds me
of how precious what we have here is.
											Our night sky is like a natural resource,
											it's as though it's a park
that you can visit
											without ever having to travel there.
											But like any natural resource,
											if we don't protect it,
if we don't preserve it and treasure it,
											it will slip away from us and be gone.
									","
											A experiência de olhar para cima
											e saber que o céu para onde olhamos
											rodeia cada ser vivo conhecido do universo
											é muito profunda.
											Reflitam nisso por um momento.
											Somos o único planeta
que sabemos que tem vida.
											O céu que vemos é partilhado 
por todos os seres vivos
											que sabemos existirem.
											Uma das coisas de que gosto mesmo
no meu trabalho
											é que me permite afastar-me
do meu dia-a-dia
											e experienciar o contexto mais amplo,
											a sensação de tentar descobrir
planetas no universo
											que possam ser como o nosso,
											lembra-me sempre
de quão precioso é o que nós temos.
											O nosso céu noturno 
é como um recurso natural,
											é como se fosse um parque
que podemos visitar
											sem termos de viajar até lá.
											Mas tal como qualquer recurso natural,
											se não o protegermos,
se não o preservarmos e valorizarmos,
											vai-nos fugir e desaparecer.
									","
											La experiencia de mirar al cielo
											y de saber que ese cielo rodea 
todo ser viviente conocido en el universo
											es muy profunda.
											Detengámonos a pensar un segundo.
											Somos el único planeta conocido
en donde hay vida.
											El cielo que vemos es compartido
por todos los otros seres vivos
											de existencia conocida.
											Una de las cosas que más
me gusta de mi trabajo
											es que me permite tomar distancia
de la vida cotidiana
											y percibir un contexto más amplio.
											Siento que cuando exploramos
el universo en busca de planetas
											que pueden parecerse al nuestro,
											me doy cuenta de cuán valioso
es lo que tenemos aquí.
											Nuestro cielo nocturno es 
como un recurso natural,
											como un parque que se puede visitar
											sin necesidad de viajar para estar allí.
											Pero, como todo recurso natural,
											si no lo protegemos, si no lo
conservamos y valoramos,
											se escurrirá y desaparecerá.
									","
											Yukarıya bakmak ve baktığınız
											gökyüzünün, evrende var olduğu
bilinen her şeyi kuşattığını bilmek
											çok derin
											bir bilgidir.
											Bunu biraz düşünün.
											Üzerinde yaşam olduğunu
bildiğimiz tek gezegen biziz.
											Gördüğünüz gökyüzünü, var
olduğunu bildiğimiz her diğer canlı ile
											paylaşıyoruz.
											İşim hakkında gerçekten
sevdiğim şeylerden birisi,
											günlük yaşamında bir adım
geriye çekilmemi ve daha geniş
											bir kapsamda tecrübe etmemi sağlaması;
											evrende bizimkine benzeyen
gezegenler bulmaya çalışırken hissettiğim
											duygu,
											bana hep burada sahip olduğumuz şeyin
ne kadar değerli olduğunu hatırlatıyor.
											Gece göğü, doğal bir kaynak gibi,
											oraya seyahat etmek zorunda
kalmadan ziyaret edebileceğiniz
											bir park gibi.
											Fakat diğer tüm kaynaklar gibi,
											eğer onu da korumazsak,
muhafaza etmez ve değerini bilmezsek,
											elimizden kayıp gidecek.
									","
											Le fait de lever la tête
											et de savoir que le ciel que vous regardez
											entoure toutes les créatures
vivant dans l'univers
											est très profond.
											Pensez à cela un instant.
											Nous sommes la seule
planète connue abritant la vie.
											Le ciel que vous voyez
est le même que celui vu
											par toute les autres créatures vivantes
dont nous connaissons l'existence.
											L'une des choses que j'aime
dans mon travail
											est qu'il me permet de prendre du recul
par rapport à mon quotidien
											et de découvrir le contexte plus large,
											ce sentiment que lorsque nous essayons
de découvrir dans l'univers
											des planètes pouvant être comme la nôtre,
											cela me rappelle toujours
combien ce que nous avons est précieux.
											Notre ciel nocturne
est comme une ressource naturelle,
											comme un parc que vous pouvez visiter
sans jamais avoir à vous y rendre.
											Mais comme toute ressource naturelle,
											si nous ne la protégeons pas,
ne la préservons pas,
											ne la chérissons pas,
											elle nous échappera et disparaîtra.
									","
											Die Erfahrung hochzusehen
											und zu wissen, dass dieser Himmel
alles bekannte Leben umgibt
											im Universum,
											ist tief gehend.
											Denken Sie darüber nach.
											Wir sind der einzige Planet,
von dem wir wissen, dass er Leben enthält.
											Den Himmel, den Sie sehen,
teilen Sie mit allen lebenden Dingen,
											von denen wir wissen.
											Etwas, was ich an meiner Arbeit sehr mag,
											ist, dass ich von meinem Alltag
Abstand nehmen
											und den größeren Kontext erleben kann.
											Das Gefühl, herauszugehen
und neue Planeten zu finden,
											die wie unserer sein könnten,
											erinnert mich immer wieder daran,
wie wertvoll das ist, was wir haben.
											Unser Nachthimmel
ist wie eine natürliche Ressource,
											wie ein Park, den Sie besuchen können,
											ohne jemals dorthin reisen zu müssen.
											Doch wie jede natürliche Ressource
											wird er uns entgleiten und verschwinden,
											wenn wir ihn nicht beschützen,
erhalten und wertschätzen.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											So if you're interested in this,
											and this is something
you want to learn more about,
											I encourage you in particular
to visit darksky.org
											and to learn more
about the choices you can make
											that can protect the dark night sky,
											because it belongs to everyone,
it belongs to all of us,
											and therefore, it's ours
to experience as we wish.
											And it's also ours to lose.
									","
											Então, se estiverem interessados nisto
											e é algo que querem aprender mais,
											incentivo-vos a visitar 
particularmente darksky.org
											e aprender mais
sobre as escolhas que podem fazer
											que protegem o escuro céu noturno,
											porque ele pertence 
a toda a gente, a todos nós
											e, por isso, é nosso
para o experienciarmos como queremos.
											E também é nosso para o perdermos.
									","
											Si están interesados
											y desean tener más información,
											los invito a ingresar la web 
darksky.org
											para aprender más sobre
las posibilidades que tenemos
											de proteger el cielo oscuro de noche,
											porque pertenece a todos,
nos pertenece,
											y por lo tanto, de nosotros depende
disfrutarlo como queramos.
											Y también de nosotros
depende el perderlo.
									","
											Yani, eğer bununla ilgileniyorsanız
											ve eğer hakkında daha fazla şey
öğrenmek istiyorsanız,
											özellikle darksky.org adresini
ziyaret etmenizi ve gece göğünü
											korumak için yapabileceğiniz
seçimler hakkında
											daha çok şey öğrenmenizi tavsiye ediyorum,
											çünkü bu herkese ait,
bu her birimize ait
											ve dolayısıyla, dilediğimiz gibi
tecrübe etmek de bize bağlı.
											Ayrıca kaybetmek de bize bağlı.
									","
											Si cela vous intéresse
et que vous voulez en apprendre plus,
											je vous encourage
à vous rendre sur darksky.org
											et à en apprendre plus
sur les choix à faire
											pour protéger le ciel nocturne noir
											car il appartient à tout le monde,
il appartient à nous tous
											et, de ce fait, nous pouvons
le découvrir comme nous voulons.
											Nous pouvons aussi le perdre.
									","
											Wenn Sie sich dafür interessieren
											und Sie mehr darüber erfahren wollen,
											ermutige ich Sie, darksky.org zu besuchen
											und mehr darüber zu erfahren,

											wie Sie den dunklen Nachthimmel
beschützen können.
											Er gehört uns allen
											und wir können ihn erleben,
wie wir es wünschen.
											Doch wir können ihn auch verlieren.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											Thank you.
									","
											Obrigada.
									","
											Gracias.
									","
											Teşekkürler.
									","
											Merci.
									","
											Danke.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Applaudissements)
									","
											(Applaus)
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
