en,fr,de,tr,es,title,speaker,duration,tags
"
											So if you were a scientist
trying to cure this disease,
											at what point would you ideally
want to intervene?
											Many scientists are betting big
on the simplest solution:
											keep amyloid plaques
from reaching that tipping point,
											which means that drug discovery is largely
focused on developing a compound
											that will prevent, eliminate, or reduce
amyloid plaque accumulation.
											So the cure for Alzheimer's will likely be
a preventative medicine.
											We're going to have to take this pill
before we reach that tipping point,
											before the cascade is triggered,
											before we start leaving
our keys in the refrigerator.
											We think this is why, to date,
these kinds of drugs have failed
											in clinical trials —
											not because the science wasn't sound,
											but because the people in these trials
were already symptomatic.
											It was too late.
											Think of amyloid plaques as a lit match.
											At the tipping point, the match
sets fire to the forest.
											Once the forest is ablaze,
											it doesn't do any good
to blow out the match.
											You have to blow out the match
before the forest catches fire.
									","
											Si vous étiez un scientifique
essayant de traiter cette maladie,
											à quel moment voudriez-vous
idéalement intervenir ?
											Beaucoup de scientifiques parient gros
sur la solution la plus simple :
											empêcher les plaques amyloïdes
d'atteindre le seuil critique.
											La recherche d'un traitement se concentre
sur le développement d'un composant
											qui évitera, éliminera ou réduira
l'accumulation de plaques amyloïdes.
											Le traitement d'Alzheimer
sera probablement préventif.
											Nous devrons prendre cette pilule
avant d'atteindre le seuil critique,
											avant que la cascade ne soit déclenchée,
											avant de laisser nos clés dans le frigo.
											Nous pensons que c'est pour cela
que, jusqu'ici, les médicaments ont échoué
											lors des essais cliniques —
											non pas que la science
n'était pas bien fondée
											mais parce que les gens dans ces essais
présentaient déjà des symptômes.
											C'était trop tard.
											Voyez les plaques amyloïdes
comme une allumette en feu.
											Au seuil critique,
l'allumette met le feu à la forêt.
											Une fois la forêt en feu,
											cela ne sert plus à rien
d'éteindre l'allumette.
											Il faut éteindre l'allumette
avant que la forêt ne prenne feu.
									","
											Wären Sie ein Wissenschaftler, 
der die Krankheit heilen will,
											an welchem Punkt würden Sie 
idealerweise eingreifen?
											Viele Wissenschaftler schwören 
auf die einfachste Lösung:
											Verhindern, dass die Amyloid-Plaques 
den kritischen Punkt erreichen,
											was bedeutet, dass ein Medikament 
entwickelt werden soll,
											das Plaqueanhäufung vorbeugen, 
reduzieren oder eliminieren kann.
											Die Alzheimerbehandlung wird also
Thema der Präventivmedizin sein.
											Wir werden die Tablette nehmen müssen, 
bevor der Wendpunkt erreicht ist
											und die Kaskade ausgelöst wird.
											Bevor wir unsere Schlüssel
im Kühlschrank wiederfinden.
											Das ist der Grund, warum,
Studien zufolge, alle Medikamente
											in klinischen Tests gescheitert sind –
											nicht weil die Forschung 
nicht einwandfrei war,
											sondern weil die Menschen in diesen 
Versuchen schon Symptome gezeigt haben.
											Es war zu spät.
											Denken Sie bei Amyloid-Plaques 
an ein brennendes Streichholz.
											Am kritischen Punkt setzt das 
Streichholz den Wald in Flammen.
											Wenn der Wald einmal brennt,
											nützt es nichts mehr,
das Streichholz auszupusten.
											Sie müssen das Streichholz auspusten, 
bevor es zum Waldbrand kommt.
									","
											Bu hastalığı tedavi etmek isteyen
bir bilim insanı iseniz
											hangi aşamada müdahale
etmeniz ideal olur?
											Birçok bilim insanı en basit
çözüm üstünde duruyor:
											Amiloid plakalarının bu doyma
noktasına ulaşmasını engellemek.
											Bu da ilaç buluşlarının büyük ölçüde,
amiloid plaklarının yoğunlaşmasını
											önleyecek bir bileşimin bulunmasına
odaklanması anlamına geliyor.
											Yani, Alzheimer'ın çaresi 
muhtemelen önleyici tıp olacaktır.
											Bu ilacı bu doyma noktasına
ulaşmadan önce,
											katlı yığılma başlamadan önce,
											anahtarı buzdolabında unutmadan
önce kullanmaya başlamalıyız.
											Bunun, klinik deneylerde, bu tür ilaçların
bugüne kadar başarısız olmalarının
											nedeni olduğunu düşünüyoruz.
											Araştırmaların güvenilir
olmadığı için değil,
											bu deneylerdeki deneklerin zaten
bu belirtilere sahip olması yüzünden.
											Artık çok geç olduğundan.
											Amiloid plaklarını bir kibriti
çakmak gibi düşünün.
											Doyma noktasında kibrit
ormanı ateşe verir.
											Orman bir kere tutuştuğunda,
											kibriti söndürmek bir işe yaramaz.
											Kibriti, orman yanmaya başlamadan
söndürmeniz gerekir.
									","
											Así que si Ud. fuera un científico
tratando de curar esta enfermedad,
											idealmente ¿en qué momento intervendría?
											Muchos científicos apuestan
a la solución más simple:
											evitar que las placas amiloides
lleguen a ese punto crítico,
											lo que significa que futuras medicinas
se enfocarán en desarrollar un compuesto
											que prevenga, elimine o reduzca
la acumulación de placas amiloides.
											Es probable que la cura del alzhéimer
sea una medicina preventiva.
											Vamos a tener que tomar esta píldora
antes de llegar a ese punto crítico
											antes de desencadenar la cascada,
											antes de empezar a dejar
las llaves en el refrigerador.
											Pensamos que es por esto que, hasta ahora,
este tipo de medicina ha fallado
											en las pruebas clínicas...
											no porque la ciencia no estuviera correcta
											sino porque las personas en estas pruebas
ya experimentaban los síntomas.
											Ya era muy tarde.
											Imagínense que las placas amiloides
son como un fósforo.
											En el punto crítico, el fósforo
incendia el bosque.
											Una vez que el bosque está en llamas,
											no sirve de nada
apagar el fósforo.
											Hay que apagar el fósforo
antes de que se incendie el bosque.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											Even before scientists sort this out,
											this information is actually
really good news for us,
											because it turns out that the way we live
can influence the accumulation
											of amyloid plaques.
											And so there are things we can do
											to keep us from reaching
that tipping point.
									","
											Avant que les scientifiques
n'y parviennent,
											cette information demeure
une bonne nouvelle pour nous
											car il s'avère que notre façon de vivre
peut influencer l'accumulation
											de plaques amyloïdes.
											Nous pouvons donc agir
											pour nous empêcher d'atteindre
ce seuil critique.
									","
											Noch bevor Wissenschaftler das regeln,
											ist diese Information eine 
wirklich gute Nachricht für uns,
											weil unser Lebensstil die Anhäufung
von Amyloid-Plaques beeinflussen kann.
											Wir können selbst etwas tun,
											um das Erreichen des 
Kipppunktes zu verhindern.
									","
											Bilim adamları bunu çözmeden önce dahi
											bu bilgi bizim için çok iyi bir haberdir
											çünkü artık yaşam biçimimizin amiloid
plak birikmesini etkileyebileceğini
											biliyoruz.
											Yani bu doyma noktasına
											gelmemizi önlemek için
bir şeyler yapabiliriz.
									","
											Aun sin una solución científica,
											esta información nos da
muy buenas noticias,
											ya que nuestros estilos de vida
influyen en la acumulación
											de placas amiloides.
											Hay cosas que podemos hacer
											para evitar llegar a ese punto crítico.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											Let's picture your risk
of Alzheimer's as a see-saw scale.
											We're going to pile
risk factors on one arm,
											and when that arm hits the floor,
you are symptomatic
											and diagnosed with Alzheimer's.
											Let's imagine you're 50 years old.
											You're not a spring chicken anymore,
											so you've accumulated
some amyloid plaques with age.
											Your scale is tipped a little bit.
									","
											Visualisons votre risque d'Alzheimer
comme étant une balançoire.
											Les facteurs de risque
s'empilent d'un côté
											et quand ce côté touche le sol,
vous êtes symptomatique
											et diagnostiqué comme ayant Alzheimer.
											Imaginez que vous ayez 50 ans.
											Vous n'êtes plus tout jeune,
											vous avez accumulé
des plaques amyloïdes avec l'âge.
											Votre balançoire penche un peu.
									","
											Stellen wir uns das Alzheimerrisiko, 
bildlich, als Wipp-Skala vor.
											Wir stapeln Risikofaktoren auf einem Arm
											und wenn dieser den Boden erreicht, 
zeigen Sie Symptome
											und werden mit Alzheimer diagnostiziert.
											Stellen wir uns vor, 
Sie seien 50 Jahre alt.
											Sie sind kein junger Hüpfer mehr,
											also haben sich, durch das Altern, 
Amyloid-Plaques angehäuft.
											Ihre Waage ist leicht gekippt.
									","
											Alzheimer riskinizi bir
terazide resmedelim.
											Risk faktörlerinizi bir kola yığacağız

											ve kol yere değdiğinde,
belirtilerini gösterip
											Alzheimer teşhisi konulacak.
											Farz edelim ki 50 yaşındasınız.
											Artık genç değilsiniz,
											yani yaşınızla birlikte biraz
amiloid plakaları biriktirdiniz.
											Terazi biraz oynadı.
									","
											Visualicemos su riesgo de alzhéimer
como un balancín.
											Vamos a acumular los riesgos
en un lado,
											y cuando ese lado toque el piso,
exhiben los síntomas
											y se les diagnosticará con alzhéimer.
											Imaginen que tiene 50 años.
											Ya no son jovenzuelos,
											así que han acumulado
algunas placas amiloides con la edad.
											Su balancín se inclina un poco.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											Now let's look at your DNA.
											We've all inherited our genes
from our moms and our dads.
											Some of these genes will increase our risk
and some will decrease it.
											If you're like Alice in ""Still Alice,""
											you've inherited a rare genetic mutation
that cranks out amyloid beta,
											and this alone will tip
your scale arm to the ground.
											But for most of us, the genes we inherit
will only tip the arm a bit.
											For example, APOE4 is a gene variant
that increases amyloid,
											but you can inherit a copy of APOE4
from mom and dad
											and still never get Alzheimer's,
											which means that for most of us,
											our DNA alone does not determine
whether we get Alzheimer's.
											So what does?
											We can't do anything about getting older
or the genes we've inherited.
											So far, we haven't changed
our brain's destiny.
									","
											Considérons votre ADN.
											Nous avons tous hérité nos gènes
de notre mère et notre père.
											Certains augmenteront vos risques,
d'autres les diminueront.
											Si vous êtes comme Alice
dans « Still Alice »,
											vous avez hérité
d'une mutation génétique rare
											qui augmente la production
de bêta-amyloïde
											et cela seul fera basculer
la balançoire jusqu'au sol.
											Mais pour la plupart d'entre nous,
											les gènes hérités
ne la feront qu'un peu basculer.
											Par exemple, APOE4 est une variante
du gène qui augmente l'amyloïde
											mais vous pouvez hériter d'une copie
d'APOE4 de votre mère et père
											et pourtant ne jamais avoir Alzheimer.
											Pour la plupart d'entre nous,
											notre ADN seul ne détermine pas
si nous aurons Alzheimer.
											Qu'est-ce qui est déterminant ?
											Nous ne pouvons pas agir
sur le vieillissement, les gènes hérités.
											Jusqu'ici, nous n'avons pas changé
le destin de notre cerveau.
									","
											Jetzt betrachten wir Ihre DNS.
											Wir erben alle unsere Gene 
von unseren Müttern und Vätern.
											Manche Gene erhöhen das Risiko 
und andere verringern es.
											Wenn Sie wie Alice in ""Still Alice"" sind,
											haben Sie eine seltene Genmutation 
geerbt, die Amyloid-Beta ankurbelt
											und allein das wird die Waagschale 
bis zum Boden kippen lassen.
											Bei den meisten werden die geerbten Gene
die Waage nur ein bisschen kippen lassen.
											Zum Beispiel erhöht
das Gen APOE4 das Amyloid,
											aber Sie können eine Kopie des APOE4 
vom Vater und der Mutter erben
											und trotzdem niemals 
an Alzheimer erkranken,
											d.h. für die meisten von uns
											bestimmt nicht allein die DNS, 
ob wir Alzheimer bekommen.
											Worauf kommt es also an?
											Wir können nichts gegen das Altern, 
oder gegen die ererbten Gene tun.
											Bis jetzt haben wir das Schicksal 
unseres Gehirns nicht verändert.
									","
											Şimdi DNA'nıza bakalım.
											Hepimiz genlerimizi anne ve
babalarımzıdan alırız.
											Bu genlerin bazıları riskimizi
yükseltir, bazıları da azaltır.
											Eğer ''Still Alice'' 
(Unutma Beni) filmindeki
											Alice iseniz amiloid beta yığılmasına
yol açan çok nadir bir gen mutasyonu
											miras aldınız demek ve sadece bu bile
terazinin kolunu yere değdirecek.
											Ancak çoğumuzun genleri
kolu sadece biraz oynatır.
											Örneğin, APOE4 amiloidi artıran
bir gen çeşididir ancak
											anne ve babadan sadece bir
kopya APOE4 alabilirsiniz ve
											hâlâ Alzheimer'a hiç 
yakalanmayabilirsiniz,
											bu da birçoğumuz için,
											sadece DNA'ların Alzheimer
olmamızı etkilememesi demektir.
											Peki ne etkiler?
											Yaşlanmak ya da kalıtımımızla
ilgili elimizden bir şey gelmez.
											Şimdiye kadar beynimizin
kaderini değiştiremedik.
									","
											Ahora miremos su ADN.
											Todos heredamos genes
de nuestros padres.
											Algunos genes aumentan el riesgo
y otros lo disminuyen.
											Si eres como Alice en ""Siempre Alice"",
											heredaron una mutación genética rara
que produce el beta amiloide,
											y esto solo inclinará
su balancín hacia el piso.
											Para la mayoría de nosotros, los genes
que heredamos solo lo inclinan un poco.
											Por ejemplo, APOE4 es un gen variante
que aumenta el beta amiloide,
											pero pueden heredar una copia de APOE4
de papá y mamá
											y nunca contraer alzhéimer,
											lo que significa que para muchos,
											nuestro ADN no es lo único que determina
si contraeremos alzhéimer.
											Así que, ¿qué lo determina?
											No podemos hacer nada contra el envejecer
o los genes que heredamos.
											Hasta ahora, no hemos cambiado
el destino de nuestros cerebros.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											What about sleep?
											In slow-wave deep sleep, our glial cells
rinse cerebral spinal fluid
											throughout our brains,
											clearing away metabolic waste
that accumulated in our synapses
											while we were awake.
											Deep sleep is like
a power cleanse for the brain.
											But what happens if you shortchange
yourself on sleep?
											Many scientists believe
											that poor sleep hygiene might actually
be a predictor of Alzheimer's.
											A single night of sleep deprivation
leads to an increase in amyloid beta.
											And amyloid accumulation
has been shown to disrupt sleep,
											which in turn causes
more amyloid to accumulate.
											And so now we have
this positive feedback loop
											that's going to accelerate
the tipping of that scale.
									","
											Qu'en est-il du sommeil ?
											Lors du sommeil profond,
											nos cellules gliales rincent
notre liquide rachidien
											dans tout notre cerveau,
											éliminant les déchets métaboliques
accumulés dans nos synapses
											durant notre éveil.
											Le sommeil profond
est un purificateur de cerveau.
											Que se passe-t-il
si vous manquez de sommeil ?
											Beaucoup de scientifiques croient
											qu'une mauvaise hygiène du sommeil
pourrait prédire Alzheimer.
											Une seule nuit en déficit de sommeil mène
à une augmentation de la bêta-amyloïde.
											L'accumulation d'amyloïde
perturbe le sommeil,
											ce qui entraîne encore plus
d'accumulation d'amyloïde.
											Nous avons une boucle
de rétroaction positive
											qui va accélérer
l'inclinaison de la balançoire.
									","
											Wie sieht es mit Schlaf aus?
											Im Tiefschlaf spülen unsere Gliazellen
zerebrospinale Flüssigkeit
											durch unser Gehirn,
											die Stoffwechselendprodukte aus Synapsen 
entfert, die sich angehäuft haben,
											während wir wach waren.
											Tiefer Schlaf ist wie eine 
Kraftreinigung für das Gehirn.
											Aber was passiert bei Schlafmangel?
											Viele Wissenschaftler glauben,
											dass schlechte Schlafgewohnheiten, 
die Alzheimerkrankheit hervorrufen kann.
											Eine einzige Nacht mit Schlafentzug führt 
zu vermehrter Bildung von Amyloid-Beta.
											Und die Anhäufung von Amyloid
führt zu gestörtem Schlaf,
											was wiederum zu weiterer
Anhäufung von Amyloid führt.
											Diese positive Rückkopplungsschleife
											lässt die Waage bis zum 
Kipppunkt hochschießen.
									","
											Peki ya uyku?
											Ağır dalga derin uykuda,
gliyal hücrelerimiz beyindeki
											serebral sıvıyı,
											uyanık olduğumuz sürede
sinapslerde biriken metabolik
											artıkları temizler.
											Derin uyku beyin için
güçlü bir temizlik demektir.
											Ancak kendinizi uykudan
mahrum bırakırsanız ne olur?
											Birçok bilim insanı,
											yetersiz uykunun Alzheimer'ın 
habercisi olabileceğine inanır.
											Tek gecelik uykusuzluk amiloid beta
birikmesine yol açar.
											Amiloid birikmesinin de uykusuzluğa
neden olduğu kanıtlanmıştır ki
											bu da daha çok amiloid birikmesi demektir.
											Bu döngüye girmemiz de,
											terazinin bu uca yatmasını 
hızlandıracaktır.
									","
											¿Qué pasa si no dormimos?
											Al dormir, las células gliales limpian
el líquido espinal cerebral
											en nuestros cerebros,
											eliminando el residuo metabólico
que se acumuló en las sinapsis
											mientras estábamos despiertos.
											Para el cerebro, el sueño profundo funge
como un limpiador.
											¿Qué sucede si no duermen lo suficiente?
											Muchos científicos creen
											que el mal sueño podría ser un predictor
del alzhéimer.
											Una sola noche de privación del sueño
conlleva un aumento de beta amiloide.
											Se ha probado que la acumulación amiloide
interrumpe el sueño,
											que, a su vez, provoca que
se acumule más amiloide.
											Así que ahora tenemos
esta retroalimentación positiva
											que acelerará la inclinación
de la balanza.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											What else?
											Cardiovascular health.
											High blood pressure, diabetes,
obesity, smoking, high cholesterol,
											have all been shown to increase our risk
of developing Alzheimer's.
											Some autopsy studies have shown
											that as many as 80 percent
of people with Alzheimer's
											also had cardiovascular disease.
											Aerobic exercise has been shown
in many studies to decrease amyloid beta
											in animal models of the disease.
											So a heart-healthy
Mediterranean lifestyle and diet
											can help to counter
the tipping of this scale.
									","
											Quoi d'autre ?
											La santé cardiovasculaire.
											Une tension artérielle élevée, du diabète,
l'obésité, fumer, un cholestérol élevé
											augmentent tous le risque
de développer Alzheimer.
											Des études sur les autopsies ont montré
											que jusqu'à 80% des gens ayant Alzheimer
											avaient également
une maladie cardiovasculaire.
											De nombreuses études ont montré
											que l'exercice aérobique
diminue la bêta-amyloïde
											dans les modèles animaux de la maladie.
											Un style de vie et un régime
méditerranéens bons pour le cœur
											peuvent aider à contrer
l'inclinaison de la balançoire.
									","
											Was noch?
											Die Gesundheit des Herz-Kreislaufsystems.
											Bluthochdruck, Diabetes, Fettleibigkeit, 
Rauchen und hohe Cholesterinwerte,
											erhöhen das Risiko, 
an Alzheimer zu erkranken.
											Autopsien-Studien haben gezeigt,
											dass 80 % der Menschen mit Alzheimer
											auch Herzkreislauferkrankungen hatten.
											Bei Studien an Versuchstieren 
hat sich gezeigt, dass Amyloid-Beta
											durch Ausdauersport verringert wird.
											Also kann ein gesunder, mediteraner 
Lebensstil und Ernährung helfen,
											dem Kippen der Waage entgegenzuwirken.
									","
											Başka ne var?
											Kalp sağlığı.
											Yüksek tansiyon, diyabet,
obezite, sigara, yüksek kolesterol,
											bunların hepsinin Alzheimer
riskimizi artırdığı kanıtlanmıştır.
											Otopsiler, Alzheimer hastalarının
											neredeyse yüzde 80'inin
kalp rahatsızlıkları olduğunu da
											göstermiştir.
											Birçok çalışmada aerobik egzersizler
hayvan deneklerde, amiloid beta
											birikmesini azaltmıştır.
											Yani, kalp dostu bir
Akdeniz yaşam tarzı ve beslenme,
											terazinin bu tarafını dengeleyebilir.
									","
											¿Qué más?
											La salud cardiovascular.
											La hipertensión, la diabetes, la obesidad,
fumar, el colesterol alto,
											se ha demostrado que todos elevan
el riesgo de desarrollar alzhéimer.
											Algunas autopsias han revelado
											que hasta un 80 %
de las personas con alzhéimer
											también tenían
una enfermedad cardiovascular.
											Se ha demostrado que el ejercicio aeróbico
disminuye el beta amiloide
											en modelos animales de la enfermedad.
											Así que un corazón sano
y una dieta mediterránea
											ayudan a contrarrestar
la inclinación de la balanza.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											So there are many things we can do
											to prevent or delay
the onset of Alzheimer's.
											But let's say
you haven't done any of them.
											Let's say you're 65;
											there's Alzheimer's in your family,
so you've likely inherited a gene or two
											that tips your scale arm a bit;
											you've been burning the candle
at both ends for years;
											you love bacon;
											and you don't run unless
someone's chasing you.
									","
											Nous pouvons faire beaucoup de choses
											pour éviter ou retarder
le début d'Alzheimer.
											Disons que vous n'avez rien fait de cela.
											Disons que vous avez 65 ans,
											Alzheimer est présent dans votre famille,
vous avez dû hériter d'un ou deux gènes
											qui font un peu basculer la balançoire ;
											depuis des années, vous brûlez
la chandelle par les deux bouts ;
											vous adorez le bacon
											et vous ne courez
que si l'on vous poursuit.
									","
											Es gibt also vieles, das wir tun können,
											um der Entstehung von Alzheimer 
vorzubeugen oder sie zu verhindern.
											Aber nehmen wir an, 
Sie haben nichts davon getan.
											Sie sind, sagen wir, 65.
											Alzheimer ist in Ihrer Familie,
also haben Sie wahrscheinlich Gene geerbt,
											die die Waage ein wenig kippen lassen.
											Sie treiben seid Jahren 
Raubbau mit Ihrer Gesundheit,
											Sie lieben gebratenen Speck
											und Sie laufen nur, wenn jemand Sie jagt.
									","
											Yani Alzheimer'ı önlemek ya da
											ertelemek için yapabileceğimiz
birçok şey var.
											Ama diyelim ki hiçbirini yapmadınız.
											Diyelim ki 65 yaşındasınız;
											ailenizde Alzheimer var yani
terazinin bu tarafına gelen
											bir iki gen taşıma ihtimaliniz var;
											yıllarca uykusuz kaldınız,
											eti seviyorsunuz
											ve biri sizi kovalamadıkça
koşmazsınız.
									","
											Así que hay muchas cosas que podemos hacer
											para prevenir o atrasar
el inicio del alzhéimer.
											Pero digamos
que no han hecho nada de eso.
											Digamos que tienen 65 años;
											corre el alzhéimer en su familia,
probablemente heredaron un gen
											que eleva un lado de tu balanza un poco,
											se han desvelado mucho
durante los años;
											les encanta la tocineta;
											y solo corren si los persiguen.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
											Let's imagine that your amyloid plaques
have reached that tipping point.
											Your scale arm has crashed to the floor.
											You've tripped the cascade,
											setting fire to the forest,
											causing inflammation, tangles,
and cell death.
											You should be symptomatic for Alzheimer's.
											You should be having trouble
finding words and keys
											and remembering what I said
at the beginning of this talk.
											But you might not be.
									","
											Imaginons que vos plaques amyloïdes
aient atteint le seuil critique.
											La balançoire s'est écrasée au sol.
											Vous avez déclenché la cascade,
											mis le feu à la forêt,
											causant inflammation,
nœuds et mort cellulaire.
											Vous devriez avoir
les symptômes d'Alzheimer.
											Vous devriez avoir du mal
à trouver vos mots et vos clés,
											à vous souvenir de ce que j'ai dit
au début de cette présentation.
											Mais peut-être pas.
									","
											Sagen wir, dass Ihre Amyloid-Plaques, 
den kritischen Punkt erreicht haben.
											Ihre Waage ist bis auf den Boden gekippt.
											Sie haben die Kaskade ausgelöst,
											den Wald in Brand gesetzt,
											Entzündung, Tangles 
und Zelltod verursacht.
											Sie sollten Alzheimersymptome haben.
											Sie sollten Schwierigkeiten haben,
Worte und Ihre Schlüssel zu finden
											und sich zu erinnern, was ich 
zu Beginn dieses Vortrags gesagt habe.
											Aber vielleicht auch nicht.
									","
											Diyelim ki amiloid plaklarınız
bu doyma noktasına ulaştı.
											Terazinin kolu yere vurdu.
											Yığılmayı aştınız,
											ormanı ateşe verdiniz,
											bu da iltihap, düğüm ve
hücre ölümlerine yol açtı.
											Alzheimar belirtilerini
göstermeye başlamalısınız.
											Kelimeleri ve anahtarları bulmakta
											ve konuşmanın başında ne söylediğimi
hatırlamakta zorlanmalısınız.
											Ama böyle olmayabilir de.
									","
											Imaginemos que sus placas amiloides
han llegado a ese punto crítico.
											Un lado de tu balanza cayó al piso.
											Se desató un efecto dominó,
											incendiando el bosque,
											causando inflamación, ovillos
y muerte celular.
											Deberían tener síntomas de alzhéimer.
											Se les debería hacer difícil
hablar, encontrar las llaves
											y acordarse de lo que dije
al principio de esta charla.
											Pero tal vez no te suceda.
									",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
"
","
","
","
","
",What you can do to prevent Alzheimer's,Lisa Genova,13:56,"aging,biomechanics,disease,future,genetics,health,medical research,mental health,Alzheimer's,mind,science,neuroscience"
