en,fr,pt,es,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											So those are the three lessons
I took with me from midwifery.
											One: uncover your soul.
											Two: when things get difficult
or painful, try to stay open.
											And three: every now and then,
step off your hamster wheel
											into deep time.
									","
											Voilà les trois leçons que j'ai retenues
de mon expérience de sage-femme.
											Un : découvrir son âme.
											Deux : quand les choses sont difficiles
ou douloureuses, rester ouverte.
											Et trois : de temps en temps,
sortir de sa roue de hamster
											et entrer dans le temps profond.
									","
											São estas as três lições
que recebi da minha vida de parteira.
											Uma: destapar a alma.
											Duas: quando as coisas ficam difíceis
ou dolorosas,
											tentar manter-me aberta.
											E três: de vez em quando,
sair da roda de hamster
											para o tempo profundo.
									","
											Así que esas son las tres lecciones 
que me llevé conmigo de la obstetricia.
											Uno: descubrir el alma.
											Dos: cuando las cosas se ponen difíciles 
o dolorosos, intentar permanecer abierta.
											Y tres: de vez en cuando, 
saltar de la rueda de hámster
											al tiempo profundo.
									","
											Bu dersler hayatım boyunca 
bana yardımcı oldu
											ama yakın zamanda, şimdiye kadar

											hayatımdaki en önemli işimi aldığımda
gerçekten bana yardımcı oldular.
									","
											Dies sind also die drei Lektionen,
die ich als Hebamme gelernt habe.
											Eins: Enthülle deine Seele.
											Zwei: Versuche, trotz Schwierigkeiten
oder Schmerz offen zu bleiben.
											Und drei: Verlasse 
ab und zu dein Hamsterrad
											und tritt in die Tiefenzeit ein.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											Those lessons have served me
throughout my life,
											but they really served me recently,
											when I took on the most
important job of my life thus far.
									","
											Ces leçons m'ont servie
tout au long de ma vie
											mais surtout récemment,
											quand j'ai réalisé la tâche
la plus importante de ma vie jusqu'ici.
									","
											Estas lições serviram-me
durante toda a vida
											mas serviram-me sobretudo
há pouco tempo,
											quando assumi o trabalho
mais importante da minha vida.
									","
											Esas lecciones me han servido 
a lo largo de mi vida,
											pero especialmente 
me sirvieron recientemente,
											al asumir el trabajo más importante 
de mi vida hasta ahora.
									","
											2 yıl önce, kız kardeşimin nadir 
kan kanserinde,
											küçülme oldu
											ve onun için tek tedavi yöntemi
kemik ilik nakliydi.
											Her şeye rağmen onun için
bir eşleşme bulduk,
											o da bendim.
											Dört kızdan oluşan bir aileden geliyorum.
											Kız kardeşlerim onun için kusursuz
bir genetik eş olduğumu öğrenince,
											tepkileri: ""Gerçekten mi? Sen mi?"" oldu.
									","
											Diese Lektionen waren mir
mein Leben lang dienlich,
											aber ganz besonders in jüngster Zeit,
											als ich die bislang wichtigste Aufgabe
meines Lebens übernahm.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											Two years ago, my younger sister
came out of remission
											from a rare blood cancer,
											and the only treatment left for her
was a bone marrow transplant.
											And against the odds,
we found a match for her,
											who turned out to be me.
											I come from a family of four girls,
											and when my sisters found out that
I was my sister's perfect genetic match,
											their reaction was, ""Really? You?""
									","
											Il y a deux ans, ma petite sœur
a eu une récidive
											d'une forme rare de cancer du sang
											et le seul traitement qui restait
était une greffe de moelle osseuse.
											Contre toute attente,
nous avons trouvé un donneur :
											moi.
											Je viens d'une famille de quatre filles
											et quand mes sœurs ont découvert
que ma sœur et moi étions compatibles,
											leur réaction a été : « Vraiment, toi ? »
									","
											Há dois anos, a minha irmã mais nova
voltou a sofrer
											de um raro cancro do sangue.
											O único tratamento possível era 
um transplante de medula óssea.
											Contra todas as hipóteses,
encontrámos uma pessoa compatível,
											que, por acaso, era eu.
											Na minha família, éramos quatro raparigas.
											Quando as minhas irmãs descobriram
											que eu era o par genético perfeito
da minha irmã,
											a reação delas foi:
""A sério? És tu?""
									","
											Hace dos años, mi hermana 
menor salió de la remisión
											de un cáncer raro de sangre,
											y el único tratamiento que le dieron 
fue un trasplante de médula ósea.
											Y contra todo pronóstico, 
encontramos donante para ella,
											que resultó ser yo misma.
											Vengo de una familia de cuatro hijas 
y al enterarse
											mis hermanas de mi coincidencia 
genética perfecta con mi hermana,
											su reacción fue: ""¿De verdad? ¿Tú?""
									","
											(Gülüşmeler)
									","
											Vor zwei Jahren kehrte 
bei meiner jüngeren Schwester
											ein seltener Blutkrebs zurück,
											und die einzige verbleibende Behandlung
war eine Knochenmarktransplantation.
											Wider Erwarten fanden wir
einen Spender für sie,
											mich, wie sich herausstellte.
											Ich komme aus einer Familie 
mit vier Mädchen,
											und als meine Schwestern hörten,
dass ich genetisch perfekt zu ihr passte,
											sagten sie: ""Tatsächlich? Du?""
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									","
											""Onunla mükemmel eşleşme mi?""
											Kardeşler için oldukça tipiktir.
											Kardeş toplum içerisinde,
bir sürü şey vardır.
											Aşk var, arkadaşlık var ve koruma var.
											Ayrıca kıskançlık,
											rekabet,
											reddetme ve eleştirme var.
											Kardeşlik, ruhumuzu kaplayan
ilk katmanların çoğunu
											birleştirdiğimiz yerdir.
									","
											(Lachen)
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											""A perfect match for her?""
											Which is pretty typical for siblings.
											In a sibling society,
there's lots of things.
											There's love and there's friendship
and there's protection.
											But there's also jealousy
											and competition
											and rejection and attack.
											In siblinghood, that's where we start
assembling many of those first layers
											that cover our soul.
									","
											« Parfaitement compatible avec elle ? »
											Ce qui est assez courant pour des sœurs.
											Entre frères et sœurs,
il y a beaucoup de choses :
											de l'amour, de l'amitié
et de la protection.
											Mais il y a aussi de la jalousie,
											de la compétition,
											du rejet et des attaques.
											Dans la fraternité, nous commençons
à assembler ces premières couches
											qui recouvrent notre âme.
									","
											""Um par perfeito para ela?""
											O que é muito típico entre irmãs.
											Numa sociedade fraternal
há muitas coisas.
											Há amor e há amizade,
e há proteção.
											Mas também há ciúmes
											e competição
											e rejeição e ataque.
											É com as irmãs que começamos
a reunir muitas dessas primeiras camadas
											que tapam a nossa alma.
									","
											""¿Una coincidencia perfecta para ella?""
											Lo cual es bastante típico entre hermanos.
											En una sociedad de hermanos 
hay un montón de cosas.
											Hay amor, hay amistad y hay protección.
											Pero también hay celos
											y competencia
											y rechazo y ataque.
											En las relaciones fraternales 
es donde empezamos a montar
											muchas de esas primeras capas 
que cubren nuestra alma.
									","
											Kız kardeşim ile uyumlu 
olduğumu öğrendiğimde,
											araştırma moduna girdim.
											Nakil işleminin
											oldukça kolay olduğunu fark ettim.
											Kanserli hastada tüm kemik iliğini

											ağır dozlarda kemoterapi ile 
yok ediyorsun
											ve sonra o iliği, donörden alınan
											milyonlarca sağlıklı ilik hücreleri ile
değiştiriyorsun.
											Sonra o yeni hücrelerin hastaya
uyum sağladığına
											emin olmak için yapabileceğin 
her şeyi yapıyorsun.
											Kemik iliği naklinin tehlikelerle 
dolu olduğunu da öğrendim.
											Kız kardeşim neredeyse ölümcül olan
kemoterapinin üstesinden gelseydi,
											hâlen başka zorluklarla 
yüz yüze gelebilirdi.
											Hücrelerim
											onun vücuduna saldırabilir.
											Onun vücudu hücrelerimi reddedebilir.
											Reddetme veya saldırı dedikleri şey
											onu öldürebilirdi.
									","
											""Du passt genau zu ihr?""
											Was für Geschwister ziemlich typisch ist.
											Unter Geschwistern gibt es alles Mögliche.
											Es gibt dort Liebe,
Freundschaft und Schutz.
											Aber es gibt auch Eifersucht,
											und Konkurrenz
											und Ablehnung und Angriff.
											Unter Geschwistern legen wir uns
viele der ersten Schichten zu,
											die unsere Seele verdecken.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											When I discovered I was my sister's match,
											I went into research mode.
											And I discovered that
											the premise of transplants
is pretty straightforward.
											You destroy all the bone marrow
in the cancer patient
											with massive doses of chemotherapy,
											and then you replace that marrow
											with several million healthy
marrow cells from a donor.
											And then you do everything you can
											to make sure that those new cells
engraft in the patient.
											I also learned that bone marrow
transplants are fraught with danger.
											If my sister made it
through the near-lethal chemotherapy,
											she still would face other challenges.
											My cells
											might attack her body.
											And her body might reject my cells.
											They call this rejection or attack,
											and both could kill her.
									","
											Quand j'ai découvert
que j'étais compatible,
											j'ai entrepris des recherches.
											J'ai découvert
											que les prémisses des greffes
étaient assez simples.
											Il fallait détruire
toute la moelle osseuse chez le patient
											avec de fortes doses de chimiothérapie
											puis remplacer cette moelle osseuse
											avec plusieurs millions de cellules saines
venant d'un donneur.
											Puis vous faites tout votre possible
											pour vous assurer
que ces nouvelles cellules

											se greffent au patient.
											J'ai aussi appris que les greffes
de moelle osseuse sont très dangereuses.
											Si ma sœur survivait
à la chimiothérapie presque létale,
											elle ferait face à d'autres défis.
											Mes cellules
											pourraient attaquer son corps.
											Ses cellules pourraient
rejeter mes cellules.
											On appelle cela le rejet ou l'attaque
											et les deux pourraient la tuer.
									","
											Quando descobri que eu era
o par da minha irmã,
											comecei a pesquisar.
											Descobri que
											a premissa de um transplante
é muito simples.
											Destrói-se toda a medula óssea
no doente com cancro
											com doses maciças de quimioterapia
											e depois, substitui-se essa medula
											com vários milhões de células
de medula óssea saudável de um doador.
											Depois, faz-se todos os possíveis
											para garantir que essas células novas
se enxertem no doente.
											Também aprendi que os transplantes
de medula óssea estão cheios de perigos.
											Se a minha irmã conseguisse
ultrapassar a quimioterapia quase mortal
											ainda teria que enfrentar
outros problemas.
											As minhas células
											podiam atacar-lhe o corpo.
											e o corpo dela podia rejeitar
as minhas células.
											Chamam a isto rejeição ou ataque
											e qualquer das coisas podia matá-la.
									","
											Cuando descubrí que era la coincidencia 
genética con mi hermana,
											entré en modo de investigación.
											Y descubrí que
											la premisa de los trasplantes 
es bastante sencilla.
											Hay que destruir toda la médula ósea 
en el paciente con cáncer
											con dosis masivas de quimioterapia,
											y luego hay que reemplazar 
la médula ósea
											por varios millones de células 
de la médula de un donante sano.
											Y luego hay que hacer todo lo posible
											para asegurarse de que las nuevas 
células se adaptan al paciente.
											También aprendí que los trasplantes 
de médula ósea están llenos de riesgos.
											Si mi hermana logró superar 
la quimioterapia casi letal,
											ella todavía puede enfrentar otros retos.
											Mis células
											podrían haber atacado su cuerpo.
											Y su cuerpo podría haber 
rechazado mis células.
											Generando rechazo o ataque
											y ambas cosas podrían haberla matado.
									","
											Reddetme. Saldırı.
											Bu sözcüklerin kardeş olma içerisinde,
											tanıdık bir etkisi vardı.
											Kardeşim ve benim uzun bir sevgi 
geçmişimiz vardı,
											fakat küçük yanlış anlaşılmalardan 
daha büyük ihanetlere kadar
											reddetme ve saldırı geçmişimiz de vardı.
											Derin konular hakkında konuştuğumuz
											bir ilişkimiz olmadı,
											ama birçok kardeş ve herhangi bir 
türde ilişkisi olan insanlar gibi
											doğrularımızı söylemekte,
											yaralarımızı açığa vurmakta,
											yanlışlarımızı itiraf etmekte 
teredütteydik.

									","
											Als ich hörte, dass ich 
der perfekte Spender war,
											stellte ich Nachforschungen an.
											Und ich fand heraus,
											dass Transplantationen
im Grunde sehr einfach sind.
											Das gesamte Knochenmark des Krebspatienten
											wird durch eine hochdosierte
Chemotherapie zerstört,
											und dann wird dieses Knochenmark
											durch mehrere Millionen gesunde 
Knochenmarkzellen eines Spenders ersetzt.
											Und dann wird alles dafür getan,
											dass diese neuen Zellen
vom Patienten angenommen werden.
											Ich erfuhr auch, dass Knochenmark-
Transplantationen voller Gefahren sind.
											Wenn meine Schwester die beinahe
tödliche Chemotherapie überstand,
											würde sie sich noch weiteren 
Herausforderungen stellen müssen.
											Meine Zellen
											könnten ihren Körper angreifen.
											Und ihr Körper könnte 
meine Zellen abstoßen.
											Dies wird Abstoßung oder Angriff genannt,
											und beides könnte sie umbringen.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											Rejection. Attack.
											Those words had a familiar ring
											in the context of being siblings.
											My sister and I had
a long history of love,
											but we also had a long history
of rejection and attack,
											from minor misunderstandings
to bigger betrayals.
											We didn't have
the kind of the relationship
											where we talked about the deeper stuff;
											but, like many siblings and like people
in all kinds of relationships,
											we were hesitant to tell our truths,
											to reveal our wounds,
											to admit our wrongdoings.
									","
											Rejet. Attaque.
											Ces mots étaient familiers
											pour des sœurs.
											Ma sœur et moi avions
un long passé d'amour
											mais aussi un long passé
de rejet et d'attaques,
											des incompréhensions mineures
aux trahisons plus importantes.
											Nous n'avions pas le genre de relation
											où l'on parle de choses profondes ;
											mais, comme beaucoup de sœurs
et de gens dans tous types de relations,
											nous hésitions à dire nos vérités,
											à révéler nos blessures,
											à admettre nos erreurs.
									","
											Rejeição. Ataque.
											Estas palavras tinham um som familiar
											no contexto de sermos irmãs.
											A minha irmã e eu
tínhamos uma longa história de amor,
											mas também tínhamos uma longa história
de rejeição e ataque,
											desde desentendimentos menores
a traições maiores.
											Não tínhamos aquele tipo de relação
											a que chamamos as coisas profundas
											mas, tal como muitas irmãs
e pessoas com todo o tipo de relações,
											hesitávamos em partilhar
as nossas verdades,
											em revelar as nossas feridas,
											em reconhecer as nossas ações incorretas.
									","
											Rechazo. Ataque.
											Esas palabras tenían un tono familiar
											en el contexto de ser hermanos.
											Mi hermana y yo tuvimos 
una larga historia de amor,
											pero también tenía una larga 
historia de rechazo y ataque,
											de malentendidos de menor importancia 
a las traiciones más grandes.
											No teníamos el tipo de relación
											donde hablamos 
sobre cosas más profundas;
											pero, al igual que muchos hermanos 
y la gente en todo tipo de relaciones,
											éramos reacias a decir nuestras verdades,
											a revelar nuestras heridas,
											a admitir nuestros errores.
									","
											Fakat bu reddetmenin veya atağın 
tehlikesini öğrendiğimde,
											bunu değiştirmenin zamanı diye düşündüm.
									","
											Ablehnung. Angriff.
											Diese Worte hatten einen vertrauten Klang
											im Geschwisterkontext.
											Meine Schwester und ich 
hatten uns immer geliebt,
											aber wir hatten einander auch immer
abgelehnt und angegriffen,
											von kleineren Missverständnissen
bis hin zu größeren Vertrauensbrüchen.
											Wir sprachen in unserer Beziehung
											nicht über tiefere Dinge;
											wie viele Geschwister und Menschen
in allen Arten von Beziehungen
											zögerten wir vielmehr, 
unsere Wahrheiten auszusprechen,
											unsere Wunden freizulegen,
											unsere Verfehlungen zuzugeben.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											But when I learned about
the dangers of rejection or attack,
											I thought, it's time to change this.
											What if we left the bone marrow
transplant up to the doctors,
											but did something that we later came
to call our ""soul marrow transplant?""
											What if we faced any pain
we had caused each other,
											and instead of rejection or attack,
											could we listen?
											Could we forgive?
											Could we merge?
											Would that teach our cells to do the same?
									","
											Mais quand j'ai entendu parler
des risques de rejet ou d'attaque,
											j'ai pensé qu'il était temps
de changer cela.
											Et si nous laissions la greffe
de moelle osseuse aux médecins
											mais faisions quelque chose,
											que nous avons ensuite appelé
« greffe d'âme » ?
											Et si nous faisions face aux douleurs
que nous avions causées chez l'autre
											et, au lieu de rejeter ou attaquer,
											pourrions-nous écouter ?
											Pourrions-nous pardonner ?
											Pourrions-nous fusionner ?
											Cela apprendrait-il
à nos cellules à en faire de même ?
									","
											Mas quando vim a saber
dos perigos de rejeição ou ataque,
											pensei que chegara a altura
de alterar isso.
											E se deixássemos para os médicos
o transplante da medula óssea
											e fizéssemos uma coisa
a que chamámos depois
											o nosso ""transplante de medula da alma""?
											E se enfrentássemos cada dor
que tínhamos causado uma à outra
											e, em vez de rejeição ou ataque,
											conseguiríamos escutar?
											Poderíamos perdoar?
											Poderíamos fundir-nos?
											Isso ensinaria as nossas células
a fazer o mesmo?
									","
											Pero cuando supe sobre 
los peligros del rechazo o el ataque,
											pensé, es hora de cambiar esta situación.
											¿Qué pasa si dejamos el trasplante 
de médula ósea a los médicos,
											y hacemos algo que llamemos 
""trasplante de médula del alma?""
											¿Qué pasa si al encontrarnos ante 
un dolor causado recíprocamente,
											en vez de rechazo o ataque,
											escucháramos?
											¿Podríamos perdonar?
											¿Podríamos fundirnos?
											¿Podríamos enseñar 
a nuestras células a hacer lo mismo?
									","
											Ya kemik iliği nakli kararını
doktorlara bıraksaydık
											ama sonradan ""ruh iliği nakli"" diyeceğimiz
bir şey yapmış olsaydık?
											Ya birbirimizin neden olduğu acıyla 
yüzleşseydik
											bu reddetme veya atağın yerine,
											dinleyebilir miydik?
											Affedebilir miydik?
											Kaynaşabilir miydik?
											Bu hücrelerimize aynı şeyi yapmasını 
öğretecek miydi?
									","
											Aber als ich von den Gefahren 
der Abstoßung und des Angriffs erfuhr,
											fand ich es an der Zeit, dies zu ändern.
											Wie wäre es, wenn wir die Knochenmark-
Transplantation den Ärzten überließen,
											aber etwas täten, was wir später unsere
""Seelenmark-Transplantation"" nannten?
											Wie wäre es, wenn wir all den Schmerzen,
die wir uns zugefügt hatten, begegnen
											und einander nicht ablehnen
oder angreifen würden,
											sondern zuhören könnten?
											Könnten wir vergeben?
											Könnten wir zusammenkommen?
											Könnte das unseren Zellen beibringen, 
das Gleiche zu tun?
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											To woo my skeptical sister,
I turned to my parents' holy text:
											the New Yorker Magazine.
									","
											Pour amadouer ma sœur sceptique,
											je me suis tournée
vers le texte sacré de mes parents :
											le New Yorker Magazine.
									","
											Para convencer a minha irmã cética,
											virei-me para o texto sagrado
dos meus pais:
											a revista The New Yorker Magazine.
									","
											Para atraer a mi hermana escéptica, 
di vuelta al texto sagrado de mis padres:
											la revista The New Yorker.
									","
											Şüpheci kız kardeşimin aklını çelmek için,
ailemin kutsal metnine yöneldim:
											New Yorker Dergisi.
									","
											Ich umwarb meine skeptische Schwester
mit der heiligen Schrift meiner Eltern:
											dem New Yorker Magazin.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											I sent her a cartoon from its pages
											as a way of explaining
why we should visit a therapist
											before having my bone marrow harvested
and transplanted into her body.
											Here it is.
									","
											Je lui ai envoyé une BD
publiée dans ses pages
											pour expliquer pourquoi
nous devrions voir un thérapeute
											avant d'extraire ma moelle osseuse
et la greffer dans son corps.
											La voici.
									","
											Enviei-lhe um cartune
das páginas dessa revista
											como forma de explicar
porque devíamos consultar um terapeuta
											antes de ser feita a colheita
da minha medula óssea
											e de ser transplantada para o corpo dela.

											Foi esta.
									","
											La envié una caricatura de sus páginas
											como una forma de explicar 
por qué debemos visitar a un terapeuta
											antes de que me extrajeran mi médula ósea 
para trasplantarla en su cuerpo.
											Aquí está.
									","
											Neden bir terapisti ziyaret etmemiz 
gerektiğini açıklamak için
											kemik iliğim onun vücuduna 
nakledilmeden önce,
											dergiden ona bir karikatür yolladım.
											İşte;
									","
											Ich schickte ihr einen Cartoon daraus,
											um ihr klarzumachen, warum wir 
einen Therapeuten aufsuchen sollten,
											bevor wir mein Knochenmark entnahmen
und in ihren Körper verpflanzen ließen.
											Hier ist er.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											""I have never forgiven him for that thing
I made up in my head.""
									","
											« Je ne l'ai jamais pardonné
											pour cette chose
qu'il a faite dans ma tête. »
									","
											""Nunca lhe perdoei por aquilo
que eu inventei"".
									","
											""Nunca le perdoné 
por lo que yo creé en mi cabeza"".
									","
											""Kafamda uydurduğum o şey için
onu hiç affetmedim.""
									","
											""Ich habe ihm niemals für das vergeben,
was ich mir ausgedacht habe.""
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											I told my sister
											we had probably been doing the same thing,
											carting around made-up stories
in our heads that kept us separate.
											And I told her that after the transplant,
											all of the blood flowing in her veins
											would be my blood,
											made from my marrow cells,
											and that inside the nucleus
of each of those cells
											is a complete set of my DNA.
											""I will be swimming around in you
for the rest of your life,""
											I told my slightly horrified sister.
									","
											J'ai dit à ma sœur
											que nous faisions
probablement la même chose,
											nous trimbalions des histoires inventées
dans nos têtes et elles nous séparaient.
											Je lui ai dit qu'après la greffe,
											tout le sang circulant dans ses veines
											serait mon sang,
											fait grâce à mes cellules
de moelle osseuse
											et qu'à l'intérieur du noyau
de chacune des cellules,
											il y avait tout mon ADN.
											« Je me baladerai en toi
jusqu'à la fin de tes jours »,
											ai-je dit à ma sœur qui était horrifiée.
									","
											Disse à minha irmã:
											""Provavelmente andámos a fazer o mesmo,
											""a carregar com histórias inventadas
que nos mantinham separadas"".
											E disse-lhe que, depois do transplante,
											todo o sangue que corresse nas suas veias
											seria o meu sangue,
											feito de células da minha medula.
											E no interior do núcleo
de cada uma dessas células,
											estava um conjunto completo do meu ADN.
											""Ficarei a nadar à tua volta
durante o resto da tua vida"",
											disse à minha irmã,
que ficou um pouco horrorizada.
									","
											Le dije a mi hermana
											es probable que 
estuviéramos haciendo lo mismo,
											llevando historias inventadas por 
nosotras que nos mantenían separadas.
											Y le dije que después del trasplante,
											toda la sangre que fluyera en sus venas
											sería mi sangre,
											a partir de mis células de la médula,
											y que dentro del núcleo 
de cada una de esas células
											habría un conjunto completo de mi ADN.
											""Voy a nadar en ti 
para el resto de tu vida""
											Le dije a mi hermana 
un tanto horrorizada.
									","
											Kız kardeşime
											muhtemelen aynı şeyi 
yaptığımızı söyledim,
											yani bizi ayıran uydurma 
hikâyeleri kafamızda dolaştırıyorduk.
											Nakilden sonra ona söyledim ki,
											damarlarından akan tüm kan
											benim kanım olacaktı,
											benim ilik hücrelerim ile üretilen.
											Ve o hücrelerin her birinin
çekirdeğinin içinde
											benim DNA'm vardı.
											Biraz dehşete düşmüş kız kardeşime 
şunu söyledim:
											""Hayatının geri kalanında, senin içinde
dönüp dolaşacağım.""
									","
											Ich sagte zu meiner Schwester,
											dass wir wahrscheinlich 
das Gleiche getan hätten
											und Hirngespinste mit uns herumschleppten,
die uns auf Abstand hielten.
											Ich sagte, dass nach der Transplantation
											all das Blut in ihren Adern
											mein Blut wäre,
											von meinen Knochenmarkzellen erzeugt,
											und dass in dem Kern jeder dieser Zellen
											ein vollständiger Satz meiner DNA sei.
											""Ich werde für den Rest deines Lebens
in dir herumschwimmen"",
											sagte ich zu meiner etwas
erschrockenen Schwester.
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									","
											( Gülüşmeler )
									","
											(Lachen)
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
											""I think we better clean up
our relationship.""
									","
											« Je pense que nous devrions
nettoyer notre relation. »
									","
											""Acho melhor limpar a nossa relação"".
											(Risos)
									","
											""Creo que es mejor que 
limpiemos nuestra relación"".
									","
											""Bence ilişkimizi daha iyi hâle
getirmeliyiz.""
									","
											""Ich denke, wir sollten lieber
in unserer Beziehung aufräumen.""
									",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
"
","
","
","
","
","
",Say your truths and seek them in others,Elizabeth Lesser,15:44,"aging,communication,compassion,empathy,family,humanity,health,life,death,vulnerability,relationships"
