en,fr,de,es,title,speaker,duration,tags
"
											Biology would never do this.
											Space inside our arteries
is fully utilized.
											At every heartbeat,
											a higher blood pressure literally compacts
millions of red blood cells
											into massive trains of oxygen
											that quickly flow throughout our body.
											And the tiny space inside our red
blood cells is not wasted, either.
											In healthy conditions,
											more than 95 percent
of their oxygen capacity is utilized.
											Can you imagine if the vehicles
we used in our cities
											were 95 percent full,
											all the additional space
you would have to walk, to bike
											and to enjoy our cities?
									","
											La biologie ne ferait jamais cela.
											L'espace dans nos artères
est entièrement utilisé.
											A chaque battement de cœur,
											une pression sanguine plus élevée
compacte des millions de globules rouges
											en d'énormes trains d'oxygène
											qui circulent rapidement
dans notre corps.
											Le petit espace dans nos globules rouges
n'est pas non plus perdu.
											Si nous sommes en bonne santé,
											plus de 95% de leur capacité
en oxygène est utilisée.
											Imaginez si les véhicules
utilisés dans nos villes
											étaient pleins à 95%,
											tout l'espace supplémentaire
pour marcher, faire du vélo
											et profiter de nos villes ?
									","
											Warum tun wir uns das an?
											Die Biologie würde das niemals tun.
											Der Platz in unseren Arterien
wird voll ausgenutzt.
											Bei jedem Herzschlag
											verdichtet ein höherer Blutdruck
											buchstäblich Millionen an roten Blutzellen
											zu enormen Sauerstoffzügen,
											die schnell durch unseren Körper fließen.
											Und der winzige Platz
in unseren roten Blutzellen
											wird genauso wenig verschwendet.
											In einem gesunden Zustand
											werden über 95 Prozent
ihrer Sauerstoffkapazität genutzt.
											Stellen Sie sich vor,
											unsere städtischen Fahrzeuge
wären zu 95 Prozent voll —
											all der zusätzliche Platz
um zu laufen, Rad zu fahren
									","
											La biología nunca lo haría.
											El espacio en nuestras arterias
se usa al completo.
											En cada latido,
											una presión de la sangre más alta
compacta millones de glóbulos rojos
											en trenes masivos de oxígeno
											que fluyen rápido
por todo nuestro cuerpo.
											Y el pequeño espacio dentro de nuestros
glóbulos rojos no se desperdicia tampoco.
											En condiciones saludables
											se utiliza más del 95%
de la capacidad de oxígeno.
											¿Imaginas si los vehículos que
utilizamos en nuestras ciudades
											estuvieran llenos un 95%
											todo el espacio adicional que tendrías
para caminar, ir en bici
											y disfrutar de la ciudad?
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											The reason blood is so
incredibly efficient
											is that our red blood cells
are not dedicated
											to specific organs or tissues;
											otherwise, we would probably have
traffic jams in our veins.
											No, they're shared.
											They're shared by all
the cells of our body.
											And because our network is so extensive,
											each one of our 37 trillion cells
gets its own deliveries of oxygen
											precisely when it needs them.
									","
											La raison pour laquelle
le sang est si incroyablement efficace
											est que nos globules rouges
ne sont pas dédiés
											à des organes ou tissus spécifiques ;
											autrement, il y aurait
des embouteillages dans nos veines.
											Non, ils sont partagés.
											Ils sont partagés
par toutes les cellules du corps.
											Et, puisque notre réseau est si étendu,
											chacune de nos 37 000 milliards
de cellules reçoit sa livraison d'oxygène
											précisément quand elle en a besoin.
									","
											und unsere Städte zu genießen?
											Unser Blut ist deshalb so
unglaublich effizient,
											weil unsere roten Blutzellen
											nicht an bestimmte Organe
oder Gewebe gebunden sind,
											sonst gäbe es wahrscheinlich
Staus in unseren Venen.
											Nein, sie werden geteilt.
											Sie werden gemeinsam
von allen Körperzellen genutzt.
											Und weil unser Netzwerk
so umfangreich ist,
											bekommt jede unserer 37 Billionen Zellen
ihre eigene Ladung Sauerstoff
									","
											La razón por la que la sangre
es increíblemente eficiente
											es que nuestros glóbulos rojos
no se dedican
											a órganos o tejidos específicos
											sino tendríamos atascos en nuestras venas.
											No, se comparten.
											Se comparten con todas
las células de nuestro cuerpo.
											Y ya que nuestra red es tan extensa,
											cada una de las 37 billones de células
tiene su propio suministro de oxígeno
											precisamente cuando lo necesita.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											Blood is both a collective
and individual form of transportation.
											But for our cities,
											we've been stuck.
											We've been stuck in an endless debate
											between creating a car-centric society
or extensive mass-transit systems.
											I think we should transcend this.
											I think we can create vehicles
that combine the convenience of cars
											and the efficiencies of trains and buses.
											Just imagine.
											You're comfortably sitting
in a fast and smooth urban train,
											along with 1,200 passengers.
											The problem with urban trains
											is that sometimes you have to stop
five, ten, fifteen times
											before your final destination.
									","
											Le sang est un moyen de transport
à la fois collectif et individuel.
											Mais pour nos villes,
											nous sommes coincés.
											Nous sommes coincés dans un débat sans fin
											entre ériger une société
centrée autour de la voiture
											et développer des systèmes
efficaces de transports publics.
											Nous pouvons transcender cela.
											Nous pouvons créer des véhicules
qui combinent la commodité de la voiture
											et l'efficacité des trains et des bus.
											Imaginez.
											Vous êtes confortablement assis
dans un train urbain rapide et silencieux
											aux côtés de 1 200 autres passagers.
											Le problème des trains urbains
											est que, parfois,
il faut faire 5, 10, 15 arrêts
											avant d'atteindre sa destination.
									","
											genau zum richtigen Zeitpunkt.
											Blut ist beides, eine gemeinsame
und individuelle Form des Transports.
											Bei unseren Städten
sind wir hingegen festgefahren.
											Wir stecken in einer endlosen Debatte
											zwischen dem Bau einer
Auto-zentrierten Gesellschaft
											und ausgedehnten
öffentlichen Verkehrssystemen.
											Ich finde, wir sollten weiter denken.
											Wir könnten Fahrzeuge bauen,
die den Komfort eines Autos
											mit der Effizienz
von Zügen und Bussen vereinen.
											Stellen Sie sich vor:
											Sie sitzen bequem in einer schnell
dahingleitenden S-Bahn,
											zusammen mit 1200 Fahrgästen.
											Das Problem bei S-Bahnen ist,
											dass man fünf-, zehn-, fünfzehnmal 
stehenbleibt,
									","
											La sangre es una forma de transporte
tanto colectiva como individual.
											Pero para nuestras ciudades,
											hemos estado atascados.
											Hemos estado atascados
en un debate sin fin
											de crear una sociedad centrada en el carro
o amplios sistemas de transporte público.
											Pienso que debemos trascenderlo.
											Pienso que podemos crear vehículos
que combinan la conveniencia de los carros
											y las eficiencias de los trenes y buses.
											Imagínense.
											Estás sentado confortable
en un tren urbano rápido y fluido,
											junto con 1.200 pasajeros.
											El problema con trenes urbanos
											es que a veces uno tiene que parar
cinco, diez, quince veces
											antes de su destino final.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											What if in this train
you didn't have to stop?
											In this train,
											wagons can detach dynamically
while you're moving
											and become express, driverless buses
											that move on a secondary road network.
											And so without a single stop,
											nor a lengthy transfer,
											you are now sitting in a bus
that is headed toward your suburb.
											And when you get close,
											the section you're sitting in detaches
											and self-drives you
right to your doorstep.
											It is collective and individual
at the same time.
											This could be one of the shared,
modular, driverless vehicles of tomorrow.
									","
											Et si, dans ce train,
vous n'aviez pas à vous arrêter ?
											Dans ce train,
											les wagons peuvent se détacher
pendant que vous vous déplacez
											et devenir des bus express,
sans conducteur
											qui se déplacent
sur un réseau routier secondaire.
											Et donc, sans un seul arrêt,
											sans changement interminable,
											vous êtes assis dans un bus
se dirigeant droit vers votre quartier.
											Quand vous vous en approchez,
											la section où vous êtes assis se détache
											et, sans conducteur, vous conduit
directement devant chez vous.
											C'est à la fois collectif et individuel.
											Cela pourrait être
l'un des véhicules de demain :
											partagé, modulaire et sans conducteur.
									","
											bevor man sein Ziel erreicht.
											Was wäre, wenn Ihre Bahn
nicht halten müsste?
											Bei dieser Bahn können sich Wagen
während der Fahrt automatisch abkoppeln
											und zu selbstfahrenden
Express-Bussen werden,
											die auf einem zweiten Straßennetz fahren.
											So sitzen Sie in einem Bus,
											mit dem Sie ohne einen einzigen Halt
oder längeres Umsteigen
											in Ihren Vorort fahren.
											Wenn Sie sich Ihrem Zuhause nähern,
											koppelt sich Ihr Abteil ab
											und fährt Sie direkt vor die Haustür.
											Es ist gleichzeitig
gemeinschaftlich und individuell.
									","
											¿Y si en ese tren
uno no tuviera que parar?
											En ese tren,
											los vagones pueden separarse
dinámicamente mientras uno se mueve.
											y se convierten en buses
exprés sin conductores
											que se mueven en una red
secundaria de carreteras.
											Y luego sin una única parada,
											o tampoco un largo traslado,
											ahora está uno en un bus hacia su barrio.
											Y cuando se acerca,
											la sección donde uno está se separa
											y lo conduce automáticamente
hasta su puerta.
											Es colectivo y individual al mismo tiempo.
											Ese podría ser uno de los vehículos
compartidos y sin conductores del mañana.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											Now ...
											as if walking in a city
buzzing with drones,
											flying taxis, modular buses
and suspended magnetic pods
											was not exotic enough,
											I think there is another force in action
											that will make urban traffic mesmerizing.
											If you think about it,
											the current generation of driverless cars
is just trying to earn its way
											into a traffic grid
made by and for humans.
											They're trying to learn traffic rules,
which is relatively simple,
											and coping with human unpredictability,
											which is more challenging.
									","
											Maintenant...
											comme si marcher dans une ville
bourdonnant de drones,
											de taxis volants, de bus modulaires
et de capsules magnétiques suspendues
											n'était pas assez exotique,
											il y a une autre force en action
											qui rendra la circulation urbaine
encore plus fascinante.
											Si vous y réfléchissez,
											la génération actuelle
de voitures sans conducteur
											essaye simplement de gagner sa place
											dans un réseau routier
fait par et pour les humains.
											Elles essayent d'apprendre
le code de la route, qui est assez simple,
											et de faire face à un plus grand défi :
											l'imprédictibilité humaine.
									","
											Dies könnte eines der gemeinsamen,
modularen und selbstfahrenden
											Fahrzeuge der Zukunft sein.
											Als ob eine Stadt voller Drohnen,
											fliegender Taxis, modularer Busse
und Magnetschwebe-Kapseln
											noch nicht fremdartig genug wäre,
											glaube ich, dass es noch etwas gibt,
											das den städtischen Verkehr
zur Faszination machen wird.
											Denken Sie daran,
											dass die jetzige Generation
selbstfahrender Autos versucht,
											an einem Verkehrsnetz teilzunehmen,
											das von und für Menschen gemacht wurde.
											Sie lernen unsere Verkehrsregeln,
was relativ einfach ist,
											und mit menschlicher
Unberechenbarkeit umzugehen,
									","
											Ahora ...
											Por si caminar en una ciudad
zumbando con drones,
											taxis voladores, buses modulares
y vainas magnéticas suspendidas
											no fuera lo suficiente exótico,
											pienso que hay una otra fuerza en acción
											que pondrá el tráfico urbano hipnótico.
											Si pensamos en ello,
											la generación actual
de carros sin conductores
											sólo trata de ganarse su espacio
											en una rejilla de tráfico
hecha por y para los humanos.
											Están tratando de aprender
las reglas de tráfico,
											que son relativamente simples,
											y lidiando con la imprevisibilidad humana,
											lo que es más desafiador.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											But what would happen
when whole cities become driverless?
											Would we need traffic lights?
											Would we need lanes?
											How about speed limits?
											Red blood cells are not flowing in lanes.
											They never stop at red lights.
											In the first driverless cities,
											you would have no red lights and no lanes.
											And when all the cars
are driverless and connected,
											everything is predictable
and reaction time, minimum.
											They can drive much faster
											and can take any rational initiative
that can speed them up
											or the cars around them.
											So instead of rigid traffic rules,
											flow will be regulated
											by a mesh of dynamic and constantly
self-improving algorithms.
											The result: a strange traffic
											that mixes the fast and smooth
rigor of German autobahns
											and the creative vitality
of the intersections of Mumbai.
									","
											Que se passerait-il si des villes entières
n'avaient plus de conducteurs ?
											Aurions-nous besoin de feux ?
											Aurions-nous besoin de voies ?
											Ou de limitations de vitesse ?
											Les globules rouges
n'utilisent pas de voies.
											Ils ne s'arrêtent pas aux feux rouges.
											Dans les premières villes
sans conducteurs,
											il n'y aurait ni feux rouges ni voies.
											Quand toutes les voitures
seront sans conducteur et connectées,
											tout sera prévisible
et le temps de réaction sera minimisé.
											Elles peuvent conduire plus vite
											et prendre toute initiative rationnelle
les faisant accélérer,
											elles ou les autres voitures.
											A la place d'un code de la route rigide,
											la circulation serait régulée
											par un maillage d'algorithmes
dynamiques en amélioration continue.
											Le résultat : une circulation étrange
											qui mélange la rapidité
et la rigueur des autoroutes allemandes
											à la vitalité créative
des intersections de Mumbai.
									","
											was schon schwieriger ist.
											Was wäre, wenn ganze Städte
selbstfahrend werden würden?
											Würden wir Ampeln brauchen?
											Würden wir Fahrbahnen brauchen?
											Was wäre mit
Geschwindigkeitsbegrenzungen?
											Rote Blutkörperchen fließen
nicht in Fahrbahnen.
											Sie halten nie an roten Ampeln.
											In den ersten selbstfahrenden Städten
											gäbe es weder Fahrspuren noch rote Ampeln.
											Wenn es nur noch selbstfahrende
und miteinander vernetzte Autos gibt,
											wird alles vorhersagbar
und die Reaktionszeit minimal.
											Sie können viel schneller fahren
											und jegliche vernünftige
Initiative ergreifen,
											um sich oder andere Autos
um sie herum zu beschleunigen.
											Anstelle von starren Verkehrsregeln
											wird der Fluss reguliert
											durch ein Netz aus dynamischen,
sich selbst verbessernden Algorithmen.
											Das Ergebnis: ein eigenartiger Verkehr,
											der die schnelle und reibungslose
Strenge deutscher Autobahnen
									","
											¿Pero qué pasaría cuándo
ciudades enteras estén sin conductores?
											¿Habría necesidad de semáforos?
											¿Habría necesidad de carriles?
											¿Y límites de velocidad?
											Los glóbulos rojos no fluyen en carriles.
											Nunca paran en semáforos en rojo.
											En las primeras ciudades sin conductores,
											no habría semáforos o carriles.
											Y cuando todos los carros
fueran autónomos y conectados,
											todo es previsible
y el tiempo de reacción es mínimo.
											Pueden moverse mucho más rápido
											y tomar cualquier acción racional
que pueda acelerarlo
											o los carros alrededor.
											Y en lugar de estrictas reglas de tráfico,
											el flujo sería reglado
											por un conjunto de algoritmos dinámicos
y en constante mejoramiento.
											El resultado: un tráfico raro
											que mezcla el rigor rápido y suave
de las autopistas alemanas
											y la vitalidad creativa
de los cruzamientos de Mumbai.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											(Laughter)
									","
											(Rires)
									","
											mit der kreativen Vitalität
der Kreuzungen Mumbais vereint.
									","
											(Risas)
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											Traffic will be functionally exuberant.
											It will be liquid like our blood.
											And by a strange paradox,
											the more robotized
our traffic grid will be,
											the more organic and alive
its movement will feel.
									","
											La circulation sera exubérante.
											Elle sera liquide comme notre sang.
											Et, par un paradoxe étrange,
											plus notre réseau routier sera robotisé,
											plus son mouvement
semblera organique et vivant.
									","
											(Lachen)
											Der Verkehr wird funktionstüchtig
und lebhaft werden.
											Er wird flüssig sein wie unser Blut.
											Es ist ein eigenartiges Paradoxon:
											Je robotisierter unser Verkehrsnetz,
									","
											El tráfico sería
funcionalmente exuberante.
											Será líquido como nuestra sangre.
											Y por una paradoja peculiar,
											cuánto más robotizada
fuere la rejilla de tráfico
											más orgánico y vivo será su movimiento.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											So yes,
											biology has all the attributes
of a transportation genius today.
											But this process has taken
billions of years,
											and went through all sorts
of iterations and mutations.
											We can't wait billions of years
to evolve our transportation system.
											We now have the dreams,
											the concepts
											and the technology
											to create 3-D transportation networks,
											invent new vehicles
											and change the flow in our cities.
									","
											Alors oui,
											la biologie a tous les attributs
d'un génie des transports.
											Mais ce processus a pris
des milliards d'années
											et a traversé toutes sortes
d'itérations et de mutations.
											Notre système de transport ne peut pas
attendre autant avant d'évoluer.
											Nous avons des rêves,
											des concepts
											et la technologie
											pour créer des réseaux de transport
tridimensionnels,
											inventer de nouveaux véhicules
											et changer la circulation dans nos villes.
									","
											desto organischer und lebendiger
fühlen sich die Verkehrsströme an.
											Also ja,
											die Biologie hat alle Eigenschaften
eines genialen Verkehrssystems.
											Aber dieser Prozess hat
Milliarden von Jahren gebraucht
											und jede Menge Wiederholungen
und Veränderungen durchlaufen.
											Wir können keine Milliarden Jahre warten,
											um unseren Verkehr weiterzuentwickeln.
											Wir haben jetzt die Träume,
											die Konzepte
											und die Technologie,
											um dreidimensionale
Verkehrsnetze zu entwerfen,
											neue Fahrzeuge zu erfinden
											und den Verkehrsfluss
in unseren Städten zu ändern.
									","
											Entonces sí,
											la biología tiene todos los atributos
de una genialidad de transporte hoy.
											Pero ese proceso ha tomado
miles de millares de años,
											y pasó por todo tipo
de iteración y mutación.
											No podemos esperar miles
de millares de años
											para evolucionar
nuestro sistema de transportes.
											Tenemos ahora los sueños,
											los conceptos
											y la tecnología
											para criar redes de transporte en 3D,
											inventar nuevos vehículos
											y cambiar el flujo en nuestras ciudades.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											Let's do it.
									","
											Faisons-le.
									","
											Setzen wir sie um.
									","
											Hagámoslo.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											Thank you.
									","
											Merci.
									","
											Danke.
									","
											Gracias.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Aplausos)
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
