es,pt,en,title,speaker,duration,tags
"
											A lo que yo respondí:
											""Se merecen libros nuevos"".
									","
											Ao que eu respondi:
											""Vocês merecem livros novinhos em folha"".
									","
											To which I'd reply,
											""You deserve brand-new books.""
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Todo cobró sentido
											cuando una de mis alumnas, al abrir
el paquete un libro de bolsillo dijo:
											""Sra. Sumner, yo pensaba
que Ud. compró estos libros,
											porque los maestros
siempre nos compran cosas.
											Pero saber que un extraño,
											alguien que ni siquiera conozco
cuida mucho de mí es genial"".
									","
											Toda esta experiência tocou-me fundo
quando uma das minhas raparigas,
											enquanto desembrulhava
uma brochura estaladiça, me disse:
											""Sra. Sumner, eu julgava que era a senhora
que tinha comprado estes livros
											""porque os professores
estão sempre a comprar-nos coisas.
											""Mas saber que foi um estranho,
uma pessoa que eu nem conheço,
											""se preocupa assim tanto comigo
											""é muito fixe"".
									","
											The whole experience hit home
for me when one of my girls,
											as she peeled open a crisp paperback said,
											""Ms. Sumner — you know,
I figured you bought these books,
											'cause you teachers
are always buying us stuff.
											But to know that a stranger,
someone I don't even know,
											cares this much about me
											is pretty cool.""
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Saber que existen desconocidos
que te cuidarán, es un privilegio
											que mis alumnos no tienen.
									","
											Saber que estranhos
se preocupam connosco
											é um privilégio
que as minhas crianças não têm.
									","
											Knowing that strangers
will take care of you
											is a privilege my kids aren't afforded.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Desde la donación,
											hubo un flujo constante de niños
que tomaron libros prestados
											para luego devolverlos
exclamando: ""¡Este me gustó!""
									","
											A partir da doação,
											tem havido uma corrente continua
de crianças a levar livros para casa,
											e devolvem-nos sempre
com a exclamação:
											""Este era bom!""
									","
											Ever since the donation,
											there has been a steady stream of kids
signing out books to take home,
											and then returning them
with the exclamation,
											""This one was good!""
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											(Risas)
									","
											(Risos)
									","
											(Laughter)
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Ahora cuando les digo:
""Tomemos un libro para leer"",
											los niños se apresuran a mi biblioteca.
											No se trata de que no querían leer;
											al contrario, lo harían encantados
si tuvieran los recursos.
									","
											Agora, quando eu digo:
""Levem um livro e leiam"",
											as crianças correm para a biblioteca.
											Não era que eles não quisessem ler,
											teriam lido de bom grado
se tivéssemos os recursos.
									","
											Now when I say,
""Take out a book and read,""
											kids rush to my library.
											It wasn't that they didn't want to read,
											but instead, they'd gladly read
if the resources were there.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Institucionalmente hablando,
											nuestro sistema de educación pública
nunca ha sido justo con los no-blancos.
											Nos centramos en los resultados finales
o los resultados de la evaluación
											y frustrarnos.
											Llega el desastre y nos preguntamos:
											""¿Cómo se volvió tan malo?
¿Cómo llegamos aquí?""
											¿Es serio?
											Si descuidan a un niño
el tiempo suficiente,
											ya no tienen el derecho de sorprenderse
cuando las cosas no salen bien.
									","
											Institucionalmente falando,
											o nosso sistema de escolas públicas
											nunca fez o que devia 
pelas crianças negras e mestiças.
											Só nos preocupamos
com os resultados finais
											ou os resultados dos testes,
											e em ficarmos frustrados.
											Chegamos a uma catástrofe e pensamos:
											""Como é que isto está tão mal?
Como é que chegámos a isto?""
											A sério?
											Se esquecemos uma criança
durante muito tempo
											não temos o direito 
de nos surpreendermos
											quando as coisas não correm bem.
									","
											Institutionally speaking,
											our public school system has never
done right by the black and brown child.
											We keep focusing on the end results
											or test results,
											and getting frustrated.
											We get to a catastrophe and we wonder,
											""How did it get so bad?
How did we get here?""
											Really?
											If you neglect a child long enough,
											you no longer have
the right to be surprised
											when things don't turn out well.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Dejen de estar perplejos, confundidos
o aturdidos por la falta de rendimiento
											la desigualdad salarial,
la tasas de detención,
											o cualquier desigualdad
socioeconómica del momento.
											Los problemas que tenemos a nivel nacional
son los problemas que creamos como país.
											La calidad de su educación
es directamente proporcional
											a su acceso a la universidad,
su acceso a un puesto de trabajo,
											su acceso al futuro.
									","
											Deixem de se sentir perplexos
											ou confusos
											ou estonteados
											com o fosso do desempenho,
											com o fosso de rendimentos,
											com as taxas de encarceramento,
											ou com qualquer disparidade socioeconómica
que seja a moda do momento.
											Os problemas que temos,
enquanto país,
											são os problemas que criámos,
enquanto país.
											A qualidade do ensino
é diretamente proporcional
											ao acesso à faculdade,
											ao acesso aos empregos,
											ao acesso ao futuro.
									","
											Stop being perplexed
											or confused
											or befuddled
											by the achievement gap,
											the income gap,
											the incarceration rates,
											or whatever socioeconomic disparity
is the new ""it"" term for the moment.
											The problems we have as a country
											are the problems we created as a country.
											The quality of your education
is directly proportionate
											to your access to college,
											your access to jobs,
											your access to the future.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Hasta que no vivamos en un mundo
											donde cada niño pueda tener
una educación de alta calidad
											sin importar donde vive,
o el color de su piel,
											hay cosas que podemos
hacer a macroescala.
											La financiación escolar no debe decidirse
de acuerdo al impuesto a la propiedad
											o alguna ecuación económica extravagante
											de modo que los niños ricos continúen
beneficiarse de la ayuda estatal,
											mientras que los niños pobres
											están continuamente privados
de comida y recursos.
											Gobernadores, senadores,
alcaldes, concejales,
											si llamamos a la educación
pública, educación pública,
											entonces debería ser justo eso.
											De lo contrario, deberíamos llamarla
lo que realmente es:
											un seguro de pobreza con el lema
											""La educación pública:
											mantenemos pobres a los niños
pobres desde 1954"".
									","
											Enquanto vivermos num mundo
											em que todas as crianças não têm
um ensino de alta qualidade,
											seja onde for que vivam,
											seja qual for a cor da sua pele,
											há coisas que podemos fazer
a nível macro.
											O financiamento das escolas não devia
ser decidido pelos impostos prediais
											ou por qualquer moderna equação económica
											em que as crianças ricas continuam
a beneficiar da ajuda estatal
											enquanto as crianças pobres 
veem continuamente
											a comida e os recursos
a serem-lhes retiradas da boca.
											Governadores, senadores, ""mayors"",
membros do conselho das cidades
											— se querem chamar ensino público
ao ensino público,
											é isso que ele deve ser.
											Caso contrário, devemos chamar-lhe
aquilo que ele é:
											seguro de pobreza.
											""Ensino público:
											""a manter pobres as crianças desde 1954"".
									","
											Until we live in a world where every kid
can get a high-quality education
											no matter where they live,
											or the color of their skin,
											there are things we can do
on a macro level.
											School funding should not
be decided by property taxes
											or some funky economic equation
											where rich kids continue
to benefit from state aid,
											while poor kids are continuously
having food and resources
											taken from their mouths.
											Governors, senators, mayors,
city council members —
											if we're going to call
public education public education,
											then it should be just that.
											Otherwise, we should
call it what it really is:
											poverty insurance.
											""Public education:
											keeping poor kids poor since 1954.""
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											(Risas)
									","
											(Risos)
									","
											(Laughter)
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Si realmente, como país,
											creemos que la educación
es el gran pilar de la igualdad
											entonces debe ser justo eso:
igualitaria y equitativa.
											Hasta entonces, no hay democracia
en nuestra educación democrática.
									","
											Se, enquanto país, acreditamos
que o ensino é o ""grande igualizador"",
											então devia ser isso mesmo:
igual e justo.
											Até lá, não há democracia
no nosso ensino democrático.
									","
											If we really, as a country, believe
that education is the ""great equalizer,""
											then it should be just that:
equal and equitable.
											Until then, there's no democracy
in our democratic education.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											En un rango intermedio
e históricamente hablando,
											la educación del niño no blanco
											siempre ha dependido de filántropos.
											Y por desgracia, aún depende hoy en día.
											Si su hijo, o hija, o sobrina,
o sobrino, o vecino,
											o el pequeño Timmy
											va a una escuela afluente,
											rete a su comité escolar para que adopte
una escuela o un aula menos favorecida.
											Reduzcan la división
mediante conversaciones
											y establezcan lazos que cuenten.
											Al compartir los recursos
no se dividen, sino que se multiplican.
									","
											A um nível médio:
											historicamente falando, 
o ensino das crianças negras e mestiças
											sempre dependeu da filantropia dos outros.
											Infelizmente, assim continua hoje.
											Se o nosso filho, filha ou sobrinha,
sobrinho ou vizinho
											ou a pequena Timmy, lá na rua,
											vai a uma escola abastada,
											façam com que a comissão dessa escola
adote uma escola empobrecida
											ou uma sala de aulas empobrecida.
											Fechem a separação,
envolvendo-se em comunicação
											e em relações que são importantes.
											Quando os recursos são partilhados,
											não são divididos,
											são multiplicados.
									","
											On a mezzo level:
											historically speaking, the education
of the black and brown child
											has always depended
on the philanthropy of others.
											And unfortunately, today it still does.
											If your son or daughter or niece
or nephew or neighbor
											or little Timmy down the street
											goes to an affluent school,
											challenge your school committee
to adopt an impoverished school
											or an impoverished classroom.
											Close the divide by engaging
in communication
											and relationships that matter.
											When resources are shared,
											they're not divided;
											they're multiplied.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Y a microescala, si eres humano, dona.
											Dona tiempo, dinero,
recursos, oportunidades,
											lo que más sientes en tu corazón.
											Hay sitios web como DonorsChoose
que admiten que hay inquietud educativa
											y realmente quieren
hacer algo al respecto.
									","
											E a nível micro:
											Se são seres humanos,
											façam uma doação.
											Tempo, dinheiro, recursos,
oportunidades,
											tudo o que houver no vosso coração.
											Há sites como o DonorsChoose
											que reconhecem a disparidade
											e querem fazer qualquer coisa
quanto a isso.
									","
											And on a micro level:
											if you're a human being,
											donate.
											Time, money, resources, opportunities —
											whatever is in your heart.
											There are websites like DonorsChoose
											that recognize the disparity
											and actually want
to do something about it.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											¿Qué es un carpintero sin herramientas?
											¿Qué es una actriz sin escenario?
											¿Qué es un científico sin laboratorio?
											¿Qué es un médico sin equipo?
											Les diré: son mis alumnos.
											¿No deberían importarte
estos alumnos también?
									","
											O que é um carpinteiro sem ferramentas?
											O que é uma atriz sem palco?
											O que é um cientista sem laboratório?
											O que é um médico sem equipamento?
											Eu digo-vos:
											estas são as minhas crianças.
											Não deviam ser também as vossas?
									","
											What is a carpenter with no tools?
											What is an actress with no stage?
											What is a scientist with no laboratory?
											What is a doctor with no equipment?
											I'll tell you:
											they're my kids.
											Shouldn't they be your kids, too?
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											Gracias.
									","
											Obrigada.
									","
											Thank you.
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
											(Aplausos)
									","
											(Aplausos)
									","
											(Applause)
									",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
"
","
","
",How America's public schools keep kids in poverty,Kandice Sumner,13:50,"TEDx,teaching,children,community,education,inequality,personal growth,policy,Slavery,race,society,United States"
