de,en,es,pt,fr,title,speaker,duration,tags
"
											Als wir den Bericht recherchierten,
											nahm, unabhängig von uns,
											ein Korruptionsskandal
in Brasilien seinen Lauf.
											Ein argentinischer Regierungschef
wurde ins Amt gewählt.
											Das FBI begann seine Klage 
gegen den FIFA-Verband,
											der die Welt des professionellen
Fußballs organisiert.
											Die Panama Papers gaben Einblick
											in diese sich entfaltenden Ereignisse.
											Da können Sie sich den Druck
und die Egodramen vorstellen,
											die unsere Arbeit hätten
zunichtemachen können.
											Jeder dieser Journalisten
											hätte unseren Pakt brechen können.
											Aber sie taten es nicht.
											Am 3. April dieses Jahres,
											genau um 8 Uhr abends deutsche Zeit,
											veröffentlichten wir zeitgleich
in 76 Ländern.
									","
											As we were researching the story,
											unconnected to us,
											a major political bribery scandal
happened in Brazil.
											A new leader was elected in Argentina.
											The FBI began to indict officials at FIFA,
											the organization that controls
the world of professional soccer.
											The Panama Papers
actually had unique insights
											into each one of these unfolding events.
											So you can imagine the pressure
and the ego dramas
											that could have ruined
what we were trying to do.
											Any of one of these journalists,
											they could have broken the pact.
											But they didn't.
											And on April 3 this year,
											at exactly 8pm German time,
											we published simultaneously
in 76 countries.
									","
											Mientras investigamos la historia,
											sin relación con nosotros,
											un importante escándalo de corrupción
política ocurrió en Brasil.
											Un nuevo líder fue elegido en Argentina.
											El FBI empezó a acusar
a los funcionarios de la FIFA,
											la organización que controla
el mundo del fútbol profesional.
											Los Documentos de Panamá
en realidad tenían una visión única
											de cada uno de estos acontecimientos.
											Así que pueden imaginar
la presión y los dramas de ego
											que podrían haber arruinado
lo que estábamos tratando de hacer.
											Cualquiera de estos periodistas
											podría haber roto el pacto.
											Pero no lo hicieron.
											Y el 3 de abril de este año,
											exactamente a las 20 horas de Alemania,
											hemos publicado en simultáneo
en 76 países.
									","
											Enquanto andávamos
a investigar a história,
											e totalmente desligados de nós,
											ocorreu no Brasil um grande escândalo
de suborno político.
											Foi eleito um novo líder na Argentina.
											O FBI começou a acusar
funcionários da FIFA,
											a organização que controla
o mundo do futebol profissional.
											Os Documentos do Panamá
revelavam aspetos únicos
											em cada um destes acontecimentos
que iam aparecendo.
											Podem imaginar a pressão
e os dramas do ego
											que podiam arruinar
o que estávamos a tentar fazer.
											Qualquer um daqueles jornalistas
											podiam ter furado o pacto.
											Mas não o fizeram.
											A 3 de abril deste ano,
											exatamente às 8 horas da tarde,
na Alemanha,
											publicámos, em simultâneo,
em 76 países.
									","
											Alors que nous faisions des recherches,
											non connectées à nous,
											un scandale majeur de corruption
politique a éclaté au Brésil.
											Un nouveau dirigeant
a été élu en Argentine.
											Le FBI a inculpé des officiels de la FIFA,
											l'organisation qui contrôle
le monde professionnel du football.
											Les Panama Papers
avaient des renseignements
											sur chacun de ces événements.
											Imaginez la pression et le problème d'ego
											qui auraient puis ruiné
ce que nous voulions faire.
											Un de ces journalistes
											aurait pu rompre notre engagement.
											Mais personne ne l'a fait.
											Le 3 avril de cette année,
											à exactement 20h en Allemagne,
											nous avons publié simultanément
dans 76 pays.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											(Applaus)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Die Panama Papers wurden rasant zu
einer der größten Schlagzeilen des Jahres.
											Hier ist ein Blick auf Island,
einen Tag nach der Veröffentlichung.
											Das war die erste von vielen Demos.
											Der isländische Premier
legte sein Amt nieder.
											Seiner war der erste
von mehreren Rücktritten.
											Wir machten auf viele Berühmtheiten,
wie Lionel Messi, aufmerksam,
											der bekannteste Fußballspieler der Welt.
											Es gab auch einige
unbeabsichtigte Konsequenzen.
											Diese mutmaßlichen, mexikanischen
Kartellmitglieder wurden verhaftet,
											nachdem wir Details
zu ihrem Versteck preisgaben.
											Sie hatten eine bestimmte Adresse benutzt,
											um ihre Offshore-Firma zu registrieren.
									","
											The Panama Papers quickly became
one of the biggest stories of the year.
											This is the scene in Iceland
the day after we published.
											It was the first of many protests.
											The Icelandic prime minister
had to resign.
											It was a first of many resignations.
											We spotlighted many famous people
such as Lionel Messi,
											the most famous
soccer player in the world.
											And there were some
unintended consequences.
											These alleged members
of a Mexican drug cartel were arrested
											after we published details
about their hideout.
											They'd been using the address
											to register their offshore company.
									","
											Los Documentos de Panamá se convirtieron
rápidamente en la historia del año.
											Esto es lo que sucedió en Islandia
al día siguiente de la publicación.
											Fue la primera de muchas protestas.
											El primer ministro de Islandia
tuvo que dimitir.
											Fue la primera de muchas renuncias.
											Pusimos en el punto de mira
a mucho famosos, como a Lionel Messi,
											el jugador de fútbol
más famoso del mundo.
											Y hubo algunas consecuencias no deseadas.
											Estos supuestos miembros de un cartel
mexicano de la droga fueron detenidos
											después de publicar detalles
sobre su escondite.
											Habían estado usando la dirección
											para registrar su empresa offshore.
									","
											Os Documentos do Panamá
cedo passaram a ser a maior notícia do ano.
											Este é o cenário na Islândia,
no dia seguinte à publicação.
											Foi a primeira de muitas
manifestações de protesto.
											O primeiro-ministro da Islândia
teve que se demitir.
											Foi a primeira de muitas demissões.
											Demos destaque a muitas pessoas
famosas, como Lionel Mess.
											o mais famoso futebolista do mundo.
											E houve algumas consequências inesperadas.
											Estes alegados membros dum cartel
mexicano de drogas foram presos
											depois de termos publicado
pormenores sobre o seu esconderijo.
											Tinham estado a usar o endereço
											para registar a sua empresa ""offshore"".
									","
											Les Panama Papers sont vite devenus
une des grosses histoires de l'année.
											Voici ce qu'il se passait en Islande
le lendemain de la publication.
											Ce fut la première
de nombreuses manifestations.
											Le Premier Ministre islandais
a dû démissionner.
											Ce fut la première
de nombreuses démissions.
											Nous avons mis en avant beaucoup
dé célébrités, comme Lionel Messi,
											le joueur de football
le plus célèbre au monde.
											Il y a eu des conséquences inattendues.
											Ces prétendus membres du cartel
de drogue mexicain ont été arrêtés
											après que nous ayons publié
des détails sur leur repaire.
											Ils indiquaient cette adresse
											pour leur entreprise offshore.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											(Gelächter)
									","
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Was wir erreichten,
bleibt nicht ohne Ironie.
											Die Technologie — das Internet —,
das unsere Industrie in die Knie zwang,
											erlaubt es uns, den Journalismus
neu zu definieren.
											Und dieser Trend erzeugt
											ungeahnte Tiefen an
Transparenz und Einfluss.
											Wir zeigten, dass Journalisten
einen Machtwechsel hervorbringen können,
											indem wir neue Methoden mit etablierten,
journalistischen Techniken kombinierten,
											die wir bei diesem
Informationsleck anwendeten.
											Wir kreierten Kontext zu dem, 
was uns Max Mustermann gab.
											Und durch das Teilen
											konnten wir mehr forschen —
											viel tiefer und länger als viele
Medienunternehmen heutzutage erlauben,
											aus finanziellen Beweggründen.
									","
											There's a kind of irony
in what we've been able to do.
											The technology — the Internet —
that has broken the business model
											is allowing us to reinvent
journalism itself.
											And this dynamic is producing
											unprecedented levels
of transparency and impact.
											We showed how a group of journalists
can effect change across the world
											by applying new methods
and old-fashioned journalism techniques
											to vast amounts of leaked information.
											We put all-important context
around what was given to us by John Doe.
											And by sharing resources,
											we were able to dig deep —
											much deeper and longer than most
media organizations allow these days,
											because of financial concerns.
									","
											Hay una especie de ironía
en lo que hemos podido hacer.
											La tecnología — Internet —
que ha roto el modelo de negocio
											nos está permitiendo reinventar
el periodismo en sí.
											Y esta dinámica está generando
											niveles sin precedentes
de transparencia e impacto.
											Demostramos cómo un grupo de periodistas
puede efectuar un cambio en el mundo
											aplicando nuevos métodos
y patrones periodísticos pasados de moda
											para filtrar una ingente
cantidad de información.
											Re-contextualizamos a escala
la información aportada por John Doe.
											Y compartiendo recursos,
											pudimos calar hondo...
											mucho más profundo y sostenido
que lo que permiten los medios hoy
											debido a intereses financieras.
									","
											Há uma espécie de ironia
em tudo o que conseguimos fazer.
											A tecnologia — a Internet —
que prejudicou a nossa atividade
											está a permitir-nos reinventar
o próprio jornalismo.
											Esta dinâmica está a produzir
											níveis sem precedentes
de transparência e impacto.
											Mostrámos como um grupo de jornalistas
pode levar a mudança ao mundo inteiro
											aplicando novos métodos
e antigas técnicas do jornalismo
											a grandes quantidades
de informações denunciadas.
											Colocámos um contexto muito importante
no que John Doe nos deu.
											Partilhando os recursos,
											conseguimos escavar mais fundo,
											mais fundo e de modo mais abrangente
do que consegue a maior parte dos ""media"",
											por causa das preocupações financeiras.
									","
											Il y a une part d'ironie
dans ce que nous avons pu faire.
											La technologie — internet —
qui a détruit le modèle économique
											nous permet de réinventer
tout le journalisme.
											Cette dynamique entraîne
											des niveaux de transparence
et d'impact sans précédent.
											Nous avons montré
qu'un groupe de journalistes
											pouvait impacter le monde
											en appliquant de nouvelles méthodes
et de vieilles techniques journalistiques
											à un gros volume d'informations.
											Nous avons replacé dans son contexte
ce que John Doe nous avait donné.
											En partageant nos ressources,
											nous avons pu creuser profond —
											bien plus profond, pendant plus longtemps
											que les journaux
le permettent aujourd'hui,
											à cause des préoccupations financières.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Es war ein großes Risiko,
											nicht auf alle Reportagen anwendbar,
											aber mit den Panama Papers zeigten wir,
											dass man über jedes Land
überall auf der Welt schreiben kann
											und dann sein Schlachtfeld wählen muss,
um die Arbeit zu verteidigen.
											Versuchen Sie eine
Gerichtsverfügung zu erhalten,
											die einen davon abhielte, einen Bericht 
in 76 Länder zu veröffentlichen.
											Versuchen Sie,
das Unvermeidliche zu stoppen.
									","
											Now, it was a big risk,
											and it wouldn't work for every story,
											but we showed with the Panama Papers
											that you can write about any country
from just about anywhere,
											and then choose your preferred
battleground to defend your work.
											Try obtaining a court injunction
											that would prevent the telling
of a story in 76 different countries.
											Try stopping the inevitable.
									","
											Ahora, fue un gran riesgo
y no funcionará siempre,
											pero con los Documentos de Panamá
hemos demostrado
											que se puede escribir sobre cualquier
país desde casi cualquier lugar,
											y luego elegir el campo de batalla
preferido para defender el trabajo.
											Intentaron obtener una orden judicial
											para evitar la publicación
de una historia en 76 países.
											Intentaron evitar lo inevitable.
									","
											Corremos um grande risco
											e não funcionou com todas as notícias,
											mas mostrámos,
com os Documentos do Panamá,
											que podemos escrever sobre qualquer país
a partir de quase toda a parte,
											podemos escolher o campo de batalha
preferido para defender o nosso trabalho.
											Tentar obter uma acusação judicial
											que impeça contar uma notícia
em 76 países diferentes
											É tentar impedir o inevitável.
									","
											C'était un gros risque,
											cela ne fonctionne pas à tous les coups,
											mais nous avons pu montrer
											que l'on peut écrire sur
n'importe quel pays depuis n'importe où
											puis choisir son terrain de bataille
préféré pour défendre son travail.
											Difficile d'obtenir une injonction
											empêchant de raconter une histoire
dans 76 pays différents.
											C'est comme empêcher l'inéluctable.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Kurz nach Veröffentlichung erhielt
ich eine 3-Wörter-Nachricht von Johannes:
											""Wintris ist angekommen.""
									","
											Shortly after we published,
I got a three-word text from Johannes:
											""Wintris has arrived.""
									","
											Poco después de publicar, recibí
un texto de tres palabras de Johannes:
											""Wintris ha llegado"".
									","
											Pouco depois de termos publicado,

											recebi um texto de Johannes
com três palavras:
											""Chegou o Wintris"".
									","
											Peu après notre publication,
Johannes m'a envoyé trois mots par SMS :
											« Wintris has arrived. »
[Wintris est arrivé]
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											(Gelächter)
									","
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Der ist nun hier und auch eine
neue Epoche für den Journalismus.
									","
											It had arrived and so, too, perhaps
has a new era for journalism.
									","
											Había llegado así, también, quizá
una nueva era para el periodismo.
									","
											Chegara, sim, e talvez também
uma nova era para o jornalismo.
									","
											Il était arrivé, comme peut-être
une nouvelle ère de journalisme.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Danke.
									","
											Thank you.
									","
											Gracias.
									","
											Obrigado.
									","
											Merci.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											(Applaus)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Bruno Giussani: Gerard, danke dir.
									","
											Bruno Giussani: Gerard, thank you.
									","
											Bruno Giussani: Gerard, gracias.
									","
											Bruno Giussani: Gerard, obrigado.
									","
											Bruno Giussani : Gerard, merci.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Ich nehme an, dieser Applaus
gilt auch den 350 Journalisten,
											die mit dir gearbeitet haben?
									","
											I guess you're going to send
that applause to the 350 journalists
											who worked with you, right?
									","
											Creo que enviarás los aplausos
a los 350 periodistas
											que trabajaron contigo, ¿verdad?
									","
											Imagino que vai enviar estes aplausos
aos 350 jornalistas
											que trabalharam consigo, não é?
									","
											Vous allez envoyer
ces applaudissements aux 350 journalistes
											qui ont travaillé avec vous ?
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Ich möchte dir gerne
ein paar Fragen stellen.
											Als Erstes,
											du hast über ein Jahr lang im Geheimen
											mit über 350 Kollegen 
aus aller Welt gearbeitet —
											hattest du je das Gefühl,
											dass das Leak selbst undicht sein könnte,
											dass die Zusammenarbeit
durch einen deiner Kollegen,
											der was berichtet, Schaden nimmt?
											Oder dass jemand außerhalb
der Gruppe Infos veröffentlicht,
											die sie erfahren hatten?
									","
											Now, a couple of questions
I would like to ask.
											The first one is,
											you'd been working
in secrecy for over a year
											with 350-something colleagues
from all over the world —
											was there ever a moment when you thought
											that the leak may be leaked,
											that the collaboration may just be broken
											by somebody publishing a story?
											Or somebody not in the group
releasing some information
											that they got to know?
									","
											Ahora, me gustaría hacer
un par de preguntas.
											La primera trata
											sobre haber estado trabajando
en secreto durante más de un año
											con más de 350 colegas
de todo el mundo:
											¿pensó en algún momento
											que la información podría filtrarse,
											que la colaboración podía fracasar
											si alguien publicaba una historia,
											o si alguien ajeno al grupo liberaba
parte de la información gestionada?
									","
											Gostava de lhe fazer umas perguntas.
											A primeira é esta:
											Esteve a trabalhar em segredo
durante mais de um ano
											com 350 colegas do mundo inteiro.
											Houve algum momento en que pensou
											que a fuga podia ser denunciada
											que a colaboração podia ser furada
											por alguém que publicasse uma notícia?
											Ou que alguém, sem ser do grupo,
prestasse quaisquer informações
											que viesse a saber?
									","
											J'aimerais vous poser
quelques questions.
											La première :
											vous avez travaillé en secret
pendant plus d'un an
											avec 350 collègues
venant du monde entier —
											n'avez-vous jamais pensé
											que la fuite allait fuiter,
											que la collaboration serait interrompue
											par quelqu'un publiant à ce sujet ?
											Ou quelqu'un extérieur au groupe
révélant des informations
											qu'ils auraient découvertes ?
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											Gerard Ryle: Wir hatten einige Krisen
auf unserem Weg,
											die wichtige Ereignisse betrafen,
											die Reporter aus dem Land
sogleich veröffentlichen wollten.
											Wir beruhigten sie.
											Vielleicht war die größte Krise
eine Woche, bevor wir publizierten.
											Wir hatten den Putin-Mitarbeitern
ein paar Fragen geschickt,
											aber anstatt zu antworten,
											hielt der Kreml eine Konferenz ab
und prangert uns an.
											Und sie erklärten, das Ganze sei eine
Verschwörung der westlichen Welt.
											Damals nahm Putin wohl an,
dass es nur um ihn ging.
											Natürlich waren viele
Chefredakteure rund um die Welt
											sehr nervös wegen dieser Sache.
											Sie dachten, das Ganze würde auffliegen.
											Man kann sich vorstellen,
											wie viel Zeit, Mittel und Geld
sie hierfür ausgegeben hatten.
											Ich habe die letzte Woche 
damit verbracht, jeden zu beruhigen,
											beinahe wie ein General,
der seine Truppe zurückhält:
											""Immer mit der Ruhe.""
											Und wie man sieht, blieben sie ruhig.
									","
											Gerard Ryle: We had a series
of crises along the way,
											including when something major
was happening in the world,
											the journalists from that country
wanted to publish right away.
											We had to calm them down.
											Probably the biggest crisis we had
was a week before publication.
											We'd sent a series of questions
to the associates of Vladimir Putin,
											but instead of responding,
											the Kremlin actually held
a press conference and denounced us,
											and denounced the whole thing
as being, I guess, a plot from the West.
											At that point, Putin thought
it was just about him.
											And, of course, a lot of editors
around the world
											were very nervous about this.
											They thought the story
was going to get out.
											You can imagine the amount
of time they'd spent,
											the amount of resources,
money spent on this.
											So I had to basically spend
the last week calming everyone down,
											a bit like a general,
where you're holding your troops back:
											""Calm, remain calm.""
											And then eventually,
of course, they all did.
									","
											Gerard Ryle: Tuvimos una serie
de crisis por el camino,
											especialmente cuando estaba ocurriendo
algo importante en el mundo,
											y los periodistas de ese país
querían publicar de inmediato.
											Tuvimos que calmarlos.
											Quizá la mayor crisis que tuvimos fue
una semana antes de la publicación.
											Habíamos enviado una serie de preguntas
a los asociados de Vladimir Putin,
											pero en lugar de responder,
											el Kremlin en realidad llevó a cabo
una rueda de prensa y nos denunció,
											y denunció todo el proyecto como,
supongo, un complot de Occidente.
											En ese momento, Putin pensó
que era solo él implicado.
											Y, por supuesto, muchos editores
en el mundo
											estaban muy nerviosos por esto.
											Pensaron que la historia iba a publicarse.
											¿Se imaginan el tiempo,
											la cantidad de recursos,
el dinero gastado?
											Tuve que pasar, básicamente,
la última semana calmando los ánimos,
											un poco como un general
que sostiene a la tropa:
											""Calma, mantengan la calma"".
											Y luego, eventualmente,
claro, todos se calmaron.
									","
											Gerard Ryle: Tivemos muitas
crises, durante o percurso,
											inclusive, quando acontecia
qualquer coisa importante no mundo,
											os jornalistas desse país
queriam publicar imediatamente.
											Tivemos que os acalmar.
											A maior crise que tivemos
foi uma semana antes da publicação.
											Tínhamos enviado uma série de perguntas
aos colaboradores de Vladimir Putin,
											mas, em vez de responderem,
											o Kremlin convocou uma conferência
de imprensa e denunciou-nos.
											Denunciou tudo como sendo
uma conspiração feita pelo Ocidente.
											Nessa altura, Putin julgou
que se tratava só dele.
											Claro, muitos editores
em todo o mundo,
											ficaram muito nervosos com isso.
											Pensaram que a notícia ia sair.
											Podem imaginar a quantidade
de tempo que gastaram,
											os recursos e o dinheiro gastos com isso.
											Tivemos que passar a última semana
a acalmar toda a gente,
											como um general, que quer impedir
que as tropas recuem:
											""Calma, mantenham a calma"".
											Por fim, todos se acalmaram.
									","
											Gerard Ryle : Nous avons connu
plusieurs crises,
											y compris lorsque quelque chose
d'important se produisait,
											les journalistes de ce pays
voulaient publier illico.
											Nous devions les calmer.
											Notre plus grosse crise eut lieu
											une semaine avant la publication.
											Nous avions envoyé des questions
aux associés de Vladimir Poutine
											mais au lieu de répondre,
											le Kremlin a tenu une conférence de presse
et nous a dénoncés,
											a dénoncé cela comme étant
un coup monté de l'Ouest.
											A ce moment-là, Poutine pensait
être le seul concerné.
											Bien sûr, nombre d'éditeurs
à travers le monde
											étaient très nerveux à ce sujet.
											Ils ont cru que le sujet allait sortir.
											Imaginez le temps qu'ils ont passé,
											les ressources et l'argent dépensés.
											J'ai passé la dernière semaine
à calmer tout le monde,
											comme un général retenant ses troupes :
											« Calme, restez calmes. »
											Puis, finalement, nous l'avons fait.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											BG: Vor ein paar Wochen oder so
											hast du viele dieser Dokumente 
auf einer öffentlichen Datenbank geteilt,
											die jedermann durchsuchen kann.
									","
											BG: And then a couple weeks ago or so,
											you released a lot of the documents
as an open database
											for everybody to search
via keyword, essentially.
									","
											BG: Y luego, hace un par
de semanas más o menos,
											dieron a conocer muchos documentos
como base de datos abierta
											para que todo el mundo buscara
palabras clave, esencialmente.
									","
											BG: Então, umas semanas depois,
											publicaram uma data de documentos
numa base de dados aberta
											para que todos pudessem pesquisar,
através de uma palavra-chave.
									","
											BG : Il y a quelques semaines,
											vous avez publié des documents
sous forme de base de données libre
											que tout le monde peut consulter.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											GR: Wir glauben daran,
											dass die Informationen
über die Offshore-Welt
											öffentlich sein sollten.
											Dabei haben wir andere
Dokumente nicht publiziert
											von Reportern, mit denen wir arbeiteten.
											Aber Basisdaten 
wie der Name einer Person,
											wie deren Offshore-Firma heißt,
											das ist nun einsehbar.
											In der Tat ist das die größte 
Ressource ihrer Art.
									","
											GR: We very much believe
											that the basic information
about the offshore world
											should be made public.
											Now, we didn't publish
the underlying documents
											of the journalists we're working with.
											But the basic information
such as the name of a person,
											what their offshore company was
and the name of that company,
											is now all available online.
											In fact, the biggest resource
of its kind basically is out there now
									","
											GR: Creemos mucho
											que la información básica
sobre el mundo offshore
											debería hacerse pública.
											Pero no publicamos
los documentos originales
											de los periodistas con
los que estamos trabajando.
											Pero la información básica
como el nombre de una persona,
											cuál era su empresa offshore
y el nombre de esa compañía,
											ahora está disponible en línea.
											De hecho, el mayor recurso de su tipo,
básicamente, ahora está disponible.
									","
											GR: Tínhamos a convicção
											de que as informações
sobre os paraísos fiscais
											deviam ser tornadas públicas.
											Não publicámos os documentos subjacentes
											dos jornalistas com quem trabalhámos.
											Mas as informações básicas,
como o nome duma pessoa,
											qual era o seu paraíso fiscal
e o nome dessa empresa
											estão todas disponíveis na Internet.
											De facto, o maior recurso 
deste tipo está lá neste momento.
									","
											FR : Nous croyons
											que les informations basiques
sur le monde offshore
											devraient être publiques.
											Nous n'avons pas publié
les documents sous-jacents
											sur lesquels nous avons travaillé.
											Mais les informations basiques
comme le nom de la personne,
											le nom et l'activité
de l'entreprise offshore,
											sont disponibles en ligne.
											La plus grande ressource de son genre
est maintenant en ligne.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											BG: Gerard, danke für deinen Einsatz.
									","
											BG: Gerard, thank you for the work you do.
									","
											BG: Gerard, gracias por
el trabajo que haces.
									","
											BG: Gerard, obrigado
pelo trabalho que fez.
									","
											BG : Gerard, merci pour votre travail.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											GR: Danke.
									","
											GR: Thank you.
									","
											GR: Gracias.
									","
											GR: Obrigado.
									","
											GR : Merci.
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
											(Applaus)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
"
","
","
","
","
",How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,13:08,"journalism,big problems,communication,business,global issues,collaboration,government,technology,society,writing,Internet,data"
