en,tr,es,fr,pt,de,title,speaker,duration,tags
"
											As I grew older,
I became more aware of others
											and how they viewed
my race and background.
											Specifically, when I started
wearing the head scarf known as a hijab.
											When I first started
wearing it, I was excited.
											I remember admiring my mother's,
and I wanted to emulate her beauty.
											But when I started middle school,
											the students teased me
about not having hair,
											so to prove them wrong,
											I started showing them my hair —
											something that goes against my beliefs,
but something I felt pressured to do.
											I wanted so badly to fit in at the time.
									","
											Yaşım büyüdükçe diğerlerinin 
benim geçmişime ve
											ırkıma bakış açılarının 
farkına varmaya başladım.
											Özellikle, hijab olarak bilinen 
başörtüsünü takmaya başladığımda.
											İlk giymeye başladığımda
heyecanlıydım.
											Anneminkine hayrandım ve 
onun güzelliğini taklit etmek istedim.
											Fakat ortaokula başladığımda
											öğrenciler saçım yok diye
benimle uğraştılar,
											yanıldıklarını kanıtlamak için
											onlara saçımı göstermeye başladım,
											inancıma zıt olan fakat yapmak
zorunda hissettiğim bir şeydi.
											O zamanlar uyumlu olmayı çok isterdim.
									","
											A medida que fui creciendo,
tomé conciencia de otras personas
											y de lo que opinaban
de mi raza y de mi pasado.
											Específicamente, cuando empecé a 
portar el velo en la cabeza llamado hiyab.
											Cuando empecé a usarlo, estaba emocionada.
											Recuerdo cómo admiraba el de mi 
madre y quería emular su hermosura.
											Pero cuando comencé la secundaria,
											los alumnos se burlaban y 
me decían que no tenía cabello,
											y para demostrarles lo contrario,
											les enseñaba mi cabello,
											lo cual va en contra de mis creencias,
pero me sentí presionada a hacerlo.
											Yo quería encajar con todas mis fuerzas.
									","
											En grandissant, je suis devenue
plus consciente des autres
											et de leurs vues
sur mon ethnie et mes origines.
											Surtout quand j’ai commencé à porter
un foulard sur la tête, le hijab.
											Lorsque j’ai commencé à le porter,
j’étais enchantée.
											J’admirais celui de ma mère
et je voulais égaler sa beauté.
											Mais quand j’ai commencé le collège,
											les élèves me taquinaient
de ne pas avoir de cheveux.
											Alors, pour leur donner tort,
											j’ai commencé à leur montrer mes cheveux,
											un acte contre mes croyances, 
mais je me suis forcée à le faire.
											À l’époque, je voulais
tellement m’intégrer.
									","
											À medida que crescia, 
tornei-me mais consciente dos outros
											e como eles encaravam
a minha etnia e a minha origem.
											Especificamente, quando comecei 
a usar o véu, conhecido por ""hijab"",
											quando comecei a usá-lo,
senti-me encantada.
											Lembro-me de admirar o da minha mãe
e queria ser tão bonita como ela.
											Mas quando entrei para o segundo ciclo,
											os alunos faziam troça de mim
por eu não ter cabelo.
											Para lhes provar que estavam enganados,
											comecei a mostrar-lhes o meu cabelo
											— uma coisa que ia contra a minha crença
mas senti-me obrigada a fazê-lo.
											Queria desesperadamente
integrar-me, naquela época.
									","
											Als ich älter wurde, bemerkte ich,
wie andere meine Herkunft wahrnahmen.
											Vor allem, als ich begann,
das Kopftuch zu tragen, den Hijab.
											Am Anfang war ich aufgeregt.
											Ich bewunderte den Hijab meiner Mutter
und wollte ihrer Schönheit nacheifern.
											Doch als ich in die Middle School kam,
											behaupteten meine Mitschüler,
ich hätte kein Haar.
											Um das Gegenteil zu beweisen,
											zeigte ich ihnen meine Haare —
											etwas, das gegen meine Überzeugung geht,
aber ich fühlte mich dazu gedrängt.
											Damals wollte ich unbedingt dazugehören.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											When I reflect on the issues
of race, religion, identity,
											a lot of painful memories come to mind.
											It would be easy for me to blame
those of another culture
											for making me feel the pain I felt,
											but when I think deeper,
											I also recognize that the most impactful,
											positive, life-changing events
that have happened to me
											are thanks to those people
who are different than me.
											It was at this moment that I decided
to step outside of my comfort zone
											and compete in a pageant
wearing a hijab and burkini.
											I saw it as an opportunity
to be a voice for women
											who, like myself,
had felt underrepresented.
											And although I didn't capture the crown,
											that experience opened
so many doors for me.
											I was receiving emails and messages
from women all over the world,
											telling me that I've inspired them
by simply staying true to myself.
									","
											Konuyu ırk, din, kimliğe
yansıttığımda
											acı verici bir sürü şey hatırlıyorum.
											Acı hissetmeme sebep oldukları
için diğer kültürden olanları
											suçlamak benim için kolay olurdu,
											fakat daha derin düşündüm.
											Ayrıca başıma gelen 
en etkili, pozitif,
											hayat değiştiren şeylerin
											benden farklı insanlar sayesinde
gerçekleştiğini anladım.
											O an güvenli bölgemden çıkıp
başörtüsü ve haşema giyerek
											güzellik yarışmasında yarışmaya
karar verdim.
											Benim gibi olan,
yeterince temsil edilmemiş
											kadınların sesi olmak için 
bir fırsat olarak gördüm.
											Tacı almasam da
											bu deneyim bana bir sürü
kapı açtı.
											Dünyanın her yerindeki kadınlardan,
sadece kendime sadık kalarak
											onlara ilham verdiğimi
söyleyen mail ve mesajlar aldım.
									","
											Al reflexionar sobre cuestiones
de raza, religión o identidad,
											me vienen a la mente
muchos recuerdos dolorosos.
											Podría acusar fácilmente
a los de otras culturas
											de hacerme sentir ese dolor,
											pero pensándolo bien,
											también reconozco que los
hechos más impactantes,
											positivos y que cambiaron
mi vida, me ocurrieron
											gracias a toda esa gente
que es diferente a mí.
											Fue entonces cuando decidí
salir de mi zona de confort
											y competí en un certamen
portando el hiyab y el burkini.
											Lo vi como una oportunidad
para hablar por las mujeres
											que, como yo, no se sentían representadas.
											Y aunque no conseguí la corona,
											esa experiencia me abrió muchas puertas.
											Recibí correos y mensajes
de mujeres de todo el mundo
											diciéndome que mi autenticidad
les había servido de inspiración.
									","
											Quand je pense aux problèmes
d’ethnicité, de religion et d’identité,
											beaucoup de mauvais souvenirs
ressurgissent.
											Il me serait aisé de blâmer
les personnes issues d’une autre culture
											pour la souffrance que je ressentais.
											Mais en y réfléchissant plus,
											j’admets aussi que les événements
les plus percutants,
											les plus positifs
et les plus bouleversants de ma vie
											me sont arrivés grâce
aux personnes différentes de moi.
											C’est à ce moment que j’ai décidé
de quitter ma zone de confort
											et de participer à un concours,
avec un hijab et un burkini.
											Ce fut une opportunité
d’être une voix pour les femmes
											qui, comme moi,
se sentaient sous-représentées.
											Même si je n’ai pas gagné le concours,
											cette expérience
m’a ouvert tellement de portes.
											Je recevais des e-mails et des messages
de femmes du monde entier.
											Elles disaient que je les inspirais
car je restais juste fidèle à moi-même.
									","
											Quando reflito nos problemas
das etnias, da religião, da identidade,
											invadem-me muitas recordações dolorosas.
											Para mim seria fácil acusar
esta ou aquela cultura
											por me fazerem sofrer como eu sofria
											mas, quando penso melhor,
											também reconheço que os acontecimentos
de maior impacto, mais positivos
											que mudaram a minha vida
e que me aconteceram
											foram graças a essas pessoas
que são diferentes de mim.
											Foi nesse momento que decidi
sair da minha zona de conforto
											e participar num concurso
usando um ""hijab"" e um ""burkini"".
											Achei que era uma oportunidade
de ser uma voz para as mulheres
											que, como eu,
se sentiam mal representadas.
											Embora não tenha conquistado a coroa,
											essa experiência abriu-me muitas portas.
											Eu recebia ""emails"" e mensagens
de mulheres do mundo inteiro
											a dizerem-me que as tinha inspirado
só por me manter fiel a mim mesma.
									","
											Wenn ich über die Themen Rasse, Religion
oder Identität nachdenke,
											habe ich viele schmerzhafte Erinnerungen.
											Es wäre einfach, die anderen Kulturen
dafür verantwortlich zu machen,
											dass ich diesen Schmerz erfahren musste.
											Aber wenn ich nachdenke, weiß ich
											dass die wirkungsvollsten, positiven,
lebensverändernden Ereignisse,
											durch Menschen geprägt
wurden, die anders sind als ich.
											In diesem Moment wollte ich aus
meiner Komfortzone heraustreten.
											Ich wollte bei einem Schönheitswettbewerb
einen Hijab und einen Burkini tragen.
											Ich sah es als Möglichkeit,
die Stimme zu sein,
											für Frauen wie mich,
die sonst untergingen.
											Obwohl ich nicht gewann,
											öffnete mir diese Erfahrung viele Türen.
											Ich bekam Emails und Nachrichten
von Frauen auf der ganzen Welt.
											Sie schrieben, ich hätte sie inspiriert,
weil ich ich selbst geblieben war.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											The other ""firsts"" kept coming.
											I was invited to New York City
by fashion icon Carine Roitfeld
											to shoot my very first editorial.
											It was around this time that I became
the first hijab-wearing model,
											and in my first year,
											I graced the covers
of nine fashion magazines.
											It was a whirlwind, to say the least.
											But with all the overnight success,
											there was one thing
that remained constant —
											the thought that this could be
what brings me back here to Kakuma,
											the place that I call home.
									","
											Diğer ''ilk''ler yoldaydı.
											İlk baş yazım için moda ikonu
Carine Roitfeld tarafından
											New York'a davet edildim.
											Bu ilk başörtü takan model 
olduğum zamanlardaydı
											ve ilk yılımda
											dokuz moda dergisinin
kapağına çıktım.
											En abartısız haliyle 
kasırga gibiydi.
											Fakat ani başarılarımda
											aynı kalmaya devam eden
tek bir şey vardı;
											ev dediğim yere, Kakuma'ya beni
götürecek şeyin
											bu olabileceği düşüncesi.
									","
											Otros ""debuts"" siguieron llegando.
											Carine Roitfeld, icono de la
moda, me invitó a Nueva York
											para rodar mi primera sesión de editorial.
											En esa época me convertí en 
la primera modelo con hiyab
											y en mi primer año,
											adorné las portadas de 
nueve revistas de moda.
											Fue sensacional, por decir algo.
											Pero a pesar de ese éxito tan repentino,
											hubo algo que no cambió:
											la idea de poder regresar aquí a Kakuma,
											el lugar al que llamo mi hogar.
									","
											Il y a eu d’autres « premières fois ».
											L’icône de la mode Carine Roitfeld
m’a conviée à New York
											pour photographier
mon tout premier éditorial.
											C’est à cette période que je suis devenue
le premier mannequin voilé
											et, lors de la première année,
											j’ai fait la couverture
de neuf magazines de mode.
											On pouvait dire que
j'étais extrêmement occupée.
											Même avec ce succès soudain,
											une chose demeurait :
											l'idée que tout cela finirait 
par me ramener à Kakuma,
											mon chez moi.
									","
											As outras ""primeiras vezes"" continuaram.
											Fui convidada para Nova Iorque
pela icónica Carine Roitfeld
											para fotografar o meu primeiro editorial.
											Foi também nesta época que me tornei
o primeiro modelo com ""hijab"".
											No primeiro ano,
											apareci nas capas de nove
revistas de moda.
											Foi um turbilhão, para dizer o mínimo.
											Mas com todo este êxito repentino,
											havia uma coisa que permanecia constante.
											Era o pensamento de que tudo isso
me traria aqui a Kakuma,
											o local a que chamo a minha terra.
									","
											Andere ""Erste Male"" kamen.
											Ich wurde von Modeikone Carine Roitfeld
für mein allererstes ""Editorial""
											nach New York City eingeladen.
											Etwa zeitgleich wurde ich das erste
Hijab-tragende Model
											und in meinem ersten Jahr,
schmückte ich neun Magazin-Cover.
											Es war, kurzgesagt, viel Trubel.
											Aber bei all dem plötzlichen Erfolg
											blieb eine Sache immer konstant —
											der Gedanke, dass mich das alles
wieder hierhin zurückbringen könnte,
											Kakuma, mein Zuhause.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											And just a few months ago,
something incredible happened to me.
											I was in New York City, on a photo shoot,
											when I met South Sudanese
model Adut Akech,
											who also happened to be born
right here in Kakuma.
											That experience in itself
is the definition of hope.
											I mean, just imagine:
											two girls born in the same refugee camp,
											reunited for the first time
on the cover of British ""Vogue.""
									","
											Birkaç ay önce, en harika
şey başıma geldi.
											New York'ta bir fotoğraf
çekimindeydim,
											Kakuma'da doğmuş olan,
Güney Somalili model
											Adut Akech ile tanıştım.
											Bu deneyim, kendi içinde 
umudun tanımıydı.
											Yani, hayal edin;
											aynı mülteci kampında doğmuş
iki kız,
											İngiliz ''Vogue''un kapağı için ilk
defa bir araya geliyor.
									","
											Y tan solo unos meses después,
me sucedió algo increíble.
											Estaba en Nueva York,
en una sesión de fotos,
											cuando conocí a la modelo
sursudanesa Adut Akech
											quien también nació aquí en Kukuma.
											Esa experiencia en sí, es la
mejor definición de esperanza.
											Imagínense,
											dos niñas que nacieron en el
mismo campo de refugiados
											se juntan por primera vez en la
portada de la ""Vogue"" británica.
									","
											Il y a quelques mois, il m'est arrivé
quelque chose d'incroyable.
											J'étais à New York pour une séance photo,
											lorsque j'ai rencontré Adut Akech,
un mannequin du Soudan du Sud
											qui est elle aussi née à Kakuma.
											Cette expérience en elle-même
est la définition de l'espoir.
											Imaginez juste cela :
											deux jeunes filles nées
dans le même camp de réfugiés,
											réunies pour la première fois
pour faire la couverture du « Vogue UK ».
									","
											Apenas há uns meses,
aconteceu-me uma coisa incrível.
											Eu estava em Nova Iorque,
numa sessão de fotografias,
											quando encontrei Adut Akech,
a modelo do Sudão do Sul

											que também tinha nascido aqui em Kakuma.
											Essa experiência em si mesma
é a definição de esperança.
											ou seja, imaginem só:
											duas raparigas nascidas
no mesmo campo de refugiados
											reunidas pela primeira vez
na capa da ""Vogue"" britânica.
									","
											Erst vor ein paar Monaten
passierte etwas Unglaubliches.
											Ich war in New York City
bei einem Fotoshooting,
											als ich das südsudanesische
Model Adut Akech traf.
											Sie ist ebenfalls hier in Kakuma geboren.
											Dieses Treffen ist in sich schon
die Definition von Hoffnung.
											Stellen Sie sich vor:
											Zwei Mädchen aus diesem Flüchtlingscamp
											werden zum ersten Mal wiedervereint
auf dem Cover der britischen ""Vogue"".
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											(Applause and cheering)
									","
											(Alkış ve tezahürat)
									","
											(Aplauso y ovación)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus und Jubel)
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											I was given the distinct pleasure
of partnering up with UNICEF,
											knowing firsthand the work
that they do for children in need.
											And I want you to remember
											that although the children
here may be refugees,
											they are children.
											They deserve every opportunity
to flourish, to hope, to dream —
											to be successful.
									","
											İhtiyacı olan çocuklar için 
yaptıkları işi ilk elden bilerek
											UNICEF'le işbirliği yapmaktan
ayrı bir zevk aldım.
											Şunu hatırlamanızı istiyorum,
											buradakiler
mülteci olsalar da
											çocuk.
											Gelişmek, umut etmek, hayal 
kurmak, başarılı olmak için
											her fırsata sahip olmalılar.
									","
											Tuve el gran honor de asociarme con UNICEF
											sabiendo de primera mano el trabajo
que hacen por los niños necesitados.
											Quisiera que se acuerden
											de que los niños aquí refugiados,
											siguen siendo niños.
											Se merecen todas las oportunidades
para prosperar, tener esperanza, soñar
											y triunfar.
									","
											J'ai eu le plaisir de travailler
en coopération avec l'UNICEF,
											car je connaissais déjà leur travail 
pour les enfants dans le besoin.
											N'oubliez surtout pas
											que bien que les enfants d'ici
soient des réfugiés,
											ils restent des enfants.
											Ils méritent de s'épanouir,
d'espérer, de rêver...
											et de réussir.
									","
											Tive o prazer de trabalhar
em cooperação com a UNICEF,
											sabendo de antemão o trabalho
que eles fazem para crianças necessitadas.
											Gostava que se lembrassem
											de que, embora as crianças aqui
sejam refugiadas,
											são crianças.
											Merecem todas as oportunidades
para florescer, para ter esperança,
											para sonhar, para terem êxito.
									","
											Mir wurde die Ehre zuteil,
mit UNICEF zusammenzuarbeiten,
											deren Arbeit ich als Kind
aus erster Hand miterlebt hatte.
											Bitte bedenken Sie:
											Auch wenn diese Kinder Geflüchtete sind,
sind sie trotz allem immer noch Kinder.
											Sie verdienen jede Chance, aufzublühen,
zu hoffen, zu träumen —
											erfolgreich zu sein.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											My story began right here
in Kakuma refugee camp,
											a place of hope.
									","
											Benim hikayem tam burada,
Kakuma mülteci kampında,
											bir umut yerinde başladı.
									","
											Mi historia comenzó justo aquí, en 
el campo de refugiados de Kakuma,
											un lugar de esperanza.
									","
											Mon histoire a commencé ici,
dans le camp de réfugiés de Kakuma,
											un endroit plein d'espoir.
									","
											A minha história começou aqui
no campo de refugiados de Kakuma,
											um local de esperança.
									","
											Meine Geschichte begann hier
im Kakuma Flüchtlingscamp,
											einem Ort der Hoffnung.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											Thank you.
									","
											Teşekkürler.
									","
											Gracias.
									","
											Merci.
									","
											Obrigada,
									","
											Vielen Dank.
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
											(Applause)
									","
											(Alkış)
									","
											(Aplauso)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
"
","
","
","
","
","
",How I went from child refugee to international model,Halima Aden,7:58,"global issues,fashion,refugees,TEDx,identity,society,community,humanity,culture"
