pt,en,de,fr,tr,title,speaker,duration,tags
"
											O juiz em questão
rejeitou o processo de Emma
											e o argumento para essa rejeição
											foi que o patrão
contratava afro-americanos
											e o patrão contratava mulheres.
											Mas o problema real,
que o juiz não quis reconhecer
											e o que Emma estava a tentar dizer
											era que os afro-americanos contratados
para empregos industriais, de manutenção
											eram todos homens.

											E as mulheres contratadas,
para trabalhos de secretariado, de receção,
											eram todas brancas.
											Só se o tribunal pudesse ver
como estas políticas se juntavam
											poderia ter visto a dupla discriminação
											de que Emma DeGraffenreid fora vítima.
											Mas o tribunal recusou-se a autorizar Emma
a juntar as duas causas de ação
											para contar a sua história
											porque achava que,
se lhe permitisse fazer isso,
											ela teria um tratamento preferencial.
											Teria vantagem, por reunir
dois argumentos,
											quando os homens afro-americanos
e as mulheres brancas só tinham um.
											Claro que nem os homens afro-americanos
nem as mulheres brancas
											precisavam de juntar uma queixa
de discriminação racial ou sexista
											para contar a história da discriminação
que estavam a sofrer.
											Não foi uma verdadeira injustiça
											a recusa das leis em proteger
as mulheres afro-americanas
											simplesmente porque as suas experiências
não eram exatamente as mesmas
											que as das mulheres brancas
e dos homens afro-americanos?
											Em vez de alargar a moldura
para incluir as mulheres afro-americanas,
											o tribunal rejeitou liminarmente
o processo do tribunal.
									","
											Now, the judge in question
dismissed Emma's suit,
											and the argument
for dismissing the suit was
											that the employer
did hire African-Americans
											and the employer hired women.
											The real problem, though, that the judge
was not willing to acknowledge
											was what Emma was actually trying to say,
											that the African-Americans
that were hired,
											usually for industrial jobs,
maintenance jobs, were all men.
											And the women that were hired,
											usually for secretarial
or front-office work,
											were all white.
											Only if the court was able to see
how these policies came together
											would he be able to see
the double discrimination
											that Emma DeGraffenreid was facing.
											But the court refused to allow Emma
to put two causes of action together
											to tell her story
											because he believed that,
by allowing her to do that,
											she would be able
to have preferential treatment.
											She would have an advantage
by having two swings at the bat,
											when African-American men and white women
only had one swing at the bat.
											But of course, neither
African-American men or white women
											needed to combine a race
and gender discrimination claim
											to tell the story of the discrimination
they were experiencing.
											Why wasn't the real unfairness
											law's refusal to protect
African-American women
											simply because their experiences
weren't exactly the same
											as white women and African-American men?
											Rather than broadening the frame
to include African-American women,
											the court simply tossed their case
completely out of court.
									","
											Der betreffende Richter
wies Emmas Klage ab
											und begründete seine Entscheidung damit,
											dass der Arbeitgeber tatsächlich
einerseits Afroamerikaner
											und andererseits Frauen einstellte.
											Aber der Richter erkannte
das eigentliche Problem nicht,
											auf das Emma hinweisen wollte:
											Die Afroamerikaner, die dort arbeiteten,
											meistens im Industrie-
und Wartungsbereich,
											waren alle Männer.
											Und die Frauen, die dort arbeiteten —
											in der Regel als Sekretärinnen
oder an der Rezeption —
											waren alle weiß.
											Nur wenn der Richter den Zusammenhang
zwischen diesen Richtlinien erkannte,
											würde er die zweifache Diskriminierung
nachvollziehen können,
											der Emma DeGraffenreid ausgesetzt war.
											Aber er gestattete es Emma nicht,
											zwei Rechtsansprüche zu kombinieren,
um ihre Geschichte zu erzählen,
											denn er war der Überzeugung:
											Würde er das zulassen,
											hätte sie einen Anspruch
auf bevorzugte Behandlung.
											Wenn sie zweimal austeilen dürfte,
hätte sie einen unfairen Vorteil,
											da afroamerikanische Männer
und weiße Frauen das nur einmal könnten.
											Aber natürlich mussten
weder afroamerikanische Männer
											noch weiße Frauen
											gegen Diskriminierung aufgrund
von Rasse und Geschlecht klagen,
											um von der Diskriminierung zu erzählen,
											die sie erlebten.
											Warum lag die wahre Ungerechtigkeit
nicht in der Weigerung des Gesetzes,
											afroamerikanische Frauen zu beschützen,
											weil sie einfach nicht auf genau
dieselbe Weise diskriminiert wurden,
											wie weiße Frauen 
und afroamerikanische Männer?
											Anstatt den Rahmen zu erweitern,
											um afroamerikanische Frauen
miteinzubeziehen,
											verwarf das Gericht ihren Fall einfach.
									","
											Le juge en question
a rejeté la poursuite d'Emma
											et l'argument pour rejeter la poursuite
											était que l'employeur
embauchait des Afro-américains
											et l'employeur embauchait des femmes.
											Cependant, le vrai problème que le juge
ne voulait pas reconnaître
											était que ce qu'Emma essayait de dire :
											que les Afro-américains embauchés,
											en général pour les emplois industriels,
de maintenance, étaient tous des hommes.
											Et les femmes embauchées,
											en général pour du travail
de secrétariat ou de réception,
											étaient toute blanches.
											Et c'est seulement si la cour voyait
comment ces politiques s'entrecoupaient
											qu'elle serait capable de voir
la double discrimination
											à laquelle faisait face
Emma DeGraffenreid.
											Mais la cour a refusé d'autoriser Emma
à réunir deux causes d'action
											pour raconter son histoire
											car il croyait que,
en lui permettant de le faire,
											elle aurait un traitement préférentiel.
											Elle aurait l'avantage
d'avoir deux arguments
											là où les hommes afro-américains
et les femmes blanches n'en avaient qu'un.
											Bien sûr, ni les hommes afro-américains,
ni les femmes blanches,
											n'avaient à combiner des réclamations
concernant la race et le sexe
											pour raconter l'histoire
de la discrimination qu'ils vivaient.
											Pourquoi est-ce que l'injustice réelle
											n'était pas le refus de la loi
de protéger les femmes afro-américaines
											simplement parce que leurs expériences
étaient exactement les mêmes
											que les femmes blanches
et les hommes afro-américains ?
											Plutôt que d'élargir le cadre
pour inclure les femmes afro-américaines,
											la cour a simplement rejeté l'affaire.
									","
											Sözü geçen hakim 
Emma'nın davasını reddetti
											ve davanın reddedilmesinin sebebi
											işverenin Afrikalı Amerikalıları
											ve kadınları işe almış olmasıydı.
											Ancak hakimin kabul etmek istemediği
											ve Emma'nın anlatmaya çalıştığı şey
											endüstriyel işlerde, 
bakım işlerinde çalışan
											Afrikalı Amerikalıların 
hepsinin erkek olduğu
											ve genellikle sekreterlik
											ya da ofis işlerinde çalışan kadınların
											hepsinin beyaz olduğuydu.
											Mahkeme bu politikaların nasıl bir arada
durduklarını görebilseydi
											Emma Degraffenreid'in karşı karşıya 
kaldığı çifte ayrımcılığı da görebilirdi.
											Fakat mahkeme ona
iki dava sebebini bir araya getirip
											hikâyesini anlatma fırsatı tanımadı
											çünkü hakim bunu yaparak onun
											ayrıcalıklı muamele görmüş
olacağını düşünüyordu.
											Sahada iki atış hakkı, 
Afrikalı Amerikalı erkeklerin
											ve beyaz kadınların tek atış hakkına göre 
daha avantajlı olmalıydı.
											Fakat elbette
ne Afrikalı Amerikalı erkeklerin
											ne de beyaz kadınların 
yaşadıkları ayrımcılığı anlatmak için
											ırk ve cinsiyet ayrımcılığını
birleştirmeye ihtiyacı olmamıştır.
											Neden esas adaletsizlik,
											sadece yaşadıkları 
Afrikalı Amerikalı erkekler
											ve beyaz kadınlarla aynı olmadığı için
											hukukun Afrikalı Amerikalı kadınları
korumayı reddetmesi değil?
											Afrikalı Amerikalı kadınları dahil etmek
için çerçeveyi genişletmek yerine
											onların davası mahkeme dışına itiliyor.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Enquanto estudante
da lei antidiscriminação,
											enquanto feminista,
											enquanto antirracista,
											senti-me chocada com este processo.
											Senti-me como atingida pela injustiça.
											Portanto, primeiro que tudo,
											as mulheres negras não podiam
trabalhar na fábrica.
											Em segundo lugar, o tribunal
reforçara esta exclusão
											tornando-a inconsequente legalmente.
											E para rematar, não havia
um nome para este problema.
											Todos nós sabemos
que, se um problema não tem nome,
											não podemos ver o problema,
											e se não podemos ver um problema,
muito menos o podemos resolver.
									","
											Now, as a student
of antidiscrimination law,
											as a feminist,
											as an antiracist,
											I was struck by this case.
											It felt to me like injustice squared.
											So first of all,
											black women weren't allowed
to work at the plant.
											Second of all, the court
doubled down on this exclusion
											by making it legally inconsequential.
											And to boot, there was
no name for this problem.
											And we all know that,
where there's no name for a problem,
											you can't see a problem,
											and when you can't see a problem,
you pretty much can't solve it.
									","
											Als Studentin des
Antidiskriminierungsrechts,
											als Feministin,
											als Anti-Rassistin,
											traf mich der Fall zutiefst.
											Es fühlte sich wie eine
Ungerechtigkeit hoch zwei an.
											Zum einen durften schwarze Frauen
nicht in dieser Fabrik arbeiten.
											Dann bekräftigte das Gericht
diese Ausgrenzung noch,
											indem es sie nicht
strafrechtlich verfolgte.
											Und dann gab es noch nicht einmal
einen Namen für dieses Problem.
											Wir wissen alle: Wenn ein Problem
keinen Namen hat,
											kann man es nicht sehen,
											und wenn man es nicht sehen kann,
kann man es auch nicht lösen.
									","
											En tant qu'étudiante
de la loi anti-discrimination,
											en tant que féministe,
											en tant qu'anti-raciste,
											cette affaire m'a frappée.
											J'avais l'impression que c'était
des injustices qui s'additionnaient.
											Tout d'abord,
											les femmes noires ne pouvaient pas
travailler à l'usine.
											Ensuite, la cour doublait cette exclusion
											en la rendant légalement anodine.
											Et pour finir, ce problème
n'avait pas de nom.
											Nous savons tous
que si un problème n'a pas de nom,
											on ne peut pas le voir
											et, si on ne peut pas voir le problème,
on ne peut pas le résoudre.
									","
											Ayrımcılık karşıtı 
hukuk araştırmacısı olarak,
											bir feminist olarak,
											ırkçılık karşıtı olarak
											bu dava karşısında hayrete düşmüştüm.
											Sanki adaletsizlik katlanarak artmıştı.
											Yani ilk başta siyahi kadınların
											fabrikada çalışmasına izin verilmiyordu.
											Daha sonra mahkeme
bunu yasal olarak alakasız bularak
											dışlanmayı ikiye katlıyordu.
											Üstelik bu meselenin hiçbir adı olmuyordu.
											Hepimiz biliyoruz ki bir meselenin
adı yoksa
											o meseleyi göremeyiz
											ve bir meseleyi göremiyorsak
muhtemelen çözemeyiz.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Muitos anos depois, vim a reconhecer
											que o problema que Emma enfrentara
era um problema de moldura.
											A moldura que o tribunal usava
											para ver a discriminação sexual
ou para ver a discriminação racial
											era parcial, e estava distorcida.
											Para mim, o desafio que eu enfrentava
											era tentar descobrir se havia
uma narrativa alternativa,
											um prisma que nos permitisse ver
o dilema de Ema,
											um prisma que nos permitisse
salvá-la das falhas na lei,
											que permitisse que os juízes
vissem a história dela.
									","
											Many years later, I had come to recognize
											that the problem that Emma was facing
was a framing problem.
											The frame that the court was using
											to see gender discrimination
or to see race discrimination
											was partial, and it was distorting.
											For me, the challenge that I faced was
											trying to figure out whether
there was an alternative narrative,
											a prism that would allow us
to see Emma's dilemma,
											a prism that would allow us
to rescue her from the cracks in the law,
											that would allow judges to see her story.
									","
											Viele Jahre später erkannte ich,
											dass Emmas Problem
											durch einen falschen Rahmen
verursacht wurde.
											Der Rahmen, den das Gericht
											der Diskriminierung aufgrund
von Geschlecht oder Rasse zuordnete,
											war unvollständig und verzerrt.
											Meine Aufgabe war es herauszufinden,
											ob es für dieses Problem
eine Alternative gab;
											eine Art Prisma für die Zwickmühle,
in der sich Emma befand,
											das uns erlauben würde,
											sie vor dem Vakuum im Gesetz zu bewahren;
											durch das die Richter
ihr Problem sehen könnten.
									","
											De nombreuses années plus tard,
j'ai réalisé
											que le problème auquel Emma faisait face
était un problème de cadrage.
											Le cadre utilisé par la cour
											pour voir la discrimination de sexe
ou pour voir la discrimination de race
											était partiel et déformant.
											Le défi auquel je faisais face
											était d'essayer de déterminer
s'il y avait une narration alternative,
											un prisme qui nous permettrait
de voir le dilemme d'Emma,
											un prisme qui nous permettrait
de la secourir des failles de la loi,
											qui permettrait aux juges
de voir son histoire.
									","
											Yıllar sonra farkına vardım ki
											Emma'nın problemi çerçevenin kendisiydi.
											Mahkemenin cinsiyet ayrımcılığı
											ya da ırk ayrımcılığını gördüğü çerçeve
											tek taraflıydı ve çarpıtılmıştı.
											Bana göre karşılaştığım sorun,
											Emma'nın ikilemini 
görebilmemizi sağlayan
											ve onu hukukun açıklarından
kurtarabilecek hikâyesini
											hakimlerin anlayabilmesini sağlayacak
											bir açıyı yansıtan alternatif bir 
anlatı olup olmadığını çözmekti.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Então, ocorreu-me,
											que talvez uma analogia de intersecção
											permitisse que os juízes
vissem melhor o dilema de Ema.
											Se pensarmos nesta intersecção,
as estradas da intersecção seriam
											a forma como a mão-de-obra
estava estruturada pela raça e pelo sexo.
											Depois o tráfego nessas estradas
seriam as políticas de contratação
											e outras práticas
que circulavam nessas estradas.
											Como Emma era negra e mulher,
simultaneamente,
											estava posicionada precisamente
onde as estradas se cruzavam,
											experimentando o impacto simultâneo
											do tráfego sexual e racial da empresa.
											A lei — a lei é como
a ambulância que chega
											e está pronta para tratar Emma
apenas se se demonstrar
											que ela foi ferida
na estrada da raça ou na estrada do sexo
											mas não na intersecção dessas estradas.
									","
											So it occurred to me,
											maybe a simple analogy to an intersection
											might allow judges
to better see Emma's dilemma.
											So if we think about this intersection,
the roads to the intersection would be
											the way that the workforce
was structured by race and by gender.
											And then the traffic in those roads
would be the hiring policies
											and the other practices
that ran through those roads.
											Now, because Emma
was both black and female,
											she was positioned precisely
where those roads overlapped,
											experiencing the simultaneous impact
											of the company's gender and race traffic.
											The law — the law is
like that ambulance that shows up
											and is ready to treat Emma
only if it can be shown
											that she was harmed
on the race road or on the gender road
											but not where those roads intersected.
									","
											Also dachte ich mir:
											Wenn ich eine Kreuzung
als Vergleich verwende,
											können die Richter Emmas Problem
vielleicht klarer erkennen.
											Die Straßen dieser Kreuzung
würden folglich darstellen,
											wie die Arbeitnehmer nach Rasse
und Geschlecht verteilt sind.
											Und der Verkehr auf diesen Straßen
wäre dann die Einstellungspolitik
											sowie die anderen Vorgehensweisen,
die diese Straßen benutzt haben.
											Da Emma nun sowohl schwarz
als auch eine Frau war,
											stand sie genau da,
											wo sich diese zwei Straßen überschneiden,
											und die Wucht des Verkehrs dieser Firma
traf sie gleich auf zweierlei Art:
											sowohl für Rasse als auch für Geschlecht.
											Das Gesetz ist wie ein Krankenwagen,
											der Emma nur behandeln kann,
wenn sie nachweislich
											entweder auf der Straße
für Rasse verletzt wurde,
											oder auf der für Geschlecht;
											nicht aber dort, wo sich
die Straßen überschneiden.
									","
											Il m'est venu à l'esprit
											que peut-être une analogie d'intersection
											permettrait aux juges
de mieux voir le dilemme d'Emma.
											Si nous pensons à cette intersection,
les routes de l'intersection seraient
											la façon dont la main d’œuvre
était structurée par la race et le sexe.
											Le trafic de ces routes
serait les politiques d'embauches
											et autres meilleures pratiques
circulant sur ces routes.
											Parce qu'Emma était
à la fois noire et une femme,
											elle se positionnait précisément
à la rencontre de ces routes,
											expérimentant l'impact simultané
											du trafic de sexe
et de race de l'entreprise.
											La loi, c'est comme
un ambulance qui arrive
											et est prête à soigner Emma
seulement si on peut prouver
											qu'elle a été blessée
sur la route de race ou la route de sexe
											mais pas à l'intersection de ces routes.
									","
											Kesişimsellikle ilgili yapacağım
basit bir benzetmeyle
											hakimlerin Emma'nın ikilemini
											daha iyi anlayabileceğini düşündüm.
											Bu kesişime bir bakarsak, 
kesişime giden yollar
											etnik köken ve cinsiyet üzerine kurulu.
											Bu yollardaki trafik de 
işe alım politikaları
											ve bu yoldan geçen 
diğer uygulamalar.
											Yani Emma hem siyahi 
hem de kadın olduğu için
											bu yolların tam 
kesiştiği noktada
											şirketin cinsiyet ve ırk trafiğinden
											aynı anda darbe almıştı.
											Eğer Emma bu yolların
kesiştiği noktada değil de
											ırk ya da cinsiyet yolunda olsaydı
											hukuk bir ambulans olarak
ona yardıma gelirdi.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Então, como é que descrevemos
sermos atropeladas por várias forças
											e depois sermos abandonadas 
entregues a nós mesmas?
											A interseccionalidade
respondia a esta imagem.
									","
											So what do you call
being impacted by multiple forces
											and then abandoned to fend for yourself?
											Intersectionality seemed to do it for me.
									","
											Wie nennt man das also, wenn man
von mehreren Kräften getroffen wird
											und dann ganz auf sich gestellt ist?
											""Intersektionalität"" schien mir zu passen.
									","
											Comment décririez-vous le fait
d'être touché par des forces multiples
											puis abandonné, livré à vous-même ?
											L'intersectionnalité
répondait à la description.
									","
											Birçok farklı darbe aldıktan sonra
											kendinizi savunmak durumunda
kalmaya ne diyorsunuz?
											Kesişimsellik bunu yapıyor gibi görünüyor.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											Viria a saber
que as mulheres afro-africanas,
											tal como outras mulheres de cor,
											tal como outras pessoas
socialmente marginalizadas no mundo,
											estavam a enfrentar todo o tipo
de dilemas e problemas
											em consequência da interseccionalidade,
											a intersecção da raça e do sexo,
											de heterossexismo, transfobia,
xenofobia, capacitismo,
											de todas essas dinâmicas sociais
que andam juntas
											e criam desafios
que por vezes são únicos.
											Mas, do mesmo modo
											que essa interseccionalidade
											despertou uma tomada de consciência
											para a forma como as mulheres negras
vivem a sua vida,
											também denunciou
as trágicas circunstâncias
											em que morrem as mulheres afro-americanas.
									","
											I would go on to learn
that African-American women,
											like other women of color,
											like other socially marginalized people
all over the world,
											were facing all kinds
of dilemmas and challenges
											as a consequence of intersectionality,
											intersections of race and gender,
											of heterosexism, transphobia,
xenophobia, ableism,
											all of these social dynamics come together
											and create challenges
that are sometimes quite unique.
											But in the same way
											that intersectionality
											raised our awareness to the way
that black women live their lives,
											it also exposes the tragic circumstances
											under which African-American women die.
									","
											Ich würde später noch erfahren,
											dass afroamerikanische Frauen,
											wie auch Frauen anderer Hautfarben,
											wie so viele andere Gruppen auf der Welt,
die an den Rand gedrängt wurden,
											mit allen möglichen Problemen
und Herausforderungen zu kämpfen hatten,
											und zwar aufgrund von Intersektionalität,
											aufgrund des Zusammenpralls
von Rasse und Geschlecht,
											von Heterosexismus, Transphobie,
Xenophobie, Behindertenfeindlichkeit.
											All diese sozialen Strömungen
treffen aufeinander
											und schaffen manchmal
wirklich einzigartige Situationen.
											Doch wenngleich Intersektionalität
											unser Bewusstsein dafür gestärkt hat,
wie schwarze Frauen leben,
											offenbart sie uns auch
die tragischen Umstände,
											unter denen Afroamerikanerinnen sterben.
									","
											J'allais apprendre
que les femmes afro-américaines,
											comme d'autres femmes de couleur,
											comme d'autres personnes
socialement marginalisées dans le monde,
											faisaient face à tous genres
de dilemmes et défis
											découlant de l'intersectionnalité,
											l'intersection de la race et du sexe,
											de l'hétérosexisme, la transphobie,
la xénophobie, le capacitisme,
											toutes ces dynamiques sociales
se recoupent
											et créent des défis
qui sont parfois assez uniques.
											Mais, de la même façon
											que l'intersectionnalité
											a suscité une prise de conscience
											sur la façon tragique
dont les femmes noires vivent leur vie,
											cela a aussi exposé
les circonstances tragiques
											dans lesquelles meurent
les femmes afro-américaines.
									","
											Daha sonra öğrendim ki 
Afrikalı Amerikalı kadınlar,
											diğer kadınlar 
ve dünyanın her tarafından
											sosyal olarak marjinalleştirilmiş
insanlar gibi
											kesişimselliğin bir sonucu olarak
											her türlü ikilem ve sorunla
karşı karşıya kalıyorlardı.
											Irk ve cinsiyet, heteroseksüelizm,
											transfobi, yabancı korkusu,
engelli ayrımcılığı,
											tüm bu sosyal dinamikler bir araya gelerek
											zaman zaman benzeri 
olmayan sorunlar yaratıyorlar.
											Fakat kesişimsellik bir şekilde
											siyahi kadınların yaşayış şekilleri 
hakkındaki farkındalığımızı arttırdı.
											Ayrıca Afrikalı Amerikalı
kadınların öldüğü
											trajik olayları da ortaya çıkardı.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
											A violência da polícia
contra as mulheres negras
											é muito real.
											O nível de violência
que as mulheres negras enfrentam
											é tal que não admira
											que algumas delas não sobrevivam
a um recontro com a polícia.
											Raparigas negras, com sete anos apenas,
											bisavós com 95 anos,
											foram mortas pela polícia.
											Foram mortas nas suas salas de estar,
											nos seus quartos de dormir.
											Foram mortas nos automóveis.
											Foram mortas no meio da rua.
											Foram mortas em frente dos pais
											e foram mortas em frente dos filhos.
											Foram mortas a tiro.
											Foram espezinhadas até à morte.
											Foram sufocadas até à morte.
											Foram mortas à pancada.
											Foram mortas com choques elétricos.
											Foram mortas quando pediam ajuda.
											Foram mortas quando estavam sozinhas
											e foram mortas quando estavam com outras.
											Foram mortas quando iam às compras
e por serem negras,
											quando conduziam, e por serem negras,
											com deficiência mental,
e por serem negras,
											numa discussão doméstica,
e por serem negras.
											Até foram mortas as que não tinham abrigo,
e por serem negras.
											Foram mortas ao falar ao telemóvel,
											ao estarem a divertir-se com amigas,
											ao estarem sentadas
num carro alegadamente roubado
											e ao inverterem a marcha
em frente da Casa Branca
											com uma criança presa
no banco traseiro do automóvel.
											Porque é que não conhecemos
estas histórias?
											Porque é que estas vidas perdidas
											não suscitam a mesma atenção dos ""media""
e a indignação da comunidade
											tal como as vidas perdidas
dos seus irmãos mortos?
											É tempo de mudar.
									","
											Police violence against black women
											is very real.
											The level of violence
that black women face
											is such that it's not surprising
											that some of them do not survive
their encounters with police.
											Black girls as young as seven,
											great grandmothers as old as 95
											have been killed by the police.
											They've been killed in their living rooms,
											in their bedrooms.
											They've been killed in their cars.
											They've been killed on the street.
											They've been killed
in front of their parents
											and they've been killed
in front of their children.
											They have been shot to death.
											They have been stomped to death.
											They have been suffocated to death.
											They have been manhandled to death.
											They have been tasered to death.
											They've been killed
when they've called for help.
											They've been killed when they were alone,
											and they've been killed
when they were with others.
											They've been killed shopping while black,
											driving while black,
											having a mental disability while black,
											having a domestic disturbance while black.
											They've even been killed
being homeless while black.
											They've been killed
talking on the cell phone,
											laughing with friends,
											sitting in a car reported as stolen
											and making a U-turn
in front of the White House
											with an infant strapped
in the backseat of the car.
											Why don't we know these stories?
											Why is it that their lost lives
											don't generate the same amount
of media attention and communal outcry
											as the lost lives
of their fallen brothers?
											It's time for a change.
									","
											Polizeiliche Gewalt gegen schwarze Frauen
											ist nur zu real.
											Schwarze Frauen sind solch
extremer Gewalt ausgesetzt,
											dass es nicht überraschend ist,
											wenn einige von ihnen eine Begegnung
mit Polizisten nicht überleben.
											Schwarze Mädchen,
die gerade mal sieben waren,
											und Urgroßmütter, die schon 95 waren,
											wurden bereits von Polizisten getötet.
											Sie wurden in ihren Wohnzimmern getötet,
											in ihren Schlafzimmern.
											Sie wurden in ihren Autos
											und auf der Straße getötet.
											Sie wurden vor ihren Eltern getötet
											und vor ihren Kindern.
											Sie wurden erschossen.
											Sie wurden zu Tode getreten.
											Sie wurden erwürgt.
											Sie wurden zu Tode malträtiert.
											Sie wurden zu Tode getasert.
											Sie wurden getötet,
als sie nach Hilfe riefen.
											Sie wurden getötet, als sie alleine waren,
											und auch dann, als sie
mit anderen zusammen waren.
											Sie wurden als Schwarze
beim Einkaufen getötet,
											als Schwarze am Steuer,
											als geistig behinderte Schwarze,
											als Schwarze infolge eines Ehestreits.
											Sogar obdachlose Schwarze wurden getötet.
											Sie wurden beim Telefonieren getötet,
											als sie mit Freunden lachten,
											als sie in einem als gestohlen
gemeldeten Auto saßen,
											und als sie vor dem Weißen Haus
eine 180-Grad-Wendung machten,
											mit einem Baby auf dem Rücksitz.
											Warum kennen wir diese Geschichten nicht?
											Warum erzeugt der Verlust ihrer Leben
											nicht den gleichen Medienrummel
und gemeinsamen Aufschrei
											wie die Leben, die ihre Brüder verloren?
											Zeit, dass sich das ändert.
									","
											La violence policière
envers les femmes noires
											est réelle.
											Le niveau de violence
auquel font face les femmes noires
											est tel qu'il n'est pas surprenant
											que certaines d'entre elles
ne survivent pas
											à une rencontre avec la police.
											Des filles noires ayant à peine 7 ans,
											des arrière-grands-mères
ayant jusqu'à 95 ans
											ont été tuées par la police.
											Elles ont été tuées dans leur salon
											et dans leur chambre.
											Elles ont été tuées dans leur voiture.
											Elles ont été tuées dans la rue.
											Elles ont été tuées devant leurs parents
											et devant leurs enfants.
											Elles ont été tuées par balle.
											Elles ont été tuées à coups de pied.
											Elles ont été tuées par suffocation.
											Elles ont été battues à mort.
											Elles ont été tuées avec un taser.
											Elles ont été tuées
alors qu'elles appelaient à l'aide.
											Elles ont été tuées
quand elles étaient seules
											et elles ont été tuées
quand elles étaient avec d'autres.
											Elles ont été tuées
en faisant les magasins en étant noires,
											en conduisant en étant noires,
											en ayant une maladie mentale
en étant noires,
											en ayant une scène de ménage
en étant noires.
											Elles ont été tuées
en étant sans-abri en étant noires.
											Elles ont été tuées
en parlant au téléphone,
											en rigolant avec des amis,
											en étant assises
dans une voiture déclarée volée
											et en faisant un demi-tour
devant la Maison Blanche
											avec un nourrisson
attaché sur le siège arrière.
											Pourquoi ne connaissons-nous pas
ces histoires ?
											Pourquoi ces vies perdues
											ne génèrent-elles pas autant
											l'attention des médias
et l'indignation générale
											que les vies perdues
de leurs frères morts ?
											Il est temps de changer.
									","
											Siyahi kadınlara karşı polis şiddeti
tamamıyla gerçek.
											Siyahi kadınların maruz kaldığı şiddet 
öyle bir boyutta ki
											bazılarının polisle karşılaşmalarından
sağ çıkamaması hiç de şaşırtıcı değil.
											Yedi yaşındaki küçücük
siyahi kız çocukları da
											95 yaşındaki büyük büyükanneler de
											polis tarafından öldürüldü.
											Oturma odalarındayken,
											yatak odalarındayken öldürüldüler.
											Arabalarındayken öldürüldüler.
											Sokaktayken öldürüldüler.
											Ebeveynlerinin önünde öldürüldüler,
											çocuklarının önünde öldürüldüler.
											Vurularak öldürüldüler.
											Başları ezilerek öldürüldüler.
											Boğularak öldürüldüler.
											Dövülerek öldürüldüler.
											Şok verilerek öldürüldüler.
											Yardım isterken öldürüldüler.
											Yalnızken öldürüldüler,
											başkalarıyla beraberken öldürüldüler.
											Siyahi biri olarak alışveriş yaparken
öldürüldüler.
											Siyahi biri olarak araba kullanırken,
											siyahi bir zihinsel engelli olarak,
											siyahi biri olarak iç karışıklıkta 
öldürüldüler.
											Hatta siyahi bir evsizken bile 
öldürüldüler.
											Telefonla konuşurken,
											arkadaşlarıyla gülerken,
											çalıntı olarak bildirilmiş
bir arabada otururken
											ve Beyaz Saray'ın önünde
arka koltukta bir bebek varken
											U dönüşü yaparken öldürüldüler.
											Neden bu hikâyeleri bilmiyoruz?
											Neden onların kaybolan yaşamları
											erkek kardeşlerininki kadar
medyanın ilgisini
											ya da toplumun tepkisini çekmiyor?
											Artık değişim zamanı.
									",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
"
","
","
","
","
",The urgency of intersectionality,Kimberlé Crenshaw,18:49,"activism,gender,inequality,social change,community,humanity,society,violence,identity,race,women"
