tr,es,en,fr,de,title,speaker,duration,tags
"
											Kendinizi Yüksek Mahkemenin
											yerine koyun.
											Bu davada adalet dağıtma
											yetkisi sizde olsun, diyelim.
											Kaçınız Casey Martin'in
											golf arabası talebini haklı bulurdu?
											Kaçınız haksız?
											Haydi bir yoklama yapalım, ellerinizi kaldırın.
											Kaçınız Casey Martin lehine hüküm verirdi?
											Ve kimler aleyhine? Kaçınız, haklı değil derdiniz?
											Oldu, aranızda net bir görüş ayrılığı ortaya çıktı.
											Casey Martin aleyhine
											hükmedeceğini söyleyenlerden biri,
											nedenini açıklar mı acaba?
											Elinizi kaldırın, mikrofonu size ulaştıracağız.
											Gerekçeniz ne olurdu?
									","
											Supongamos que ustedes
											estaban en la Corte Suprema.
											Ustedes estaban impartiendo
											justicia en este caso.
											¿Cuántos de ustedes aquí dirían
											que Casey Martin sí tiene derecho a usar un carrito de golf?
											¿Y cuántos dirían que no tiene derecho?
											Muy bien, hagamos una encuesta, a mano alzada.
											¿Cuántos dictaminarían en favor de Casey Martin?
											¿Y cuántos en contra? ¿Cuántos dirían que no tiene derecho?
											Muy bien, tenemos una buena división de opiniones.
											Alguien que no otorgaría
											a Casey Martin el derecho al carrito de golf:
											¿Cuál sería su razón?
											Levante la mano, y trataremos de acercarle un micrófono.
											¿Cuál sería su razón?
									","
											Suppose you were
											on the Supreme Court.
											Suppose you were deciding
											the justice of this case.
											How many here would say
											that Casey Martin does have a right to use a golf cart?
											And how many say, no, he doesn't?
											All right, let's take a poll, show of hands.
											How many would rule in favor of Casey Martin?
											And how many would not? How many would say he doesn't?
											All right, we have a good division of opinion here.
											Someone who would not
											grant Casey Martin the right to a golf cart,
											what would be your reason?
											Raise your hand, and we'll try to get you a microphone.
											What would be your reason?
									","
											Admettons que vous soyez
											à la cour suprême.
											Admettons que vous deviez
											rendre la justice dans ce procès.
											Combien ici diraient
											que Casey Martin aurait le droit d'utiliser une voiturette ?
											Combien diraient non ?
											Votons, levez les mains.
											Combien votent pour Casey Martin ?
											Combien votent contre ?
											Bien. Nous avons des avis bien partagés.
											Quelqu'un qui n'accorderait pas
											à Casey Martin le droit à une voiturette
											pourrait-il dire pourquoi ?
											Levez la main pour qu'on vous apporte un micro.
											Quelle serait votre raison ?
									","
											Nehmen wir an, Sie sind das Oberste Gericht.
											Nehmen wir an, Sie sind das Oberste Gericht.
											Nehmen wir an, Sie haben
											über die Gerechtigkeit in diesem Fall zu entscheiden.
											Wie viele hier würden sagen,
											dass Casey Martin das Recht hat den Golfwagen zu benutzen?
											Und wie viele sagen nein?
											In Ordnung, lass uns durch Handzeichen abstimmen.
											Wie viele würden zu Gunsten von Casey Martin urteilen?
											Und wie viele nicht? Wie viele würden sagen, nein?
											In Ordnung, wir haben hier eine gute Aufteilung der Meinungen.
											Diejenige, die ihm seine Bitte
											nach einem Golfwagen nicht gewähren würden,
											welche Gründe hätten Sie?
											Heben Sie die Hand und wir versuchen Ihnen ein Mikrofon zu geben.
											Was für ein Grund hätten Sie?
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											(Dinleyici: Haksız avantaj sağlamış olacaktı.)
									","
											(Audiencia: Sería una ventaja injusta)
									","
											(Audience: It'd be an unfair advantage.)
									","
											Public : Ce serait un avantage injuste.
									","
											(Auditorium: Es würde ein unlauter Vorteil sein.)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: Haksız avantaj sağlamış olacaktı,
											eğer arabası olsaydı.
											Tamam, aranızdan
											çoğunun haksız rekabet kaygısıyla
											arabayı vermeyeceğini tahmin edebiliyorum.
											Peki, verilmeli diyenler
											neden bu yönde oy kullandı?
											İtiraza ne karşılık verirdiniz?
											Evet, tamam.
									","
											MS: Sería una ventaja injusta
											si él se moviliza en un carrito de golf.
											Muy bien, aquellos de ustedes,
											imagino que a la mayoría de los que no le darían
											el carrito de golf les preocupa una ventaja injusta.
											¿Y aquellos que dicen
											que se le debe dar un carrito de golf?
											¿Cómo responderían a la objeción?
											Si, está bien.
									","
											MS: It would be an unfair advantage
											if he gets to ride in a golf cart.
											All right, those of you,
											I imagine most of you who would not give him the golf cart
											worry about an unfair advantage.
											What about those of you who say
											he should be given a golf cart?
											How would you answer the objection?
											Yes, all right.
									","
											MS : Ce serait un avantage injuste
											s'il pouvait utiliser une voiturette.
											La plupart d'entre vous,
											j'imagine, qui ne lui auraient pas accordé la voiturette
											s'inquiètent d'un avantage injuste.
											Qu'en est-il de ceux qui disent
											qu'on devrait lui en donner une ?
											Que répondriez-vous à l'objection ?
											Oui, d'accord.
									","
											MS: Es würde ein unlauter Vorteil sein,
											wenn er mit dem Golfwagen fährt.
											In Ordnung, ich denke mir, dass diejehnigen von Ihnen,
											die ihm den Golfwagen nicht bewilligen würden,
											sich Sorgen machen über einen unlauteren Vorteil.
											Was ist mit denen, die sagen
											er soll einen Golfwagen bekommen?
											Wie würden sie auf den Einspruch antworten?
											Ja, in Ordnung.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Dinleyici: Araba maçın bir parçası değil.
									","
											Audiencia: El carrito no es parte del juego.
									","
											Audience: The cart's not part of the game.
									","
											Public : La voiturette ne fait pas partie du jeu.
									","
											(Auditorium: Der Wagen ist nicht Teil des Spiels.)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: Adınız nedir? (Dinleyici: Charlie.)
									","
											MS: ¿Cuál es tu nombre? (Audiencia: Charlie)
									","
											MS: What's your name? (Audience: Charlie.)
									","
											MS : Quel est votre nom ? Public : Charlie.
									","
											MS: Wie ist Ihr Name? (Auditorium: Charlie)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: Charlie diyor ki,
											Charlie'ye bir mikrofon verelim, belki ona bir yanıt vermek isteyen olur.
											Söyle Charlie,
											neden golf arabası kullanabilmesi gerek diyorsun?
									","
											MS: Charlie dice:
											le alcanzamos un micrófono a Charlie, en caso que alguien quiera responder.
											Cuéntanos Charlie,
											¿por qué dirías que él debería usar el carrito de golf?
									","
											MS: Charlie says —
											We'll get Charlie a microphone in case someone wants to reply.
											Tell us, Charlie,
											why would you say he should be able to use a golf cart?
									","
											MS : Charlie dit que...
											Donnons à Charlie un micro au cas où quelqu'un veuille répondre.
											Dites-nous, Charlie,
											pourquoi vous dites qu'il devrait pouvoir utiliser une voiturette ?
									","
											MS: Charlie sagt -
											Wir geben Charlie ein Mikrofon für den Fall, dass jemand antworten möchte.
											Sagen Sie uns, Charlie,
											warum sagen Sie, er sollte den Golfwagen benutzen?
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Charlie: Çünkü araba maçın bir parçası değil.
									","
											Charlie: El carrito no es parte del juego.
									","
											Charlie: The cart's not part of the game.
									","
											Charlie : La voiturette ne fait pas partie du jeu.
									","
											Charlie: Der Wagen ist nicht ein Teil des Spiels.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: Bir delikten diğerine yürümek?
									","
											MS: Pero ¿Qué pasa con el caminar de un hoyo al otro?
									","
											MS: But what about walking from hole to hole?
									","
											MS : Quid de la marche d'un trou à l'autre ?
									","
											MS: Aber was ist mit dem Gehen von Loch zu Loch?
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Charlie: Fark etmez. Maçın bir unsuru değil.
									","
											Charlie: No importa, no es parte del juego.
									","
											Charlie: It doesn't matter; it's not part of the game.
									","
											Charlie : Ça ne compte pas, ça ne fait pas partie du jeu.
									","
											Charlie: Es hat keine Bedeutung, es ist nicht Teil des Spiels.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: Saha içinde yürümek maçın bir unsuru değil mi?
									","
											MS: ¿Caminar por el campo de golf no es parte del juego?
									","
											MS: Walking the course is not part of the game of golf?
									","
											MS : Marcher sur le parcours ne fait pas partie du jeu de golf ?
									","
											MS: Gehen auf dem Golfplatz ist nicht Teil des Spiels?
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Charlie: Benim kitabıma göre değil.
									","
											Charlie: No en mi libro, no lo es.
									","
											Charlie: Not in my book, it isn't.
									","
											Charlie : Non, pas chez moi.
									","
											Charlie: Nicht nach mir bekannten Regeln.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: Tamam. Orada kal Charlie.
									","
											MS: Está bien. Quédate ahí, Charlie.
									","
											MS: All right. Stay there, Charlie.
									","
											MS : D'accord. Ne bougez pas, Charlie.
									","
											MS: In Ordnung, bleiben Sie dabei, Charlie.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											(Kahkahalar)
									","
											(Risas)
									","
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Kimin Charlie'ye verecek bir cevabı var?
											Tamam, kim Charlie'ye cevap vermek ister?
											Ne derdiniz?
									","
											¿Quién tiene una respuesta para Charlie?
											Está bien, ¿Quién tiene una respuesta para Charlie?
											¿Qué le diría?
									","
											Who has an answer for Charlie?
											All right, who has an answer for Charlie?
											What would you say?
									","
											Qui veut répondre à Charlie ?
											Qui a une réponse pour Charlie ?
											Que diriez-vous ?
									","
											Wer hat eine Antwort für Charlie?
											In Ordnung, wer hat eine Antwort für Charlie?
											Was würden Sie sagen?
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Dinleyici: Bir delikten diğerine yürümek yani dayanıklılık,
											maçın çok önemli bir unsuru.
									","
											Audiencia: La resistencia es una parte muy importante del juego,
											caminar todos los hoyos.
									","
											Audience: The endurance element is a very important part of the game,
											walking all those holes.
									","
											Public : L'endurance est une part très importante du jeu.
											Le fait de marcher le long de tous ces trous.
									","
											Auditorium: Die Tatsache der Ausdauer ist ein wichtiger Teil des Spiels,
											das Gehen zu diesen allen Löchern.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: Tüm delikleri yürüyerek dolaşmak mı?
											Bu golf oyununun bir parçası mı? (Dinleyci: Elbette.)
									","
											MS:¿Caminar todos los hoyos?
											¿Eso es parte del juego de golf? (Audiencia: Absolutamente)
									","
											MS: Walking all those holes?
											That's part of the game of golf? (Audience: Absolutely.)
									","
											MS : Marcher le long des trous ?
											Ça fait partie du jeu de golf ? Public : Absolument.
									","
											MS: Das Gehen zu diesen allen Löchern?
											Es ist ein Teil des Golfspiels? (Auditorium: Unbedingt.)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: Adınız nedir? (Dinleyici: Warren.)
									","
											MS: ¿Cuál es tu nombre? (Audiencia: Warren)
									","
											MS: What's your name? (Audience: Warren.)
									","
											MS : Quel est votre nom ? Public : Warren.
									","
											MS: Wie ist Ihr Name? (Auditorium: Warren.)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: Warren.
											Charlie, Warren'e ne diyorsun?
									","
											MS: Warren.
											Charlie, ¿Qué le dices a Warren?
									","
											MS: Warren.
											Charlie, what do you say to Warren?
									","
											MS : Warren.
											Charlie, qu'est-ce que vous dites à Warren ?
									","
											MS: Warren.
											Charlie, was sagen Sie zu Warren?
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Charlie: Başta söylediğimin aynını.
									","
											Charlie: Me quedo con mi planteo original.
									","
											Charley: I'll stick to my original thesis.
									","
											Charlie : Je m'en tiens à ma thèse de départ.
									","
											Charlie: Ich bleibe bei meiner ursprünglichen These.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											(Kahkahalar)
									","
											(Risas)
									","
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											MS: Warren, golf oynar mısın?
									","
											MS: Warren, ¿Eres golfista?
									","
											MS: Warren, are you a golfer?
									","
											MS : Warren, vous jouez au golf ?
									","
											MS: Warren, sind Sie ein Golfspieler?
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Warren: Hayır, golfçü değilim.
									","
											Warren: No soy golfista.
									","
											Warren: I am not a golfer.
									","
											Warren : Je ne suis pas golfeur.
									","
											Warren: Ich bin kein Golfspieler.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Cherlie: ben oynuyorum ama. (MS: Tamam.)
											(Kahkahalar)
									","
											Charlie: Y yo sí soy. (MS: Bueno)
											(Risas)
									","
											Charley: And I am. (MS: Okay.)
											(Laughter)
									","
											Charlie : Moi si : MS : D'accord.
											(Rires)
									","
											Charlie: Und ich bin eine. MS: Okay
											(Lachen)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											(Alkışlar)
									","
											(Aplausos)
									","
											(Applause)
									","
											(Applaudissements)
									","
											(Applaus)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Malum,
											enteresan bir konu.
											Bu davada bir alt mahkeme
											ünlü golfçülerin tanıklığına
											başvurdu.
											Yürüme, oyunun özüne dahil miydi?
											Mahkeme Jack Nicklaus ile Arnold Palmer'i dinledi.
											Sizce ne dediler?
											Evet. Warren ile aynı şeyi.
											Evet dediler, saha içinde yürümek
											epey gayret gerektiren bir iştir.
											Yorgunluk, golf oyununda önemli bir etkendir.
											Dolayısıyla onun golf arabasıyla dolaşması
											oyunun temel doğasına
											etki edecektir.
											Şimdi dikkat.
											ilginç bir şey geliyor:
											Ama önce size Yüksek Mahkemeden bahsetmem lazım.
									","
											Saben,
											es interesante.
											En el caso, en el juzgado de primera instancia,
											trajeron a grandes golfistas
											para testificar en este punto.
											¿Caminar por el campo de golf es esencial para el juego?
											Y trajeron a Jack Nicklaus y a Arnold Palmer.
											¿Y qué se imaginan que dijeron?
											Sí. Ellos estuvieron de acuerdo con Warren.
											Ellos dijeron, sí, caminar por el campo de golf
											es un ejercicio físico agotador.
											El factor fatiga es una parte importante del golf.
											Y por lo tanto esto cambiaría
											la naturaleza fundamental del juego
											darle el carrito del golf.
											Ahora, observen,
											algo interesante...
											Bueno, primero debería decirles la decisión de la Corte Suprema.
									","
											You know,
											it's interesting.
											In the case, in the lower court,
											they brought in golfing greats
											to testify on this very issue.
											Is walking the course essential to the game?
											And they brought in Jack Nicklaus and Arnold Palmer.
											And what do you suppose they all said?
											Yes. They agreed with Warren.
											They said, yes, walking the course
											is strenuous physical exercise.
											The fatigue factor is an important part of golf.
											And so it would change
											the fundamental nature of the game
											to give him the golf cart.
											Now, notice,
											something interesting —
											Well, I should tell you about the Supreme Court first.
									","
											Vous savez,
											c'est intéressant.
											Au procès, dans la chambre basse,
											ils ont fait venir des grands du golf
											pour témoigner sur cette question.
											Est-ce que la marche est indispensable au jeu ?
											Ils ont convoqué Jack Nicklaus et Arnold Palmer.
											Que pensez-vous qu'ils ont dit ?
											Oui. Ils ont été d'accord avec Warren.
											Ils ont dit que marcher sur le parcours,
											c'est un exercice physique ardu.
											Le facteur fatigue est une part importante du golf.
											Ça changerait
											la nature fondamentale du jeu
											si on lui donnait une voiturette.
											Remarquez
											quelque chose d'intéressant...
											mais je vais vous parler de la cour suprême d'abord.
									","
											Wissen Sie, es ist interessant.
											Wissen Sie, es ist interessant.
											In dem Fall luden die Gerichte der niedrigeren Instanzen,
											Golfgrößen als Zeugen bei diesem Punkt vor.
											Golfgrößen als Zeugen bei diesem Punkt vor.
											Ist das Gehen auf dem Golfplatz wesentlich für das Spiel?
											Und sie brachten Jack Nicklaus und Arnold Palmer.
											Und was vermuten Sie, was sie alle sagten?
											Ja, sie waren einverstanden mit Warren.
											Sie sagten, ja, das Gehen auf dem Golfplatz
											ist eine anstrengende, körperliche Tätigkeit.
											Der Faktor der Müdigkeit ist ein wichtiger Teil des Golfspiels.
											Und es würde den grundlegenden Charakter des Spiels ändern,
											Und es würde den grundlegenden Charakter des Spiels ändern,
											wenn man ihm den Golfwagen gibt.
											Jetzt merken Sie etwas Interessantes -
											Jetzt merken Sie etwas Interessantes -
											Gut, ich sollte Ihnen zuerst von dem Obersten Gericht erzählen.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Yüksek Mahkeme
											karar verdi.
											Sizce ne dedi?
											Evet dedi. Casey Martin'e
											golf arabası verilmelidir.
											Yediye karşı iki oyla karar verdiler.
											Kararın ve hak, adalet üzerine
											yaptığımız tartışmanın ilginç yanı,
											golfün özünün
											ne olduğuna,
											meselenin buna
											uyup uymamasına
											bağlı olmasıydı.
											Yüksek mahkeme bu
											hususla boğuştu.
											Çoğunluğu temsilen Yargıç Stevens,
											bütün golf tarihini okuduğunu,
											oyunun özünün çok küçük bir topu
											mümkün olan en az hamleyle
											bir yerden bir deliğe
											göndermek olduğunu ve yürümenin oyunun özüyle değil,
											işleyişiyle ilgili olduğunu söyledi.
									","
											La Corte Suprema
											se expidió.
											¿Qué se imaginan que dijeron?
											Ellos dijeron sí,
											sí se le debe dar a Casey Martin un carrito de golf.
											El fallo fue 7 a 2.
											Lo interesante del dictamen
											y de la discusión que recién tuvimos
											es que la discusión sobre
											el derecho y la justicia de este asunto
											depende
											de comprender cuál es
											la naturaleza esencial del golf.
											Y los jueces de la Corte Suprema
											batallaron con ese interrogante.
											Y el juez Stevens, representando la mayoría,
											dijo que había leído todo sobre la historia del golf,
											y la esencia del juego
											es llevar una pelotita desde un lugar
											hasta un hoyo
											con la menor cantidad de golpes posible,
											y que caminar no es esencial, es algo secundario.
									","
											The Supreme Court
											decided.
											What do you suppose they said?
											They said yes,
											that Casey Martin must be provided a golf cart.
											Seven to two, they ruled.
											What was interesting about their ruling
											and about the discussion we've just had
											is that the discussion about
											the right, the justice, of the matter
											depended on
											figuring out what is
											the essential nature of golf.
											And the Supreme Court justices
											wrestled with that question.
											And Justice Stevens, writing for the majority,
											said he had read all about the history of golf,
											and the essential point of the game
											is to get very small ball from one place
											into a hole
											in as few strokes as possible,
											and that walking was not essential, but incidental.
									","
											La cour suprême
											a décidé...
											Que croyez-vous qu'elle a décidé ?
											Ils ont dit oui.
											Casey Martin devait avoir une voiturette.
											Ils ont voté par 7 voix contre 2.
											Ce qu'il y a d'intéressant à propos de leur décision
											et de la discussion qu'on vient d'avoir,
											c'est que la discussion
											sur le droit, la justice, de l'affaire
											dépendait
											de la compréhension
											de la nature fondamentale du golf.
											Les juges de la Cour suprême
											se sont confrontés à cette question.
											Le juge Stevens, reflétant la majorité,
											écrit avoir tout lu sur l'histoire du golf
											et que le point fondamental du jeu
											consiste à mettre une toute petite balle d'un endroit
											dans un trou
											en aussi peu de coups que possible.
											Marcher n'était pas fondamental mais secondaire.
									","
											Das Oberste Gericht
											hat entschieden.
											Was vermuten Sie, sie sagten?
											Sie sagten ja, dieser Casey Martin soll mit dem Golfwagen ausgestattet werden.
											Sie sagten ja, dieser Casey Martin soll mit dem Golfwagen ausgestattet werden.
											Sieben von zwei haben so entschieden.
											Was interessant an dieser Entscheidung war
											und in der Diskussion, die wir eben hatten,
											ist, dass die Diskussion über
											das Recht, Gerechtigkeit in einem Fall,
											von der Tatsache abhängt
											ob man sich vorstellen kann,
											was das Wesen von Golf ist.
											Und die Richter des Obersten Gerichts
											rangen um diese Frage.
											Und Richter Stevens, für die Mehrheit schreibend,
											sagte, dass er alles über Golf gelesen hat
											und, dass der wesentliche Punkt des Spiels ist
											den sehr kleinen Ball von einen Platz
											in das Loch
											zu bringen mit möglichst wenig Schlägen und,
											dass das Gehen nicht wesentlich ist, sondern nebensächlich.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											İki muhalif oydan
											birini veren Yargıç Scalia idi.
											Araba verilmesine karşı çıkarkenki
											gerekçesi çok ilginçti.
											Çünkü, çoğunluğun kararına .
											etki eden Aristo önermesine
											karşı çıkıyordu.
											Golf gibi bir oyunun
											özünün ne olduğunu
											bulmak, imkansızdır dedi.
											ve işte şöyle gerekçelendirdi:
											""Bir şeyin temel unsur olduğunu söylemek,
											basitçe herhangi bir amaca ulaşmayı başarmanın
											gerekli olduğunu söyemektir.
											Ancak herhangi bir oyunun
											eğlenceden başka amacı olmadığı ortadayken ki,
											(Kahkahalar)
											üretime dönük aktivite ile oyunu birbirinden ayıran yegane unsur budur,
											herhangi bir oyunun
											(Kahkahalar)
											ihtiyari kurallarının
											temel, öz oluşturduğunu savunmak
											mümkün değildir.""
									","
											Hubo dos oposiciones,
											uno de ellos era el juez Scalia.
											Él no habría concedido el carrito,
											y él tuvo un disenso muy interesante.
											Es interesante porque
											rechazó la premisa aristotélica
											subyacente en la opinión de la mayoría.
											Él dijo que no es posible
											determinar la naturaleza esencial
											de un juego como el golf.
											Así es como lo dijo:
											""Decir que algo es esencial
											es decir que es necesario
											para el logro de cierto objetivo.
											Pero como la naturaleza misma de un juego
											es la diversión, no tiene objetivo,
											(Risas)
											eso es lo que distingue a los juegos
											de una actividad productiva,
											(Risas)
											es bastante imposible decir
											que cualquiera de las reglas arbitrarias de un juego
											es esencial"".
									","
											Now, there were two dissenters,
											one of whom was Justice Scalia.
											He wouldn't have granted the cart,
											and he had a very interesting dissent.
											It's interesting because
											he rejected the Aristotelian premise
											underlying the majority's opinion.
											He said it's not possible
											to determine the essential nature
											of a game like golf.
											Here's how he put it.
											""To say that something is essential
											is ordinarily to say that it is necessary
											to the achievement of a certain object.
											But since it is the very nature of a game
											to have no object except amusement,
											(Laughter)
											that is, what distinguishes games
											from productive activity,
											(Laughter)
											it is quite impossible to say
											that any of a game's arbitrary rules
											is essential.""
									","
											Il y avait 2 insoumis
											dont le juge Scalia.
											Il n'aurait pas accordé de voiturette.
											Sa dissidence était très intéressante.
											Elle est intéressante parce que
											elle réfute la prémisse aristotélicienne
											derrière l'opinion de la majorité.
											Il dit qu'il n'est pas possible
											de déterminer la nature fondamentale
											d'un jeu comme le golf.
											Voilà comment il le formule.
											""Affirmer qu'une chose est fondamentale
											signifie généralement qu'elle est nécessaire
											à la réalisation d'un certain objectif.
											Dès lors que la vraie nature d'un jeu
											n'est d'avoir d'autre objectif que l'amusement,
											(Rires)
											c'est ce qui distingue les jeux
											de l'activité productive,
											(Rires)
											il est presque impossible d'affirmer
											qu'une quelconque des règles arbitraires d'un jeu
											est fondamentale.""
									","
											Nun, es gab zwei anders denkende,
											einer von Ihnen war Richter Scalia.
											Er hatte den Wagen nicht zugebilligt
											und er hatte einen sehr interessanten Einspruch.
											Es ist interessant, weil
											er die Voraussetzung des Aristoteles ablehnt,
											der sich die Mehrheit unterordnet.
											Er sagte, es wäre nicht möglich
											den wesentlichen Charakter
											eines Spiels wie Golf zu bestimmen.
											Hier ist es, wie er es auslegt.
											""Um zu sagen was wesentlich ist,
											ist normalerweise nötig festzustellen was notwendig ist
											um einen Zweck zu erreichen.
											Aber da das Golfspiel keinen Zweck hat
											außer Unterhaltung
											(Lachen)
											und das ist es, was Spiele
											von einer produktiven Aktivität unterscheidet.
											(Lachen)
											Daher ist es unmöglich zu sagen,
											dass irgendwelche willkürlichen Spielregeln
											wesentlich sind.""
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
