es,tr,pt,title,speaker,duration,tags
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Off): Quem é que fez isto?
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Glen Henry: ¿Saben qué más pensé
que sabía sobre ser amo de casa?
											Pensé que solo tenía que llevarlos
al parque una vez por semana
											porque si los llevaba al parque
una vez por semana, estaría bien.
											De hecho, no sabía nada, ¿no?
											Si se lleva niños al parque cada día,
eso significa que se ensuciarán cada día.
											Si se ensucian cada día,
hay que bañarlos cada día.
											Si se los baña cada día...
											No creo que entiendan, verán,
tener dos niños de menos de 2 años,
											significa cambiar más
de 20 pañales sucios por día.
											Si además uno los baña,
eso significa más desnudez
									","
											GH: Ev babası olmakla ilgili başka 
ne bildiğimi zannettim biliyor musunuz?
									","
											- Foste tu!
- Não, foste tu!
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											Yapmam gereken tek şeyin onları alıp 
haftada bir parka götürmek olduğunu sandım
											çünkü onları haftada bir kez parka 
götürürsem, her şey tamam olacaktı.
											Aslında hiçbir şey bilmiyormuşum.
											Tamam.
											Çocukları her gün parka götürürseniz, bu 
onların her gün kirleneceği anlamına gelir
											ve eğer her gün kirlenirlerse
her gün banyo yapmaları gerekir.
											Her gün banyo yaparlarsa —
											bir an anlamadığınızı sandım— anlarsınız
2 yaşından küçük iki çocuk sahibi olmak
											günde 20 kirli bezi değiştirmeniz 
anlamına gelir, tamam mı?
											Onları banyo ettirirseniz, bu yalnızca 
daha fazla çıplaklık demek.
											(Gülüşmeler)
									","
											- Não, foste tu!
- Não, foste tu!
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											y más probabilidades de ser orinado.
											Y a nadie le gusta ser orinado,
ni siquiera por un bebé.
									","
											Ve üzerinize işeme ihtimali,
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											kimse üzerine işenmesinden hoşlanmaz, 
bir çocuk tarafından yapılsa bile.
											(Gülüşmeler)
									","
											GH: Sabem que mais eu julgava saber
sobre ser um pai que fica em casa?
											Pensava que chegava levá-los
ao parque uma vez por semana,
											porque, se os levasse ao parque
uma vez por semana, isso chegaria.
											Na verdade, não sabia nada.
											Ok?
											Se levarmos os filhos ao parque
todos os dias, vão sujar-se todos os dias.
											Se se sujam todos os dias,
têm de tomar banho todos os dias.
											Se tomam banho todos os dias...
											Só não imaginava que, com dois filhos
com menos de dois anos,
											tinha de mudar
mais de 20 fraldas sujas por dia.
											E se lhes dermos banho,
isso é ainda mais nudez.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Pero leí un artículo del Padre Lee
											que cita un estudio realizado por dos
fabricantes de detergentes, Omo y Persil.
											El estudio dice que, con dos horas al día,
											los presos pasan más tiempo
al aire libre que los niños.
											Eso me condenó,
así que salimos al aire libre.
									","
											Fakat Father Lee tarafından yazılan
deterjan markaları,
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Video) (Música)
									","
											Omo ve Persil, tarafından yapılan 
bir anketi anlatan bu makaleyi okudum.
											Ve bu çalışmayı yaptılar ve 
diyorlar ki; günde iki saat,
											mahkumlar dışarıda çocuklardan 
daha fazla zaman harcıyorlarmış.
											Bu beni mahkum etti ve 
böylece dışarı çıktık.
											(Video) (Müzik)
									","
											E há mais hipóteses
de que urinem em cima de nós,
											e ninguém gosta disso,
sobretudo se for urina de um bebé.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Verán, no sabía nada
sobre ser amo de casa
											y una vez que acepté que no sabía nada,
											empecé a aprender de mis nuevos jefes.
											Siempre había escuchado
que los amos de casa no pueden dormir,
											que los padres en general
no pueden dormir;
											pero no es verdad porque
si duermes mientras ellos duermen,
											de hecho, se puede dormir.
									","
											GH: Görüyorsunuz, ev babası olmakla 
ilgili hiçbir şey biliyormuşum
									","
											Mas eu li um artigo do Padre Lee
											que cita um inquérito feito por duas
empresas de detergentes, Omo e Persil.
											Um estudo que fizeram
alega que, com duas horas por dia,
											os prisioneiros passavam mais tempo
ao ar livre do que as crianças.
											Isso fez-me sentir culpado,
por isso, fomos dar uma volta.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											ve hiçbir şey bilmediğim gerçeğini
kabullenince
											yeni patronlarımdan 
ders almaya başladım.
											Ve bana hep söylenen şuydu:
											Evde anne babaysan, uyku uyumak yoktur.
											Veya genel anlamıyla anne baba olarak 
uyku uymak yoktur.
											Fakat bu doğru değil çünkü 
onlar uyuyunca uyursanız
											birazcık siz de uyku çekebiliyorsunuz.
											(Gülüşmeler)
									","
											(Vídeo)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											¿Saben qué más pensé como amo de casa?
											Pensé que sabía que la mejor forma
de enseñarles qué es lo correcto
											era disciplinarlos
											porque eso les enseñaría
qué es lo correcto,
											el dolor, el miedo, eso les enseñaría.
											Pero la mejor forma
de enseñarles qué es lo correcto
											es enseñarles.
											Tomar un pizarrón y hacer dibujos
y hacer conexiones
											que ellos entiendan.
											Esa era la mejor forma.
											Las imágenes que ven son de mi canal
de YouTube, ""Beleaf in Fatherhood"".
											Documento las desventuras
de ser un amo de casa.
											No es perfecto, solo demuestra
que lo estoy intentando, ¿saben?
											Y no intento ser un ejemplo,
											sino probar que es posible
para cualquiera que lo intente.
											¿Saben qué más aprendí
sobre ser amo de casa?
											Aprendí que los niños necesitan amor,
											pero yo no sabía lo que era el amor.
									","
											Ev babası olarak başka ne düşündüm 
biliyor musunuz?
									","
											GH: Não sabia nada sobre ser
um pai que fica em casa,
											mas, depois de aceitar esse facto
											comecei a aprender
com os meus novos chefes.
											Sempre me disseram
											que um pai que fica em casa,
não consegue dormir.
											Ou como um pai, geralmente,
não dormimos nada.
											Mas não é verdade, porque,
se dormirmos ao mesmo tempo que eles,
											conseguimos dormir um pouco.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Video) (Música)
									","
											onlara yanlışı doğruyu öğretmenin
en iyi yolunun
											onları disipline etmekten geçtiğini 
zannediyordum
											çünkü bu yanlışı, acıyı, korkuyu
											doğruyu anlamalarını sağlayacaktı
— bu onlara ders verecekti.
											Fakat, gerçek şu ki; çocuklara yanlıştan 
doğruyu öğretmenin en iyi yolu
											onlara ders vermektir.
											Bir tahta çıkarırsın ve resimler çizersin

											ve anlayacakları bağlantılar kurarsın.
											En iyi yol buydu.
											Şu an gördüğünüz bir çok görsel 
benim YouTube kanalım,
											""Beleaf in Fatherhood"" dan.
											Ev babası olma maceramı 
böyle belgeledim.
											Ve kusursuz da değil tabii
sadece çabaladığımı ortaya koyuyor.
											Ve bir örnek de olmaya çalışmıyorum,
											bunu başka her kim yapıyor olursa olsun
mümkün olduğunun da kanıtıyım ben.
											Ev babası olmakla ilgili ne biliyordum, 
biliyor musunuz?
											Çocukların sevgiye gereksinim 
duyduğunu biliyordum
											ama sevgi nasıl bir şeydi onu 
bilmiyordum sadece.
											(Video) (Müzik)
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Resulta que ponerse pañales en la cabeza
											y jugar a la lucha hasta que se duermen
es una gran forma de amarlos.
											Estaba aprendiendo mucho,
											pero no todo es diversión y mocos, ¿no?
									","
											GH: Bir bezi başınızın üstüne koymanın
									","
											Em que é que eu também pensava
enquanto pai que ficava em casa?
											Pensava que a melhor forma de ensinar
às crianças o que é certo e errado
											era castigá-las,
											porque assim, de certeza,
ensinava-lhes o certo e o errado,
											a dor, o medo, haviam de os ensinar.
											Mas a verdade é que a melhor maneira
de ensinar o que é certo e errado
											é ensiná-las.
											Pegamos num quadro, desenhamos
bonecos e fazemos ligações
											que eles entendam.
											Essa era a melhor maneira.
											Muitas destas imagens
vêm do meu canal do Youtube,
											Beleaf in Fatherhood.
											Documento as desventuras
de ser um pai que fica em casa.
											Não são vídeos perfeitos,
só mostram que estou a tentar.
											Não estou a tentar ser um exemplo
											mas são provas de que é possível
que outros pais façam isto.
											Sabem que mais aprendi
sobre ser um pai que fica em casa?
											Eu sabia que as crianças
precisavam de amor,
											mas não sabia como era o amor.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											ve çocuklar uykuya yenik düşene kadar 
boğuşmanın
											çocuklarınıza sevgi göstermenin 
en iyi yol olduğu ortaya çıktı.
											Yani çok şey öğreniyordum
											fakat hepsi eğlenceli şeyler değil,
değil mi?
											(Gülüşmeler)
									","
											(Vídeo)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Pregunté a un grupo de amos de casa
qué es lo más difícil,
											lo que más subestimaron
sobre ser amos de casa,
											y me dijeron que la soledad
es una de esas cosas.
											No tener con quien hablar,
sentirse insuficiente,
											sentirse egoísta
por querer más tiempo libre.
											Y las canciones de cuna apestan.
									","
											Bir çok ev anne babasına en zor şeyin
									","
											GH: Parece que pôr fraldas na cabeça
											e brincar à luta com eles
até adormecerem
											é uma excelente forma
de mostrar o amor pelos filhos.
											Portanto, estava a aprender muito,
											mas nem tudo se resume a diversão.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											ev anne babası olmakla ilgili en çok 
hafife aldıkları şeyin ne olduğunu sordum
											ve dediler ki, yalnızlık o şeylerden biri.
											Konuşacak başka birinin olmaması,
yetersiz hissetmek
											kendinize ait zaman istediğiniz 
için bencil hissetmek.
											Ve tekerlemeler de çok kötü.
											(Gülüşmeler)
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											""María tenía un corderito""
está bien al principio,
											pero después de años de repetirla,
											te preguntas por qué María
no se fabrica una falda de lana
											y se come unas chuletas de cordero, ¿no?
									","
											Mesela, ""Mary Had a Litle Lamb""
ilk birkaç seferde iyi
									","
											Perguntei a um grupo de pais
que ficam em casa o que é mais difícil,
											a coisa que mais subestimaram
sobre serem pais que ficam em casa,
											e eles disseram que a solidão
era uma dessas coisas.
											Não ter alguém com quem falar,
sentir-se inadequado,
											sentir-se egoísta por querer
tempo para si mesmo.
											As músicas infantis não prestam.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											ama tüm bu yıllar boyunca 
tekrar ettikten sonra,
											Mary neden kendine bir yünden etek 
yapmıyor ya da
											kuzu budu yemiyor merak ediyor 
insan, anlıyorsunuz, değil mi?
											(Gülüşmeler)
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Lo que más subestimé
fue la fatiga emocional.
											Verán, yo era artista, escribía
canciones para otros artistas.
											Porque así ganaba dinero desde casa.
											Pero cuando pasas todo el día
con tus hijos, te agotas emocionalmente.
											Y toda la creatividad
viene de las emociones,
											entonces estás vacío, estas acabado.
											Y uno se harta del tiempo:
											Hora de dormir, de descansar,
hora de cocinar,
											todo tipo de tiempo, uno se harta.
											No tienes tiempo para nada.
											Y algunas personas se hartan
de sus parejas
											porque la pareja simplemente no entiende.
											Un amigo me dijo:
											""Amigo, llego del trabajo,
											hay cajones abiertos,
ropa colgando de los cajones,
											los niños todavía están en pijama...
											No puede ser tan difícil tener la cena
lista cuando llego a casa, ¿no?""
									","
											En çok hafife aldığım bir şey de 
duygusal tükenmişlik idi.
									","
											A sério, ""A Maria tinha um carneirinho""
é gira das primeiras vezes
											mas, após alguns anos sempre a ouvi-la,
											começamos a perguntar porque é
que a Maria não faz uma saia de lã
											e não come umas costeletas de borrego.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											Ben bir sanatçıydım, bu yüzden 
diğer sanatçılar için şarkılar yazardım.
											Çünkü eve parayı böyle getiriyordum.
											Fakat tüm gün çocuklarınızla olunca
duygusal olarak yoruluyorsunuz.
											Ve bu şu anlama gelir,
yaratıcılığınız duygularınızdan gelir
											bu yüzden bitersiniz, işiniz biter.
											Böylece saat ile olan işiniz biter
											—uyku saati, zaman çizelgeleri, 
molalar, yemek pişirme saati
											ve tüm saat türleriyle— işiniz biter
											hiçbir şey için zamanınız olmaz.
											Ve bazı insanların ev anne babası olarak 
eşleriyle olan işleri de biter.
											Çünkü eşiniz anlayamaz bunu.
											Bir arkadaşımla konuşuyordum, dedi ki:
											""Dostum, işten eve geliyorum
											çekmeceler açık, giysiler dışarı taşmış 
vaziyette,
											çocukların pijamaları hâlâ üzerlerinde…
											eve geldiğimde, sofrayı hazırlamış olmak
bu kadar da zor olamaz, haksız mıyım?""
											(Gülüşmeler)
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Me pongo como loco, ¿saben?
									","
											Kafayı yiyecektim, ne dediğimi 
anlıyorsunuz değil mi?
									","
											Uma coisa que eu mais subestimei
foi a fadiga emocional.
											Eu era artista,
escrevia canções para outros artistas.
											Era assim que ganhava dinheiro em casa.
											Mas quando temos os filhos o dia todo,
ficamos cansados emocionalmente.
											Isso significa que toda a criatividade
vem das nossas emoções
											por isso, desistimos, estamos fartos.
											Ficamos fartos com o tempo.
											O tempo para a sesta, os horários,
as pausas, o tempo para cozinhar,
											ficamos fartos
com todos os tipos de tempo.
											Não temos tempo para nada.
											Há pais ou mães que se cansam
do companheiro, que fica em casa,
											porque não o entende.
											Um amigo meu disse-me:
											""Meu, volto a casa do trabalho,
											""as gavetas estão abertas,
as roupas estão penduradas nas gavetas,
											""as crianças ainda estão de pijama.
											""Não deve ser assim tão difícil ter
o jantar pronto quando chego a casa"".
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Quería que yo fuera su confidente.
									","
											Sırlarını bana anlatmaya çabalıyordu—
									","
											""Passas-te dos carretos, percebes?""
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Le dije: ""No tienes idea
de lo que estás hablando.
									","
											""Neden bahsettiğin hakkında 
en ufak fikrin bile yok,"" dedim ben de.
									","
											Ele estava a tentar desabafar comigo.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Se despierta cansada de la noche anterior
con un bebé pegado al pecho,
											lleva un niño a la escuela
y el otro al parque.
											Hay ropa sucia hasta el techo,
											tiene que hablar por teléfono
con tu mamá por una hora
											sobre quién sabe qué,
llevar a pasear al perro que tú querías.
									","
											Her sabah uyanır, bir gece 
öncesinden yorgundur,
									","
											Eu disse: ""Não fazes ideia
do que estás a falar.""
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											bebeği memesindedir,
çocuğun birini okula bırakmak
											ve diğerini parka götürmek.
											Çamaşırlar gökyüzüne yükselir,
											annenle bir saat telefonda konuşur
											Allah bilir ne konuda,
											senin eve aldığın köpeği 
yürüyüşe çıkartır.
											(Gülüşmeler)
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Y nadie murió, hermano.
											Mantuvo a tus hijos vivos
todo el día, eso es difícil"".
									","
											Ve kimse ölmedi kardeşim.
									","
											""Ela acorda todas as manhãs
cansada da noite anterior,
											""a bebé agarrada ao seu peito,
deixa o filho na escola,
											""e leva o outro ao parque.
											""A roupa suja vai-se empilhando,
											""conversa ao telefone
durante uma hora com a tua mãe
											""sobre sabe-se lá o quê,
											""leva o cão, que tu quiseste, a passear.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Risas)
									","
											O, çocuklarını tüm gün hayatta tuttu, 
bu çok zor.
											(Gülüşmeler)
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											Me he vuelto un defensor
de los amos de casa.
											¿Por qué?
											Porque, finalmente, estaba en su piel.
											Cuando uno se pone en el lugar del otro,
se ve el mundo con otra perspectiva.
											Y cuando uno da los primeros pasos,
parecen pasos de bebé, tambaleantes.
											Pero luego uno empieza a pisar fuerte
											y a dejar huellas para
la siguiente generación.
											Seguimos un cierto camino como padres,
estamos todos juntos en esto.
											Nadie puede negar que la familia
es una de las mayores bases
											de nuestras vidas.
											Y todos seguimos este camino,
											limpiando los matorrales
y quitando las espinas,
											haciéndolo más fácil para los de atrás.
											Resulta ser que ser padre tiene
más que ver con el paisajismo
											y el aprendizaje
											que con la enseñanza.
											Y lo mejor que podemos
hacer es asistir a clases.
											Como amo de casa,
aprendí a estar presente.
											Y dejar que tu presencia sea un regalo.
									","
											Ev anne babalarının 
savunucusu oldum ben.
									","
											""E ninguém morre, meu.
											""Ela manteve os teus filhos vivos
o dia inteiro, é difícil.""
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Video)
									","
											Neden?
											Çünkü sonuç olarak ben
kendimi onların yerine koydum.
											Çünkü kendinizi başka birinin 
yerine koyduğunuz zaman
											dünyayı başka bir açıdan görüyorsunuz.
											Ve adım atmaya başladığınızda bebek
adımlarıymış gibi, sendeliyormuşsun gibi.
											Fakat sonra yere sağlam basmaya
dönüşüyor.
											Ve bir sonraki nesil için 
bir yol açmaya başlıyorsunuz.
											Anne babalar olarak belirli
bir yolda yürüyoruz, anlıyor musunuz?
											Bu işte hep birlikteyiz.
											Ailenin birinin hayatındaki 
en büyük kurum olduğunu
											hiç kimse inkar edemez.
											Ve hepimiz bu yolda yürüyoruz
											ve engelleri yoldan kaldırıyoruz
											ve arkamızdan gelenler için
işi daha kolaylaştırıyoruz.
											Anne baba olmanın öğretmekten
ders vermekten çok
											keşfetmek ve öğrenmek ile alakalı olduğu
											ortaya çıkıyor.
											Ve yapılacak en iyi şey 
her gün sınıfa gitmektir.
											Sınıfta olmak ,orada olmak 
benim ev babası olarak öğrendiğim şeydir.
											Ve bırakın varlığınız hediyeniz olsun.
											(Video) Şşş.
									","
											(Risos)
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											(Ruido de llaves)
									","
											(Kapı açılır)
									","
											Tornei-me um defensor
das mães que ficam em casa.
											Porquê?
											Porque estava finalmente
a pôr-me no lugar delas.
											Porque quando nos colocamos
no lugar de alguém,
											vemos o mundo de outra perspetiva.
											E quando damos os primeiros passos,
parecem passos de bebé, a cambalear.
											Mas depois tornam-se em tropeços.
											e começamos a deixar pegadas
para a geração seguinte.
											Estamos a caminhar num dado
caminho, como pais.
											Estamos todos juntos nisto.
											Ninguém pode negar que a família
é um dos maiores alicerces
											em qualquer família.
											Caminhamos todos neste caminho,
											e estamos a afastar estas matagais
e estes espinhos,
											tornando tudo mais fácil
para os que vêm depois de nós.
											Acontece que educar os filhos
tem mais a ver com paisagismo.
											E aprender,
											mais do que ensinar.
											A melhor coisa para fazer
é comparecer nas aulas.
											Estar presente foi o que aprendi
ao ser um pai que fica em casa.
											E deixar que a nossa presença
seja um presente.
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
											¡Hola!
									","
											Merhaba!
									","
											(Vídeo) Shiu!
									",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
"
","
","
",What I've learned about parenting as a stay-at-home dad,Glen Henry,10:46,"TEDx,parenting,children,creativity,family,humanity,identity,work-life balance,personal growth,social change,society"
