en,pt,fr,es,title,speaker,duration,tags
"
											With my previous research group in Europe,
											we developed this
soft camera robot for surgery,
											which is very different
from a classic endoscope,
											which can move thanks
to the flexibility of the module
											that can bend in every direction
and also elongate.
											And this was actually used by surgeons
to see what they were doing
											with other instruments
from different points of view,
											without caring that much
about what was touched around.
											And here you see the soft robot in action,
											and it just goes inside.
											This is a body simulator,
not a real human body.
											It goes around.
											You have a light, because usually,
											you don't have too many lights
inside your body.
									","
											Com o meu anterior grupo
de investigação na Europa,
											desenvolvemos esta
câmara-robô mole para cirurgias,
											que é muito diferente
do endoscópio clássico.
											Pode mover-se graças
à flexibilidade do módulo
											que pode dobrar-se em qualquer direção
e também alongar-se.
											Isto já foi utilizado por cirurgiões
para poderem ver o que estão a fazer
											com outros instrumentos
de vários pontos de vista,
											sem se preocuparem muito
com o que estava a ser tocado em volta.
											Aqui podem ver o robô mole em ação.
											Ele limita-se a entrar.
											Este é um simulador de corpo,
não um corpo humano real.
											Ele anda em volta.
											Temos uma luz, porque normalmente,
											não há muitas luzes
dentro do nosso corpo.
									","
											Avec mon précédent groupe de recherche
en Europe,
											nous avons développé
ce robot-caméra flexible
											qui est très différente
d'un endoscope classique,
											qui se meut grâce à la souplesse du module
											qui se plie dans toutes les directions,
et peut s'allonger aussi.
											Des chirurgiens l'ont utilisé
pour voir ce qu'ils font,
											avec d'autres instruments
sous différents angles,
											sans trop s'occuper de ce qui est touché 
aux alentours.
											Voici le robot mou en action,
											il va à l'intérieur.
											C'est un simulateur de corps,
pas un vrai corps humain.
											Il se déplace partout.
											Il est équipé d'une torche,
											car il n'y a pas beaucoup de lumière
dans votre corps.
									","
											Con mi grupo anterior
de investigación en Europa,
											desarrollamos este robot
quirúrgico blando con cámara,
											que es muy diferente
de un endoscopio tradicional
											y que se mueve gracias
a la flexibilidad del módulo,
											que puede elongarse y doblarse
en cualquier dirección.

											Los cirujanos lo usaron para ver
lo que hacían con otros instrumentos
											desde distintos puntos de vista,
											sin preocuparse demasiado
por lo que tocaban alrededor.
											Aquí vemos el robot blando en acción,
											y aquí lo vemos ingresar.
											Esto es un simulador;
no es un cuerpo humano.
											Ahí da la vuelta.
											Tiene una luz, porque normalmente
hay poca luz dentro del cuerpo.
											(Risas)
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											We hope.
									","
											Esperemos que não haja.
									","
											Enfin espérons.
									","
											Esperemos.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											But sometimes, a surgical procedure
can even be done using a single needle,
											and in Stanford now, we are working
on a very flexible needle,
											kind of a very tiny soft robot
											which is mechanically designed
to use the interaction with the tissues
											and steer around inside a solid organ.
											This makes it possible to reach
many different targets, such as tumors,
											deep inside a solid organ
											by using one single insertion point.
											And you can even steer around
the structure that you want to avoid
											on the way to the target.
									","
											Mas, por vezes, um procedimento cirúrgico
pode ser feito com uma simples agulha,
											e agora em Stanford, estamos a trabalhar
numa agulha muito flexível,
											como um minúsculo robô mole
											que é mecanicamente concebido
para usar a interação com os tecidos
											e orientar-se dentro de um órgão sólido.
											Isto torna possível alcançar
diversos alvos, como tumores,
											bem no fundo de um órgão
											usando apenas um ponto de inserção.
											Podemos até orientar-nos em torno
de uma estrutura que queremos evitar
											no percurso para o alvo.
									","
											Mais parfois, une procédure chirurgicale
peut être réalisée avec une seule aiguille
											et à Stanford, nous travaillons
sur une aiguille très souple,
											une sorte de minuscule robot flexible
											mécaniquement conçu pour interagir
avec les tissus
											et contourner les organes.
											Cela permet ainsi d'atteindre différentes 
cibles, telles que des tumeurs,
											profondément dans un organe,
											en n'utilisant qu'un seul point
d'insertion.
											Et vous pouvez même contourner
les structures que vous voulez éviter
											pour atteindre votre cible.
									","
											Pero hay procedimientos quirúrgicos
que se realizan con tan solo una aguja,
											y ahora, en Stanford,
											estamos desarrollando
una aguja muy flexible.
											Una especie de robot blando muy diminuto,
											mecánicamente diseñado para aprovechar
la interacción con los tejidos
											y moverse dentro de un órgano sólido.
											Esto permite alcanzar tumores
y otros objetivos específicos
											en el interior de un órgano,
											con tan solo una incisión.
											Incluso se puede evitar una estructura
											de camino al objetivo.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											So clearly, this is a pretty
exciting time for robotics.
											We have robots that have to deal
with soft structures,
											so this poses new
and very challenging questions
											for the robotics community,
											and indeed, we are just starting
to learn how to control,
											how to put sensors
on these very flexible structures.
											But of course, we are not even close
to what nature figured out
											in millions of years of evolution.
									","
											Esta é claramente uma época
entusiasmante para a robótica.
											Temos robôs que têm que lidar
com estruturas moles,
											e isso apresenta novas
e desafiantes questões
											para a comunidade robótica.
											Claro, estamos ainda
a aprender como os controlar,
											como colocar sensores
nestas estruturas flexíveis.
											Mas claro, não estamos nem perto
daquilo que a natureza fez
											em milhões de anos de evolução.
									","
											Nous vivons un époque vraiment excitante
pour la robotique.
											Nous avons des robots interagissant
avec des structures souples,
											ce qui soulève de nouvelles
questions intéressantes
											pour notre communauté,
											et effectivement, nous apprenons
à peine à les contrôler,
											ou comment poser des capteurs
sur ces structures malléables.
											Mais sans rivaliser
avec ce que la nature a réalisé
											en des millions d'années d'évolution.
									","
											Claramente, este es un momento
muy interesante para la robótica.
											Tenemos robots que trabajan
con estructuras blandas,
											lo cual plantea preguntas
nuevas y muy difíciles
											para la comunidad de la robótica.
											Recién estamos empezando
a aprender cómo controlar,
											cómo poner sensores
en estas estructuras tan flexibles.
											Pero claramente estamos muy lejos
de lo que creó la naturaleza
											durante millones de años de evolución.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											But one thing I know for sure:
											robots will be softer and safer,
											and they will be out there helping people.
											Thank you.
									","
											Mas há uma coisa
de que eu tenho a certeza:
											os robôs tornar-se-ão
mais moles e mais seguros,
											e andarão por aí a ajudar as pessoas.
											Obrigada.
									","
											Une chose est cependant certaine :
											les robots seront plus souples
et plus sûrs,
											et il seront sur le terrain,
pour aider les gens.
											Merci.
									","
											Pero hay algo que sí sé:
											los robots serán más blandos, más seguros,
											y estarán allí afuera ayudando a la gente.
											Gracias.
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Aplausos)
									","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
"
","
","
","
","The incredible potential of flexible, soft robots",Giada Gerboni,9:27,"robots,future,innovation,invention,design,nature,technology,animals"
