en,pt,fr,es,tr,de,title,speaker,duration,tags
"
											But then I decided,
what people are really asking
											when they're asking if a word is real,
they're really asking,
											""Well, how many brains
will this give me access to?""
											Because I think that's
a lot of how we look at language.
											A word is essentially a key
											that gets us into certain people's heads.
											And if it gets us into one brain,
											it's not really worth it,
											not really worth knowing.
											Two brains, eh, it depends on who it is.
											A million brains, OK, now we're talking.
											And so a real word is one that gets you
access to as many brains as you can.
											That's what makes it worth knowing.
									","
											Mas descobri o que as pessoas
queriam saber
											quando perguntam se uma palavra é real:
											""A quantos cérebros é que 
esta palavra me vai dar acesso?""
											Porque penso que é assim
que nós olhamos para a linguagem.
											Uma palavra é essencialmente uma chave
											que nos leva até às cabeças 
de certas pessoas.
											Se nos leva só até a um cérebro,
											não vale a pena,
											não vale a pena sabê-la.
											Dois cérebros, depende de quem for.
											Um milhão de cérebros, ok, agora sim.
											Então uma palavra real
é aquela que nos dá acesso
											ao maior número de cérebros possível.
											É isso que a faz valer a pena saber.
									","
											Puis j'ai décidé
que ce que les gens demandaient
											en questionnant si un mot était réel,
ils demandaient vraiment :
											« A combien de cerveaux
cela me donnera-t-il accès ? »
											C'est important
dans notre vision d'un langage.
											Un mot,
c'est principalement une clé
											qui nous fait entrer
dans la tête de certaines personnes.
											S'il nous fait entrer dans un cerveau,
											il n'en vaut pas la peine,
											il ne mérite pas d'être su ;
											deux cerveaux, eh bien,
tout dépend de qui ;
											un million de cerveaux,
là, c'est intéressant.
											Un mot réel vous donne accès
à autant de cerveaux que possible.
											Pour ça, il mérite d'être connu.
									","
											Pero concluí, lo que
realmente preguntaban,
											cuando preguntan si la palabra 
es real, quieren saber
											""¿A cuántas mentes 
tendré acceso con ella?""
											Porque creo que se parece mucho
a cómo vemos al lenguaje.
											Una palabra es en esencia una llave
											que nos adentra en 
las cabezas de la gente.
											Y si entramos a una cabeza,
											no vale la pena,
											no sirve saberla.
											Dos cerebros, depende de quiénes son.
											Un millón de cerebros, bien, está bien.
											Una palabra real es la que te da acceso
a tantas mentes como puedas.
											Por eso vale la pena saberla.
									","
											Sonra insanların bir kelimenin
											gerçek olup olmadığını sorduğunda,
aslında sordukları şeyin
											""Bu kelime kaç akla ulaşmamı sağlayacak?""
sorusunun cevabı olduğuna karar verdim.
											Çünkü bence bu daha çok dile 
nasıl baktığımızla alakalı.
											Bir kelime, esasında
											insanların aklına girmemizi 
sağlayan bir anahtardır.
											Onunla sadece bir akla giriyorsak
											bilmeye değmez,
											gerçekten bilmeye gerek yoktur.
											İki akıl, tabii kimin olduklarına bağlı.
											Bir milyon akıl, o zaman tamam,
işte şimdi oldu.
											Ulaşabileceğiniz kadar çok akıla 
ulaştırabilen kelime, gerçek kelimedir.
											Bilmeye değer kelime budur.
									","
											Doch ich denke, die Leute
wollen eigentlich wissen,
											wenn sie fragen, ob es
ein richtiges Wort ist:
											""Zu wie vielen Gehirnen
habe ich damit Zugang?""
											Ich denke, so sehen wir Sprache.
											Ein Wort ist im Grunde ein Schlüssel
											zu den Köpfen anderer Menschen.
											Und wenn wir nur in ein Gehirn kommen,
											ist es nicht wert,
											es sich zu merken.
											Zwei Gehirne, na ja, kommt
darauf an, wem sie gehören.
											Eine Millionen Gehirne?
Das hört sich schon besser an.
											Mit einem richtigen Wort haben wir
zu möglichst vielen Gehirnen Zugang.
											Dann ist es wert, es zu kennen.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											Incidentally, the realest word of all
by this measure is this.
									","
											Aliás, a palavra mais real de todas,
segundo esta medida, é esta.
									","
											D'ailleurs, en utilisant cette mesure,
le mot le plus réel de tous :
									","
											Luego, la palabra más real
con esta medida es esta:
									","
											Yeri gelmişken, bu tanıma göre 
en gerçek kelime
									","
											Übrigens ist nach diesem Kriterium
das Wort mit dem größten Zugang dieses:
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											[O.K.]
									","
											[O.K.]
									","
											[OK]
									","
											O.K.
									","
											[O.K.]'dir.
									","
											[""O. K.""]
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											That's it.
											The realest word we have.
											That is the closest thing we have
to a master key.
											That's the most commonly
understood word in the world,
											no matter where you are.
											The problem with that is,
											no one seems to know
what those two letters stand for.
									","
											É esta.
											A palavra mais real que temos.
											É a coisa mais parecida 
com uma chave-mestra que temos.
											É a palavra mais comummente 
entendida no mundo,
											onde quer que estejamos.
											O problema é que, segundo parece,
											ninguém sabe o que estas 
duas letras significam.
									","
											Le voilà.
											Le mot le plus réel.
											C'est la chose la plus proche
d'un passe-partout.
											C'est le mot le plus communément compris,
											peu importe où vous êtes.
											Le problème est que personne ne semble
savoir ce que signifient ces deux lettres.
									","
											Eso es.
											Tenemos la más real.
											Es lo más cerca a
una llave maestra.
											Es la palabra 
más comprendida en el mundo,
											sin importar donde estés.
											El problema es que
											nadie parece saber
lo que esas dos letras significan.
									","
											İşte bu.
											En gerçek kelimemiz.
											Elimizdekilerden esas anahtara
en yakın olanı budur.
											Dünyadaki en yaygın,
en anlaşılır kelimedir,
											nerede olduğunuz hiç fark etmez.
											Buradaki sorun ise,
											kimsenin bu iki harfin 
temsil ettiği şeyi bilmiyor olmasıdır.
									","
											Das ist es.
											Das Wort der Wörter.
											Nahezu ein Generalschlüssel.
											Es ist das weitest verbreitete,
verstandene Wort der Welt,
											egal wo man ist.
											Das Problem ist,
											niemand scheint zu wissen, wofür
die beiden Buchstaben stehen.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Gelächter)
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											Which is kind of weird, right?
											I mean, it could be a misspelling
of ""all correct,"" I guess,
											or ""old kinderhook.""
											No one really seems to know,
but the fact that it doesn't matter
											says something about
how we add meaning to words.
											The meaning is not
in the words themselves.
											We're the ones
that pour ourselves into it.
									","
											O que é um pouco estranho, não é?
											Podia ser um erro de ortografia
de ""all correct"", acho eu,
											ou de ""old kinderhook"".
											Parece que ninguém sabe,
mas isso não interessa
											é significativo do modo
como juntamos um sentido às palavras.
											O significado não está 
nas palavras em si.
											Somos nós que o derramamos sobre elas.
									","
											Ce qui est plutôt bizarre, n'est-ce pas ?
											Cela être « all correct »,
ou « tout est correct », mal orthographié.
											Ou bien « Old Kinderhook ».
											Personne ne semble savoir mais le fait
que cela importe peu est significatif
											de notre façon
d'ajouter du sens aux mots.
											Le sens n'est pas dans les mots eux-mêmes.
											C'est nous qui y mettons du sens.
									","
											Lo que es algo raro, ¿no?
											Creo que podría ser 
un error de ""todo correcto""
											o ""viejo gancho"".
											Nadie parece saberlo, pero
que en realidad no importa
											dice algo de cómo damos 
significado a las palabras.
											Este no está 
en las mismas palabras.
											Somos quienes 
les ponemos algo nuestro.
									","
											Ki bu biraz garip değil mi?
											Yani, belki de
""all correct"" (her şey yolunda)
											veya ""Old Kinderhook""un 
yanlış kısaltılması olabilir.
											Gerçekten de kimse biliyor gibi değil 
ama bunun hiç de önemli olmaması
											kelimeleri nasıl anlamlandırdığımıza
dair bir şeyler anlatır.
											Anlam kelimelerin kendisinde değildir.
											Anlamı veren bizleriz.
									","
											Irgendwie komisch, oder?
											Es könnte ein Falschbuchstabieren
von ""all correct"" sein,
											oder ""old kinderhook"".
											Niemand scheint es zu wissen, doch
die Tatsache, dass es nicht wichtig ist,
											sagt etwas darüber aus, wie wir
Wörtern Bedeutung zuschreiben.
											Die Bedeutung liegt nicht
in den Wörtern selbst.
											Wir bringen uns selbst in die Wörter ein.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											And I think, when we're all searching
for meaning in our lives,
											and searching for the meaning of life,
											I think words have
something to do with that.
											And I think if you're looking
for the meaning of something,
											the dictionary is a decent place to start.
											It brings a sense of order
											to a very chaotic universe.
											Our view of things is so limited
											that we have to come up
with patterns and shorthands
											and try to figure out
a way to interpret it
											and be able to get on with our day.
											We need words to contain us,
to define ourselves.
									","
											Quando estamos à procura 
de significado na nossa vida,
											e à procura do significado da vida,
											penso que as palavras
têm algo a ver com isto.
											E penso que se estamos à procura 
do significado de alguma coisa,
											o dicionário é um sitio decente 
para começar.
											Dá-nos um sentido de ordem
											para um universo caótico.
											A nossa vista das coisas é tão limitada
											que temos de inventar
padrões e abreviaturas
											e tentar encontrar uma forma 
de as interpretar
											e de conseguirmos
continuar com o nosso dia.
											Precisamos de palavras que nos 
contenham, para nos definirmos.
									","
											Je pense que, quand nous cherchons
du sens dans nos vies
											et cherchons le sens de la vie,
											je pense que les mots sont liés à cela.
											Je pense que si nous cherchons
le sens de quelque chose,
											le dictionnaire est
un bon point de départ.
											Il apporte une forme d'ordre
											à un univers très chaotique.
											Notre vision des choses est si limitée
											que nous devons inventer
des motifs et des abréviations,
											nous essayons de trouver
comment les interpréter
											afin de continuer notre journée.
											Nous avons besoin des mots
pour nous contenir et nous définir.
									","
											Pienso que cuando estamos
buscando sentido en nuestras vidas,
											y buscando sentido a la vida,
											pienso que las palabras
tienen que ver en ello.
											Creo que si estás buscando
el significado de algo,
											el diccionario es el lugar para empezar.
											Da un sentido de orden
											a un universo muy caótico.
											Nuestra visión de las cosas 
es tan limitada
											que debemos inventar 
patrones y abreviaturas
											y tratar de descubrir 
una forma de interpretarla
											y poder seguir con tu día.
											necesitamos palabras 
que nos incluyan, que nos definan.
									","
											Bence hayatlarımızda anlam arıyorsak,
											hayatın anlamını arıyorsak,
											kelimelerin bununla 
ilgisi olduğunu düşünüyorum.
											Bir şeyin ne anlam ifade ettiğini 
merak ediyorsanız
											sözlükler bu işe başlamak için 
doğru bir yer.
											Bu yol karmakarışık bir evrende
											bir ""düzen"" oluşturur.
											Olaylara bakışımız öyle kısıtlı ki,

											bunları yorumlamak için
bir yol bulmaya çalışarak
											kısa yollar ve kalıplar 
oluşturmak zorundayız,
											ki zamanımızla barışık olabilelim.
											Kendimizi tanımlamak için
bizi kapsayan kelimelere ihtiyacımız var.
									","
											Ich glaube, wenn wir alle nach
Bedeutung im Leben suchen
											und nach dem Sinn des Lebens,
											spielen Wörter eine Rolle.
											Ich glaube, wenn Sie nach
dem Sinn von etwas suchen,
											ist das Wörterbuch ein guter Start.
											Es bringt ein Gefühl von Ordnung
											in eine sehr chaotische Welt.
											Unsere Sicht der Dinge ist so begrenzt,
											dass wir uns mit Mustern und
Stenographien behelfen
											und lernen müssen,
diese zu interpretieren,
											um unseren Tag zu meistern.
											Wir brauchen Wörter, die uns
Halt und Bestimmung geben.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											I think a lot of us feel boxed in
											by how we use these words.
											We forget that words are made up.
											It's not just my words.
All words are made up,
											but not all of them mean something.
											We're all just sort of
trapped in our own lexicons
											that don't necessarily correlate
with people who aren't already like us,
											and so I think I feel us drifting apart
a little more every year,
											the more seriously we take words.
									","
											Penso que muitos de nós 
nos sentimos presos
											pela utilização destas palavras.
											Esquecemo-nos que as palavras 
foram inventadas.
											Não são só as minhas palavras.
Todas as palavras são inventadas,
											mas nem todas significam algo.
											Estamos todos presos
aos nossos léxicos
											que podem não se correlacionar
com pessoas que não são como nós,
											e portanto afastamo-nos 
um bocadinho mais todos os anos,
											se levamos as palavras a sério.
									","
											Je pense que beaucoup
se sentent pris au piège
											par la façon
dont nous utilisons ces mots.
											Nous oublions que les mots sont inventés.
											Pas uniquement les miens,
tous les mots sont inventés
											mais ils n'ont pas tous un sens.
											Nous sommes tous piégés
dans notre lexique
											qui n'est pas forcément en corrélation
avec les gens qui ne nous ressemblent pas
											et donc nous nous éloignons
un peu plus chaque année,
											plus nous prenons les mots au sérieux.
									","
											Creo que muchos nos sentimos encasillados
											por cómo usamos estas palabras.
											Olvidamos que son inventadas.
											No solo mis palabras.
Todas son inventadas,
											pero no todas significan algo.
											Estamos como atrapados
en nuestro léxico
											que casi no nos relacionamos 
con gente que no es ya como nosotros
											y pienso que nos estamos distanciando
un poco más año a año,
											Cuando más en serio 
tomamos las palabras.
									","
											Sanırım çoğumuz kelimeleri 
nasıl kullanacağımız konusunda
											kısıtlanmış hissediyoruz.
											Kelimelerin uydurma olduğunu unutuyoruz.
											Sadece benim kelimelerim değil
tüm kelimeler uydurmadır,
											illa ki hepsi bir anlam ifade etmez.
											Hepimiz bir bakıma,
bizi pek sevmeyen insanlarla
											kesinlikle bağ kurmayan 
kelime dağarcığımız içinde
											kapana kısılmış gibiyiz ve sanırım 
bu yüzden kelimeleri ciddiye aldıkça
											her geçen yıl 
birbirimizden uzaklaşıyoruz.
									","
											Ich glaube, viele von uns
fühlen sich eingeschränkt,
											durch die Art, wie wir Wörter verwenden.
											Wir vergessen, dass Wörter erfunden sind.
											Nicht nur meine Wörter.
											Alle Wörter sind erfunden,
doch nicht alle bedeuten etwas.
											Wir sind irgendwie alle in unserem
eigenen Wortschatz gefangen,
											der nicht unbedingt mit Menschen
übereinstimmt, die anders sind als wir.
											Ich empfinde, dass wir Jahr um Jahr
etwas weiter auseinanderdriften,
											je ernster wir Wörter nehmen.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											Because remember, words are not real.
											They don't have meaning. We do.
									","
											Porque lembrem-se,
as palavras não são reais.
											Elas não têm significado. 
Nós temos.
									","
											Souvenez-vous, les mots ne sont pas réels.
											Ils n'ont pas de sens, nous si.
									","
											Recuerden, las palabras no son reales.
											No tienen significado. Nosotros sí.
									","
											Unutmayın; kelimeler gerçek değildir.
											Anlam ifade eden onlar değil. Biziz.
									","
											Denken Sie daran,
Wörter sind nur erfunden.
											Sie haben keine Bedeutung, wir schon.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											And I'd like to leave you with a reading
											from one of my favorite philosophers,
											Bill Watterson, who created
""Calvin and Hobbes.""
											He said,
											""Creating a life that reflects
your values and satisfies your soul
											is a rare achievement.
											To invent your own life's meaning
											is not easy,
											but it is still allowed,
											and I think you'll be
happier for the trouble.""
									","
											E gostava de vos deixar com uma passagem
											de um dos meus filósofos favoritos,
											Bill Watterson, que criou 
""Calvin and Hobbes.""
											Ele disse:
											""Criar uma vida que reflete os nossos 
valores e que satisfaz a nossa alma
											""é uma conquista rara.
											""Inventar o significado
da nossa vida não é fácil,
											""mas ainda é permitido,
											""e penso que essa dificuldade
nos tornará mais felizes.""
									","
											J'aimerais vous laisser
avec une citation
											de l'un de mes philosophes préférés,
											Bill Watterson, qui a créé
« Calvin and Hobbes ».
											Il a dit :
											« Créer une vie qui reflète vos valeurs
et satisfait votre âme
											est un accomplissement rare.
											Inventer le sens de sa vie
											n'est pas simple
											mais est toujours permis
											et je crois que ces difficultés
vous rendront plus heureux. »
									","
											Y quiero dejarlos con una lectura
											de uno de mis filósofos favoritos,
											Bill Watterson, creador de
""Calvin y Hobbes"".
											Él dijo,
											""Crear una vida que refleje 
tus valores y satisfaga tu alma
											es un logro poco común.
											Inventar el significado de tu propia vida
											no es fácil,
											pero aun está permitido,
											y piensa que serás 
más feliz por el esfuerzo"".
									","
											En sevdiğim filozoflardan biri olan
											""Calvin ve Hobbes""un yaratıcısı
											Bill Watterson'dan bir alıntı yaparak 
bitirmek istiyorum.
											Watterson şöyle der:
											""Değerlerinizi yansıtan ve 
ruhunuzu tatmin eden bir hayat yaratmak
											nadir bir kazanımdır.
											Kendi hayatınızın anlamını keşfetmek
											kolay değildir
											ama her zaman mümkündür
											ve bence çektiğiniz zahmete değecektir.""
									","
											Ich möchte mit einem Zitat enden.
											Es ist von meinem
Lieblingsphilosophen Bill Watterson,
											der ""Calvin und Hobbes"" erfunden hat.
											Er sagte: ""Das Leben so zu gestalten,
											dass es die eigenen Werte enthält
und die Seele befriedigt,
											ist eine seltene Errungenschaft.
											Den Sinn des eigenen Lebens zu erfinden,
											ist nicht leicht,
											es ist jedoch erlaubt,
											und ich glaube, Sie werden gerade wegen
der Anstrengungen glücklicher sein.""
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											Thank you.
									","
											Obrigado.
									","
											Merci.
									","
											Gracias.
									","
											Teşekkürler.
									","
											Vielen Dank.
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaus)
									",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
"
","
","
","
","
","
",Beautiful new words to describe obscure emotions,John Koenig,7:28,"beauty,innovation,humanity,communication,invention,language,potential,society,writing,relationships,TEDx,creativity,emotions"
