en,fr,de,tr,title,speaker,duration,tags
"
											The third pillar of our program
is eliminating regulations
											that are no longer needed
											once a carbon dividends plan is enacted.
											This is a key selling point
to Republicans and business leaders.
											So why should we trade
											climate regulations for a price on carbon?
											Well, let me show you.
											Our plan would achieve nearly twice
the emissions reductions
											of all Obama-era climate
regulations combined,
											and nearly three times the new baseline
											after President Trump repeals
all of those regulations.
											That assumes a carbon tax
starting at 40 dollars per ton,
											which translates into roughly
an extra 36 cents per gallon of gas.
											Our plan by itself
											would meet the high end
of America's commitment
											under the Paris Climate Agreement,
											and as you can see,
											the emissions reductions
would continue over time.
											This illustrates the power
of a conservative climate solution
											based on free markets
and limited government.
											We would end up with less regulation
											and far less pollution at the same time,
											while helping working-class
Americans get ahead.
											Doesn't that sound like something
we could all support?
									","
											Le troisième pilier de notre programme
est de supprimer les régulations
											dont nous n'aurons plus besoin
											une fois que le plan 
de dividendes carbone sera adopté.
											C'est un argument de vente clé
pour les Républicains
											et les chefs d'entreprises.
											Alors pourquoi devrions-nous remplacer
											les régulations climatiques 
par un prix sur le carbone ?
											Je vais vous montrer.
											Notre plan permettrait de réduire 
les émissions près de deux fois plus
											que toutes les régulations 
de l'ère Obama sur le climat
											et près de trois fois plus
que la nouvelle ligne de référence
											après que le Président Trump
a abrogé toutes ces régulations.
											Cela implique une taxe carbone,
commençant à 40 dollars par tonne,
											ce qui se traduit par une augmentation 
de 10 centimes par litre d'essence.
											Notre plan, en soi,
											permettrait d'atteindre les engagements 
les plus ambitieux de l'Amérique
											issus des Accords de Paris sur le climat
											et comme vous pouvez le voir,
											la réduction des émissions
continuerait avec le temps.
											Cela prouve le pouvoir d'une
solution conservatrice pour le climat
											basée sur les marchés libres
et un gouvernement limité.
											Nous aboutirions à moins de régulations

											et beaucoup moins de pollution à la fois,
											en aidant la classe populaire américaine 
à aller de l'avant.
											Ça n'a pas l'air de quelque chose
que nous pourrions tous encourager ?
									","
											Die dritte Säule unseres Programms ist
die Eliminierung von Vorschriften,
											die nicht länger nötig sind,
											wenn ein CO2-Dividendenplan
erlassen worden ist.
											Das ist ein entscheidendes Argument
für Republikaner und Wirtschaftsführer.
											Warum also sollten wir
											Klimavorschriften gegen
einen CO2-Preis eintauschen?
											Ich werde es Ihnen zeigen.
											Mit unserem Plan würden die Emissionen
fast doppelt so stark reduziert
											wie mit allen Klimavorschriften
der Obama-Zeit zusammen
											und fast um das Dreifache
des neuen Ausgangswertes,
											der sich nach der Aufhebung all dieser
Vorschriften durch Präsident Trump ergibt.
											Dabei gehen wir von einer CO2-Steuer aus,
die bei 40 Dollar pro Tonne beginnt,
											was in etwa zusätzlichen 9,5 Cent
pro Liter Benzin entspricht.
											Für sich genommen würde
unser Plan die Verpflichtung der USA
											gemäß dem Pariser Klimaabkommen
vollständig erfüllen,
											und wie Sie sehen,
											würden sich die Emissionen
im Laufe der Zeit weiter verringern.
											Das veranschaulicht die Schlagkraft
einer konservativen Klimalösung,
											die auf freien Märkten und begrenzter
staatlicher Regulierung beruht.
											Wir hätten am Ende weniger Vorschriften
											und zugleich weit weniger
Umweltverschmutzung
											und würden dabei noch
die arbeitende Bevölkerung unterstützen.
											Ist das nicht etwas,
was wir alle befürworten könnten?
									","
											Programımızın üçüncü temel bileşeni,
karbon temettü planı hayata geçtiğinde
											artık ihtiyaç duyulmayacak olan
											düzenlemelerin kaldırılmasıdır.
											Bu, Cumhuriyetçileri ve iş adamlarını
ikna etmek için en etkin noktadır.
											Peki neden iklim düzenlemelerini
											karbona fiyat koymak için mübadele edelim?
											Size göstereyim.
											Planımız, tüm Obama-dönemi
iklim düzenlemerinin toplamının
											neredeyse iki katı kadar
											ve Başkan Trump'ın o düzenlemeleri
											iptal ettikten sonraki yeni baz noktanın
üç katı kadar emisyon azaltımı sağlayacak.
											Burada karbon vergisinin ton başına
40 dolardan başlayacağını varsayıyoruz,
											bu da kabaca bir galon yakıta
36 centlik bir ek anlamına gelmektedir.
											Planımız tek başına
											ABD'nin Paris İklim Anlaşması
											yükümlülüklerini karşılıyor
											ve görüyorsunuz ki,
											zamanla emisyon azaltımları
devam da edecek.
											Bu muhafazakâr bir iklim 
çözümünün serbest pazar
											ve kısıtlı idare altındaki
gücünü göstermektedir.
											Hem daha az düzenlemeye,
											hem de daha az kirliliğe aynı
anda erişeceğiz,
											aynı zamanda işçi-sınıfı Amerikalıların
da öne geçmesine yardım edeceğiz.
											Kulağa hepimizin destekleyeceği bir şey
gibi gelmiyor mu?
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Alkışlar)
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											The fourth and final pillar of our program
is a new climate domino effect,
											based on border carbon adjustments.
											Now that may sound complicated,
											but it, too, is revolutionary,
											because it provides us
a whole new strategy
											to reach a global price on carbon,
											which is ultimately what we need.
											Let me show you an example.
											Suppose Country A adopts
a carbon dividends plan,
											and Country B does not.
											Well, to level the playing field
											and protect the competitiveness
of its industries,
											Country A would tax imports from Country B
											based on their carbon content.
											Fair enough.
											But here's where it gets
really interesting,
											because the money raised at the border
would increase the dividends
											going to the citizens of Country A.
											Well, how long do you think it would take
the public in Country B to realize
											that that money should be going to them,
											and to push for a carbon
dividends plan in their own land?
											Add a few more countries,
											and we get a new climate domino effect.
									","
											Le quatrième pilier de notre programme

											est un nouvel effet domino climatique
											basé sur les ajustements 
carbone aux frontières.
											Ça a peut-être l'air compliqué,
											mais c'est révolutionnaire, cela aussi,
											car cela nous offre une nouvelle stratégie
											pour atteindre un prix mondial 
sur le carbone,
											ce dont nous avons besoin 
en fin de compte.
											Je vais vous donner un exemple.
											Imaginons qu'un pays A adopte 
un plan de dividendes carbone
											et qu'un pays B ne le fasse pas.
											Afin que les règles du jeu 
soient équitables
											et protéger la compétitivité
de ses industries,
											le pays A taxerait les importations
provenant du pays B
											sur la base de leur contenu carbone.
											C'est honnête.
											Mais voilà où cela devient intéressant :
											l'argent récolté à la frontière 
augmenterait les dividendes
											qui iront aux citoyens du pays A.
											Combien de temps pensez-vous que mettra 
le public du pays B avant de réaliser
											que cet argent devrait leur revenir
											et de vouloir un plan dividendes carbone
sur leur propre territoire ?
											Ajoutez quelques pays,
											et nous obtenons un nouvel 
effet domino climatique.
									","
											Die vierte und letzte Säule unseres Plans
ist der neue Klima-Dominoeffekt,
											der auf einem CO2-Ausgleich
an den Grenzen basiert.
											Das hört sich vielleicht kompliziert an,
											aber es ist ebenfalls revolutionär,
											da es uns eine völlig neue Strategie
											zur Einigung auf
einen globalen CO2-Preis bietet,
											was letztlich das ist, was wir brauchen.
											Ich möchte Ihnen ein Beispiel zeigen.
											Nehmen wir an, Land A führt
einen CO2-Dividendenplan ein,
											und Land B nicht.
											Um faire Bedingungen zu schaffen
											und die Wettbewerbsfähigkeit 
seiner Wirtschaft zu schützen,
											würde Land A Importe aus Land B
											auf Basis ihres CO2-Gehalts besteuern.
											Verständlich.
											Aber jetzt wird es wirklich interessant,
											denn das an der Grenze eingenommene Geld
würde die Dividenden,
											die an die Bürger von Land A
fließen, erhöhen.
											Was denken Sie: Wie lange würde es dauern,
bis die Menschen in Land B merken,
											dass das Geld ihnen zufließen sollte,
											und auf einen CO2-Dividendenplan
in ihrem eigenen Land drängen?
											Noch ein paar Länder mehr,
											und wir haben einen neuen
Klima-Dominoeffekt.
									","
											Programımızın dördüncü ve son temel
bileşeni, karbon ayarlamasına dayanan
											yeni bir iklim domino etkisidir.
											Şimdi kulağa bu karmaşık gelebilir,
											ama bu da devrimsel,
											çünkü bize nihai olarak ihtiyacımız olan

											küresel bir karbon fiyatı elde edeceğimiz
											tamamen yeni bir strateji sağlayacak.
											Bir örnek göstereyim.
											A ülkesinin karbon temettü
planını uyguladığını ve B ülkesinin
											uygulamadığını varsayalım.
											Şimdi, endüstrisinin rekabetçiliğini
											koruyabilmek ve adil rekabeti
sağlayabilmek için,
											A ülkesi, B ülkesinden yapılacak
ithalata karbon
											içeriğine göre vergi koyacaktır.
											Yeterince adil.
											Ama işte işler burada
ilginç bir hâl alıyor,
											çünkü gümrükte elde edilen
bu gelir A ülkesindeki vatandaşlara
											giden temettü miktarını arttıracaktır.
											Sizce B ülkesindekilerin 
o paranın kendilerine
											gitmesi gerektiğinin farkına varmaları
											ve kendi ülkelerinde de karbon temettü
											planı başlaması için harekete geçmeleri
ne kadar zaman alacaktır?
											Birkaç ülke daha ekleyin
											ve işte size yeni iklim domino etkisi.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											Once one major country or region
adopts carbon dividends
											with border carbon adjustments,
											other countries are compelled
to follow suit.
											One by one the dominoes fall.
											And this domino effect
could start anywhere.
											My preference, strongly,
is the United States,
											but it could also start
in the United Kingdom,
											in Germany or another European country,
											or even in China.
									","
											Une fois qu'un grand pays ou une région 
adopte les dividendes carbone
											avec des ajustements
carbone aux frontières,
											d'autres pays sont poussés à les suivre.
											Les dominos tombent un par un. 

											Et cet effet domino pourrait 
démarrer n'importe où.
											Ma grande préférence va aux États-Unis,
											mais cela pourrait démarrer
au Royaume-Uni,
											en Allemagne, dans un autre pays européen
											ou même en Chine.
									","
											Sobald eine wichtige Nation
oder Region CO2-Dividenden
											mit einem CO2-Ausgleich
an den Grenzen einführt,
											sehen sich andere Länder
gezwungen nachzuziehen.
											Einer nach dem anderen
fallen die Dominosteine.
											Und dieser Dominoeffekt
könnte überall beginnen.
											Mir wären die USA natürlich am liebsten,
											aber er könnte auch in Großbritannien,
											Deutschland oder einem anderen
europäischen Land beginnen,
											oder sogar in China.
									","
											Bir kere büyük bir ülke ya da bölge
ve sınır karbon ayarları ile birlikte
											karbon temettüsünü benimserse,
											diğer ülkeler de örnek almaya
mecbur kalacaklardır.
											Birer birer dominolar devrilecektir.
											Bu domino etkisi
herhangi bir yerde başlayabilir.
											Benim tercihim, şiddetle, ABD olmasıdır,
											ancak Birleşik Krallık'ta da başlayabilir,
											Almanya'da ya da başka bir
Avrupa ülkesinde
											ve hatta Çin'de.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											Let's take China as an example.
											China is committed to reducing
greenhouse gas emissions,
											but what its leaders care even more about
											is transitioning their economy
to consumer-led economic development.
											Well, nothing could do more
to hasten that transition
											than giving every Chinese citizen
a monthly dividend.
											In fact, this is the only policy solution
											that would enable China to meet
its environmental and economic goals
											at the same time.
									","
											Prenons la Chine comme exemple.
											La Chine est s'engagée à réduire 
les émissions de gaz à effet de serre,
											mais ce qui préoccupe
plus encore ses dirigeants
											est la transition vers une économie 
basée sur la consommation.
											Eh bien, rien ne pourrait 
plus accélérer cette transition
											que de donner à chaque citoyen chinois 
des dividendes mensuels.
											En fait, c'est la seule solution politique
											qui permettrait à la Chine d'atteindre
											à la fois ses objectifs
environnementaux et économiques
									","
											Nehmen wir das Beispiel China.
											China hat sich verpflichtet,
Treibhausgas-Emissionen zu reduzieren,
											aber noch wichtiger ist seiner Führung
											die Umwandlung der Wirtschaft hin zu
einer verbraucherorientierten Entwicklung.
											Nichts würde diesen Übergang
stärker beschleunigen
											als monatliche Dividendenauszahlungen
an jeden Chinesen.
											Das ist sogar die einzige
politische Lösung,
											die es China ermöglichen würde,
seine Umwelt- und Wirtschaftsziele
											gleichzeitig zu erreichen.
									","
											Çin'i örnek olarak alalım.
											Çin sera gazı emisyonlarını azaltmaya
kendisini adamış durumda,
											ancak liderleri daha çok 
ülkelerinin ekonomisini
											müşteri odaklı ekonomik kalkınmaya
dönüştürmeye daha önem veriyor.
											Hiçbir şey bunu her bir Çin vatandaşına
											aylık temettü vermek kadar 
bu dönüşümü ivmelendiremez.
											Aslında, bu Çin'in çevresel ve ekonomik
											hedeflerine aynı anda
erişmesini sağlayacak
											tek politikadır.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											That's why this is the killer app
of climate policy,
											because it would enable us to overcome
											each of the barriers we discussed earlier:
											the psychological barrier,
the partisan barrier,
											and, as we've just seen,
the geopolitical barrier.
											All we need is a country to lead the way.
											And one method of finding
what you're looking for
											is to take out an ad.
											So let's read this one together.
									","
											C'est pour cela que c'est la killer app
des politiques climatiques,
											car cela nous permettrait de dépasser
											chacune des barrières
dont nous avons discuté précédemment :
											la barrière psychologique, 
la barrière des partis politiques
											et, comme nous venons de le voir,
la barrière géopolitique.
											Tout ce dont nous avons besoin 
est d'un pays pour ouvrir la voie.
											Et une des façon de trouver
ce que vous cherchez
											est de créer une publicité.
											Alors, lisons celle-ci ensemble.
									","
											Darum ist dies die Killer-App
der Klimapolitik,
											denn sie würde es uns ermöglichen,
											alle zuvor erwähnten Hürden zu beseitigen:
											die psychologische Hürde,
die parteipolitische Hürde
											und, wie wir gerade gesehen haben,
die geopolitische Hürde.
											Wir brauchen lediglich ein Land,
das den Anfang macht.
											Eine Möglichkeit, 
das zu finden, was man sucht,
											ist eine Anzeige aufzugeben.
											Lesen wir diese gemeinsam vor.
									","
											İşte bu nedenle bu iklim politikasının
süper uygulamasıdır,
											çünkü daha önce bahsini ettiğimiz
											engelleri aşmamızı sağlayacaktır:
											Psikolojik engel, partizan engel
											ve az önce gördüğümüz,
jeopolitik engel.
											Tek ihtiyacımız olan öncülük
edecek bir ülke.
											Aradığımızı bulmamızı sağlayacak bir yol
											bir reklam çıkartmaktır.
											Şimdi bunu birlikte okuyalım.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											Wanted: country to pioneer
carbon dividends plan.
											Cost to country: zero.
											Starting date: as soon as possible.
											Advantages: most effective
climate solution,
											popular and populist,
											pro-growth and pro-business,
											shrinks government
and helps the working class.
											Additional compensation: gratitude
of current and future generations,
											including my daughter.
									","
											Recherche : pays pionnier
pour plan de dividendes carbone.
											Coût pour le pays : zéro.
											Date de départ : dès que possible.
											Avantages : solution climatique
la plus efficace,
											populaire et populiste,
											pro-croissance et pro-entreprises,
											réduit le gouvernement 
et aide la classe ouvrière.
											Compensation additionnelle : gratitude 
des générations actuelles et futures,
											y compris ma fille.
									","
											Gesucht: Land als Vorreiter
für CO2-Dividendenplan.
											Kosten für das Land: Null.
											Startzeitpunkt: So bald wie möglich.
											Vorteile: Wirksamste Klimalösung,
											populär und populistisch,
											wachstums- und wirtschaftsfördernd,
											verringert staatliche Regulierung
und hilft der arbeitenden Bevölkerung.
											Zusätzliche Vergütung: Dankbarkeit 
jetziger und zukünftiger Generationen,
											unter anderem auch meiner Tochter.
									","
											Aranıyor: Karbon temettü planına
öncülük edecek ülke.
											Ülkeye maliyeti: Sıfır.
											Başlangıç: En kısa zamanda.
											Avantajları: En etkili iklim çözümü,
											popüler ve popülist,
											büyüme ve ticaret yanlısı,
											idareyi küçültürken
çalışan sınıfına yardımcı olan.
											Ek fayda: Şimdiki ve gelecek 
nesillerin minnettarlığı,
											kızım da dâhil.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											Thank you.
									","
											Merci.
									","
											Danke.
									","
											Teşekkür ederim.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Alkışlar)
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											Chris Anderson: Just one
question for you, Ted.
											I'm actually not sure
											I've seen a conservative
get a standing O at TED before that.
											That's pretty cool.
											The logic seems really powerful,
											but some people you talk to in politics
											say it's hard to imagine this
still getting through Congress.
											How are you feeling
about momentum behind this?
									","
											Chris Anderson : Juste une question, Ted.
											En fait, je ne suis pas sûr
											d'avoir déjà vu un conservateur
obtenir une ovation à TED auparavant.
											C'est plutôt cool.
											La logique a l'air vraiment efficace
											mais certaines personnes en politique
											disent qu'il est difficile d'imaginer
que cela passe au Congrès.
											Comment sentez-vous 
la dynamique derrière cela ?
									","
											Chris Anderson: Nur eine Frage, Ted.
											Ich bin nicht mir sicher,
											ob ein Konservativer schon einmal
stehende Ovationen bei TED bekommen hat.
											Das ist ziemlich cool.
											Die Logik ist wirklich überzeugend,
											aber man hört in der Politik auch Stimmen,
											die sich nur schwer vorstellen können,
dass dies vom Kongress gebilligt wird.
											Wie schätzen Sie die Dynamik
dieses Plans ein?
									","
											Chris Anderson: Ted,
sana tek bir sorum var.
											Bir muhafazakârın TED'de
											daha önce ayakta alkışlandığını
gördüğüme emin değilim.
											Bayağı havalı.
											Mantık oldukça güçlü görünüyor,
											ancak siyasette konuştuğun bazı kişiler
											bunun Kongre'den geçebileceğini
düşünmüyorlar.
											Bu konuda ne hissediyorsun?
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											Ted Halstead: So I understand
that many are very pessimistic
											about what's happening in
the United States with President Trump.
											I'm less pessimistic; here's why.
											The actions of this White House,
the early actions on climate,
											are just the first move
in a complex game of climate chess.
											So far it's been a repeal-only strategy;
											the pressure is going to mount 
for a replacement program,
											which is where we come in.
											And there are three reasons why,
which I'll go through real quickly.
									","
											Ted Halstead : Je comprends que beaucoup 
soient très pessimistes
											au sujet de ce qu'il se passe 
aux États-Unis avec le président Trump.
											Je le suis moins, voici pourquoi :
											Les mesures de la Maison Blanche,
les premières mesures sur le climat,
											sont les premiers mouvements
sur l'échiquier complexe du climat.
											Jusqu'ici il n'y a eu que des abrogations,
											la pression va monter pour trouver 
un programme de remplacement,
											où nous entrons en jeu.
											Il y a trois raisons à cela, 
que je vais expliquer.
									","
											Ted Halstead: Ich verstehe, dass viele
Menschen sehr pessimistisch
											die Entwicklung in den USA
unter Präsident Trump betrachten.
											Ich bin weniger pessimistisch,
											denn das Vorgehen des Weißen Hauses,
die ersten Klimamaßnahmen,
											sind nur der erste Zug
in einem komplexen Klima-Schachspiel.
											Bislang wird eine reine
Aufhebungsstrategie verfolgt.
											Der Druck, einen Ersatzplan
vorzulegen, wird zunehmen,
											und hier kommen wir ins Spiel.
											Aus drei Gründen,
die ich ganz kurz darlegen möchte.
									","
											Ted Halstead: Anladığım kadarıyla,
ABD'de Başkan Trump'la ilgili
											birçok kişi oldukça karamsar.
											Ben daha az karamsarım; nedeni şu.
											Beyaz Saray'ın eylemleri,
iklim ile alakalı ilk eylemleri,
											karmaşık bir iklim satrancının
sadece ilk hamleleri.
											Şu ana kadar sadece iptal stratejisiydi;
											bundan sonra ise yerine koyulacak
program için baskı oluşacak,
											burada da biz devreye gireceğiz.
											Hızlıca üzerinden geçeceğim üç neden var.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											One, the business community
is fundamentally parting ways
											with the White House on climate change.
											In fact, we're finding
											a number of Fortune 100 companies
supporting our program.
											Within two months,
we're going to be announcing
											some really surprising names
coming out in favor of this program.
											Two, there is no issue
in American politics
											where there's a more fundamental gap
between the Republican base
											and the Republican leadership
than climate change.
											And three, thinking of
this analogy of chess,
											the big decision up ahead is:
Does the administration stay in Paris?
											Well, let's pan it out both ways.
											If it stays in Paris, as many
are pushing for in the administration,
											well then that begs a question:
What's the plan?
											We have the plan.
											But if they don't stay in Paris,
											the international pressure
will be overwhelming.
											Our Secretary of State will be asking
other countries for NATO contributions,
											and they'll be saying,
""No, give us our Paris commitment.
											Come through on your commitments,
we'll come through on ours.""
									","
											La première, le monde des entreprises 
prend un chemin fondamentalement différent
											de celui de la Maison Blanche 
sur le climat.
											En fait, il existe
											un certain nombre 
d'entreprises de Fortune 100
											qui supportent notre programme.
											D'ici deux mois, nous allons présenter
											des noms surprenants de personnes 
qui appuient ce programme.
											Deuxièmement, il n'y a pas de question
dans la politique américaine
											plus clivante entre la base républicaine
											et les dirigeants républicains 
que le changement climatique.
											Et troisièmement, en pensant 
à cette analogie aux échec,
											la grande décision : l'administration
conserve-t-elle les Accords de Paris ?
											Et bien, pensons aux deux possibilités.
											Si elle conserve Paris, comme le veulent 
beaucoup dans l'administration,
											cela amène une question : 
quel est le plan ?
											Nous avons le plan.
											Mais si nous ne conservons pas Paris,
											la pression internationale 
sera très forte.
											Notre secrétaire d’État demandera
aux pays des contributions à l'OTAN,
											et ils diront : « Non, donnez-nous 
les Accords de Paris.
											Honorez vos engagements 
et nous honorerons les nôtres. »
									","
											Erstens, die Geschäftswelt ist in der
Klimafrage grundsätzlich anderer Meinung
											als das Weiße Haus.
											Tatsächlich unterstützt eine ganze Reihe
von Fortune-100-Unternehmen unseren Plan.
											In den nächsten zwei Monaten werden wir
											einige sehr unerwartete Unterstützer
unseres Plans bekannt geben.
											Zweitens, es gibt in
der amerikanischen Politik kein Thema,
											bei dem es eine grundlegendere Kluft
zwischen der republikanischen Basis
											und ihrer Führung gibt,
als den Klimawandel.
											Und drittens, denken wir
an die Schachanalogie,
											die große anstehende Entscheidung ist:
Bleibt die Regierung im Pariser Abkommen?
											Denken wir in beide Richtungen.
											Wenn sie drinbleibt, worauf viele 
Regierungsvertreter drängen,
											wirft das eine Frage auf:
Was ist der Plan?
											Wir haben den Plan.
											Aber wenn sie nicht drinbleibt,
											wird der internationale Druck
überwältigend sein.
											Unser Außenminister wird andere 
Staaten um NATO-Beiträge bitten,
											und sie werden sagen: ""Nein,
erfüllt die Verpflichtung von Paris.
											Haltet eure Zusagen ein,
dann halten wir unsere ein.""
									","
											Bir, ticaret dünyası iklim değişikliği
konusunda Beyaz Saray ile
											ciddi ayrışıyor.
											Aslında, Fortune 100
											şirketlerinden programımıza
destek buluyoruz.
											İki aya kadar, programı destekleyen
											sürpriz isimler açıklayacağız.
											İki, Amerikan politikasında
											Cumhuriyetçi tabanla,
Cumhuriyetçi liderlerin
											iklim değişimi kadar temel bir ayrım yok.
											Ve üç, satranç analojisini düşününce,
											önümüzdeki büyük karar şu:
Yönetim Paris'te kalır mı?
											İki durumda da şu şekilde kazanırız.
											Paris'te kalırsak, ki birçok kişi
yönetimi bu yönde sıkıştırıyor,
											o zaman yeni bir soru doğuyor: Plan nedir?
											Plan bizde.
											Ama Paris'te kalmazsak,
											uluslararası baskı bunaltıcı olacak.
											Dış İşleri Bakanımız diğer ülkelere
NATO desteğini sorduğunda,
											""Hayır, bize Paris taahhütlerimizi verin.
											Taahhütlerinizi yerine getirin, biz de
											bizimkileri yerine getiririz."" 
diyeceklerdir.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											So, international, business
and even the Republican base
											will all be calling for
a Republican replacement plan.
											And, hopefully, we've provided one.
									","
											Donc, l'international, les entreprises,
et même la base républicaine
											en appelleront à un plan 
de remplacement républicain.
											Et nous en avons élaboré un, je l'espère.
									","
											Die Welt, die Wirtschaft und
sogar die republikanische Basis
											werden alle einen republikanischen 
Ersatzplan fordern.
											Und wir haben hoffentlich einen
solchen zur Verfügung gestellt.
									","
											Yani, uluslararası, ticari ve hatta
Cumhuriyetçi taban
											Cumhuriyetçilerin yerine koyacakları
planı görmek isteyeceklerdir.
											Ve, umut ederim ki, biz bu planı sağladık.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											CA: Thank you so much, Ted.
									","
											CA : Merci beaucoup, Ted.
									","
											CA: Danke vielmals, Ted.
									","
											CA: Çok teşekkür ederim, Ted.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											TH: Thank you, Chris.
									","
											TH : Merci, Chris.
									","
											TH: Danke, Chris.
									","
											TH: Teşekkür ederim, Chris.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Alkışlar)
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
