en,fr,tr,es,de,title,speaker,duration,tags
"
											This surprised me, because my students
are part of a generation
											that was raised on screens,
											so I thought for sure they would like
learning from a screen
											better than learning from a page.
											But when I talked to my students
											about why they liked
these comics lectures so much,
											I began to understand
the educational potential of comics.
											First, unlike their math textbooks,
											these comics lectures taught visually.
											Our students grow up in a visual culture,
											so they're used to taking in
information that way.
											But unlike other visual narratives,
											like film or television
or animation or video,
											comics are what I call permanent.
											In a comic, past, present and future
all sit side by side on the same page.
											This means that the rate
of information flow
											is firmly in the hands of the reader.
											When my students didn't understand
something in my comics lecture,
											they could just reread that passage
as quickly or as slowly as they needed.
											It was like I was giving them
a remote control over the information.
											The same was not true
of my video lectures,
											and it wasn't even true
of my in-person lectures.
											When I speak, I deliver the information
as quickly or slowly as I want.
											So for certain students
and certain kinds of information,
											these two aspects of the comics medium,
its visual nature and its permanence,
											make it an incredibly powerful
educational tool.
									","
											Cela m'a étonné car mes étudiants
faisaient partie d'une génération
											élevée avec les écrans.
											Donc, je pensais qu'ils préféreraient
apprendre à partir d'un écran
											plutôt que d'un format papier.
											Mais quand j'ai demandé à mes étudiants
pourquoi ils aimaient tant ces BD,
											j'ai commencé à comprendre
le potentiel pédagogique des BD.
											D'abord, contrairement
à leurs livres de math,
											ces BD enseignent de manière visuelle.
											Nos étudiants ont grandi
dans une culture visuelle.
											Ils sont habitués à recevoir
des informations sous cette forme.
											Mais, contrairement à d'autres
narrations visuelles,
											comme les films, la télévision,
les dessins animés ou les vidéos,
											les BD sont ce que
j'appelle « permanentes ».
											Dans une BD, le passé, le présent
et l'avenir sont réunis sur une page.
											Donc, le débit du flux d'informations
											est directement
entre les mains du lecteur.
											Quand mes étudiants ne comprenaient pas
un point dans mes BD pédagogiques,
											ils pouvaient simplement relire
le passage à leur propre rythme.
											C'était comme leur offrir une télécommande
pour gérer l'information.
											Ce n'était pas le cas avec les vidéos.
											Et ce n'était pas non plus le cas
avec mes cours en personne.
											Quand je parle, je transmets l'information
à la vitesse que je veux.
											Donc, pour certains étudiants
et certains types d'information,
											les deux caractéristiques du média BD,
sa nature visuelle et sa permanence,
											en font un outil pédagogique
incroyablement puissant.
									","
											Bu beni şaşırtmıştı, öğrencilerim ekran 
başında yetişen bir nesil olduğu için
											bir sayfa kâğıttansa daha çok ekrandan
											öğrenmek istediklerini düşünmüştüm.
											Ama öğrencilerimle 
bu çizgi roman derslerini
											neden bu kadar çok sevdikleri hakkında 
konuştuğumda,
											çizgi romanların eğitimsel potansiyelini 
anlamaya başladım.
											Öncelikle, matematik ders kitaplarının 
aksine,
											bu çizgi roman dersleri görsel açıdan 
öğretiyordu.
											Öğrencilerimiz görselliği zengin bir 
kültürde yetiştiler,
											bu yüzden bilgiyi de aynı şekilde almaya 
alışıklar.
											Ama diğer görsel anlatıcıların aksine,
											örneğin televizyondaki bir filmde ya da 
videodaki bir animasyonda,
											kalıcı olan çizgi romanlardır.
											Çizgi romanda geçmiş, şimdiki ve gelecek
zaman hepsi aynı sayfada bir aradadır.
											Bu, bilgi akışının kesin olarak 
okuyucunun ellerinde
											olduğu anlamına gelir.
											Çizgi roman videosundaki bir şeyi 
anlamadıklarında,
											metni ihtiyaçlarına göre hızlı ya da yavaş
tekrar okuyabiliyorlar.
											Onlara bilgiyi kontrol etmeleri için 
uzaktan kumanda vermiş gibiydim.
											Aynı şey video derslerim için 
geçerli değil
											ve hatta kendi kişisel derslerim 
için de geçerli değil.
											Konuştuğumda, bilgiyi istediğim gibi yavaş
ya da hızlı bir şekilde aktarabiliyorum.
											Böylece bazı öğrenciler 
ve bazı tipteki bilgiler için,
											çizgi roman medyasının bu iki yönü,
görsel ortamı ve kalıcılığı,
											onu inanılmaz derecede güçlü bir eğitim 
aracı kılıyor.
									","
											Esto me sorprendió porque mis estudiantes

											son parte de una generación
criada con pantallas,
											por eso que pensé que de seguro 
querrían aprender más de una pantalla
											que de un papel.
											Pero cuando hablé con mis estudiantes
											sobre la razón por la que les gustaban
tanto estas lecciones en cómics,
											comencé a entender su potencial educativo.
											Primero, a diferencia
de sus libros de matemáticas,
											estas lecciones en cómics
enseñan visualmente.
											Nuestros estudiantes crecen
en una cultura visual
											y están acostumbrados a recibir
la información de esa forma.
											Pero a diferencia
de otras narrativas visuales,
											como las películas, la televisión,
las animaciones o los vídeos,
											los cómics son permanentes.
											En un cómic, el pasado,
el presente y el futuro
											están todos uno al lado del otro
en la misma página.
											Esto significa que
la tasa de flujo de información
											está firmemente en las manos del lector.
											Cuando mis estudiantes no entendían
algo en mis lecciones en cómics,
											simplemente podían releer ese pasaje
tan rápida o lentamente como necesitaran.
											Era como si les estuviera dando 
un control remoto sobre la información.
											Tampoco ocurría con mis lecciones
en vídeo o en mis clases en vivo.
											Cuando hablo, entrego la información
tan rápida o lentamente como quiero.
											Así que para ciertos estudiantes
y ciertos tipos de información,
											estos dos aspectos de los cómics,
su naturaleza visual y su permanencia,
											los hacen una increíble
y poderosa herramienta educativa.
									","
											Das überraschte mich, weil mein Schüler
											mit Bildschirmen aufgewachsen sind,
											deswegen dachte ich,
dass sie damit lieber lernen
											als vom Blatt Papier.
											Als ich mit ihnen darüber sprach,
											warum ihnen diese Comic-Vorträge
so gut gefielen,
											begann ich das Bildungspotential
von Comics zu verstehen.
											Anders als mathematische Lehrbücher
											lehren die Comic-Vorträge bildlich.
											Unsere Schüler wachsen
in einer visuellen Kultur auf.
											Sie sind es gewohnt,
Informationen so aufzunehmen.
											Anders als andere visuelle Erzählungen,
											wie Film, Fernsehen, Animation oder Video,
											sind Comics dauerhaft.
											In Comics sind Vergangenheit, Gegenwart
und Zukunft auf der gleichen Seite.
											Die Geschwindigkeit
des Informationsflusses
											liegt also in den Händen des Lesers.
											Wenn meine Schüler in den Comic-Vorträgen
etwas nicht verstanden,
											dann konnten sie diese Passage
in ihrem eigenen Tempo noch einmal lesen.
											Als ob ich ihnen eine Fernsteuerung
für die Informationen gab.
											Das galt nicht für meine Video-Vorträge
											und nicht für meinen normalen Unterricht.
											Wenn ich spreche,
dann habe ich mein Tempo.
											Für einige Schüler
und einige Informationen
											sind die bildlichen und dauerhaften Comics
											ein unglaublich gutes
und wirksames Lehrmittel.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											When I was teaching this Algebra 2 class,
											I was also working on my master's
in education at Cal State East Bay.
											And I was so intrigued by this experience
that I had with these comics lectures
											that I decided to focus
my final master's project on comics.
											I wanted to figure out
why American educators
											have historically been so reluctant
to use comic books in their classrooms.
											Here's what I discovered.
									","
											Quand j'enseignais
l'algèbre dans cette classe,
											je travaillais aussi sur mon Master
en pédagogie à Cal State East Bay.
											Et j'étais si intrigué par cette
expérience de BD pédagogiques
											que j'ai décidé de dédier
ma thèse finale à ce sujet.
											Je voulais comprendre pourquoi
les pédagogues américains
											étaient historiquement si peu disposés
à utiliser des BD dans leurs cours.
											Voici mes découvertes.
									","
											Cebir 2 sınıfına ders veriyorken
											Cal State East Bay'de yüksek lisans
eğitimim üzerine çalışıyordum.
											Ve bu çizgi roman dersleriyle edindiğim bu
deneyimden o kadar çok etkilenmiştim ki
											son yüksek lisans projemde çizgi romanlar 
üzerine odaklanmaya karar verdim.
											Amerikalı eğitimcilerin tarih boyunca
sınıflarda çizgi roman kullanmaya
											neden bu kadar isteksiz 
olduklarını anlamak istedim.
											İşte bulduklarım:
									","
											Cuando estaba enseñando Álgebra 2,
											también estaba trabajando en mi maestría
en Educación en Cal State East Bay.
											Y estaba tan intrigado con
esta experiencia en mis lecciones
											que decidí enfocar el proyecto final 
de mi maestría en cómics.
											Quería descubrir la razón por la que
los educadores estadounidenses
											han sido tan históricamente reacios
a usar los libros de cómics en sus clases.
											Esto es lo que descubrí.
									","
											Als ich diese Algebra 2- Klasse lehrte,
											machte ich auch meinen Master of Education
an der California State University.
											Diese Erfahrung mit den Comics
faszinierte mich so sehr,
											dass ich meine letzte Masterarbeit
über Comics schrieb.
											Warum lehnen amerikanische Lehrer
es schon so lange ab,
											Comics in ihren Klassen zu verwenden?
											Das hier fand ich heraus:
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											Comic books first became
a mass medium in the 1940s,
											with millions of copies
selling every month,
											and educators back then took notice.
											A lot of innovative teachers began
bringing comics into their classrooms
											to experiment.
											In 1944, the ""Journal
of Educational Sociology""
											even devoted an entire issue
to this topic.
											Things seemed to be progressing.
											Teachers were starting
to figure things out.
											But then along comes this guy.
											This is child psychologist
Dr. Fredric Wertham,
											and in 1954, he wrote a book
called ""Seduction of the Innocent,""
											where he argues that comic books
cause juvenile delinquency.
									","
											Les BD sont devenues un média
de masse dans les années 1940,
											avec des millions de copies
vendues chaque mois,
											et les pédagogues de l'époque
l'ont remarqué.
											De nombreux professeurs
innovateurs ont commencé
											à apporté des BD dans leur cours
à titre expérimental.
											En 1944, le « Journal
de sociologie éducative »
											a consacré une édition entière à ce sujet.
											Les choses semblaient
progresser favorablement.
											Les enseignants commençaient
à se faire une idée.
											Mais, ce type a débarqué,
											un psychologue de l'enfant,
Fredric Wertham.
											En 1954, il a écrit un livre intitulé :
« La séduction de l'innocent »,
											dans lequel il soutient que les BD
provoquent la délinquance juvénile.
									","
											Çizgi romanlar ilk olarak 1940'larda 
her ay milyonlarca satan
											kopyalarıyla bir kitle aracı oldular
											ve o zamanlarda eğitimcilerin 
dikkatini çekmişti.
											Pek çok yenilikçi öğretmen, denemek için
çizgi romanları
											sınıflarına getirmeye başlamıştı.
											Hatta 1944'te, 
""Eğitim Sosyolojisi Dergisi""
											bu konuyu derginin tamamında yer vermişti.
											İlerleme kaydediliyor gibiydi.
											Öğretmenler durumu anlamaya başlıyordu.
											Ama sonra bu adam ortaya çıktı.
											Çocuk psikoloğu Dr. Fredric Wertham.
											1954'te ""Masumların Yoldan Çıkarılması"" 
adında çizgi romanların çocukları
											suç işlemeye teşvik ettiğini savunan 
bir kitap yazdı.
									","
											Los cómics se publicaron de forma masiva
en la década de los 40s,
											con millones de copias vendidas cada mes,
											y los educadores lo notaron.
											Muchos profesores innovadores
comenzaron a traer cómics a sus clases
											para experimentar.
											En 1944, el ""Diario
de Sociología Educativa""
											dedicó una edición entera a este tema.
											Las cosas parecían estar progresando.
											Los profesores comenzaban
a darse cuenta de esto.
											Pero entonces aparece este señor.
											Este es el Dr. Fredric Wertham,
un psicólogo infantil
											que en 1954 escribió un libro
llamado ""La seducción de los inocentes"",
											donde argumenta que los cómics
causan delincuencia juvenil.
									","
											In den 1940er wurden Comics
erstmals sehr bekannt.
											Es wurden monatlich
Millionen Exemplare verkauft
											und Erzieher wurden darauf aufmerksam.
											Viele innovative Lehrer brachten
Comics in ihre Klassenzimmer mit,
											um zu experimentieren.
											Im Jahr 1944 widmete
das ""Journal of Educational Sociology""
											diesem Thema sogar eine ganze Ausgabe.
											Die Dinge schienen sich zu entwickeln.
											Lehrer begannen, Dinge herauszufinden.
											Aber dann kommt dieser Mann.
											Er heißt Dr. Fredric Wertham
und ist Kinderpsychologe.
											Er schrieb 1954 das Buch
""Verführung der Unschuldigen""
											Laut seiner Meinung im Buch
verursachen Comics Jugendkriminalität.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Lachen)
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											He was wrong.
											Now, Dr. Wertham was actually
a pretty decent guy.
											He spent most of his career
working with juvenile delinquents,
											and in his work he noticed
that most of his clients read comic books.
											What Dr. Wertham failed to realize
was in the 1940s and '50s,
											almost every kid in America
read comic books.
									","
											Il avait tort.
											En fait, Dr Wertham
était un type plutôt honnête.
											Il a consacré une partie de sa carrière
à la délinquance juvénile.
											et il a remarqué que la majorité
de ses patients lisaient des BD.
											Mais Wertham n'a pas réalisé
que dans les années 1940 et 1950,
											presque tous les gamins
en Amérique lisaient des BD.
									","
											Ama yanılıyordu.
											Dr.Wertham aslında oldukça 
iyi bir adamdı.
											Kariyerinin çoğunu çocuk suçları üzerine
çalışarak geçirdi
											ve çalışmalarında çoğu müşterisinin
çizgi roman okuduğunu fark etti.
											Dr. Wertham'ın farkına varamadığı şey ise,
1940'lar ve 50'lerde
											Amerika'da neredeyse her çocuk 
çizgi roman okuyordu.
									","
											Estaba equivocado.
											El Dr. Wertham era un señor muy decente.
											La mayor parte de su carrera
trabajó con delincuentes juveniles,
											y en su trabajo notó que
la mayoría de sus clientes leían cómics,
											pero lo que el Dr. Wertham no notó
era que en la década de los 40s y los 50s,
											casi todo los niños en EE. UU.
leían libros de cómics.
									","
											Er lag falsch.
											Dr. Wertham war ein respektabler Mann.
											In seiner Karriere arbeitete er
mit jugendlichen Straftätern.
											In seiner Arbeit bemerkte er,
dass die meisten von denen Comics lesen.
											Was Dr. Wertham nicht verstand ist,
dass in den 1940er und 50er Jahren
											fast jedes Kind in Amerika Comics las.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											Dr. Wertham does a pretty
dubious job of proving his case,
											but his book does inspire
the Senate of the United States
											to hold a series of hearings
											to see if in fact comic books
caused juvenile delinquency.
											These hearings lasted
for almost two months.
											They ended inconclusively,
but not before doing tremendous damage
											to the reputation of comic books
in the eyes of the American public.
									","
											L'argumentation du Dr Wertham
était plutôt douteuse,
											mais son livre a incité le Sénat américain
à tenir une série d'audiences
											destinées à vérifier si les BD
provoquaient la délinquance juvénile.
											Ces audiences ont duré presque deux mois
et n'ont débouché sur aucune décision,
											mais elles ont considérablement
endommagé la réputation des BD
											aux yeux du public américain.
									","
											Dr. Wertham, davasını kanıtlayan 
oldukça şüpheli bir iş yapıyordu
											ama kitabı Amerika Birleşik Devletleri 
Senatosu'na aslında çizgi romanların
											çocukları suç işlemeye 
teşvik edip etmeyeceğini
											tespit etmek üzere bir dizi 
duruşma yapmak için ilham veriyordu.
											Bu duruşmalar yaklaşık iki ay kadar 
sürmüştü.
											Kesin bir sonuca ulaşamadan bitirmişlerdi,
ama Amerika halkının gözünde
											çizgi romanların saygınlığına çok büyük
bir hasar vermeden önce değil.
									","
											El Dr. Wertham hace un trabajo dudoso
en probar su caso,
											pero su libro sí inspiró
al Senado de EE. UU.
											a llevar a cabo una serie de audiencias
											para ver si, en efecto, los cómics
causaban delincuencia juvenil.
											Estas audiencias duraron casi dos meses.
											Terminaron de forma inconclusa,
pero no sin antes hacer un tremendo daño
											a la reputación de los libros de cómics
a los ojos del público estadounidense.
									","
											Dr. Wertham hat seinen Fall
fragwürdig bewiesen.
											Aber sein Buch inspirierte
den Senat der Vereinigten Staaten dazu,
											eine Reihe von Anhörungen abzuhalten,
											ob Comics tatsächlich
zu jugendlicher Kriminalität führten.
											Diese Anhörungen dauerten
fast zwei Monate.
											Sie endeten ergebnislos,
schädigten aber den Ruf der Comics
											in der US-Öffentlichkeit enorm.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											After this, respectable American
educators all backed away,
											and they stayed away for decades.
											It wasn't until the 1970s
											that a few brave souls
started making their way back in.
											And it really wasn't
until pretty recently,
											maybe the last decade or so,
											that comics have seen
more widespread acceptance
											among American educators.
									","
											Suite à ça, tout éducateur américain
respectable a fait marche arrière
											et a gardé ses distances
pendant des décennies.
											Il a fallu attendre les années 1970,
											pour que quelques âmes
courageuses les réintègrent.
											Et ce n'est que très récemment,
une décennie environ,
											que la BD a été acceptée
par une audience plus large
											parmi les enseignants américains.
									","
											Bunun ardından, saygın Amerikan 
eğitimcilerin hepsi geri çekildi
											ve onlarca yıl boyunca uzak durdular.
											Birkaç cesur ruh 1970'lerde
											geri dönüş yoluna girene kadar
durum buydu.
											Ve bu yakın zamana kadar da olmamıştı,
											belki son on yılda ya da daha fazla,
											bu çizgi romanlar 
Amerikalı eğitimciler arasında
											daha yaygın kabul görmüştür.
									","
											Después de esto, educadores
estadounidenses respetables
											dieron un paso atrás,
y los mantuvieron alejados por décadas.
											No fue sino hasta la década de los 70s
											que unos pocos valientes
los comenzaron a utilizar nuevamente.
											Y realmente no fue hasta hace poco,
											quizás en la última década,
											que los cómics han tenido 
una mayor aceptación
											entre los educadores estadounidenses.
									","
											Danach zogen sich
amerikanische Lehrer zurück
											und blieben jahrzehntelang fern.
											Erst in den 1970er Jahren
											machten sich ein paar mutige Seelen
auf den Weg zurück.
											Erst vor Kurzem,
											vielleicht das letzte Jahrzehnt,
											ist die Akzeptanz der Comics
bei amerikanischen Erziehern gestiegen.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											Comic books and graphic novels
are now finally making their way
											back into American classrooms
											and this is even happening
at Bishop O'Dowd, where I used to teach.
											Mr. Smith, one of my former colleagues,
											uses Scott McCloud's
""Understanding Comics""
											in his literature and film class,
because that book gives his students
											the language with which to discuss
the relationship between words and images.
											Mr. Burns assigns a comics essay
to his students every year.
											By asking his students
to process a prose novel using images,
											Mr. Burns asks them to think deeply
											not just about the story
											but also about how that story is told.
											And Ms. Murrock uses
my own ""American Born Chinese""
											with her English 1 students.
											For her, graphic novels
											are a great way of fulfilling
a Common Core Standard.
											The Standard states that students
ought to be able to analyze
											how visual elements contribute
to the meaning, tone and beauty of a text.
									","
											Les BD et les romans
illustrés sont, maintenant,
											en train retourner dans les salles
de classe américaines.
											Cela arrive même à Bishop
O'Dowd, là où j'enseignais.
											M. Smith, ancien collègue, utilise
« Comprendre la BD » de Scott McCloud
											dans ses cours de littérature et cinéma
car ce livre offre à ses étudiants
											un langage avec lequel discuter
de la relation entre mots et images.
											M. Barnes demande à ses étudiants
un essai en bandes dessinées chaque année,
											la réalisation d'un roman
en prose avec des images,
											M. Barnes leur demande de réfléchir
intensément non seulement à l'histoire
											mais aussi à la manière
dont elle est narrée.
											Mme Murdock utilise mon travail,
« Américain de souche chinoise »
											avec ses étudiants en Anglais 1.
											Selon elle, les romans illustrés
sont un média formidable
											pour satisfaire à une norme commune.
											La norme stipule que les étudiants
doivent pouvoir analyser
											comment les éléments visuels participent
au sens, au ton et à la beauté d'un texte.
									","
											Çizgi ve grafik romanlar bugün nihayetinde
Amerikan sınıflarına
											geri dönüş yapacak şekilde ilerliyorlar
											ve bu öğrettiğim yer Bishop O'Dowd'da
bile oluyor.
											Benim önceki meslektaşlarımdan Bay Smith,
											derslerinde ve film sınıflarında Scoot 
McCloud'un ""Çizgi Romanları Anlamak""
											adlı kitabını kullanıyordu, çünkü bu kitap
öğrencilerine sözcükler ve resimler
											arasındaki ilişkiyi tartışacak 
bir dil sunuyordu.
											Bay Burns, her yıl öğrencilerine 
bir çizgi roman metni gönderir.
											Öğrencilerinin resimlerde düzyazı kulla-
narak bir roman oluşturmalarını isterken,
											Bay Burns onlardan sadece 
hikâye hakkında değil
											aynı zamanda o hikâyenin nasıl 
anlatıldığıyla ilgili de
											derinlemesine düşünmelerini ister.
											Bayan Murrock, İngilizce 1 öğrencileriyle
benim ""Amerikan Doğan Çinli""
											adındaki çizgi romanımı dersinde işliyor.
											Ona göre grafik romanlar,
											Ortak Temel Standart'ını gerçekleştirmek
için harika bir yoldu.
											Standart, öğrencilerin 
görsel ögelerin metnin anlamına, üslubuna
											ve güzelliğine nasıl katkıda bulunduğunu
analiz edebilmeyi belirler.
									","
											Los libros de cómics 
y las novelas gráficas
											finalmente se están abriendo paso
dentro de las aulas estadounidenses,
											incluso en Bishop O'Dowd, 
donde yo enseñaba.
											El Sr. Smith, uno de mis excolegas,
											usa el libro de Scott McCloud,
""Entendiendo los cómics"",
											en su clase de literatura y cine,
porque ese libro les da a los estudiantes
											el lenguaje para discutir la relación
entre las palabras y las imágenes.
											El Sr. Burns asigna un ensayo de cómics
a sus estudiantes cada año.
											Al pedirle a sus estudiantes que escriban
una novela en prosa usando imágenes,
											lo que les pide es que
piensen profundamente
											no solo en la historia,
											sino también en cómo la historia 
está siendo contada.
											Y la Sra. Murrock usa mi libro
""Chino nacido en EE. UU.""
											con sus estudiantes de Inglés 1.
											Para ella, las novelas gráficas
											son una gran forma de alcanzar
un estándar de núcleo común.
											El estándar dice que los estudiantes
											son capaces de analizar cómo
los elementos contribuyen visualmente
											al significado, el tono
y la belleza del texto.
									","
											Comics und Bilderromane sind endlich
zurück in den amerikanischen Klassen.
											Das passiert sogar in Bischof O'Dowd,
wo ich früher unterrichtete.
											Mr. Smith, ein ehemaliger Kollege,
											benutzt Scott McClouds Buch
""Comics richtig verstehen""
											in seiner Literatur- und Filmklasse,
denn dieses Buch gibt seinen Schülern
											das Verständnis zwischen Wort und Bild.
											Mr. Burns lässt seine Schüler jedes Jahr
ein Comic-Aufsatz schreiben,
											indem er seine Schüler auffordert,
Prosa-Romane mit Bildern zu erstellen.
											Sie sollen nicht nur
über die Geschichte nachdenken,
											sondern auch darüber,
wie diese Geschichte erzählt wird.
											Frau Murrock nutzt
mein eigenes „American Born Chinese“
											mit ihren Schülern von English 1.
											Bilderromane helfen ihr,
											Bildungsstandards zu erfüllen.
											Der Standard besagt,
die Schüler sollten analysieren können,
											wie visuelle Elemente zur Bedeutung, Ton
und zur Schönheit eines Textes beitragen.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											Over in the library, Ms. Counts
has built a pretty impressive
											graphic novel collection
for Bishop O'Dowd.
											Now, Ms. Counts and all
of her librarian colleagues
											have really been at the forefront
of comics advocacy,
											really since the early '80s,
when a school library journal article
											stated that the mere presence
of graphic novels in the library
											increased usage by about 80 percent
											and increased the circulation
of noncomics material
											by about 30 percent.
									","
											Dans la bibliothèque,
Mme Counts a rassemblé
											une impressionnante collection
d'histoires illustrées.
											Avec ses autres collègues bibliothécaires,
											Mme Counts a été une pionnière
dans le plaidoyer en faveur de la BD
											depuis le début des années 1980,
quand un article d'un journal scolaire
											a indiqué que la simple présence
de bande dessinées dans la bibliothèque
											augmentait de 80% l'utilisation
de la bibliothèque,
											et augmentait la circulation
des autres livres de 30%.
									","
											Bayan Counts, kütüphanede
Bishop O'Dowd Lisesi için
											oldukça etkileyici bir grafik roman 
koleksiyonunu bir araya getirdi.
											Şu an, Bayan Counts ve kütüphaneci 
meslektaşlarının hepsi
											çizgi roman savunmasında 
ön sıralarda yer alıyor.
											Tam olarak 80'lerin başından beri, bir 
okul kütüphanesine ait dergi makalesinde
											kütüphanede var olan grafik romanların
											kullanımlarının %80 oranında arttığını
											ve çizgi roman dışı malzemelerin 
yayılımının da
											yaklaşık %30 arttığını açıklamıştır.
									","
											En la biblioteca,
la Sra. Counts ha amasado
											una impresionante colección
de novelas gráficas para Bishop O'Dowd.
											La Sra. Counts y todos
sus colegas bibliotecarios
											han estado realmente al frente
de la defensa de los cómics
											desde los inicios de los 80s,
											cuando un artículo
sobre bibliotecas escolares
											mencionó que la mera presencia
de novelas gráficas en la biblioteca
											incrementaba su uso en un 80 %
											y aumentaba la circulación
de otro tipo de textos en un 30 %.
									","
											In der Bücherei stellte Frau Counts
eine eindrucksvolle Sammlung
											von Bilderromanen
für Bischof O'Dowd zusammen.
											Frau Counts und ihre Kollegen
von der Bücherei
											sind begeisterte Befürworter von Comics
											seit den frühen 80er Jahren, 
als ein Zeitschriftenartikel angab,
											dass die bloße Präsenz
von Bilderromanen in der Bibliothek
											die Nutzung um etwa 80 Prozent erhöhte
											und die Verbreitung von anderen Büchern
um etwa 30 Prozent erhöhte.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											Inspired by this renewed interest
from American educators,
											American cartoonists are now producing
more explicitly educational content
											for the K-12 market than ever before.
											A lot of this is directed
at language arts,
											but more and more comics
and graphic novels
											are starting to tackle
math and science topics.
											STEM comics graphics novels
really are like this uncharted territory,
											ready to be explored.
									","
											Inspirée par ce renouveau dans l'intérêt
des enseignants américains,
											les dessinateurs américains produisent
aujourd'hui plus de contenus éducatifs
											pour la marché de l'éducation primaire
que jamais auparavant.
											Une majorité est destinée
aux arts du langage,
											mais de plus en plus de BD
et d'histoires illustrées
											commencent à s'attaque
aux mathématiques et à la science.
											Les BD relatives à la STEM sont vraiment
											un territoire inexploré
qui n'attend qu'à'être découvert.
									","
											Amerikalı eğitimcilerden kaynaklanan 
bu yenilenmiş ilgiden ilham alarak,
											Amerikalı karikatüristler artık 
K-12 pazarı için hiç olmadığı kadar
											daha açık bir şekilde 
eğitici içerikler üretiyor.
											Bunun birçoğu dil sanatlarına
yönlendirilmiştir,
											ancak daha fazla çizgi ve grafik roman
											matematik ve fen konularını 
ele almaya başlıyor.
											STEM çizgi ve grafik romanları,
gerçekten bilinmeyen bir bölge gibi
											keşfedilmeye hazır.
									","
											Inspirados por este interés renovado
de los educadores estadounidenses,
											los caricaturistas en EE. UU. 
producen ahora más que nunca,
											contenido educativo explícito
para lectores menores de 12 años.
											Mucho de esto va dirigido
a las clases de idiomas,
											pero cada vez más los cómics
y las novelas gráficas
											están comenzando a entrar en
los temas de matemáticas y ciencias.
											Los cómics sobre ciencias, tecnologías,
ingeniería y matemáticas
											son un territorio desconocido
listo para ser explorado.
									","
											Von dem erneuten Interesse
der amerikanischen Lehrer inspiriert,
											erschaffen amerikanische Karikaturisten
explizit mehr Unterrichtsinhalte
											für die Gruppe ""Kindergarten
bis 12. Schuljahr"", als jemals zuvor.
											Eine Menge davon zielt
auf Sprach- und Literaturunterricht,
											aber immer mehr Comics und Bilderromane
											fokussieren sich auf die Themen
Mathematik und Wissenschaft.
											Diese Comics sind wie Neuland,
											das allmählich erkundet wird.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
","
","
","
","
",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
"
											America is finally waking up to the fact
											that comic books
do not cause juvenile delinquency.
									","
											L'Amérique prend enfin conscience
											que les bandes dessinées ne provoquent
pas la délinquance juvénile,
									","
											Amerika sonunda çizgi romanların çocukları
											suç işlemeye teşvik etmediği 
gerçeğine uyandı.
									","
											Finalmente, EE. UU.
está despertando al hecho
											de que los libros de cómics
no causan delincuencia juvenil.
									","
											Endlich realisiert Amerika,
											Comics verursachen
keine Jugendkriminalität.
									",Comics belong in the classroom,Gene Luen Yang,10:36,"TEDx,art,books,creativity,education,social change,society,teaching"
