en,pt,tr,es,de,title,speaker,duration,tags
"
											Law enforcement is also starting
to use machine learning
											for predictive policing.
											Some judges use machine-generated
risk scores to determine
											how long an individual
is going to spend in prison.
											So we really have to think
about these decisions.
											Are they fair?
											And we've seen that algorithmic bias
											doesn't necessarily always
lead to fair outcomes.
									","
											A polícia também está a começar
a usar a aprendizagem de máquinas
											para policiamento preditivo.
											Alguns juízes usam a avaliação de risco
gerada por máquinas para determinar
											quanto tempo um indivíduo
vai passar na prisão.
											Portanto, temos mesmo que pensar
nessas decisões.
											Elas sãos justas?
											Já vimos que o preconceito algorítmico
											nem sempre conduz
a resultados justos.
									","
											Güvenlik polisi öngörücü polislik için
											otomatik öğrenmeyi kullanmaya başlıyor.
											Bazı hakimler hapis cezasını
											belirlemek için makine üretimli
risk puanlarını kullanıyor.
											Bu kararları gerçekten 
düşünmek zorundayız.
											Adiller mi?
											Gördük ki algoritmik yanlılık her zaman
											adil sonuçlar getirmez.
									","
											La aplicación de la ley también empieza
a usar el aprendizaje de máquina
											para la predicción de la policía.
											Algunos jueces usan puntajes de riesgo
generados por máquinas para determinar
											cuánto tiempo un individuo
permanecerá en prisión.
											Así que hay que pensar
sobre estas decisiones.
											¿Son justas?
											Y hemos visto que el sesgo algorítmico
											no necesariamente lleva siempre
a resultados justos.
									","
											Die Strafverfolgung beginnt auch, 
maschinelles Lernen
											für Predictive Policing einzusetzen.
											Manche Richter benutzen maschinell
generierte Risikoraten, um festzusetzen,
											wie lange eine bestimmte Person
im Gefängnis bleiben wird.
											Deshalb müssen wir wirklich
über diese Entscheidungen nachdenken.
											Sind sie fair?
											Wir haben gesehen,
dass algorithmische Vorurteile
											nicht unbedingt
zu fairen Ergebnissen führen.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											So what can we do about it?
											Well, we can start thinking about
how we create more inclusive code
											and employ inclusive coding practices.
											It really starts with people.
											So who codes matters.
											Are we creating full-spectrum teams
with diverse individuals
											who can check each other's blind spots?
											On the technical side,
how we code matters.
											Are we factoring in fairness
as we're developing systems?
											And finally, why we code matters.
											We've used tools of computational creation
to unlock immense wealth.
											We now have the opportunity
to unlock even greater equality
											if we make social change a priority
											and not an afterthought.
											And so these are the three tenets
that will make up the ""incoding"" movement.
											Who codes matters,
											how we code matters
											and why we code matters.
									","
											Então, o que podemos fazer quanto a isso?
											Podemos começar a pensar 
em criar códigos mais inclusivos
											e usar práticas de codificação inclusiva.
											Isto começa com as pessoas.
											Por isso, é importante quem codifica.
											Estaremos a criar equipas de espetro
completo com diversos indivíduos
											que podem verificar os pontos cegos
uns dos outros?
											No lado técnico,
é importante a forma como codificamos.
											Estaremos a considerar a equidade
enquanto desenvolvemos os sistemas?
											E, finalmente, é importante a razão
por que codificamos.
											Temos usado ferramentas
de criação informática
											para desbloquear uma riqueza imensa.
											Agora temos a oportunidade
de desbloquear uma igualdade ainda maior
											se dermos prioridade à mudança social
											e não uma reflexão tardia.
											Portanto, estes são os três princípios
que formam o movimento ""de codificação"".
											É importante quem codifica,
											é importante como codificamos,
											e é importante a razão
por que codificamos.
									","
											Peki biz ne yapabiliriz?
											Daha kapsamlı kod oluşturup
kapsamlı kod uygulamalarını
											nasıl kullandığımızı düşünebiliriz.
											Bu, insanlarla başlar.
											Yani kimin kodladığı önemlidir.
											Birbirlerinin kör noktalarını görebilen
farklı kişilerle tam spektrumlu
											takımlar oluşturabiliyor muyuz?
											Teknik olarak, nasıl kodladığımız önemli.
											Sistemi geliştirirken adaletle
mi oluşturuyoruz?
											Son olarak niçin kodladığımız önemlidir.
											Harika zenginliğin kilidini açmak için
işlemsel yaratma araçlarını kullandık.
											Sosyal değişimi sonraki düşünce değil,
											öncelik hâline getirirsek daha geniş
											eşitliği açma fırsatımız olur.
											""Incoding"" hareketini oluşturan
gerekli üç ilke var:
											Kimin kodladığı,
											nasıl kodladığı
											ve niçin kodladığı.
									","
											Entonces, ¿qué podemos hacer al respecto?
											Bueno, podemos empezar a pensar en
cómo creamos un código más inclusivo
											y emplear prácticas
de codificación inclusivas.
											Realmente empieza con la gente.
											Con los que codifican cosas.
											¿Estamos creando equipos de
amplio espectro con diversidad de personas
											que pueden comprobar
los puntos ciegos de los demás?
											Desde el punto de vista técnico,
importa cómo codificamos.
											¿Lo gestionamos con equidad
al desarrollar los sistemas?
											Y finalmente, importa por qué
codificamos.
											Hemos usado herramientas informáticas
											para generar una riqueza inmensa.
											Ahora tenemos la oportunidad de generar
una igualdad aún más grande
											si hacemos del cambio social una prioridad
											y no solo un pensamiento.
											Estos son los tres principios que 
constituirán el movimiento ""codificador"".
											Quién codifica importa,
											cómo codificamos importa,
											y por qué codificamos importa.
									","
											Was können wir dagegen tun?
											Wir können darüber nachdenken, 
wie man inklusiveren Code schreibt
											und Programmiertechniken nutzt,
die inklusiver sind.
											Es fängt bei den Menschen an.
											Es spielt eine Rolle, wer programmiert.
											Erstellen wir inklusive Teams
aus diversifizierten Individuen,
											die gegenseitig ihre toten Winkel 
überprüfen können?
											In Hinblick auf die Technik spielt es
eine Rolle, wie programmiert wird.
											Berücksichtigen wir Fairness
beim Entwickeln von Systemen?
											""Warum"" wir programmieren, 
spielt auch eine Rolle.
											Wir haben durch computergestütztes Design
enormen Wohlstand geschaffen.
											Nun haben wir die Möglichkeit, 
noch größere Gleichheit zu schaffen,
											wenn wir sozialen Wandel als Priorität
											und nicht als Nachtrag behandeln.
											Das sind also die drei Grundsätze
der ""Incoding""-Bewegung.
											Es ist wichtig, wer programmiert,
											wie programmiert wird,
											und warum wir programmieren.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											So to go towards incoding,
we can start thinking about
											building platforms that can identify bias
											by collecting people's experiences
like the ones I shared,
											but also auditing existing software.
											We can also start to create
more inclusive training sets.
											Imagine a ""Selfies for Inclusion"" campaign
											where you and I can help
developers test and create
											more inclusive training sets.
											And we can also start thinking
more conscientiously
											about the social impact
of the technology that we're developing.
									","
											Para avançarmos para a codificação,
podemos começar a pensar
											em construir plataformas que
possam identificar preconceitos
											reunindo as experiências de pessoas
como as que eu contei,
											e também auditando
os softwares existentes.
											Também podemos começar a criar
grupos de formação mais inclusivos.
											Imaginem uma campanha
""Selfies para Inclusão""
											em que qualquer um pode ajudar
os desenvolvedores a criar e testar
											grupos de formação mais inclusivos.
											Também podemos começar
a pensar com maior consciência
											no impacto social da tecnologia
que estamos a desenvolver.
									","
											Incoding'e yönelmek için
benim paylaştıklarım
											gibi insanların deneyimlerini toplayarak
											yanlılığı belirleyen ve var olan yazılımı
											denetleyen platformlar oluşturmayı
düşünmeye başlayabiliriz.
											Ayrıca daha kapsamlı
eğitim setleri hazırlayabiliriz.
											Geliştiricilerin daha kapsamlı
eğitim setleri oluşturmasına
											ve deneyebilmesine yardım
ettiğimiz ""Kaynaşmak için Özçekimler""
											kampanyasını düşünün.
											Ve şu an geliştirdiğimiz
teknolojinin toplumsal etkileri
											konusunda daha vicdani
düşünmeye başlayabiliriz.
									","
											Así que, para abordar la codificación,
podemos empezar a pensar
											en construir plataformas
que puedan identificar sesgos
											reuniendo experiencias de la gente
como las que compartí,
											pero también auditando
el software existente.
											También podemos crear
grupos de formación más inclusivos.
											Imaginen una campaña de
""Selfies por la inclusión""
											donde Uds. y yo podamos ayudar 
a los desarrolladores a crear
											grupos de formación más inclusivos.
											Y también podemos empezar a pensar
más concienzudamente
											sobre el impacto social de la tecnología
que estamos desarrollando.
									","
											Auf dem Weg zu ""Incoding""
müssen wir darüber nachdenken,
											Plattformen, die Vorurteile
erkennen können, zu schaffen,
											mit Hilfe von Erfahrungen, 
wie z. B. meinen,
											aber auch bereits existierende 
Software zu überprüfen.
											Wir können auch damit beginnen,
inklusivere Trainingssets zu erstellen.
											Stellen Sie sich etwa eine Kampagne
""Selfies für Inklusion"" vor,
											bei der Sie und ich den Entwicklern
beim Testen und Entwickeln
											inklusiverer Trainingssets helfen können.
											Wir können auch bewusster
über die sozialen Auswirkungen
											der Technologien, die wir 
entwickeln, nachdenken.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											To get the incoding movement started,
											I've launched the Algorithmic
Justice League,
											where anyone who cares about fairness
can help fight the coded gaze.
											On codedgaze.com, you can report bias,
											request audits, become a tester
											and join the ongoing conversation,
											#codedgaze.
									","
											Para iniciar o movimento de codificação,
											lancei o Algoritmo Liga da Justiça,
											em que todos os que
se interessam pela justiça
											podem ajudar a lutar
contra o olhar codificado.
											Em codedgaze.com,
podem relatar preconceitos,
											exigir auditos, fazerem testes
											e participar das conversas em curso,
											#codedgaze.
									","
											Incoding hareketini başlatmak için
											adaletle ilgilenen birinin kodlu 
bakışla savaşabileceği
											Algoritmik Adalet Ligi'ni başlattım.
											codedgaze.com'da yanlılığı bildirebilir,
											denetleme isteyebilir, deneyen olabilir,
											süren tartışmalara katılabilirsiniz,
											#codedgaze
											Sizi dâhil olmaya ve
merkez sosyal değişime
									","
											Para iniciar el movimiento
de codificación,
											creé la Liga de la Justicia algorítmica,
											donde todo el que
se preocupa por la equidad
											puede ayudar a combatir
la mirada codificada.
											En codedgaze.com
pueden informar sesgos,
											solicitar auditorías,
convertirse en un betatesters
											y unirse a la conversación en curso,
											#codedgaze.
									","
											Um die ""Incoding""-Bewegung zu starten,
											gründete ich die
""Algorithmic Justice Leage"".
											Jeder kann dabei helfen,
den programmierten Blick zu bekämpfen.
											Auf codedgaze.com können Sie
über Voreingenommenheit berichten,
											Überprüfungen verlangen, zum Tester werden
											und bei laufenden Debatten mitreden,
											#codedgaze.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											So I invite you to join me
											in creating a world where technology
works for all of us,
											not just some of us,
											a world where we value inclusion
and center social change.
									","
											Portanto, convido-os a juntarem-se a mim
											para criar um mundo em que a tecnologia
funcione para todos nós,
											não apenas para alguns,
											um mundo em que valorizamos a inclusão
e nos centramos na mudança social.
									","
											değer verdiğimiz ve teknolojinin 
sadece bir kısım için değil,
											herkes için işe yaradığı
											bir dünyaya davet ediyorum.
											Teşekkürler.
									","
											Así que los invito a que se unan a mí
											para crear un mundo donde la tecnología
trabaje para todos nosotros,
											no solo para algunos de nosotros,
											un mundo donde se valore la inclusión
y así centrar el cambio social.
									","
											Ich lade Sie dazu ein, 
sich mir anzuschließen
											und eine Welt zu schaffen,
in der Technologie für uns alle,
											und nicht nur für manche, funktioniert,
											eine Welt, in der Inklusion wertgeschätzt
und soziale Veränderung im Zentrum steht.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											Thank you.
									","
											Obrigada.
									","
											(Alkış)
									","
											Gracias.
									","
											Danke.
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											(Applause)
									","
											(Aplausos).
									","
											Bir sorum var.
									","
											(Aplausos)
									","
											(Applaus)
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											But I have one question:
											Will you join me in the fight?
									","
											Mas eu tenho uma pergunta:
											Vão juntar-se a mim nesta luta?
									","
											Bu savaşta benimle misiniz?
									","
											Pero tengo una pregunta:
											¿Se unirán a mí en mi lucha?
									","
											Ich habe eine Frage:
											Werden Sie sich mir anschließen?
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Gelächter)
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Aplausos)
									","
											(Applaus)
									",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
"
","
","
","
","
",How I'm fighting bias in algorithms,Joy Buolamwini,8:44,"activism,algorithm,AI,code,data,identity,inequality,product design,innovation,programming,software,TEDx,technology,race"
