en,tr,fr,es,de,title,speaker,duration,tags
"
											""I'm sorry, I'm sorry,
I'm sorry, I'm sorry,
											please, I really need to understand.
											Clearly the author thinks
that this is significant.
											Why are we skipping over this?""
									","
											''Pardon, pardon, pardon, pardon,
											lütfen, cidden anlamam lazım.
											Belli ki yazar bu kısmın
önemli olduğunu düşünmüş.
											Neden burayı atlıyoruz?''
									","
											« Je suis désolé, je suis désolé,
											s'il vous plaît, je veux comprendre.
											De toute évidence, l'auteur
pense que c'est important.
											Pourquoi sautons-nous ce passage ? »
									","
											""Perdón, perdón, perdón.
											Por favor, necesito entender.
											Claramente el autor
piensa que es importante.
											¿Por qué nos lo vamos a saltar?""
									","
											""Entschuldigen Sie, entschuldigen Sie,
											bitte, ich will das verstehen.
											Der Autor hält das für wichtig.
											Warum überspringen wir es?""
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											""Titus, I do not have time for this.""
									","
											''Titus, bu konu için zamanım yok.''
									","
											« Titus, je n'ai pas le temps pour ça. »
									","
											""Titus, no tengo tiempo para esto"".
									","
											""Titus, ich habe keine Zeit dafür.""
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											""OK, last question, I'm really sorry here.
											When can we talk,
because we need to talk.""
									","
											''Pekâlâ, son bir soru,
gerçekten özür dilerim.
											Ne zaman konuşabiliriz,
çünkü konuşmamız lazım.''
									","
											« D'accord, dernière question,
je suis désolé.
											Quand peut-on en parler ?
Il faut qu'on parle. »
									","
											""Está bien, última pregunta. Lo lamento.
											¿Cuándo podemos hablar?
Porque tenemos que hablar"".
									","
											""Okay, letzte Frage,
tut mir wirklich Leid.
											Wann können wir miteinander sprechen?""
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											(Laughter)
									","
											(Kahkaha)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											I went to her office hours.
											I ended up getting kicked
out of her office.
											I went to the dean.
											The dean finally told me,
""I can't force her to teach anything.""
											And I knew in that moment
if I wanted to understand this history,
											if I wanted to understand the roles
of those folks who had to walk,
											I was probably going
to have to figure that out myself.
											So ...
											above you right here on the slide
											is a painting by Frans Hals.
											This is one of the kinds of images
											that was in that chapter.
											I taught myself how to paint
											by going to museums
and looking at images like this.
									","
											Ofis saatlerinde yanına gittim.
											Sonunda ofisinden kovuldum.
											Dekana gittim.
											Dekan şunu söyledi, ''Onu herhangi
bir şey öğretmeye zorlayamam.''
											İşte o anda, eğer bu
tarihi anlamak istiyorsam,
											yürümek zorunda kalan halkın
yerini anlamak istiyorsam,
											bunu muhtemelen kendi başıma
yapmak zorunda kalacaktım.
											Pekâlâ,
											hemen yukarıda gördüğünüz resim
											Frans Hals tarafından yapıldı.
											Bu, o kısımdaki resimlerden
											bir örnek.
											Resim çizmeyi,
											müzelere ve bu tarz
resimlere bakarak öğrendim.
									","
											Je suis allé la voir à son bureau.
											J'ai fini par me faire mettre à la porte.
											Je suis allé voir le doyen,
											qui m'a dit : « Je ne peux pas la forcer
à faire quoi que ce soit. »
											J'ai su à ce moment que si je voulais
comprendre cette histoire,
											si je voulais comprendre le rôle
de ces personnes qui devaient marcher,
											je devrais probablement
le découvrir par moi-même.
											Donc...
											au-dessus de vous, sur la diapositive,
											est une peinture de Frans Hals.
											C'est l'une de ce genre d'images
											qui étaient dans ce chapitre.
											J'ai appris à peindre par moi-même,
											en allant dans des musées
et en regardant des images comme ça.
									","
											Fui a su oficina,
											y me terminaron echando de ahí.
											Fui a hablar con el decano.
											El decano finalmente me dijo:
""No puedo obligarla a enseñar nada"".
											Y en ese momento supe
que si quería entender esta historia,
											si quería entender los roles
de esas personas que tenían que caminar,
											probablemente lo tendría
que descubrir por mi cuenta.
											Así que...
											Aquí arriba, en la diapositiva,
											hay una pintura de Frans Hals.
											Este es uno de los tipos de imágenes
											que estaban en ese capítulo.
											Aprendí a pintar por mí mismo
											yendo a museos y observando
imágenes como esta.
									","
											Ich ging in ihre Bürostunden.
											Schließlich wurde ich
aus dem Büro rausgeworfen.
											Ich ging zum Dekan.
											Er sagte, ""Ich kann ihr nicht
vorschreiben, was sie lehren soll.""
											Und von dann an wusste ich,
dass, wenn ich das verstehen wollte,
											wenn ich die Rolle dieser Menschen,
die gehen mussten, verstehen wollte,
											dann würde ich das alleine machen müssen.
											Also ...
											über ihnen, auf dieser Folie
											ist ein Gemälde von Frans Hals.
											Das ist eines der Bilder,
											das in dem Kapitel war.
											Ich brachte mir selbst das Malen bei
											indem ich in Museen ging
und mir diese Gemälde ansah.
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											I want to show you something.
									","
											Sizlere bir şey göstermek istiyorum.
									","
											Je veux vous montrer quelque chose.
									","
											Les quiero mostrar algo.
									","
											Ich will Ihnen etwas zeigen.
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											I made this.
											I —
									","
											Bunu ben yaptım.
											Ben...
									","
											J'ai fait ça.
											J'ai —
									","
											Yo hice esto.
											Yo...
									","
											Das habe ich gemalt.
											Ich —
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											(Applause)
									","
											(Alkış)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											I made some alterations.
											You'll see there are
some slight differences in the painting.
											All this art history
that I had been absorbing
											helped me to realize
that painting is a language.
											There is a reason
											why he is the highest
in the composition here.
											There is a reason
											why the painter is showing us
this gold necklace here.
											He's trying to tell us something
about the economic status
											of these people in these paintings.
											Painting is a visual language
											where everything in the painting
											is meaningful, is important.
											It's coded.
											But sometimes, because
of the compositional structure,
											because of compositional hierarchy,
											it's hard to see other things.
											This silk is supposed to tell us also
that they have quite a bit of money.
											There's more written
											about dogs in art history
											than there are about
this other character here.
											Historically speaking,
in research on these kinds of paintings,
											I can find out more about the lace
											that the woman is wearing
in this painting —
											the manufacturer of the lace —
than I can about this character here,
											about his dreams, about his hopes,
											about what he wanted out of life.
									","
											Bazı değişiklikler yaptım.
											Resimde birkaç küçük fark var.
											Özümsediğim bütün sanat tarihi,
											resmin bir dil olduğunu
fark etmeme yardımcı oldu.
											Bu resmin kompozisyonunda
											adamın en yukarı noktada
olmasının bir sebebi var.
											Ressamın,
											bu altın kolyeyi bizlere
göstermesinde bir sebep var.
											Bu resimdeki insanların,
ekonomik durumları hakkında
											bizlere bir şeyler anlatıyor.
											Resim, resimdeki her şeyin
											anlamlı ve önemli olduğu
											görsel bir dildir.
											Kodlanmıştır.
											Ama bazen, kompozisyondaki yapıdan dolayı
											kompozisyondaki hiyerarşiden dolayı,
											diğer şeyleri görmek güçleşir.
											Bu ipek, bize aynı zamanda çok zengin
olduklarını anlatmalı.
											Sanat tarihinde,
											buradaki diğer karakterdense
											köpekler hakkında daha fazla şey yazılmış.
											Tarihsel olarak, bu tarz resimler
hakkında araştırma yaptığımda,
											kadının giydiği dantel hakkında,
											dantelin işleyicisi hakkında,
											bu kişi hakkında bulacağımdan
çok daha fazla şey bulabilirim,
											hayalleri hakkında, umutları hakkında,
											hayattan ne beklediği hakkında.
									","
											J'ai changé quelques choses.
											Vous remarquerez quelques légères
différences dans la peinture.
											Toute cette histoire de l'art
que j'avais absorbée
											m'a aidé à réaliser
que la peinture est un langage.
											Ce n'est pas pour rien
											que cet homme est le plus haut
dans la composition.
											Ce n'est pas pour rien
											que le peintre nous montre
ce collier en or ici.
											Il essaie de nous parler
du statut économique
											de ces personnes dans ces peintures.
											La peinture est un langage visuel
											où chaque élément dans la peinture
											veut dire quelque chose, est important.
											C'est codifié.
											Mais parfois, à cause de la structure
de la composition,
											à cause de la hiérarchie
de la composition,
											il est difficile de voir d'autres choses.
											Cette soie est censée nous dire
qu'ils sont aussi assez fortunés.
											On a beaucoup plus écrit
											sur les chiens dans l'histoire de l'art
											que sur cet autre personnage ici.
											Historiquement parlant,
en recherchant ce type de peinture,
											je peux en apprendre plus sur la dentelle
											portée par la femme dans cette peinture —
											le fabricant de la dentelle —
que sur cette personne ici,
											sur ses rêves, ses espoirs,
											sur ce qu'il attendait de la vie.
									","
											hice algunas modificaciones.
											Verán que hay algunas
diferencias en la pintura.
											Toda esta historia del arte
que había estado absorbiendo
											me ayudó a ver
que la pintura es un lenguaje.
											Hay una razón
											por la que él es el más alto
de la composición.
											Hay una razón
											por la que el pintor
nos muestra este collar dorado.
											Nos está queriendo decir
algo sobre la posición económica
											de las personas en estos cuadros.
											La pintura es un lenguaje visual
											donde todo en ella
											tiene significado, es importante,
											está codificado.
											Pero, a veces, debido a la estructura
											y a la jerarquía de la composición,
											es difícil ver otras cosas.
											Esta seda también quiere decirnos
que tienen mucho dinero.
											Hay más bibliografía sobre los perros
											en la historia del arte,
											que sobre este personaje que está aquí.
											En términos históricos,
al investigar sobre estas pinturas,
											puedo encontrar más
información sobre el encaje
											que lleva la mujer en esta pintura,
											y el fabricante del encaje,
que este sobre este personaje,
											sobre sus sueños, sus anhelos,
											sobre lo que quería en su vida.
									","
											Ich habe etwas geändert.
											Sie werden kleine Unterschiede sehen.
											All diese Kunstgeschichte, die ich aufnahm
											half mir zu verstehen,
dass Malen eine Sprache ist.
											Es gibt einen Grund dafür
											warum er der Größte im Gemälde ist.
											Es gibt einen Grund,
											warum der Maler uns
diese goldene Halskette hier zeigt.
											Er versucht uns etwas über
den Lebensstandard
											der Menschen hier
auf den Bildern zu erzählen.
											Die Malerei ist eine Bildsprache
											und alles auf dem Bild
											hat seinen Sinn und seinen Grund.
											Es ist verschlüsselt.
											Aber manchmal ist es, wegen
der Struktur der Zusammenstellung,
											wegen der Hierarchie
der Zusammenstellung —
											ist es schwierig, anderes zu sehen.
											Diese Seide soll uns auch zeigen,
dass sie reich waren.
											In der Kunstgeschichte
wurde mehr über Hunde geschrieben,
											als über die andere Person hier.
											In den historischen Nachforschungen
zu solchen Gemälden
											erfahre ich mehr über die Spitzen,
die die Frau in diesem Bild trägt —
											über den Hersteller dieser Spitzen — 
als über diesen Charakter hier.
											Über seine Träume, seine Hoffnung,
											und was er vom Leben erwartete.
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											I want to show you something.
											I don't want you to think
											that this is about eradication.
											It's not.
											The oil that you saw me
just put inside of this paint
											is linseed oil.
											It becomes transparent over time,
											so eventually what's going to happen
											is these faces
											will emerge a little bit.
											What I'm trying to do,
											what I'm trying to show you,
											is how to shift your gaze just slightly,
											just momentarily,
											just momentarily,
											to ask yourself the question,
											why do some have to walk?
											What is the impact of these kinds
of sculptures at museums?
											What is the impact
of these kinds of paintings
											on some of our most vulnerable in society,
											seeing these kinds of depictions
of themselves all the time?
											I'm not saying erase it.
											We can't erase this history.
											It's real. We have to know it.
											I think of it in the same way
											we think of —
									","
											Sizlere bir şey göstermek istiyorum.
											İmhadan bahsettiğimi düşünmenizi
											istemiyorum.
											Öyle değil.
											Gördüğünüz, bu boyanın
içerisine karıştırdığım yağ,
											bezir yağı.
											Zamanla saydamlaşıyor,
											nihayetinde olacak olan,
											bu yüzler
											daha da belirginleşecek.
											Burada yapmaya çalıştığım,
											sizlere göstermek istediğim şey,
											bakışınızı nispeten başka yöne kaydırmak,
											bir an için,
											yalnızca bir an için,
											kendinize şunu sormanız gerek,
											bazıları neden yürümek zorunda?
											Bu tarz heykellerin
müzelerdeki etkileri nelerdir?
											Bu tarz resimlerin, toplumumuzdaki
											en savunmasız kesim üzerindeki etkisi nedir,
											kendilerinin sürekli bu şekilde
gösterilmesinden nasıl etkileniyorlar?

											Yok edelim demiyorum.
											Tarihi silemeyiz.
											Yaşanmış, bilmemiz gerek.
											Aynı şey gibi olduğunu düşünüyorum,
											geriye dönelim,
									","
											Je veux vous montrer quelque chose.
											Je ne peux pas que vous pensiez
											que ce que je fais est de l'éradication.
											Ce n'est pas ça.
											L'huile que vous m'avez vu
mettre sur cette peinture
											est de l'huile de lin.
											Elle devient transparente avec le temps,
											donc ce qu'il va passer tôt ou tard,
											c'est que ces visages
											vont un peu refaire surface.
											Ce que j'essaie de faire
											ce que j'essaie de vous montrer,
											c'est comment changer votre regard,
légèrement,
											pour un instant,
											pour un instant,
											pour que vous vous posiez la question :
											Pourquoi certains doivent marcher ?
											Quel est l'impact de ce genre
de sculptures dans les musées ?
											Quel est l'impact
de ce genre de peintures
											sur certains des plus vulnérables
dans notre société,
											à se voir être tout le temps
représenté de la sorte ?
											Je ne dis pas de l'effacer.
											Nous ne pouvons pas
effacer cette histoire.
											Elle est réelle. Nous devons la connaître.
											J'y pense de la même façon
											que nous pensons à —
									","
											Les quiero mostrar algo.
											No quiero que piensen
											que esto es sobre la erradicación.
											No lo es.
											El óleo que me vieron
poner en esta pintura
											es aceite de linaza.
											Se vuelve transparente con el tiempo,
											así que lo que sucederá
											es que estas caras
											se verán de a poco.
											Lo que intento hacer,
											lo que intento mostrarles,
											es cómo desplazar un poco su mirada,
											solo por un momento,
											solo por un momento,
											para que se pregunten:
											¿por qué algunos tienen que caminar?
											¿Cuál es el impacto de
estas esculturas en los museos?
											¿Cuál es el impacto de estas pinturas
											en los más vulnerables
de nuestra sociedad,
											que ven estas representaciones
de ellos todo el tiempo?
											No digo que las borremos.
											No podemos borrar la historia.
											Es real y debemos conocerla.
											Lo pienso de la misma forma
											en que pensamos en ...
									","
											Ich will Ihnen etwas zeigen.
											Bitte denken Sie nicht,
dass es hier um das Auslöschen geht.
											Das ist nicht der Fall.
											Das Öl, das ich gerade in die Farbe
gemischt habe ist Leinöl.
											Es wird mit der Zeit durchsichtig.
											Am Ende passiert folgendes:
											diese Gesichter werden wieder
ein wenig zum Vorschein kommen.
											Was ich versuche —
											was ich versuche Ihnen zu zeigen,
											ist, wie Sie Ihre Blickrichtung
ein wenig verschieben können,
											nur für einen Augenblick,
											nur für einen Augenblick,
											um sich selbst fragen zu können,
											warum manche Menschen laufen müssen?
											Was ist die Auswirkung
solcher Skulpturen in den Museen?
											Was sind die Auswirkungen solcher Gemälde
											auf einige unserer Schwächsten
in der Gesellschaft,
											die sich immer so dargestellt sehen?
											Ich möchte das nicht auslöschen.
											Wir können Geschichte nicht auslöschen.
											Es ist die Wirklichkeit.
Wir müssen sie kennen.
											Ich denke es ist genau so, wie —
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											Let me step back a second.
											You remember old-school cameras,
											where when you took a picture,
you actually had to focus. Right?
											You'd put the camera up,
											and if I wanted you in focus,
											I would move the lens a little to the left
											and you would come forward.
											I could move the lens
a little to the right,
											and you would go back and the folks
in the background would come out.
											I'm just trying to do that here.
											I'm trying to give you that opportunity.
											I'm trying to answer that question
											that my son had.
											I want to make paintings,
											I want to make sculptures
											that are honest,
											that wrestle with
the struggles of our past
											but speak to the diversity
and the advances of our present.
											And we can't do that by taking an eraser
and getting rid of stuff.
											That's just not going to work.
											I think that we should
do it in the same way
											the American Constitution works.
											When we have a situation
											where we want to change
a law in the American Constitution,
											we don't erase the other one.
											Alongside that is an amendment,
											something that says,
											""This is where we were,
but this is where we are right now.""
											I figure if we can do that,
											then that will help us
understand a little bit
											about where we're going.
									","
											şeyi bilirsiniz,
											eski okul kameralarını hatırlarsınız,
											hani bir fotoğraf çekerken
odaklamak gerekenler, hatırladınız mı?
											Kamerayı yerleştirirsin
											ve seni odaklamak istiyorsam,
											lensi sola doğru çeviriririm
											sen öne çıkarsın.
											Lensi biraz sağa çevirirsem
											sen geriye gidersin, arkadaki
diğer kişiler öne çıkar.
											Bunu anlatmaya çalışıyorum.
											Sizlere o şansı tanımak istiyorum.
											Oğlumun sorduğu o soruyu
											cevaplamak istiyorum.
											Resimler çizmek istiyorum;
											dürüst olan,
											geçmişin problemleri ile boğuşan
											ama aynı zamanda çeşitliliği
ele alan ve günümüzün
											gelişmişliğini aktaran
heykeller yapmak istiyorum.
											Elimize bir silgi alıp bu şeylerden
kurtulamayayız.
											Bu işe yaramaz.
											Amerikan Anayasası'nın işleyişi gibi
											hareket etmeliyiz.
											Amerikan Anayasası'nda
											değiştirmek istediğimiz
bir yasa olduğunda,
											diğerini kaldırmıyoruz.
											Öte yandan bu bir yasa değişikliğidir,
											şunu anlatır,
											''Şu noktadaydık, ama şu anda buradayız.''
											Eğer bunu başarabilirsek,
											nereye gittiğimizi anlamada
bize biraz
											yardımcı olacaktır.
									","
											Laissez-moi revenir en arrière un instant.
											Vous vous rappelez
de ces vieux appareils photos,
											où lorsque vous preniez une photo,
vous deviez faire une mise au point ?
											Vous installiez l'appareil
											et si je voulais vous avoir net,
											je bougeais l'objectif
un peu à gauche
											et vous avanciez.
											Je pouvais bouger l'objectif
un peu à droite,
											vous reculiez et les personnes
en arrière-plan ressortiraient.
											J'essaie simplement de faire ça ici.
											J'essaie de vous donner cette opportunité.
											J'essaie de répondre à la question
											que mon fils m'a posé.
											Je veux faire des peintures,
											je veux faire des sculptures
											qui sont honnêtes,
											qui luttent avec les combats
de notre passé
											mais évoquent la diversité
et les avancées de notre présent.
											C'est impossible à faire
en effaçant les choses.
											Ça ne marchera pas.
											Nous devrions le faire de la même façon
											qu'avec la Constitution américaine.
											Lors d'une situation
											où nous voulons changer
une loi dans la Constitution,
											nous n'effaçons pas l'originale.
											À ses côtés se trouve un amendement,
											quelque chose qui dit :
											« Voici où nous étions,
et voici où nous sommes à présent. »
											Je pense que si nous pouvons faire ça,
											nous serons en mesure
de comprendre un petit peu
											où nous allons.
									","
											Déjenme retroceder un segundo.
											¿Recuerdan las cámaras antiguas
											que cuando tomabas una foto,
tenías que enfocar?
											Tomabas la cámara,
											y si quería enfocarte,
											movía la lente un poco hacia la izquierda
											y tu imagen aparecía.
											Podría mover la lente hacia la derecha
											y tu imagen se alejaría y aparecerían
las personas en el fondo.
											Eso es lo que intento hacer aquí.
											Intento darles la oportunidad.
											Intento contestar esa pregunta
											que me hizo mi hijo.
											Quiero hacer pinturas,
											quiero hacer esculturas
											que sean honestas,
											que peleen con las luchas
de nuestro pasado
											pero que apelen a la diversidad
y los avances de nuestro presente.
											Y no podemos hacerlo tomando
una goma de borrar y eliminándolo.
											Eso no funcionará.
											Deberíamos hacerlo
											como funciona
en la Constitución de EE. UU.
											Cuando tenemos una situación
											en la que queremos cambiar una ley
de la Constitución de EE. UU.,
											no borramos la otra.
											Al lado va una enmienda,
											algo que dice:
											""Aquí estábamos, pero aquí estamos ahora"".
											Supongo que, si podemos hacer eso,
											nos ayudará a entender un poco
											hacia dónde vamos.
									","
											Lasst mich kurz zurückgehen.
											Erinnern Sie sich
an die alten Photoapparate,
											wo man das Bild noch fokussieren musste?
											Man stellt die Kamera auf,
											und wenn ich Sie im Fokus haben will,
											drehe ich die Linse etwas nach links,
und Sie erscheinen.
											Ich drehe die Linse etwas nach rechts,
und Sie verschwinden.
											Die Leute im Hintergrund erscheinen.
Das versuche ich gerade hier.
											Ich versuche Ihnen
die Möglichkeit zu geben.
											Ich versuche diese Frage zu beantworten,
											die mein Sohn mir gestellt hat.
											Ich will Gemälde malen,
											und Skulpturen machen,
											die ehrlich sind,
											die mit den Konflikten
unserer Vergangenheit kämpfen,
											und dabei die Vielfalt und
die Fortschritte der Gegenwart ansprechen.
											Das können wir nicht mit einem Radierer
machen und Dinge loswerden.
											Das wird nicht funktionieren.
											Wir sollten es genauso wie
bei der amerikanische Verfassung machen.
											Wenn wir ein Gesetz der 
amerikanischen Verfassung ändern wollen,
											dann löschen wir das andere nicht.
											Dann gibt es einen Zusatzartikel,
											etwas das sagt,
											""Das ist, wo wir waren, 
aber das ist, wo wir gerade sind.""
											Ich glaube, wenn wir das machen können,
											dann wird es uns helfen zu verstehen
											wohin wir gehen.
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											Thank you.
									","
											Teşekkürler.
									","
											Merci.
									","
											Gracias.
									","
											Danke.
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											(Applause)
									","
											(Alkış)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
