fr,pt,tr,de,es,title,speaker,duration,tags
"
											A tout moment je peux la projeter dans le jeu, elle est née.
											et je peux jouer avec cette nouvelle génération de ma créature et les suivantes au travers de tous les stades de l'évolution.
											Ici encore, le plaisir que les joueurs développent quand ils créent le contenu
											est gigantesque. Maintenant, quand les joueurs créent ce contenu dans le jeu,
											tout est automatiquement envoyé à un serveur
											et redistribué aux autres joueurs de manière transparente.
											En fait, pendant que j'interagis dans ce monde avec d'autres créatures,
											celles-ci viennent tout droit d'autres joueurs quand ils jouent.
											Le processus de ce jeu est un processus de construction à partir de cette immense base de données
											de contenus. Et pour la plupart de ce que vous allez voir dans ce jeu,
											il existe un éditeur dans le jeu dans lequel le joueur peut tout créer
											tout au long des civilisations. C'est mon bébé.
											Quand je mange, je vais commencer à grandir. Ceci est la génération d'après.
									","
											Por fim, volto a trazê-lo
para o jogo, já nasceu,
											e jogo com esta geração da minha criatura
ao longo da evolução.
											Notem que a empatia que os jogadores sentem
quando criam o conteúdo é tremenda.
											Quando os jogadores
criam um conteúdo neste jogo,
											este é enviado para um servidor
											e distribuído pelos outros jogadores
de forma transparente.
											Portanto, as criaturas com que estou
a interagir neste mundo
											estão a chegar-me, com transparência,
de outros jogadores.
											O processo de jogar este jogo corresponde
											à construção de uma enorme
base de dados de conteúdos.
											Para praticamente tudo
o que vão ver neste jogo
											há um editor com que o jogador
pode criar o conteúdo,
											até ao aparecimento da civilização.
											Este é o meu bebé. Quando como, cresço.
Esta é a próxima geração.
									","
											Her neyse... Sonra da onu oyuna geri getiririm, artık doğdu,
											ve yaratığımın evrim yolculuğundaki bir sonraki neslini oynarım.
											Yine, içeriği kendileri yarattıklarında oyuncuların hissettiği empati
											çok büyük. Bu oyunda, oyuncular içerik yarattıklarında
											bu içerik otomatikman bir sunucuya yollanıyor ve
											sonra da, görebilecekleri şekilde tüm diğer oyunculara yeniden dağıtılıyor.
											İşin özü, bu dünyada diğer yaratıklarla etkileşime girmek ilgimi çektiği için,
											bu yaratıklar oynadıkları sırada diğer oyunculardan geliyor.
											Kısacası, bu oyunu oynama süreci, bu dev içerik veritabanını oluşturma
											süreci aslında. Ve oyunda göreceğiniz her şey için,
											oyuncunun tüm uygarlık süreci boyunca
											bir şeyler yaratabileceği bir editör var. Bu benim bebeğim.
											Yemek yediğimde, büyümeye başlıyorum. Bu, bir sonraki nesil.
									","
											Ich bringe es zurück ins Spiel, es wird geboren,
											und ich spiele die nächste Generation in der Evolution meiner Kreatur.
											Die Empathie, die Spieler beim Erstellen der Inhalte entwickeln,
											ist enorm. Wenn Spieler in diesem Spiel Inhalte erstellen,
											werden diese automatisch an einen Server übermittelt
											und dann an alle Spieler weiterverteilt.
											Wenn ich in dieser Welt mit anderen Kreaturen interagiere,
											sind dies Kreaturen von anderen Spielern.
											Im Rahmen des Spiels wird eine große Datenbank
											mit Inhalten aufgebaut. Für fast alles, was man im Spiel sieht,
											gibt es einen Editor, mit dem der Spieler Dinge erstellen kann,
											bis hin zu einer Zivilisation. Das ist mein Baby.
											Wenn ich fresse, wachse ich. Dies ist die nächste Generation.
									","
											Luego puedo traerlo de nuevo al juego, ha nacido,
											y juego la siguiente generación de mi criatura a través de la evolución.
											De nuevo, la empatía que tienen los jugadores cuando crean el contenido
											es tremenda. Cuando los jugadores crean contenido en el juego,
											éste se envía automáticamente a un servidor
											y luego redistribuido a los otros jugadores de manera transparente.
											De hecho, cuando interactúo en este mundo con otras criaturas,
											estas criaturas llegan de manera transparente desde los otros jugadores.
											Así que el proceso de jugar es un proceso de construir esta enorme base de datos
											de contenido. Y casi todo lo que se verá en este juego,
											tiene un editor en el juego en donde el jugador puede crear,
											todo el recorrido hacia la civilización. Este es mi bebé.
											Cuando como, comienzo a crecer. Esta es la siguiente generación.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Mais je vais avancer un peu. Ici, ce qui va se passer normalement
											est que ces créatures vont se développer et deviendront peut-être intelligentes.
											On va donc commencer à gérer des tribus, des villes ou des civilisations au fur et à mesure que le temps passe.
											Nous allons directement nous placer pendant l'ère spatiale.
											Ils pourraient se déplacer dans l'espace et commencer à explorer et coloniser l'univers.
											Je voudrais que les joueurs créent ce monde
											dans leur imagination puis leur extraire celui-ci
											sans trop de complications.
											C'est à cela que servent ces outils, et de quelle façon pouvons nous développer le game play,
											qui amplifiera l'imagination du joueur ?
											Comment peut-on rendre ces outils et ces éditeurs d'aspects
											aussi divertissants que le jeu lui-même ?
											Voilà la planète sur laquelle nous avons joué jusque là.
											Depuis tout le jeu a pris place à la surface de ce petit monde ci.
									","
											Agora vou passar muito à frente.
											Normalmente estas criaturas evoluem
											até se tornarem inteligentes.
											Começamos a lidar com tribos, cidades
e civilizações de criaturas.
											Vou passar à frente para a fase do espaço.
											As criaturas acabam por lançar-se
na exploração e colonização do Universo.
											Num certo sentido, quero
que sejam os jogadores
											a construir este mundo na sua imaginação,
											e que depois sejam capazes
de transpô-lo para o jogo
											com o menor esforço possível.
											É esse o objetivo destas ferramentas.
											Como é que tornamos o jogo
um amplificador da imaginação do jogador?
											Como é que fazemos destas ferramentas,
destes editores,
											uma coisa tão divertida
quanto o próprio jogo?
											Este é o planeta em que 
temos estado a jogar até aqui.
											Até agora todo o jogo tem tido lugar
à superfície deste pequeno mundo.
									","
											Ama burayı geçeceğim. Normalde olan, bu yaratıkların gelişip
											giderek daha zeki hale gelmeleri.
											Zaman içinde kabilelerle, şehirlerle ve uygarlıklarla haşır neşir olmaya başlıyorum.
											Burayı atlayıp uzay aşamasına geçeceğim.
											Nihayetinde uzaya gidip kolonileşmeye ve evreni keşfetmeye başlıyorlar.
											Yapmak istediğim bir anlamda, oyuncuların hayallerinde kurdukları bu dünyayı
											onlara asgari zahmet vererek
											hayata geçirmek.
											Bu araçlar işte bunun için. Oyun oynamayı, yani aslında oyuncunun
											hayal gücünü nasıl güçlendirebiliriz?
											Bu araçları, editörleri nasıl
											oyunun kendisi kadar eğlenceli kılabiliriz?
											Şimdi... Bu noktaya kadar oynadığımız gezegen buydu.
											Şimdiye kadar tüm oyun buradaki küçük dünyanın yüzeyinde oynandı.
									","
											Aber ich werde dies überspringen. Normalerweise würden
											diese Kreaturen sich nun weiterentwickeln, schließlich intelligent werden.
											Ich würde es mit Stämmen, Städten und Zivilisationen zu tun bekommen.
											Ich werde dies überspringen bis zur Phase der Raumfahrt.
											Sie würden schließlich ins All fliegen, Kolonien aufbauen und das Universum erforschen.
											Ich will, dass die Spieler diese Welt erbauen,
											mittels ihrer Vorstellungskraft, und diese dann von ihnen
											möglichst schmerzlos extrahieren.
											Darum geht es bei diesen Werkzeugen. Wie gestalten wir das Spiel, mit der
											Vorstellungskraft des Spielers als Verstärker?
											Wie stellen wir diese Werkzeuge her, diese Editoren, die genauso viel
											Spaß machen wie das Spiel selbst?
											Das ist der Planet, auf dem wir bis jetzt gespielt haben.
											Das gesamte Spiel hat auf der Oberfläche dieser kleinen Welt stattgefunden.
									","
											Pero voy a adelantarme aquí. Normalmente lo que sucedería
											es que estas criaturas harían su camino, eventualmente volviéndose inteligentes.
											Comenzaré a tratar con tribus, ciudades y civilizaciones de ellas con el tiempo.
											Voy a adelantarme hasta la fase espacial.
											Eventualmente saldrán al espacio y comenzarán a colonizar y explorar el universo.
											En cierta forma, quiero que los jugadores construyan este mundo
											en su imaginación, y luego extraerla de allí,
											con la menor dificultad posible.
											De eso se tratan estas herramientas, ¿cómo hacemos que el juego,
											sea un amplificador de la imaginación del jugador?
											¿Y cómo hacemos de estas herramientas, estos editores, algo que
											sean tan divertidos como el juego mismo?
											Este es el planeta en el que estuvimos jugando hasta ahora en el juego.
											Hasta ahora todo el juego se jugó en la superficie de este mundo aquí.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Nous sommes ici en présence d'une petite planète-jouet,
											encore une fois, un peu à la façon des jouets Motessori.
											Que ce passe-t'il si vous donnez à quelqu'un une planète-jouet,
											et les laissez jouer avec autant de paramètres ?
											Que pourraient-ils découvrir ? Que pourraient-ils apprendre de tout ceci ?
											Ce monde a été extrait de l'imagination du joueur.
											Et ceci est la planète sur laquelle le joueur a évolué,
											des choses comme les batîments, les véhicules, l'architecture, les civilisations,
											ont tous été dessinés par le joueur.
											On voit ici une petite ville avec quelques-uns de ces bonshommes se balader dedans.
											Et si la plupart des jeux plongent le joueur dans le rôle de Luke Skywalker,
											vous savez, le protagoniste de cette histoire.
											Ici, vous voyez il s'agît plutôt de mettre
											le joueur dans le rôle de George Lucas,
											Je voudrais qu'après qu'ils aient joué à ce jeu,
											qu'ils arrivent à en faire un monde complet avec lequel ils peuvent interagir.
									","
											Nesta fase estamos a lidar
com um pequeno planeta de brincadeira,
											quase — mais uma vez —
como um brinquedo Montessori.
											Que acontece se dermos a alguém
um planeta de brincar,
											e o deixarmos mexer na sua dinâmica?
											Que poderá ele descobrir?
O que poderá aprender?
											Este mundo foi destilado
da imaginação do jogador.
											Este é o planeta em que o jogador evoluiu.
											Coisas como os edifícios, os veículos,
a arquitetura, as civilizações,
											foram todos produzidos pelo jogador.
											Esta é uma pequena cidade
com algumas criaturas a passear.
											A maioria dos jogos põe o jogador
no papel do Luke Skywalker,
											isto é, um protagonista
a viver uma história.
											Aqui tentamos pôr o jogador mais
no papel do George Lucas.
											Depois de jogarem este jogo,
											tenham extraído da imaginação todo o mundo
com que agora estão a interagir.
									","
											Bu noktada, çok küçük boyutta bir oyuncak gezegenle uğraşıyoruz;
											neredeyse, yine söylüyorum, Montessori oyuncağı bir şey.
											Birine oyuncak bir gezegen verip oradaki pek çok dinamikle
											oynamasını sağlarsanız ne olur?
											Ne keşfeder? Bundan neler öğrenir?
											Bu dünya aslında oyuncunun hayal gücünden ortaya çıktı.
											Yani, oyuncunun evrimleştiği gezegen bu.
											Binalar, taşıtlar, mimari, uygarlıklar...
											Hepsi buraya kadar oyuncu tarafından tasarlandı.
											İşte adamlarımızdan bazılarının ortalıkta dolaştığı küçük bir şehir.
											Çoğu oyun oyuncuyu Luke Skywalker rolüne sokar,
											bilirsiniz, hikayenin baş karakteri.
											İşin gerçeği, bizimki daha çok oyuncuyu
											George Lucas rolüne sokmakla ilgili.
											Oyuncuların, bu oyunu oynadıktan sonra,
											hayal ettikleri bütün bir dünyayı hayata geçirmiş olmalarını istiyorum.
									","
											Wir haben es hier mit einem kleinen Spielzeugplaneten zu tun,
											ähnlich der Spielzeugidee von Montessori.
											Wenn man jemandem einen Spielzeugplaneten gibt und
											ihn mit Dynamiken spielen lässt, was kann dann
											entdeckt werden? Was kann man lernen?
											Diese Welt wurde aus der Vorstellung des Spielers abgeleitet.
											Das ist der Planet, auf dem sich der Spieler weiterentwickelt hat,
											Dinge wie die Gebäude, die Fahrzeuge, die Architektur, Zivilisationen
											wurden alle vom Spieler entwickelt.
											Es gibt eine kleine Stadt, in der einige unserer Jungs herumlaufen.
											Die meisten Spiele versetzen den Spieler in die Rolle von Luke Skywalker,
											in die Rolle des Hauptdarstellers der Geschichte.
											Hierbei geht es mehr darum, den Spieler
											in die Rolle von George Lucas zu versetzen.
											Ich will, dass sie nach dem Spielen
											eine ganze Welt erschaffen haben, mit der sie jetzt interagieren.
									","
											En este punto tratamos con un pequeño planeta de juguete,
											casi, de nuevo, como la idea de una juguete Montessori.
											¿Qué sucede si le damos a alguien un planeta de juguete
											y le dejamos jugar con las dinámicas en él,
											qué descubriría? ¿Qué podría aprender de esto?
											Este mundo fue extraído de la imaginación del jugador.
											Este es el planeta en que el jugador evolucionó,
											así que los edificios, vehículos, arquitectura, civilizaciones,
											fueron diseñadas por el jugador hasta aquí.
											Esta es una pequeña ciudad con algunos tipos caminando por ella.
											La mayoría de los juegos ponen al jugador en el rol de Luke Skywalker,
											el protagonista participando en esta historia.
											Esto es más como poner al jugador
											en el rol de George Lucas,
											Quiero que, después de jugar esto,
											que hayan extraído todo un mundo con el que interactúan
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Si on recule un peu ici, nous avons encore tout un tas de créatures
											vivants à la surface de la planète, tout comme différents autres paramètres de cette même planète.
											En fait, je peux regarder par ici, ceci est une sorte de chaîne alimentaire simplifiée
											des liens entre ces créatures.
											Je peux ouvrir ceci et en quelque sorte scanner ce qui existe à la surface,
											afin de se rendre compte de la diversité des créatures qui y vivent.
											Certaines ont été crées par le joueur en question,
											le reste par les autres joueurs, et envoyé automatiquement ici.
											Il y a quand même quelques réflexions mathématiques à avoir sur ce qui est nécessaire à cette planète.
											Quelle quantité de plantes sont nécessaires à la survie des herbivores ?
											Combien d'herbivores sont nécessaires pour que les carnivores
											puissent manger etc...Paramètres que vous devrez veiller à équilibrer activement.
											Ici aussi, à cette étape, nous offrons de plus en plus de pouvoir de type ""divins"" au joueur,
											et vous pouvez les tester avec cette planète, encore une fois à la manière d'un jouet.
											Je peux venir, faire des choses, et considérer cette planète comme une boule de glaise.
											Nous avons un système de gestion météorologique, que vous pouvez voir ici,
											et un système de géologie simplifié. Par exemple, je pourrais utiliser mes outils ici et là,
											pour par exemple changer les rivages.
											Tout ceci est comme une grosse masse de glaise, une sculpture.
											Je peux aussi jouer avec les paramètres de ce monde à travers le temps.
									","
											Vemos aqui que ainda há
											um conjunto de criaturas
a viver na superfície do planeta,
											portanto coexistem
diferentes dinâmicas no jogo.
											Conseguimos detetar aqui
uma cadeia alimentar simplificada,
											envolvendo estas criaturas.
											Posso abrir isto aqui e sondar
tudo o que existe à superfície,
											e ficar com a noção da diversidade
de criaturas que aqui apareceram.
											Umas foram criadas pelo jogador,
											outras por outros jogadores
e enviadas para aqui.
											Mas há uma espécie de cálculo simples
do que é necessário
											— a quantidade de plantas
para os herbívoros.
											quantos herbívoros
para os carnívoros comerem —
											que têm que ser equilibrados.
											Por esta altura, o jogador está a receber
cada vez mais ""poderes divinos"",
											e pode fazer experiências com o planeta
como um brinquedo,
											tratar o planeta como um pedaço de barro.
											Por exemplo, sistemas climáticos
ou sistemas geológicos muito simples.
											Podia abrir aqui 
esta ferramenta e criar rios.
											Tudo isto é como se fosse barro, 
uma escultura.
											Também posso brincar
com a dinâmica deste mundo.
									","
											Buraya inersek, hâlâ gezegen yüzeyinde yaşayan
											bir dizi yaratığımız var, dolayısıyla farklı devinimler söz konusu.
											Buraya baktığımda görüyorum ki, yaratıklar arasında sürüp giden şey
											basitleştirilmiş bir tür besin ağı.
											Bunu açıp yüzeyde mevcut olan her şeye göz atabilir ve
											gezegene ayak basan farklı yaratıklar hakkında fikir edinebilirim.
											Bunlardan bazıları oyuncu tarafından yaratıldı,
											diğerleri başka oyuncular tarafından yaratılıp otomatikman gönderildiler.
											Yine de bazı küçük hesaplamalar yapmak gerekti; nelerin gerekli olduğu,
											otoburların hayatta kalması için ne kadar bitki gerektiği,
											etoburların kaç tane otobur yiyeceği gibi
											normalde de dengelemeniz gereken konularda.
											Bu aşamada, oyuncuya giderek daha fazla tanrısal güç veriyoruz ve bu gezegende de,
											dediğim gibi, bir oyuncakmış gibi deneyler yapabiliyorsunuz.
											İçeri girebilir, bir şeyler yapabilir ve bu gezegene bir avuç çamurmuş gibi davranabilirim.
											Burada gördüğünüz gibi, çok minik hava sistemlerimiz var;
											jeolojinin çok basit hali. Örneğin, buradaki araçlarımdan birini açabilir ve
											nehirler yaratabilirim.
											Bu bütünüyle büyük bir avuç çamur gibi, bir nevi heykel.
											Ayrıca, zaman içinde bu dünyanın dinamikleriyle oynayabilirim.
									","
											Wenn wir hier hinunter gehen, haben wir eine ganze Gruppe von Kreaturen,
											die auf der Oberfläche leben, es gibt all diese verschiedenen Konstellationen.
											Wenn ich hier schaue, sehe ich dieses vereinfachte Nahrungsnetzwerk,
											in das die Kreaturen miteinbezogen sind.
											Ich kann das hier öffnen und scannen, was auf der Oberfläche existiert.
											So bekomme ich eine Idee von der Vielfalt der hergebrachten Kreaturen.
											Einige wurden vom Spieler selbst erschaffen,
											einige wurden von anderen Spielern erschaffen und automatisch geladen.
											Es gibt eine einfache Berechnung, die zeigt,
											wie viele Pflanzen für das Überleben von Pflanzenfressern,
											wie viele Pflanzenfresser für Fleischfresser nötig sind.
											Man muss dies aktiv ausbalancieren.
											In dieser Phase erreicht der Spieler mehr und mehr einen göttlichen Status,
											man kann mit dem Planeten experimentieren, als Spielzeug.
											Ich kann Dinge verändern und diesen Planeten wie einen Klumpen Ton formen.
											Es gibt sehr einfache Wettersysteme,
											einfache Geologie. Ich kann zum Beispiel eines meiner Werkzeuge öffnen und
											Flüsse gestalten.
											All das ist wie ein großer Tonklumpen, eine Skulptur.
											Ich kann auch die Dynamiken dieser Welt verändern.
									","
											Desplegando esto, tenemos todo un conjunto de criaturas
											viviendo en la superficie del planeta, muchas dinámicas están en marcha.
											De hecho, puedo ver aquí, esta es una red alimentaria simplificada
											que funciona con estas criaturas.
											Puedo abrir esto y explorar lo que existe en la superficie,
											y tener una idea de la diversidad de criaturas que aparecieron.
											Algunas fueron creadas por el jugador,
											otras por otros jugadores, enviadas aquí.
											Hay un tipo de cálculo de lo que se requiere,
											cuántas plantas se necesitan para los herbívoros,
											cuántos herbívoros para que coman los carnívoros, etcétera,
											que se tiene que equilibrar activamente.
											También, en esta fase, daremos más poderes divinos al jugador,
											y se puede experimentar con este planeta, como un juguete.
											Y puedo llegar y hacer cosas, y tratar al planeta como arcilla.
											Tenemos, simples sistemas de clima,
											una geología simple. Por ejemplo, puedo usar una herramienta y,
											trazar ríos.
											Todo esto es como una arcilla, una escultura.
											También puedo jugar con las dinámicas del mundo en el tiempo.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											L'une choses que je peux faire est de commencer à rejeter plus de gaz CO2
											dans l'atmosphère, ce que je fais ici.
											Il existe un petit tableau de bord en bas
											de l'atmosphère, la pression et la température de notre planète.
											Dès que je commence à en envoyer dans l'atmosphère,
											nous allons commencer à augmenter les gaz à effet de serre,
											et vous allez vous apercevoir que l'on va commencer à voir le niveau des océans augmenter avec le temps.
											Et nos villes seront en danger, puisque la plupart sont des villes côtières.
											Vous voyez le niveau des océans augmenter et alors que ceux-ci engloutissent les villes,
											je vais commencer à perdre celles-ci.
											Donc je souhaite que les joueurs soient capables d'expérimenter et d'explorer
											un large spectre de catastrophes —Voilà une ville qui vient de disparaître.
											Au fil du temps la planète va continuer à se réchauffer.
											Au début, nous allons donc voir une montée globale des océans
											ici sur cette petite planète-jouet.
											Après quelques temps — Je peux accélérer un peu —
											nous allons aussi pouvoir nous apercevoir de l'effet de la chaleur.
											Non seulement la température va augmenter,
											mais à un certain moment tout deviendra si chaud que les océans vont entièrement s'évaporer.
											Donc au début ils vont monter, puis s'évaporer, et voilà ce que deviendra ma planète.
											Ce qu'on voit ici est peut-être
											les séquelles de cette ""Vérité qui Dérange"", en à peu près deux minutes.
											Cela nous amène à un point très intéressant à propos des jeux.
											Ici, l'océan en entier s'évapore de la surface,
											et comme la température continue d'augmenter, la planète va commencer à fondre entièrement.
											Et voilà.
									","
											Posso começar a bombear
mais dióxido de carbono para a atmosfera,
											que é o que estou a fazer.
											Podemos ver aqui em baixo
uma leitura da atmosfera
											da pressão e da temperatura do planeta.
											À medida que bombeio mais gases,
											aumento a quantidade de gases
com efeitos de estufa.
											Se virem com atenção, vão começar a ver
o nível do mar a subir ao longo do tempo.
											As cidades vão ficar em risco, porque
muitas delas são cidades costeiras.
											Vemos o nível do mar a subir,
e à medida que o mar invade a terra
											começamos a perder cidades.
											Sobretudo, quero que os jogadores 
tenham espaço de manobra para explorar
											e aprender com os seus fracassos.
											Uma cidade já se foi.
											Ao longo do tempo,
isto vai aquecer o planeta.
											Primeiro, vê-se só
um aumento global do nível do mar,
											neste planeta de brincar,
											mas depois 
— posso avançar um pouco o tempo —
											vamos também ter um impacto
ao nível da temperatura.
											Portanto, o planeta ficará tão quente,
											que os oceanos acabarão
por se evaporar completamente.
											Primeiro subirão, depois evaporar-se-ão,
e será o fim do meu planeta.
											O que estejamos a ver aqui
pode ser a sequela
											de ""Uma Verdade Inconveniente"",
em dois minutos.
											Isso levanta uma questão interessante
em relação aos jogos.
											Aqui, os nossos oceanos evaporaram-se
completamente da superfície e,
											com a temperatura sempre a subir, 
a dada altura, todo o planeta irá derreter.
											Aqui está.
									","
											Yapabileceklerimden biri, atmosfere daha fazla karbondioksit gazı
											vermek. İşte yapıyorum.
											Burada bir miktar gezegenimizin atmosferini,
											basıncını ve ısısını temsil eden grafikler var.
											Ardından daha fazla atmosfer veriyorum,
											buradaki sera gazını artırmaya başlayacağız ve
											belki fark etmeye başlamışsınızdır — zamanla okyanus seviyelerinin yükseldiğini göreceğiz.
											Şehirlerimiz de risk altında olacak, çünkü şehirlerin çoğu kıyıda.
											Görüyorsunuz, şu anda okyanus seviyeleri yükseliyor ve sular şehirlere girdikçe
											buradaki şehirleri kaybetmeye başlayacağım.
											İşin özünde, oyuncuların bol miktarda hata yapabilecekleri
											bir ortamı keşfedip deneyler yapmalarını istiyorum — işte bir şehir gitti.
											Bu olay zaman içinde gezegenin ısınmasına yol açacak.
											Dolayısıyla, bu küçük oyuncak gezegende ilk önce göreceğimiz şey
											küresel okyanus taşması.
											Ama zamanla — biraz hızlandırabilirim—
											olayın ısısal anlamdaki etkilerine de şahit olacağız.
											gezegen ısınmakla kalmayacak,
											bir noktada o kadar ısınacak ki, okyanuslar tamamen buharlaşacak.
											Yani ilk önce yükselecekler, sonra buharlaşacaklar ve o topraklar benim gezegenim olacak.
											Bütün bunlardan çıkarılabilecek sonuç, denilebilir ki,
											""An Inconvenient Truth""un [Uygunsuz Gerçek] iki dakikalık devamı gibi ve
											bu da oyunlarla ilgili önemli bir noktayı gözler önüne seriyor.
											İşte, tüm okyanuslarımız buharlaşıp yok oluyor ve
											ısı artmaya devam ettikçe, belli bir yerde bütün gezegen eriyip gidecek.
											İşte gidiyor.
									","
											Ich kann mehr CO2-Gase
											in die Atmosphäre pumpen, so wie jetzt.
											Es gibt eine kleine Anzeige hier unten
											für die Planeten-Atmosphäre, Luftdruck und Temperatur.
											Wenn ich also mehr in die Atmosphäre pumpe,
											werden die Treibhausgase steigen,
											und man sieht, wie der Meeresspiegel langsam steigt.
											Unsere Städte sind gefährdet, da viele von ihnen an der Küste liegen.
											Der Meeresspiegel steigt und bedroht die Städte.
											Ich werde Städte verlieren.
											Die Spieler sollen experimentieren und erforschen,
											es gibt Raum zum Scheitern - das war eine Stadt.
											Mit der Zeit wird sich der Planet erwärmen.
											Zuerst werden die Meeresspiegel steigen
											auf unserem Spielzeugplaneten.
											Aber dann - ich spule etwas vor -
											kann man auch die Auswirkungen der Hitze sehen.
											Es wird nicht nur heißer,
											sondern irgendwann wird es so heiß sein, dass die Ozeane verdampfen.
											Zuerst steigen sie an, dann verdampfen sie. Das wäre mein Planet.
											Hier entsteht also gerade
											die Fortsetzung zu ""Eine unbequeme Wahrheit"", in zwei Minuten.
											Das verdeutlicht einen interessanten Aspekt in Bezug auf Spiele.
											All unsere Ozeane verdampfen von der Oberfläche
											und da die Hitze ansteigt, wird irgendwann unser ganzer Planet schmelzen.
											Da passiert es.
									","
											Una cosa que puedo hacer es inyectar gases CO2
											en la atmósfera, y eso es lo que estoy haciendo.
											Hay una lectura aquí abajo
											de la atmósfera planetaria, presión y temperatura.
											Mientras inyecto más atmósfera,
											comenzaremos a meter gases de invernadero
											y comenzarán a notar — veremos el nivel de los océanos subir.
											Y nuestras ciudades estarán en peligro, muchas son ciudades costeras.
											Puedes ver los niveles oceánicos elevándose e invadiendo las ciudades,
											Comienzo a perder ciudades.
											Básicamente, quiero que los jugadores experimenten y exploren
											un enorme espacio de errores — allí va una ciudad.
											Con el tiempo, esto va a calentar el planeta.
											Al principio veremos una elevación global del océano
											en nuestro planeta de juguete,
											pero con el tiempo — puedo acelerarlo un poco —
											veremos el impacto calórico también.
											No sólo se hará más caliente,
											se hará tan caliente que los océanos se evaporarán.
											Primero subirán, y luego se evaporarán, y ese será mi planeta.
											Básicamente, lo que tenemos es tal vez
											la secuela de ""Una Verdad Inconveniente,"" en dos minutos,
											y eso nos lleva a un punto interesante sobre los juegos.
											Aquí, océanos enteros se evaporan de la superficie,
											y si se calienta más, en algún momento el planeta se derretirá.
											Aquí va.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
