en,de,tr,pt,title,speaker,duration,tags
"
											I've got this vision.
											It sounds audacious,
but let's just stick it out there,
											that one day maybe we can
rise up above a beach,
											fly up and down the coastline
of it, rise up a bit higher,
											with some of the safety kit
we're working on to make this achievable.
											Then over the horizon comes
a Hercules with the ramp down.
											As it comes past,
you start picking up speed
											and see if we can intercept —
											from the rear, not the front,
that would be a mistake —
											and then try and land in the back.
											And as I say, that's a little
way off at the moment.
									","
											Ich habe eine Vision.
											Sie scheint waghalsig,
aber lassen Sie uns herausstellen,
											dass wir einmal
am Strand aufsteigen könnten,
											die Küste entlangfliegen könnten,
höher steigen könnten,
											mit dem Sicherheitspaket,
das wir hierfür entwickeln.
											Dann taucht am Horizont ein Hercules
mit ausgefahrener Gangway auf.
											Als er vorbeikommt, beschleunigen Sie,
um ihn abzufangen —
											von hinten, nicht von vorne, 
das wäre ein Fehler —
											und dann hinten zu landen.
											Das ist gerade noch etwas unrealistisch.
									","
											Benim bir vizyonum var.
											Çok cürretkâr duyuluyor olabilir,
ama söylemekte zarar yok:
											Bir gün bir deniz kenarından kalkıp
											kıyı şeriti boyunca uçarak
ve biraz yükselerek —
											bunun için bir güvenlik kiti
geliştirmeye çalışıyoruz —
											sonra ufuk çizgisinde rampası açık
bir (C-130) Hercules uçağı belirecek.
											Size yaklaştıkça, siz hızlanacaksınız
											ve eğer kesişebilirsek —
											bu arkadan olmalı, 
önden olması bir hata olurdu —
											ve arkasına konmaya çalışmak.
											Dediğim gibi bu şu anda
çok uzak bir ihtimal.
									","
											Eu tenho esta visão.
											Parece audaciosa, mas vamos pensar
											que um dia, quem sabe,
poderemos sobrevoar uma praia,
											voar ao longo da costa,
subir um pouco mais,
											com o equipamento de segurança que estamos
a modificar para tornar isto possível.
											E depois, do horizonte,
vem um avião Hércules com a rampa aberta.
											Ao passar por nós, ganhamos velocidade
e vemos se o conseguimos interceptar
											— por trás, não pela frente,
isso seria um erro —
											e depois, tentar aterrar na parte de trás.
											Como eu disse, ainda estamos 
um pouco longe.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											But this is also, if I take
a big step back from this,
											this is also a very
personal journey for me.
											Back to that lovely photo,
											or photo in a picture.
											Sadly, my father took
his own life when I was 15,
											and left an awful lot
of unfulfilled ambition.
											He was a wonderful inventor,
											a maverick creator.
											And I'd just like to think,
if it was possible,
											if he was looking down,
											he would be —
											he'd certainly be smiling at some
of the things we've done here,
											I think.
											So, it's a tribute to him.
									","
											Aber wenn ich davon
einen großen Schritt zurückgehe,
											ist das auch eine sehr 
persönliche Reise für mich.
											Zurück zu dem schönen Foto,
											oder Foto in einem Bild.
											Leider nahm sich mein Vater 
das Leben als ich 15 war,
											und hinterließ furchtbar viel
unerfüllten Ehrgeiz.
											Er war ein wundervoller Erfinder,
ein Querdenker und Schöpfer.
											Und ich möchte denken,
wenn das möglich wäre,
											wenn er heruntersehen würde, würde er —
											er würde schmunzeln über einiges,
was wir hier gemacht haben.
											Es ist eine Ehrung für ihn.
									","
											Ama bütün bunlardan bir 
geri adım atacak olursak,
											bu aslında benim için çok
özel olan bir yolculuk.
											O güzel fotoğrafa dönelim
											ya da o resmin içindeki fotoğrafa.
											Ne yazık ki babam hayatına
daha ben 15 yaşındayken son verdi
											ve geriye bir sürü
neticelenmemiş hayal bıraktı.
											O müthiş bir mucitti,
											başına buyruk bir yaratıcı.
											Ve bu şayet mümkünse,

											eğer bana yukarıdan bakıyorsa,
											bizlerin yapmaya çalıştığı bazı şeylere 
bakıp gülümsediğini düşünüyorum.
											Yani tüm bunlar aslında onun anısına.
									","
											Mas também, vendo bem à distância,
											esta é também uma viagem
muito pessoal para mim.
											De volta àquela bela fotografia,
											ou foto no desenho.
											Infelizmente, o meu pai suicidou-se 
quando eu tinha 15 anos
											e deixou muitas ambições 
por alcançar.
											Ele era um inventor brilhante,
											um extraordinário criador.
											E eu gostava de pensar que,
se fosse possível,
											se ele estivesse a olhar cá para baixo,
											penso que ele estaria a sorrir
perante algumas das coisas que alcançámos.
											Então, isto é um tributo para ele.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											Thank you very much.
									","
											Vielen Dank.
									","
											Teşekkür ederim.
									","
											Muito obrigado.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											(Applause)
									","
											(Applaus)
									","
											(Alkışlar)
									","
											(Aplausos)
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											(Voice-over) Richard Browning:
I'm probably more nervous
											about doing the demo after this.
											I've got a lot of things
to get done today.
											Worst-case scenario,
we don't get a clean start.
									","
											(Off-Ton) Richard Browning:
Jetzt bin ich wohl nervöser
											wegen der Demo im Anschluss.
											Ich muss heute viel erledigen.
											Schlimmstenfalls
ist der Start nicht sauber.
									","
											(Seslendirme) Richard Browning:
Bunun ardından gösterimimi yapmaktan
											dolayı biraz sinirliyim.
											Bugün yapmam gereken çok şey var.
											En kötü senaryo, temiz bir
başlangıç yapmayacağımız
									","
											(Voice over) Richard Browning:
Eu estou provavelmente mais nervoso
											em fazer a demonstração depois disto.
											Tenho muito que fazer hoje.
											O pior cenário é não termos um bom
começo hoje.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											Or we get an unplanned failure
while I'm actually flying around.
											This is why we keep it very low,
											so the worst is I just look like an idiot
and fall on my rear, as I said.
											So you can all enjoy that if that happens.
									","
											Oder irgendetwas versagt,
während ich herumfliege.
											Daher halten wir es sehr niedrig,
											sodass ich schlimmstenfalls
wie ein Idiot auf den Hintern falle.
											Dann haben Sie Ihren Spaß.
									","
											veya havada uçarken 
beklenmedik bir hata olabilir.
											Bu yüzden alçak tutacağız,
											yani en kötüsü arka üstü düştüğümde
sadece aptal gibi görünmüş olacağım.
											Bu olursa hepiniz eğlenebilirsiniz.
									","
											Ou termos uma falha imprevista
enquanto eu estiver a voar.
											Essa é a razão pela qual voamos baixo:
o pior que pode acontecer
											é eu cair e fazer má figura.
											Portanto, podem todos apreciar se
isso acontecer.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											(Music)
									","
											(Musik)
									","
											(Müzik)
									","
											(Música)
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											(Jet engine accelerates)
									","
											(Düsenmaschine beschleunigt)
									","
											(Jet motoru hızlanır)
									","
											(Aceleração do Motor)
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											(Cheers)
									","
											(Jubel)
									","
											(Tezahüratlar)
									","
											(Aplausos)
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
