en,es,pt,de,fr,tr,title,speaker,duration,tags
"
											But solid —
											maybe later.
									","
											Pero sólido,
											quizás después.
									","
											Mas sólido? Mais daqui a bocado.
									","
											Aber fest —
											später vielleicht.
									","
											Mais solide...
											peut-être plus tard.
									","
											Ama atık katıysa
											belki sonra.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Laughter)
											Since our outer sphincter and the brain
is connected with nervous cells,
											they coordinate, cooperate,
											and they put it back in a waiting line —
									","
											(Risas)
											Ya que el esfínter externo y el cerebro
están conectados con células nerviosas,
											se coordinan, cooperan
											y lo ponen nuevamente 
en una línea de espera.
									","
											(Risos)
											Como o esfíncter externo e o cérebro
estão ligados com células nervosas,
											coordenam-se, cooperam,
											e fazem-no recuar, numa linha de espera...
									","
											(Gelächter)
											Da der äußere Schließmuskel und das 
Gehirn durch Nervenzellen verbunden sind,
											koordinieren sie sich, kooperieren,
											und stellen ihn zurück
in die Warteschleife —
									","
											(Rires)
											Puisque ce sphincter et notre cerveau
sont connectés par des cellules nerveuses,
											ils s'organisent, coopèrent,
											et remettent l'acte
dans la file d'attente,
									","
											(Gülüşmeler)
											Dış büzgeçiniz ve beyniniz
sinir hücreleriyle
											bağlantılı olduğundan
aralarında iş birliği yaparlar
											ve atığı tekrar bekleme sırasına alırlar.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											for other times,
											like, for example, when we're at home
sitting on the couch,
											we have nothing better to do,
											we are free to go.
									","
											En otras ocasiones,
											como, por ejemplo, cuando 
estamos en casa sentados en el sofá,
											y no tenemos nada mejor que hacer,
											somos libres de dejarnos ir.
									","
											para outra altura,
											como, por exemplo, quando
estivermos em casa,
											sentados no sofá,
sem nada melhor para fazer,
											temos tempo para isso.
									","
											für ein andermal,
											zum Beispiel wenn wir zu Hause 
auf der Couch sitzen
											und nichts Besseres zu tun haben,
											können wir loslegen.
									","
											pour plus tard,
											comme par exemple quand on est
à la maison sur le canapé,
											qu'on n'a rien de mieux à faire,
											et qu'on est libre d'y aller.
									","
											Diğer zamanlarda ise,
											mesela evde kanepenizde oturuyorsanız,
											yapacak daha iyi bir işiniz yoksa
											tuvalete gidersiniz.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											Us humans are actually one
of the very few animals that do this
											in such an advanced and clean way.
											To be honest, I had some newfound respect
											for that nice, inner sphincter dude —
											not connected to nerves
											that care too much about
the outer world or the time —
											just caring about me for once.
											I thought that was nice.
											And I used to not be a great fan
of public restrooms,
											but now I can go anywhere,
											because I consider it more
											when that inner muscle puts a suggestion
on my daily agenda.
									","
											Los humanos somos en realidad uno 
de los pocos animales que hacen esto
											de una manera tan avanzada y limpia.
											Para ser sincera, tengo un 
poco de respeto recién descubierto
											por ese tipo agradable 
del esfínter interno,
											que no está conectado a los nervios,
											que no se preocupa tanto por
el mundo exterior o el tiempo,
											sino que solo se preocupa por mí.
											Pensé que era lindo.
											Y no solía ser una gran aficionada 
de los baños públicos,
											pero ahora puedo ir a cualquier parte,
											porque lo pienso más,
											cuando ese músculo interno
me sugiere en mi agenda diaria.
									","
											Os seres humanos são dos poucos
animais que fazem isto
											de forma evoluída e higiénica.
											Para ser franca, senti um novo respeito
											por esse simpático esfíncter interior
											— que não está ligado a nervos
											que se preocupam demasiado
com o mundo exterior ou com a hora —
											que se preocupam apenas comigo,
para variar.
											Achei que era simpático.
											Eu não era grande apreciadora
de casas de banho públicas
											mas agora vou a qualquer lado,
											porque penso melhor
											quando esse músculo interno
me dá uma sugestão na minha agenda.
									","
											Wir Menschen sind eines
der sehr wenigen Tiere,
											die das auf eine so fortschrittliche 
und saubere Art machen.
											Um ehrlich zu sein hatte ich 
ein wenig neuen Respekt
											für den netten Kumpel, 
dem inneren Schließmuskel übrig —
											unverbunden mit Nerven,
											die sich zu sehr um die Außenwelt 
oder die Zeit kümmern —
											und sich ausnahmsweise
nur um mich kümmern.
											Ich dachte, das war nett.
											Ich war eigentlich kein großer 
Fan öffentlicher Toiletten,
											aber jetzt kann ich überall hingehen,
											weil ich es besser abwäge,
											wenn der innere Muskel einen Vorschlag
auf meinem Tagesplan macht.
									","
											Nous les humains sommes en fait
un des rares animaux à faire ça
											d'une manière si propre et avancée.
											Pour être honnête, j'ai appris à respecter
											ce chouette petit sphincter interne,
											pas connecté aux nerfs,
											qui se soucient trop du monde
extérieur ou du moment,
											juste concentré sur moi, pour une fois.
											J'ai pensé que c'était chouette.
											Je n'étais pas une grande fan 
des toilettes publiques,
											mais maintenant je vais n'importe où,
											parce que j'écoute
											quand ce muscle interne me fait des 
suggestions dans mon agenda quotidien.
									","
											Aslında biz insanlar bunu bu kadar
gelişmiş ve temiz olarak yapabilen
											ender hayvanlardanız.
											Dürüst olmak gerekirse
											bu yeni bilinen iç büzgeç arkadaşa 
saygı duyuyorum,
											sinirlerle bağlantılı değil,
											dış dünya ya da zaman 
hiç umurunda değil,
											sadece beni önemsiyor.
											Bu çok hoşuma gitti.
											Eskiden umumi tuvaletlerden
pek hoşlanmazdım
											ama artık her yerde gidebiliyorum
											çünkü bu iç kasımın bana ne dediğine
											daha çok dikkat ediyorum.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Gülüşmeler)
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											And also I learned
something else, which was:
											looking closely at something
I might have shied away from —
											maybe the weirdest part of myself —
											left me feeling more fearless,
											and also appreciating myself more.
											And I think this happens a lot of times
											when you look at the gut, actually.
											Like those funny rumbling
noises that happen
											when you're in a group of friends
											or at the office conference table,
											going, like, ""Merrr, merrr...""
											This is not because we're hungry.
											This is because our small intestine
is actually a huge neat freak,
											and it takes the time in between digestion
to clean everything up,
											resulting in those eight meters
of gut — really, seven of them —
											being very clean
and hardly smelling like anything.
											It will, to achieve this,
create a strong muscular wave
											that moves everything forward
that's been leftover after digestion.
											This can sometimes create a sound,
											but doesn't necessarily have to always.
											So what we're embarrassed of
is really a sign
											of something keeping
our insides fine and tidy.
									","
											Y también aprendí algo más:
											observar de cerca algo
de lo que podría haber huido,
											tal vez la parte más extraña de mí,
											me hace sentir más valiente,
											también me aprecio más.
											Y creo que esto sucede muchas veces
											cuando de veras miras el intestino.
											Como esos divertidos
ruidos que suceden
											cuando estas con un grupo de amigos
											o en la mesa 
de conferencias de la oficina,
											haciendo ""burg, burg..."".
											Esto no es porque tengamos hambre,
											sino porque el intestino delgado es 
un gran fanático de la limpieza,
											y se toma un tiempo después 
de la digestión para limpiar todo,
											dejando esos ocho metros de intestino, 
bueno, siete en realidad,
											realmente limpios y sin ningún olor.
											Para lograrlo, creará 
una fuerte onda muscular
											que moverá todo lo que 
ha quedado después de la digestión.
											Esto a veces crea sonidos,
											pero no siempre.
											Y, lo que nos avergüenza, 
es, en realidad,
											una señal de algo que mantiene nuestros
intestinos sanos y limpios.
									","
											Também aprendi uma outra coisa:
											a observação mais de perto
de uma coisa que me embaraçava
											— talvez a parte mais estranha
de mim mesma —
											faz-me sentir menos medrosa
											e também faz com que tenha
mais apreço por mim mesma.
											Penso que isto acontece muitas vezes
											quando olhamos para o intestino.
											É como aqueles cómicos ruídos
retumbantes que ocorrem
											quando estamos num grupo de amigos
											ou numa conferência no escritório,
											a fazer, ""Merrr, merr..."".
											Não é porque tenhamos fome.
											É porque o nosso intestino delgado
é muito caprichoso
											e leva tempo, entre as digestões,
a limpar tudo bem limpo,
											o que resulta em que estes oito metros
de intestino — ou melhor, só sete metros —
											fiquem muito limpos
e não tenham qualquer cheiro.
											Para o conseguir, ele vai criar
uma forte onda muscular
											que empurra tudo o que
sobrou depois da digestão.
											Isso, por vezes, pode criar um som,
											mas nem sempre, obrigatoriamente.
											Assim, o que nos envergonha
não passa de um sinal

											duma coisa que mantém as nossas entranhas
em bom estado e limpas.
									","
											Und ich lernte auch noch 
etwas anderes, nämlich:
											Etwas näher zu betrachten, 
was mich abgeschreckt hätte —
											vielleicht der schrägste Teil von mir —
											ließ mich furchtloser sein,
											und mich selbst mehr schätzen.
											Ich denke, das passiert
in der Tat sehr oft,
											wenn man sich den Darm anschaut.
											Wie diese lustigen Brummgeräusche
											inmitten einer Gruppe von Freunden
											oder im Büro am Konferenztisch,
											die sich so anhören wie ""Merr, merr...""
											Das passiert nicht, weil wir hungrig sind,
											sondern weil unser Dünndarm 
einen Putzfimmel hat
											und der Zeitraum zwischen der Verdauung 
gebraucht wird, um alles aufzuräumen.
											Das Ergebnis davon sind diese 
acht Meter Darm — eigentlich sieben —,
											die sehr sauber sind 
und fast nach nichts riechen.
											Um das zu erreichen stellt er 
eine starke muskuläre Welle her,
											die alles nach vorne bewegt, 
was nach der Verdauung noch übrig ist.
											Das kann manchmal ein Geräusch geben,
											muss aber nicht unbedingt immer so sein.
											Was uns peinlich ist, 
ist eigentlich ein Zeichen
											für etwas, was unser Inneres 
schön sauber hält.
									","
											Et j'ai aussi appris autre chose :
											en regardant attentivement cette chose,
que j'aurais pu ignorer par gêne,
											peut-être la partie la plus bizarre 
de moi-même,
											m'a rendue plus intrépide,
											et m'a permis de mieux m'apprécier.
											Je pense que ça arrive souvent en fait
											quand vous observez l'appareil intestinal.
											Comme ces drôles de gargouillements
que vous entendez
											quand vous êtes avec des amis
											ou à une table de réunion au travail
											et que ça fait « greuuu, greuuu.... »
											Ce n'est pas dû à la faim.
											C'est parce que notre intestin grêle
est un dingue de la propreté,
											et il utilise le temps pendant 
la digestion pour tout récurer,
											ce qui a donc pour résultat huit
mètres d'intestins, disons sept,
											très propres et 
quasiment inodores.
											À cette fin, il va créer une vague
musculaire très forte
											qui pousse en avant tout ce qui
a été laissé de côté après la digestion.
											Cela peut parfois faire un bruit,
											mais pas nécessairement.
											Ce dont nous sommes gênés 
est donc en fait le signe
											de quelque chose qui garde 
nos entrailles propres et en bon état.
									","
											o zaman öğrendiğim başka bir şey daha var;
											uzun zaman yüzleşmekten çekindiğim
											kendimin belki de en tuhaf parçası olan
											bir şeye daha yakından bakmak
beni daha korkusuz
											ve kendime daha çok 
değer verir hale getirdi.
											Bağırsaklar söz konusu olunca
											bu çokça karşılaştığımız bir şey bence.
											Mesela bir arkadaş grubuylayken
											ya da ofiste konferans masasındayken
											""gırrr, gurr"" diye komik sesler
											gelir bağırsaklarınızdan.
											Aç olduğunuzdan değildir bunlar.
											İnce bağırsaklarınız 
titizlik hastası olduğundan
											ve sindirimden sonra temizlik 
zaman aldığındandır.
											Bağırsakların sekiz metresi 
-yedisi tam olmak üzere-
											çok temizdir ve hiç de koku yoktur.
											Bu temizliği sağlamak için
çok güçlü kas hareketleri yapar
											ve sindirimden kalan bütün 
artıkları ileri doğru iter.
											Her zaman olmasa da
											bu işlem bazen ses yapar.
											Yani bizim utandığımız şey
											aslında içimizin temiz 
ve düzenli olma işaretidir.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											Or this weird, crooked shape
of our stomach —
											a bit Quasimodo-ish.
											This actually makes us be able
to put pressure on our belly
											without vomiting,
											like when we're laughing
											and when we're doing sports,
											because the pressure will go up
and not so much sideways.
											This also creates this air bubble
											that's usually always very visible
in X-rays, for example,
											and can sometimes, with some people,
											when it gets too big,
											create discomfort
or even some sensations of pain.
											But for most of the people,
is just results
											that it's far easier to burp
when you're laying on your left side
											instead of your right.
									","
											O esta forma extraña y torcida 
de nuestro estómago,
											un tanto encorvada.
											Esto realmente nos permite 
ejercer presión sobre nuestro estómago
											sin vomitar,
											como cuando reímos
											y cuando hacemos ejercicio,
											porque la presión subirá 
y no se irá tanto hacia los lados.
											Esto también crea esta burbuja de aire
											que siempre suele ser muy visible 
en los rayos X, por ejemplo,
											y puede algunas veces, 
en algunas personas,
											cuando se vuelve demasiado grande,
											creando incomodidad 
o incluso sensaciones de dolor.
											Pero a la mayoría de las personas,
les parece que
											es más fácil eructar
estando acostadas sobre su lado izquierdo
											y no sobre su lado derecho.
									","
											Ou esta forma esquisita, retorcida,
do nosso estômago
											— tipo Quasimodo —
											permite-nos fazer pressão na barriga
sem vomitarmos,
											como quando estamos a rir
ou a fazer desporto,
											porque a pressão é exercida para cima
e não tanto para os lados.
											Isso cria uma bolha de ar
											que normalmente é bem visível
nos raios X, por exemplo
											e que, por vezes, nalgumas pessoas,
											se se torna muito grande,
											pode criar desconforto
ou mesmo uma sensação de dor.
											Mas, para a maioria das pessoas
											apenas torna muito mais fácil arrotar

											quando estamos deitados
para o lado esquerdo em vez do direito.
									","
											Oder diese komische, 
gewundene Form unseres Magens —
											ein bisschen Quasimodo-ähnlich.
											Das macht es uns möglich, 
Gewicht auf unseren Bauch zu verlagern,
											ohne uns zu übergeben,
											zum Beispiel beim Lachen
											und wenn wir Sport treiben,
											denn der Druck geht nach oben 
und nicht so sehr seitwärts.
											Das schafft beispielsweise 
diese Luftblase,
											die meist sehr gut 
im Röntgenbild sichtbar ist
											und manchmal, bei manchen Menschen,
											wenn sie zu groß wird,
											unangehm werden oder sogar 
Schmerzempfinden hervorrufen kann.
											Aber für die meisten Menschen ist es so,
											dass es sich leichter rülpst,
wenn man auf der linken Seite liegt
											anstatt auf der rechten.
									","
											Il y a aussi cette forme tordue 
bizarre de notre estomac,
											un peu dans le style Quasimodo.
											Cela permet en fait à notre
ventre de supporter la pression
											sans vomir,
											comme quand on rigole
											ou qu'on fait du sport
											parce que la pression s'élève 
et ne se déplace pas latéralement.
											Cela crée aussi cette bulle d'air
											très bien visible aux rayons X par exemple
											et qui parfois, chez des personnes,
											lorsqu'elle gonfle trop,
											peut créer une sensation d'inconfort
ou même de douleur.
											Mais la plupart des gens
constatent simplement
											qu'il est plus facile de roter
allongé sur le côté gauche
											que sur le côté droit.
									","
											Bir de midemizin eğri büğrü yapısı var,
											biraz Quasimodo'ya benziyor.
											Bu da aslında midemize
											basınç uygulayabilmemizi sağlıyor.
											Bu sayede gülerken ya da spor yaparken
											kusmuyoruz çünkü bu şekil,
											dikine değil yanlara doğru 
basınç sağlıyor.
											Bu ayrıca bir hava balonu oluşturur.
											X-ray'lerde her zaman görünür olan
											ve bazen bazı insanlar için
											bu hava balonu çok büyürse
											huzursuzluk hatta acıya yol açabilir.
											Ama çoğu insan için bu sadece
											sol tarafa yattığınızda
											daha kolay geğirmenizi sağlar.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											And soon I moved a bit further
											and started to look at the whole picture
of our body and health.
											This was actually after I had heard
											that someone I knew a little bit
had killed himself.
											It happened that I had been sitting
next to that person the day before,
											and I smelled that he had very bad breath.
											And when I learned
of the suicide the next day,
											I thought: Could the gut have
something to do with it?
											And I frantically started searching
if there were scientific papers
											on the connection of gut and brain.
											And to my surprise, I found many.
									","
											Y pronto avancé
											y comencé a tener una visión 
completa de nuestro cuerpo y salud.
											Esto fue tras escuchar
											que alguien que yo medio conocía 
se había suicidado.
											Yo había estado sentada
al lado de esa persona un día antes
											y me di cuenta que tenía mal aliento.
											Y cuando supe del 
suicidio al día siguiente,
											pensé: ""¿Pudieron sus intestinos 
haber tenido algo que ver con eso?
											Y empecé frenéticamente a buscar 
si había artículos científicos
											sobre la conexión 
entre el intestino y el cerebro.
											Y para mi sorpresa, encontré muchos.
									","
											Depressa avancei um pouco mais
											e comecei a observar o conjunto
do nosso corpo e da saúde.
											Isso aconteceu depois
de eu ter ouvido dizer
											que uma pessoa que eu conhecia
se tinha suicidado.
											Acontecera que eu tinha estado
sentada ao lado dela, no dia anterior
											e percebera que ela tinha
um hálito muito mau.
											Quando soube do suicídio,
no dia seguinte, pensei:
											""Será que os intestinos
tiveram a ver com isso?""
											Comecei a investigar freneticamente
se havia artigos científicos
											sobre a ligação
dos intestinos com o cérebro.
											Para minha surpresa, encontrei muitos.
									","
											Bald schon ging ich ein bisschen weiter
											und fing an, das Gesamtbild von Körper 
und Gesundheit anzuschauen.
											Das geschah, nachdem ich gehört hatte,
											dass jemand, den ich flüchtig kannte,
sich umgebracht hatte.
											Es war so, dass ich am Tag davor 
neben dieser Person gesessen hatte
											und ich bemerkte, dass er 
starken Mundgeruch hatte.
											Als ich tags darauf 
von dem Selbstmord erfuhr,
											dachte ich: Kann der Darm 
etwas damit zu tun haben?
											Ich suchte wie wild nach 
wissenschaftlichen Arbeiten
											über die Verbindung von Darm und Gehirn.
											Zu meiner Überraschung fand ich viele.
									","
											Et bientôt j'ai avancé
											et j'ai commencé à regarder notre
corps et sa santé dans son ensemble.
											C'était en fait après avoir appris
											que quelqu'un que je connaissais
un peu s'était suicidé.
											Il s'avère que j'étais assise 
à côté de lui la veille,
											et j'avais senti qu'il avait 
très mauvaise haleine.
											Et quand j'ai appris son
suicide le lendemain,
											J'ai pensé : « Y a-t-il un lien 
avec les intestins ? »
											J'ai commencé à chercher 
frénétiquement des articles scientifiques
											sur le lien entre cerveau et intestins.
											À ma grande surprise,
j'en ai trouvé beaucoup.
									","
											Çok geçmeden daha ileri gidip
											bedenimiz ve sağlığımız ile ilgili 
büyük resme bakmaya başladım.
											Az da olsa tanığım birinin
											kendini öldürdüğünü öğrenmiştim.
											Olaydan bir gün önce adamın
yanında oturuyordum
											ve nefesi kötü kokuyordu.
											Ertesi gün intihar ettiğini öğrendiğimde
											şöyle düşündüm: Bu olayın
bağırsaklarla bir ilgisi olabilir mi?
											Bağırsaklar ve beyin ilişkisi
hakkında yazılmış
											bilimsel yayınları araştırmaya başladım.
											Şaşırtıcı biçimde çok 
yayın vardı bu konuda.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
											It turns out it's maybe not as simple
as we sometimes think.
											We tend to think our brain
makes these commands
											and then sends them down
to the other organs,
											and they all have to listen.
											But really, it's more that 10 percent
of the nerves that connect brain and gut
											deliver information
from the brain to the gut.
											We know this, for example,
in stressful situations,
											when there are transmitters from the brain
that are being sensed by our gut,
											so the gut will try to lower all the work,
											and not be working
and taking away blood and energy
											to save energy for problem-solving.
											This can go as far as nervous vomiting
or nervous diarrhea
											to get rid of food that it then
doesn't want to digest.
									","
											Sucede que no es tan simple
como a veces creemos.
											Y solemos creer que nuestro
cerebro da estas ordenes.
											Y luego las envía a los
otros órganos,
											y todos tienen que obedecer.
											Pero, en realidad, el 10 % de los nervios 
que conectan el cerebro y el intestino
											envían información 
del cerebro al intestino.
											Y sabemos esto porque, por ejemplo, 
en situaciones estresantes,
											cuando hay transmisores del cerebro 
detectados por nuestro intestino,
											nuestro intestino disminuye el trabajo,
											y no trabaja ni usa sangre y energía
											para ahorrar energía y 
así resolver el problema.
											Esto puede crear vómitos nerviosos 
o diarrea nerviosa
											para eliminar la comida
que no quiere procesar.
									","
											Acontece que talvez não seja
tão simples como pensamos.
											Temos a tendência a pensar
que o cérebro dá as ordens
											e depois envia-as para os outros órgãos
que têm que as cumprir.
											Mas são antes uns 10% dos nervos
que ligam o cérebro ao intestino
											que transmitem as informações
do cérebro para os intestinos.
											Sabemos isso, por exemplo,
em situações de ""stress""
											em que há transmissores do cérebro
que o intestino recebe
											e que o leva a tentar reduzir
todo o trabalho
											deixar de trabalhar
para não consumir sangue e energia
											para poupar a energia
para a resolução do problema.
											Isto pode chegar ao ponto
de vómitos ou diarreia nervosa
											para nos livrarmos de alimentos
que os intestinos não querem digerir.
									","
											Es ist vielleicht nicht so einfach, 
wie wir manchmal denken.
											Wir glauben, dass 
unser Gehirn Befehle gibt
											und sie zu den anderen Organen schickt,
											die alle zuhören müssen.
											Aber mehr als 10 % der Nerven, 
die Gehirn und Darm verbinden,
											liefern Informationen vom Gehirn zum Darm.
											Wir kennen das zum Beispiel 
aus stressigen Situationen,
											wenn Transmitter aus dem Gehirn 
von unserem Darm wahrgenommen werden
											und der Darm daraufhin versucht, 
seine Arbeit herunterzufahren,
											um nicht all das Blut 
und die Energie wegzunehmen,
											um Energie zum Lösen 
von Problemen aufzusparen.
											Das kann bis zu nervösem 
Erbrechen oder Durchfall führen,
											um Essen loszuwerden, 
das er dann nicht verdauen will.
									","
											Tout ça n'est peut-être pas
aussi simple que nous le pensons.
											Nous pensons souvent
que notre cerveau décide
											et informe ensuite les autres organes,
											qui doivent tous lui obéir.
											Mais en fait, seuls 10% des nerfs 
qui relient le cerveau et les intestins
											transfèrent les informations
du cerveau aux intestins.
											On le voit par exemple
dans des situations de stress,
											quand les messages du cerveau
sont perçus par les intestins,
											et que les intestins 
ralentissent la cadence,
											et ne travaillent pas pour ne pas
utiliser du sang et de l'énergie
											afin de consacrer celle-ci
à la résolution des problèmes.
											Cela peut aller jusqu'aux diarrhées
ou vomissements nerveux
											pour se débarrasser 
d'une nourriture sans la digérer.
									","
											Meğer bizim düşündüğümüz kadar 
basit değilmiş bu iş.
											Beynimizin emirler verdiğini
											ve emirlerin diğer organlara iletildiğini
											onlarında itaat ettiğini düşünürüz.
											Aslında beyin bağırsak arası sinirlerin 

											sadece yüzde 10 civarı
beynimizden bağırsaklara bilgi taşıyor.
											Mesela biliyoruz ki
stresli zamanlarda
											beyinden gelen sinyaller
bağırsaklarımız tarafından algılanır
											kan ve enerji kaybını önlemek için

											bağırsaklar çalışmayı yavaşlatır
ve sindirim durur,
											bu sayede enerji o anki problemi 
çözmeye ayrılır.
											Bu durum sindirim olmadığından 
kurtulunması gereken gıdaların
											sinirsel kusma veya sinirsel ishal
ile atılmasına yol açabiliyor.
									",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
"
","
","
","
","
","
",The surprisingly charming science of your gut,Giulia Enders,14:03,"bacteria,health,human body,medical research,medicine,TEDx,science"
