fr,de,es,title,speaker,duration,tags
"
											Mais maintenant, nous allons faire la connaissance de — dehors, dehors!
											Dehors!
											Non.
											Dehors!
											(Applaudissement)
											Ce que je ne vous ai pas montré — tu balances cette chose alors?
											Eh bien, et vous êtes contents que je ne vous aie pas montré ça.
											Autre chose à propos du merveilleux design du chameau
											est que son pénis pointe vers l'arrière.
											De cette façon le chameau peut tremper sa queue dans le courant,
											et simplement balayer toute la zone autour de lui.
											Et c'est comme ça qu'il marque vraiment son territoire.
											Maintenant, ce que vous n'avez pas vu non plus c'était ça —
											et vous avez peut-être remarqué dans l'enclos à côté de lui —
											et — au fait — le nom du chameau c'est Suki.
											Dans l'enclos à côté de lui, c'est Jasmine.
											Jasmine est sa compagne depuis un certain temps.
											Mais à cette occasion particulière, c'était très, très clair
											que pour aussi excité qu'était Suki, Jasmine n'en voulait pas.
											Et donc nous nous sommes mis à réfléchir.
											Eh bien, si ce pauvre vieux Suki cherche une compagne,
											que ferait Suki pour trouver la compagne parfaite?
									","
											Aber jetzt werden wir –– raus! Raus!
											Raus!
											Nein.
											Raus!
											(Applaus)
											KB: Ich hab Ihnen eins nicht gezeigt – Sie sahen doch seine kreisenden Bewegungen?
											Na ja, Sie können froh sein, dass ich es Ihnen nicht gezeigt habe.
											Eines der anderen Dinge an dem ausgefeilten Design eines Kamels
											ist dass sein Penis nach hinten zeigt.
											So kann das Kamel einfach seinen Schwanz in den Fluss stecken
											und die ganze Gegend um ihn herum mit einer Salve eindecken.
											Und so markiert er tatsächlich sein Revier.
											Sie haben auch eins nicht gesehen.
											Vielleicht haben Sie ja im Gehege neben ihm –
											übrigens, der Kamelbulle heißt Suki.
											Im Gehege neben ihm steht Jasmine.
											Jasmine ist schon eine zeitlang seine Partnerin.
											Aber dieses eine Mal zeichnete sich schon ab,
											dass, so sehr Suki auch der Sinn danach stand, Jasmine überhaupt keine Lust auf ihn hatte.
											Also begannen wir zu überlegen.
											Wenn der arme alte Suki einen Partner sucht,
											was würde Suki tun, um ihn zu finden?
									","
											Pero ahora vamos a conocer... ¡Fuera! ¡Fuera!
											¡Fuera!
											No.
											¡Fuera!
											(Aplausos)
											Lo que no les mostré fue... ¿entendieron esa cosa que giraba?
											Bueno, y estarán contentos que no les mostré esto.
											Una de las otras cosas del bellísimo diseño del camello
											es que su pene apunta hacia atrás.
											Así el camello puede sumergir su cola en la corriente,
											y simplemente esparcir toda el área alrededor suyo.
											Y es así como realmente marca su territorio.
											Ahora, lo otro que tampoco vieron fue...
											y se habrán podido dar cuenta que en el establo al costado de él...
											a propósito, el nombre del camello es Suki.
											En el establo de al lado está Jasmine.
											Jasmine ha sido su hembra por algún tiempo.
											Pero en ésta ocasión particular, fue muy, pero muy claro,
											mientras más caliente estaba Suki, Jasmine totalmente al contrario.
											Y entonces empezamos a pensar.
											Bueno, si el pobre viejo de Suki está en la búsqueda de su pareja,
											¿qué podría hacer Suki para encontrar su pareja perfecta?
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											Alors je vais vous montrer un autre film.
											Mais avant ça, je veux juste signaler que
											cet animal est vraiment un genre de SUV des sables;
											le vaisseau du désert. Il est si essentiel aux habitants des endroits
											où on trouve des chameaux — essentiellement en Mongolie et au Sahara —
											qu'il y a 160 mots en arabe pour décrire le chameau.
											Et si cette créature a été conçue par un comité,
											ce n'est certainement pas comme aucun comité auquel j'ai participé.
											Alors voici ce que Suki ferait pour chercher une compagne.
											Vous pouvez envoyer le film, s'il vous plait?
									","
											Ich zeige Ihnen also noch einen anderen Film.
											Aber davor möchte ich noch einmal erwähnen,
											dass dieses Tier wahrhaftig der Jeep des Sandes ist,
											das Schiff der Wüste. Es spielt eine so zentrale Rolle bei den Bewohnern
											in den Gegenden, wo man Kamele findet – hauptsächlich die Mongolei und die Sahara –
											es gibt sogar 160 Wörter im Arabischen, um das Kamel zu beschreiben.
											Und wenn dieses Wesen von einem Ausschuss entworfen wurde,
											dann war das sicherlich kein Ausschuss, wie ich ihn kenne.
											Hier sehen wir also, was Suki auf Partnersuche tun würde.
											Film ab, bitte?
									","
											Entonces voy a mostrarles otra película.
											Pero antes que lo haga, quiero decirles que
											este animal es como un todoterreno de la arena;
											el barco del desierto. Es vital para los habitantes de las áreas
											en las que el camello se encuentra, mayormente en Mongolia y el Sahara,
											que hay 160 palabras en árabe para describir al camello.
											Y si ésta fuese una criatura diseñada por un comité
											no es del tipo de comité en el que yo haya participado.
											Entonces aquí está lo que Suki podría hacer en la búsqueda de una pareja.
											¿Puedes iniciar la película, por favor?
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											[Chameau cherche chamelle]
											[Animal lubrique désire compagne attirante et sincère]
											[ Je mesure deux mètres, je pèse 900 kilos, poils et yeux bruns, longues jambes ...]
											[et je suis très ... gâté par la nature]
											[Je suis le chameau TED]
											[La parfaite machine du désert]
											[Je suis conçu de façon intelligente]
											[Des cils qui protègent du sable et une troisième paupière qui fonctionne comme]
											[un essuie-glace]
											[Un nez distingué ...]
											[...avec des narines doublées pour filtrer le sable et la poussière ...]
											[... et un sillon qui attrape l'humidité]
											[Des lèvres étonnamment pleines ...]
											[ ... qui me permettent de manger pratiquement tout ce qui pousse.]
											[Des cales sur mes genoux qui me permettent de m'agenouiller confortablement.]
											[Des coussinets de cuirs sur la poitrine qui protègent de la chaleur.]
											[une fourrure courte qui garde ma peau fraîche.]
											[De longues jambes qui permettent à la chaleur de s'évacuer.]
											[Et ma bosse?]
											[Ogden Nash a écrit un jour:]
											[""Le chameau a une seule bosse; le dromadaire en a deux,]
											[Ou le contraire. Je ne suis jamais sûr. Et vous?]
											[Voilà un indice:]
											[Chameau bactrian]
											[dromadaire]
											[Ma bosse contient jusqu'à 35 kilos de graisse — mais ne stocke pas d'eau.]
											[Je suis construit pour durer]
											[Je suis l'animal qu'il vous faut quand l'oasis est sec.]
											[En général je ne transpire pas avant que mon corps n'atteigne 40° C]
											[Assez pour faire frire un oeuf.]
											[Je peux perdre 40%]
											[de mon poids sans mourir]
											[Ce serait le cas de la plupart des animaux s'ils en perdaient ne serait-ce que la moitié.]
											[Je vais boire de 20 à 25 litres d'eau par jour.]
											[... et m'en passer pendant plus d'un mois.]
											[Je suis puissant]
											[Capable de porter jusqu'à 180 kilos]
											[de charge]
											[Je peux courir plus vite qu'un cheval...]
											[et couvrir 40 kilomètres dans un bon jour.]
											[Camelot]
											[Jackie Onassis a dit un jour que voyager sur un dromadaire]
											[comparé à monter un éléphant, c'était comme de prendre un jet.]
											[Pourtant, mes pied larges et mous me permettent de naviguer dans le sable.]
											[(Est-ce pour cela que les bédouins prétendent que je peux danser?)]
											[Je suis aussi un bon fournisseur.]
											[Les bédouins appellent le chameau le cadeau de Dieu.]
											[Pas surprenant.]
											[Les tentes et les tapis sont faits avec mes poils.]
											[Mes os séchés sont convoités comme une sorte d'ivoire.]
											[On brûle mes excréments comme combustible. On fait du fromage avec mon lait.]
											[""Les chameaux sont comme des anges"" a dit un jour un bédouin.]
									","
											(Video) Kamel sucht Kamel.
											Kraftvolles Tier wünscht sich attraktiven, offenen Partner.
											Ich bin 2,10 m, eine Tonne, braunes Haar und Augen, lange Beine...
											und sehr gut... ausgestattet.
											Ich bin TED-Kamel.
											Die perfekte Wüstenmaschine.
											Clever entworfen.
											Wimpern, die Sand abhalten und eine Nickhaut mit der Funktion
											eines Scheibenwischers.
											Eine charakteristische Nase
											mit Nasenlöchern, die Sand und Staub filtern
											und einer Rille, die Flüssigkeit auffängt.
											Hinreißend volle Lippen,
											mit denen ich praktisch alles essen kann, das wächst.
											Hornhaut auf den Knien, damit ich mich hinknien kann.
											Lederne Brustpolster gegen die Hitze.
											Kurzes Fell, das meine Haut kühlt.
											Lange Beine, die die Hitze ableiten.
											Und mein Höcker?
											Ogden Nash schrieb einst:
											""Zwei Höcker hat ein Dromedar und ein Kamel nur einen.
											Oder ist es doch andersrum? Ich weiß es nie. Weißt du's?""
											Hier ist ein Tipp:
											Trampeltier (""Baktrisches Kamel"")
											Dromedar.
											Mein Höcker enthält bis zu 40 kg Fett – speichert aber kein Wasser.
											Ich bin für die Ewigkeit gebaut.
											Zu mir kommen alle, wenn die Oase trocken ist.
											Ich schwitze nicht, bis meine Körpertemperatur 40°C überschreitet –
											genug, um ein Ei zu braten.
											Ich kann 40 % meines Körpergewichts
											verlieren, ohne zu sterben.
											(Die meisten Tiere würden das schon bei halb so viel tun.)
											Ich kann mehr als zwanzig Liter Wasser am Tag trinken.
											Aber ich kann auch mehr als einen Monat lang ohne leben.
											Ich bin stark.
											Ich kann Lasten bis zu fast
											200 kg tragen,
											ein Pferd abhängen
											und an einem guten Tag 40 km zurücklegen.
											Camelot.
											Jackie O. sagte einmal, dass eine Reise auf einem Kamel
											einen Elefantenritt zu einem Flug im Düsenflieger macht.
											Und doch erlauben es mir meine riesigen, weichen Füße im Sand zu laufen.
											(Vielleicht sagen die Beduinen deswegen, dass ich tanzen kann?)
											Ich bin auch ein guter Versorger.
											Die Beduinen nennen mich das Geschenk Gottes.
											Keine Überraschung.
											Zelte und Teppiche werden aus meinem Haar gefertigt.
											Meine getrockneten Knochen werden wie Elfenbein gehandelt.
											Mein Dung wird als Brennstoff verbrannt. Aus meiner Milch macht man Käse.
											""Kamele sind wie Engel"", sagte einst ein Beduine.
									","
											[Camello buscando camello]
											[una bestia vigorosa desea a una atractiva y sincera compañera]
											[Peso alrededor de 1000 kg tengo pelo y ojos marrones, piernas largas...]
											[Y estoy muy bien... dotado.]
											[Soy el Camello de TED]
											[La máquina perfecta del desierto]
											[Estoy diseñado de manera inteligente]
											[Las pestañas evitan la arena y la tercera pestaña funciona como un]
											[limpiabrisas]
											[Una nariz distinguida...]
											[...con fosas nasales alineadas para poder filtrar la arena y el polvo...]
											[...y un abertura que coge la humedad.]
											[Labios asombrosamente gruesos...]
											[...Que me permiten comer prácticamente todo lo que crece.]
											[Los callos de mis rodillas me permiten arrodillarme cómodamente]
											[Almohadillas de cuero en el pecho que me protegen del calor]
											[Pelo corto que me permite tener la piel fresca.]
											[Patas largas que me permiten escapas del calor.]
											[¿Y mi joroba?]
											[Ogden Nash escribio una vez:]
											[El camello tiene una sóla joroba; el dromedario dos,]
											[O al revés. Nunca estoy seguro. ¿Y tú?]
											[Aqui hay una pista]
											[Bactriano]
											[Dromedario]
											[Mi joroba contiene hasta 35 kg de grasa... pero no almacena H2O.]
											[Estoy hecho para durar]
											[Soy el animal que continúa caminando aún cuando el oasis está seco.]
											[Usualmente no sudo hasta que mi cuerpo alcanza 40°C.]
											[Lo suficiente para freir un huevo.]
											[Puedo perder hasta el 40%]
											[de mi peso sin morir.]
											[La mayoría de los animales podrían si pierden la mitad]
											[Puedo beber 25 litros de agua cada día.]
											[Sin comprar nada más por un mes.]
											[Soy poderoso]
											[Estoy listo para cargar hasta 180 kg]
											[de peso.]
											[Puedo adelantar a un caballo...]
											[y hacer 40 km en un buen día]
											[Camelot]
											[Jackie O. dijo alguna vez que viajar en un camello]
											[hacía que montar a elefante pareciera como tomar un aeroplano.]
											[Mis suaves y grandes patas me permiten viajar en la arena.]
											[¿Será por eso que los beduinos aseguran que puedo bailar?]
											[Soy un buen proveedor, también.]
											[Los beduinos llaman a los camellos el regalo de Dios]
											[No es una sorpresa.]
											[De mi pelo se hacen carpas y alfombras.]
											[Mis huesos secos están valorados como un tipo de marfil.]
											[Mi excremento es quemado como combustible. Mi leche se usa para hacer queso.]
											[""Los camellos son como ángeles"", dijo un beduino.]
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											(Applaudissements)
									","
											(Applaus)
									","
											(Aplausos)
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
											Merci. Je veux vous quitter sur une dernière pensée,
											qui est probablement ce qu'il y a de plus important à retenir.
											Les humains - l'animal - sont des créatures qui ont plutôt de la chance car, en général,
											nous ne nous adaptons vraiment pas à notre environnement ;
											nous adaptons notre environnement à nous.
											Et nous l'avons vu à plusieurs reprises au cours de cette conférence —
											pas seulement cette année, mais les années précédentes.
											Mais cette créature que vous venez de voir
											s'adapte en fin de compte et continue à s'adapter encore et encore.
											Et je pense que quand on regarde le règne animal,
											c'est l'une des choses les plus remarquables.
											Elle n'a pas un environnement qui s'adapte à elle ;
											elle doit s'adapter à l'environement.
											Ricky, merci beaucoup de m'avoir reçu.
											RW: C'est génial. Merci.
									","
											Danke. Ich möchte Ihnen noch etwas mit auf den Weg geben,
											das ist wahrscheinlich das Wichtigste am Vortrag.
											Menschen – das Tier – haben im großen und ganzen ein ziemliches Glück,
											denn wir müssen uns nicht an unsere Umgebung anpassen,
											wir passen unsere Umgebung an uns an.
											Und wir haben das wieder und wieder in dieser Konferenz gesehen –
											nicht nur in diesem Jahr, auch in vergangenen.
											Aber das Wesen, das wir uns gerade angeschaut haben,
											passt sich an, und es passt sich immer, immer weiter an.
											Und ich glaube, wenn man sich die Tierwelt anschaut,
											ist das eine der bemerkenswertesten Sachen.
											Es gibt keine Umgebung, die sich an die Tiere anpasst.
											Die Tiere müssen sich anpassen.
											Ricky, danke für die Einladung.
											RW: Das war toll. Danke.
									","
											Gracias. Sólo quiero dejarlos con una última idea,
											que es probablemente el mensaje más importante para llevarse.
											Los humanos, el animal, somos criaturas con mucha suerte, por lo general,
											no tenemos que adaptarnos a nuestro medio ambiente;
											adaptamos nuestro medio ambiente a nosotros.
											Y hemos visto eso repetidamente a través de esta conferencia
											no sólo este año, sino en años pasados.
											Pero esta criatura que acaban de ver
											finalmente se ha adaptado y se mantiene adaptándose y adaptándose.
											Y creo que cuando uno mira al reino animal,
											esta es una de las cosas más notables.
											Es que no tiene un medio ambiente que adaptar;
											él tiene que adaptarse al medio ambiente.
											Ricky, gracias por permitirme estar aquí
											RW: Es excelente. Gracias.
									",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
"
","
","
",The camel's hump,Keith Bellows,16:06,"animals,energy,entertainment,global issues,sex,transportation"
