pt,en,fr,tr,de,title,speaker,duration,tags
"
											Ele disse: ""Porque é que não usou
um coeficiente?""
									","
											He said, ""Well,
why didn't you use a ratio?""
									","
											Il a demandé pourquoi
je n'avais pas utilisé les ratios.
									","
											""Peki neden bir oran kullanmadın?"" dedi.
									","
											Er sagte: ""Warum kein Quotient?""
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Respondi: ""Ah! Um coeficiente.
Isso não seria tão exato"".
											O que eu não revelei é que
a função de dividir ainda não funcionava.
									","
											I said, ""Hah! A ratio —
that wouldn't have been as exact!""
											What I didn't say was,
""Divide isn't working yet.""
									","
											J'ai dit : « Ha ! Ça n'aurait
pas été aussi exact. »
											Je n'ai pas dit qu'on ne pouvait
pas encore diviser.
									","
											""Hah! Bir oran mı —
bunun kadar kesin olamazdı."" dedim.
											Ama ""Bölme henüz çalışmıyor."" demedim.
									","
											Ich sagte: ""Ha! Ein Quotient
wäre nicht so exakt gewesen!""
											Was ich nicht sagte: ""Division
funktioniert noch nicht.""
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											(Risos)
									","
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Por fim, concluímos
o suficiente do VisiCalc
											para apresentá-lo às pessoas.
											O meu pai imprimiu
um cartão de referência
											que usámos como material de publicidade.
									","
											Eventually, though,
we did finish enough of VisiCalc
											to be able to show it to the public.
											My dad printed up a sample reference card
											that we could use as marketing material.
									","
											Finalement, nous avons peaufiné
VisiCalc suffisamment
											pour le présenter au public.
											Mon père a imprimé
un modèle de carte de référence
											à utiliser pour notre marketing.
									","
											Sonunda halka sunmak için VisiCalc'ı
											yeterince hazır etmiştik.
											Babam, pazarlama aracı olarak
kullanabilmemiz için
											bir örnek tanıtım kartı basmıştı.
									","
											Aber schließlich hatten wir
genug von VisiCalc fertiggestellt,
											um es der Öffentlichkeit zu präsentieren.
											Mein Vater druckte eine kleine Übersicht,
											die wir als Marketingmaterial benutzten.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Em junho de 1979, o VisiCalc
foi anunciado ao mundo
											numa pequena cabina
											na gigantesca Conferência Nacional
de Computadores de Nova Iorque.
											O New York Times tinha um artigo satírico
sobre essa conferência.
											""As máquinas executam
o que parece ser rituais religiosos.
											""Enquanto os fiéis se aglomeram,
											""os pintores no Coliseu
adicionam VISICALC ao panteão,
											""em letras primorosas e gigantescas
a preto e amarelo.
											""Todos saúdam o VISICALC!""
											Oh, o New York Times:
""Todos saúdam o VISICALC""!
									","
											In June of 1979, our publisher
announced VisiCalc to the world,
											in a small booth at the giant National
Computer Conference in New York City.
											The New York Times had
a humorous article about the conference.
											""The machines perform
what seem religious rites ...
											Even as the believers gather,
											the painters in the Coliseum sign room
are adding to the pantheon,
											carefully lettering 'VISICALC'
in giant black on yellow.
											All hail VISICALC!""
											(Gasp) New York Times:
""All hail VISICALC.""
									","
											En juin 1979, notre éditeur
a annoncé VisiCalc publiquement,
											dans un petit stand à la National
Computer Conference à New York.
											Le New York Times a écrit
un article très drôle sur la conférence.
											« Les machines réalisent
une espèce de rite religieux...
											Les croyants se rassemblent,
											les peintres dans la salle du Colisée
ajoutent un nom au panthéon,
											en lettre jaunes et noires : « VISICALC ».
											Hip Hip Hip Hourrah à VISICALC ! »
											(Soupir) Le New York Times :
« Hip Hip Hip Hourrah à VISICALC ! »
									","
											Haziran 1979'da yayıncımız
VisiCalc'ı New York'ta
											büyük Ulusal Bilgisayar Konferansında 
küçük bir stantta dünyaya duyurdu.
											The New York Times konferans hakkında
komik bir makale yayınladı.
											""Makinalar sanki 
bir dini ayin gibi işliyor...
											Hatta inananlar toplanırken,
											Coliseum yazılı odadaki ressamlar
bu tapınağa bir şeyler ekliyorlar,
											dikkatlice sarı üstüne siyah renkle
kocaman 'VISICALC' yazıyorlar.
											Selam sana ey VISICALC!""
											New York Times:
""Selam sana ey VISICALC!""
									","
											Im Juni 1979 stellte unser Herausgeber
VisiCalc der Welt vor,
											bei der National Computer Conference
in New York an einem kleinen Stand.
											Die New York Times veröffentlichte dazu
einen humorvollen Artikel.
											""Die Maschinen machen etwas
wie religiösen Riten...
											Während sich Gläubige sammeln,
											fügen die Maler im Kolosseum
der Konferenz dem Pantheon etwas hinzu
											und schreiben in schwarzen Zeichen
auf gelbem Grund 'VISICALC' .
											Sei gegrüßt VISICALC!""
											(schnappt nach Luft) New York Times:
""Sei gegrüßt VISICALC.""
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											(Risos)
									","
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Essa foi a última referência
à minha folha de cálculo electrónica
											que a imprensa empresarial fez
durante cerca de dois anos.
											A maior parte das pessoas
ainda não tinha percebido,
											mas outras, sim.
									","
											That was the last mention
of the electronic spreadsheet
											in the popular business press
for about two years.
											Most people didn't get it yet.
											But some did.
									","
											Ce fut la dernière mention
des feuilles de calcul électroniques
											dans la presse d'affaires
populaire pendant 2 ans.
											Presque personne n'avait compris.
											Mais pas tous.
									","
											Bu yaklaşık iki yıl kadar popüler
iş dünyası yayınlarında
											elektronik çizelgeden son bahsedilişiydi.
											Çoğu insan bunu hâlâ anlamadı.
											Fakat bazıları anladı.
									","
											Das war das letzte Mal für ca. 2 Jahre,

											dass die elektronische Tabellenkalkulation
in der populären Presse erwähnt wurde.
											Die meisten Leute 
verstanden es noch nicht.
											Aber manche schon.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Em outubro de 1979,
lançámos o VisiCalc.
											Ele vinha numa embalagem como esta.
											E tinha este aspeto,
rodando no Apple II.
											O resto, como dizem, é história.
									","
											In October of 1979, we shipped VisiCalc.
											It came in packaging
that looked like this.
											And it looked like this
running on the Apple II.
											And the rest, as they say, is history.
									","
											En octobre 1979, on a livré VisiCalc.
											Il se vendait dans un emballage
comme celui-ci.
											Et sur un Apple II, ça donnait ceci.
											La suite, comme on dit,
fait partie de l'histoire.
									","
											Ekim 1979'da VisiCalc'ı 
pazarlamaya başladık.
											Bunun gibi paketlere kondu.
											Apple II'de çalışan bunun gibi 
gözüküyordu.
											Ve geri kalan kısmı, derler ya,
sadece bir hikaye.
									","
											Im Oktober 1979 lieferten wir VisiCalc.
											Die Verpackung sah so aus.
											Und so, als es auf dem Apple II lief.
											Und der Rest ist Geschichte.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Claro, há muito mais nesta história,
											mas vamos ter de deixar para outro dia.
											Uma coisa, porém, Harvard reconhece.
											Aqui está a sala de aula.
											Colocaram uma placa em comemoração
do que aconteceu ali.
									","
											Now, there's an awful lot
more to this story,
											but that'll have to wait for another day.
											One thing, though, Harvard remembers.
											Here's that classroom.
											They put up a plaque
to commemorate what happened there.
									","
											Il y a tant d'autres choses à narrer,
											mais ce sera pour un autre jour.
											Une seule chose à ajouter :
Harvard se souvient.
											Voici ma classe.
											Ils ont posé une plaque commémorative.
									","
											Şimdi bu hikayeye daha çok 
eklenecek şey var.
											Fakat artık bir dahaki sefere.
											Harvard'ın hatırladığı bir şey var.
											Bu işte o sınıf.
											Onlar orada olanları ölümsüzleştirmek için
bir tabela astılar.
									","
											Es gibt noch mehr zu dieser Geschichte,
											aber das hebe ich mir
fürs nächste Mal auf.
											Aber Harvard erinnert daran.
											Hier der Vorlesungsaal.
											Sie hingen eine Tafel auf,
um daran zu erinnern, was dort geschah.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											(Aplausos)
									","
											(Applause)
									","
											(Applaudissements)
									","
											(Alkışlar)
									","
											(Applaus)
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Mas isto também serve como um lembrete
											de que vocês também se podem apoiar
											nos vossos conhecimentos,
competências e desejos
											e construir protótipos para resolver
problemas importantes
											e, através disso, mudar o mundo.
									","
											But it also serves as a reminder
											that you, too, should take
your unique backgrounds, skills and needs
											and build prototypes to discover
and work out the key problems,
											and through that, change the world.
									","
											Elle est aussi un rappel pour tous,
											que nous devons utiliser nos cursus
nos compétences et nos envies uniques
											pour construire des prototypes
pour découvrir et résoudre les problèmes
											et, grâce à cela, changer le monde.
									","
											Fakat bu aynı zamanda bir hatırlatıcı 
vazifesi görüyor:
											Sen de kendi özyaşantını, 
yeteneklerini ve ihtiyaçlarını al
											ve önemli problemleri çözmek 
ve keşfetmek için prototipler yap
											ve bu yolla, dünyayı değiştir.
									","
											Aber es dient auch
als Erinnerung für Folgendes:
											Auch Sie sollten ihre Hintergründe,
Fähigkeiten und Bedürfnisse
											zum Bau von Prototypen nutzen,
											um die Hauptprobleme
zu entdecken und auszutüfteln
											und dadurch die Welt zu verändern.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											Muito obrigado.
									","
											Thank you.
									","
											Merci.
									","
											Teşekkür ederim.
									","
											Vielen Dank.
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
											(Aplausos)
									","
											(Applause)
									","
											(Applaudissements)
									","
											(Alkışlar)
									","
											(Applaus)
									",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
"
","
","
","
","
",Meet the inventor of the electronic spreadsheet,Dan Bricklin,12:00,"business,code,collaboration,computers,design,data,discovery,history,innovation,invention,potential,math,product design,productivity,technology,TEDx,work,visualizations"
