en,pt,de,fr,tr,title,speaker,duration,tags
"
											The parents of us all,
as some people call them,
											Adam and Eve,
											could never die, so long as they
were eating from the tree of life.
											But the minute they began nibbling
											from the tree of the knowledge
of good and evil,
											they fell from their innocence.
											They grew embarrassed and fretful,
											self-conscious.
											And they learned,
a little too late, perhaps,
											that there are certainly some things
that we need to know,
											but there are many, many more
that are better left unexplored.
									","
											Os pais de todos nós,
como algumas pessoas lhes chamam,
											Adão e Eva,
											nunca morreriam, enquanto 
comessem da árvore da vida.
											Mas logo que provaram o fruto
											da árvore do conhecimento
do bem e do mal,
											perderam a sua inocência.
											Ficaram envergonhados
e maldispostos,
											conscientes de si mesmos.
											Aprenderam, talvez demasiado tarde,
											que há certas coisas
que precisamos de saber,
											mas há muito mais coisas
que é preferível deixar por explorar.
									","
											Unser aller Eltern,
wie manche sie nennen,
											Adam und Eva,
											waren unsterblich, solange sie
vom Baum des Lebens aßen.
											Aber in dem Moment,
											als sie vom Baum der Erkenntnis
von Gut und Böse naschten,
											verloren sie ihre Unschuld.
											Sie wurden verlegen,
gereizt und selbstbewusster.
											Sie lernten, vielleicht 
ein bisschen zu spät,
											dass wir sicherlich einige Dinge 
wissen müssen,
											aber dass viele, viele andere Dinge
besser unerforscht bleiben.
									","
											Nos parents à tous,
comme certains les appellent,
											Adam et Eve,
											ne pouvaient pas mourir,
											du moment qu'ils mangeaient
les fruits de l'arbre de la vie.
											Mais la minute où ils mangèrent les fruits
											de l'arbre de la connaissance
du bien et du mal,
											ils perdirent leur innocence.
											Ils grandirent honteux et irritables,
											conscients d'eux-mêmes.
											Ils ont appris, sans doute
un peu trop tard,
											qu'il y a des choses bonnes à savoir,
											mais il y en a beaucoup, beaucoup d'autres
qu'il faudrait laisser inexplorées.
									","
											Bazılarının dediği gibi,
hepimizin anne babası
											Adem ile Havva
											hayat ağacının meyvesini 
yemeseydi ölmeyecekti.
											Fakat iyi ve kötünün kökleri olan
											bilgi ağacının meyvesini ısırdıkları an
											masumiyetlerini kaybettiler.
											Utanç, öfke,
											mahcup hissettiler.
											Biraz geç de olsa,
											gerçekten bilmemiz gereken 
şeyler olduğunu,
											ancak üstü kapalı kalması çok daha 
iyi olan birçok şey olduğunu öğrendiler.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											Now, when I was a kid,
											I knew it all, of course.
											I had been spending 20 years
in classrooms collecting facts,
											and I was actually
in the information business,
											writing articles for Time Magazine.
											And I took my first real trip to Japan
for two-and-a-half weeks,
											and I came back with a 40-page essay
											explaining every last detail
about Japan's temples,
											its fashions, its baseball games,
											its soul.
									","
											Quando eu era miúdo,
											sabia tudo, evidentemente.
											Tinha passado 20 anos
em salas de aula, reunindo factos
											e até estava na indústria da informação,
											a escrever artigos para a revista Time.
											Fiz a minha primeira visita ao Japão
durante duas semanas e meia
											e voltei com um artigo de 40 páginas
											explicando todos os pormenores
dos templos do Japão,
											a moda, os jogos de basebol,
											a alma japonesa.
									","
											Als Kind wusste ich natürlich alles.
											Ich hatte 20 Jahre in Klassenzimmern
verbracht und Fakten gesammelt.
											Ich war im Informationswesen tätig
											und schrieb Artikel für das Time Magazine.
											Zweieinhalb Wochen lang reiste ich
zum ersten Mal wirklich durch Japan
											und kam mit einem
40-seitigen Essay zurück,
											in dem ich jedes Detail
über Japans Tempel,
											Mode, Baseball-Spiele und Seele erklärte.
									","
											Quand j'étais jeune,
											je savais tout, bien sûr,
											j'avais passé 20 ans à l'école
à amasser les faits
											et je travaillais
dans le secteur de l'information,
											à écrire des articles
pour le magazine Time.
											J'ai fait mon premier voyage au Japon
pendant deux semaines et demi
											et je suis revenu
avec un essai de 40 pages
											expliquant jusqu'aux moindres détails
le Japon, ses temples,
											ses modes, ses matchs de baseball,
											son âme.
									","
											Çocukken
											tabii ki hepsini biliyordum.
											20 yılımı sınıflarda, 
olgusal gerçekleri toplayarak geçirmiştim,
											bilfiil de bilgi sektöründeydim,
											Time dergisine makaleler yazıyordum.
											İki buçuk haftalığına Japonya'ya
ilk seyahatimi yaptım
											ve Japonya'nın tapınaklarını,
											modasını, beyzbol maçlarını,
											ruhunu anlatan 40 sayfalık
											yazıyla döndüm.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											But underneath all that,
											something that I couldn't understand
											so moved me for reasons
I couldn't explain to you yet,
											that I decided to go and live in Japan.
											And now that I've been there for 28 years,
											I really couldn't tell you
very much at all
											about my adopted home.
											Which is wonderful,
											because it means every day
I'm making some new discovery,
											and in the process,
											looking around the corner
and seeing the hundred thousand things
											I'll never know.
									","
											Mas, por debaixo de tudo isso,
											uma coisa que eu não compreendia
											comoveu-me tanto,
											por razões que ainda
não vos posso explicar,
											que decidi partir e ir viver para o Japão.
											Agora, que já lá vivi durante 28 anos,
											não consigo contar-vos grande coisa
											sobre a minha pátria adotiva.
											O que é maravilhoso
											porque significa que todos os dias
descubro qualquer coisa nova
											e, nesse processo,
											olho em volta e vejo
as centenas de milhares de coisas
											que nunca saberei.
									","
											Aber unter all dem war etwas,
											das ich nicht verstehen konnte
											und das mich so sehr berührte,
was ich aber noch nicht erklären konnte,
											sodass ich beschloss, in Japan zu leben.
											Nun lebe ich dort seit 28 Jahren
											und kann Ihnen wirklich nicht viel
											über meine Wahlheimat erzählen.
											Das ist wunderbar,
											denn das bedeutet, dass ich jeden Tag
											neue Entdeckungen mache,
											während ich um die Ecke schaue
und hunderttausend Dinge sehe,
											über die ich niemals etwas wissen werde.
									","
											Mais en-dessous de tout ça,
											quelque chose que je ne comprenais pas
											m'a ému pour des raisons
que je n'arrivais pas encore à expliquer
											et cela m'a poussé
à partir vivre au Japon.
											Ça fait maintenant 28 ans que j'y suis,
											je ne saurais vous en dire beaucoup
											sur mon foyer d'adoption.
											Et c'est merveilleux.
											Ça veut dire que chaque jour,
je découvre de nouvelles choses
											et, dans le même temps,
											je regarde autour de moi et je vois
des centaines de milliers de choses
											que je ne connaîtrai jamais.
									","
											Fakat alt taraftan
											ne olduğunu anlayamadığım bir şey
											size şimdi açıklayamayacağım
nedenlerle beni hareketlendirdi,
											böylece Japonya'da yaşamaya karar verdim.
											28 yıldır orada yaşıyorum,
											benimsediğim yurdum hakkında
											pek bir şey anlatamam.
											Bu harika bir şey,
											çünkü bu, her gün yeni keşifler yapıyorum
											ve bu süreçte
											köşede durup
bilemeyeceğim yüz binlerce şeyi
											görüyorum demek oluyor.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											Knowledge is a priceless gift.
											But the illusion of knowledge
can be more dangerous than ignorance.
									","
											O conhecimento é uma dádiva sem preço.
											Mas a ilusão de conhecimento
pode ser mais perigosa que a ignorância.
									","
											Wissen ist ein unbezahlbares Geschenk.
											Aber die Illusion von Wissen
kann gefährlicher als Unwissenheit sein.
									","
											Le savoir est un cadeau inestimable.
											Mais l'illusion de la connaissance
peut être plus dangereuse que l'ignorance.
									","
											Bilgi paha biçilmez bir armağandır.
											Fakat bildiğini sanmak bilgisizlikten
daha tehlikeli olabilir.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											Thinking that you know your lover
											or your enemy
											can be more treacherous
											than acknowledging you'll never know them.
											Every morning in Japan, as the sun
is flooding into our little apartment,
											I take great pains not to consult
the weather forecast,
											because if I do,
											my mind will be overclouded, distracted,
											even when the day is bright.
									","
											Pensar que conhecemos o nosso amor
											ou o nosso inimigo,
											pode ser mais traiçoeiro
											do que reconhecer
que nunca os conheceremos.
											Todas as manhãs, no Japão, quando o sol
inunda o nosso apartamento,
											tenho o cuidado de não consultar
a previsão meteorológica
											porque, se o fizer,
											o meu espírito vai ficar
ensombrado, distraído,
											mesmo que o dia esteja luminoso.
									","
											Zu denken, man kenne seinen Geliebten
											oder seinen Feind
											kann trügerischer sein
											als zuzugeben, dass man
sie nie kennen wird.
											Jeden Morgen, wenn die Sonne in Japan
unsere kleine Wohnung durchflutet,
											bemühe ich mich, nicht auf
den Wetterbericht zu schauen,
											denn wenn ich das tue,
											verfinstern sich meine Gedanken 
und lassen sich ablenken,
											selbst wenn es ein klarer Tag ist.
									","
											Penser que vous connaissez votre amant
											ou votre ennemi
											peut être plus trompeur
											que d'admettre
que vous ne les connaîtrez jamais.
											Chaque matin au Japon, quand le soleil
illumine notre petit appartement,
											je me force à ne pas consulter la météo,
											car si je le fais,
											mon esprit sera brumeux, distrait,
											même quand le jour est clair.
									","
											Sevgilinizi veya düşmanınızı
											tanıdığınızı sanmanız
											onları hiç tanımadığınızı
											kabul etmekten daha aldatıcı olabilir.
											Japonya'da her sabah güneş 
küçük dairemize vururken
											hava tahminlerine bakmaya zahmet etmiyorum
											çünkü bakarsam
											gün aydınlıkken bile
											zihnim kapalı, dağınık olacak.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											I've been a full-time
writer now for 34 years.
											And the one thing that I have learned
											is that transformation comes
when I'm not in charge,
											when I don't know what's coming next,
											when I can't assume I am bigger
than everything around me.
											And the same is true in love
											or in moments of crisis.
											Suddenly, we're back in that trishaw again
											and we're bumping off the broad,
well-lit streets;
											and we're reminded, really,
of the first law of travel
											and, therefore, of life:
											you're only as strong
as your readiness to surrender.
									","
											Fui escritor a tempo inteiro
durante 34 anos.
											Uma coisa que aprendi
											é que a transformação surge
quando não estou no comando,
											quando não sei o que se segue,
											quando não posso assumir
que sou maior do que tudo à minha volta.
											O mesmo se passa com o amor
											ou em momentos de crise.
											Subitamente, voltamos a estar
naquele tri-quexó
											e aos saltos pelas ruas largas,
bem iluminadas
											e recordamos a primeira lei de viajar
											e, portanto, da vida:
											a nossa força está
na prontidão para a rendição.
									","
											Seit 34 Jahren bin ich 
ein Vollzeit-Schriftsteller.
											Eine Sache habe ich gelernt:
											Veränderung geschieht,
wenn ich nicht das Sagen habe,
											wenn ich nicht weiß, 
was als Nächstes geschieht,
											wenn ich nicht davon ausgehen kann,
dass ich größer als alles andere bin.
											Das Gleiche gilt für die Liebe
											oder Momente der Krise.
											Plötzlich sind wir wieder 
in der Fahrrad-Rikscha
											und rumpeln die breiten und
gut beleuchteten Straßen hinunter;
											wir werden an das erste Gesetz des Reisens
											und damit an das Gesetz
des Lebens erinnert:
											Man ist nur so stark wie die 
eigene Bereitschaft, sich auszuliefern.
									","
											Je suis écrivain à plein temps
depuis 34 ans.
											Et la chose que j'ai apprise,
											c'est que le changement arrive
quand je n'ai pas le contrôle,
											quand je ne sais pas
ce qui va arriver après,
											quand je ne prétends pas être
plus important que tout ce qui m'entoure.
											C'est aussi vrai en amour
											ou dans les moments de crise.
											Tout à coup, nous revoilà
dans le pousse-pousse,
											nous traversons
de larges rues bien éclairées
											et nous nous rappelons
de la première règle du voyage
											et donc de la vie :
											on est seulement aussi fort
que notre disposition à lâcher prise.
									","
											34 yıllık tam zamanlı bir yazarım.
											Öğrendiğim tek şey
											değişimin iş başında değilken,
											ardından ne geleceğini bilmezken,
											çevremdeki her şeyden büyük 
olduğumu sanmazken geldiğiydi.
											Aynı şey aşk
											veya kriz anları için de geçerli.
											Birdenbire bisiklete geri döndük
											ve geniş, aydınlık caddelerde ilerliyorduk
											ve seyahatin ilk kuralını hatırladık
											ve aynı zamanda hayatın:
											Yalnız, teslim olmaya 
hazır olduğunuz kadar güçlüsünüz.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											In the end, perhaps,
											being human
											is much more important
											than being fully in the know.
									","
											No final, talvez,
											ser-se humano
											é muito mais importante
											do que saber tudo.
									","
											Am Ende ist es vielleicht 
sehr viel wichtiger,
											menschlich zu sein,
											als über alles Bescheid zu wissen.
									","
											Au bout du compte, peut-être,
											être humain
											est bien plus important
											que d'être pleinement conscient.
									","
											Sonuç olarak,
											insan olmak
											çoğu kimsenin bilmediklerini bilmekten
											çok daha önemlidir.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											Thank you.
									","
											Obrigado.
									","
											Danke.
									","
											Merci.
									","
											Teşekkür ederim.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
