es,en,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Además, también producen más miel.
											La miel urbana es deliciosa.
											Las abejas en Boston en la azotea del Hotel Seaport,
											donde tenemos cientos de miles de abejas
											que lo sobrevuelan en este momento,
											aunque estoy seguro de que ninguno de ustedes lo ha notado al pasar por allí,
											van a todos los jardines comunitarios locales
											y producen miel deliciosa y saludable
											que solo sabe a las flores de nuestra ciudad.
											Por lo tanto, el rendimiento de las colmenas urbanas, en términos de producción de miel,
											es mayor, así como la supervivencia en invierno,
											en comparación con las zonas rurales.
											Una vez más, un poco contradictorio.
									","
											Furthermore, they also produce more honey.
											The urban honey is delicious.
											The bees in Boston on the rooftop of the Seaport Hotel,
											where we have hundreds of thousands of bees
											flying overheard right now
											that I'm sure none of you noticed when we walked by,
											are going to all of the local community gardens
											and making delicious, healthy honey
											that just tastes like the flowers in our city.
											So the yield for urban hives, in terms of honey production,
											is higher as well as the overwintering survival,
											compared to rural areas.
											Again, a bit counterintuitive.
									","
											En outre, elles produisent également plus de miel.
											Le miel urbain est délicieux.
											Les abeilles de Boston sur le toit de l'hôtel Seaport,
											où nous avons des centaines de milliers d'abeilles
											qui le survolent en ce moment,
											et je suis certain qu'aucun de vous ne les a remarquées en passant devant,
											vont dans tous les jardins municipaux
											et produisent un miel délicieux et sain
											qui a le goût des fleurs de notre ville.
											Donc le rendement des ruches urbaines, en termes de production de miel,
											est plus élevé de même que la survie hivernale,
											par rapport aux zones rurales.
											Encore une fois, un peu paradoxal.
									","
											Außerdem produzieren sie dort auch mehr Honig.
											Städtischer Honig ist delikat.
											Die Bienen auf dem Dach des Seaport-Hotels in Boston,
											wo zur Zeit hunderttausende von Bienen
											über unseren Köpfen summen,
											die mit Sicherheit niemand von Ihnen beim Vorbeilaufen bemerkt hat,
											besuchen all die lokalen Kleingärten
											und stellen leckeren, gesunden Honig her,
											der genau wie die Blumen unserer Stadt schmeckt.
											Der Honigertrag bei städtischen Bienenstöcken
											ist wie auch die Überwinterungswahrscheinlichkeit höher
											verglichen mit ländlichen Gegenden.
											Und wieder scheint es etwas unlogisch.
									","
											Ayrıca şehirde daha fazla bal üretiyorlar.
											Şehir arılarının ürettiği 
bal çok lezzetli.
											Boston Seaport Otel'in çatısındaki arılar,
											ki orada yüzlerce arımız var,
											şu an tepemizde uçuyor
											ve eminim ki hiçbirinizin
yürürken fark etmediği
											bu arılar bahçelere gidiyor,
											ve tadı şehrimizdeki çiçeklere benzeyen
sağlıklı ve lezzetli ballar üretiyorlar.
											Bal üretimi açısından
şehir kovanlarının getirisi,
											kışın hayatta kalanları da
göz önüne alırsak,
											kırsala kıyasla daha yüksek.
											Tekrar mantık dışı bir durum daha.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Si miramos, históricamente, la cronología
											de salud de la abeja, nos remontamos al año 950, cuando
											hubo una gran mortandad de las abejas en Irlanda.
											Así que los problemas de las abejas hoy no son necesariamente
											algo nuevo. Ha estado ocurriendo
											desde hace más de mil años,
											pero no nos damos cuenta de estos problemas en las ciudades.
									","
											And looking back historically at the timeline
											of honeybee health, we can go back to the year 950 and see
											that there was also a great mortality of bees in Ireland.
											So the problems of bees today isn't necessarily
											something new. It has been happening
											since over a thousand years ago,
											but what we don't really notice are these problems in cities.
									","
											Et avec le recul historique sur la chronologie
											de la santé des abeilles, nous pouvons revenir à l'année 950 et voir
											qu'il y a eu une importante mortalité d'abeilles en Irlande.
											Les problèmes des abeilles aujourd'hui ne sont pas nécessairement
											quelque chose de nouveau. Ça se passe
											depuis plus de mille ans
											mais ce que nous ne remarquons pas vraiment ce sont ces problèmes dans les villes.
									","
											Schauen wir uns die Gesundheit von Honigbienen
											in der Geschichte an, können wir sehen, dass im Jahr 950
											die Sterblichkeitsrate der Bienen in Irland sehr hoch war.
											Die heutigen Bienen haben also nicht unbedingt
											ein neues Problem. Es ist seit mehr als
											tausend Jahren belegt,
											aber in den Städten sind diese Probleme nicht so stark.
									","
											Bal arılarının sağlık geçmişine 
baktığımızda görüyoruz ki
											950 senesinde İrlanda'daki bal arılarının
ölüm oranı da oldukça yüksek.
											İşte bu yüzden günümüzdeki arı problemleri
aslında yeni bir şey değil.
											Hatta bin yıldan fazla süredir görülüyor
											fakat fark etmediğimiz şey 
problemin şehirlerde olması.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Quiero animarlos a pensar en algo:
											la idea de una isla urbana.
											Piensen que tal vez la temperatura es más cálida en la ciudad.
											¿Por qué las abejas están mejor en la ciudad?
											Esta es una gran pregunta para ayudarnos a entender
											por qué las abejas deben estar en la ciudad.
											Quizás allí hay más polen.
											Los trenes que llegan a centros urbanos, pueden
											traer polen con ellos, polen muy liviano,
											y este es solo un gran supermercado en la ciudad.
											Una gran cantidad de tilos viven a lo largo de las vías del tren.
											Tal vez en las ciudades haya menos pesticidas
											que en las zonas rurales.
											Tal vez haya otras cosas en las que simplemente no hemos pensando todavía,
											pero esta es una idea, las islas urbanas.
									","
											So one thing I want to encourage you to think about
											is the idea of what an urban island is.
											You think in the city maybe the temperature's warmer.
											Why are bees doing better in the city?
											This is a big question now to help us understand
											why they should be in the city.
											Perhaps there's more pollen in the city.
											With the trains coming in to urban hubs, they can
											carry pollen with them, very light pollen,
											and it's just a big supermarket in the city.
											A lot of linden trees live along the railroad tracks.
											Perhaps there are fewer pesticides in the cities
											than there are in [rural] areas.
											Perhaps there are other things that we're just not thinking about yet,
											but that's one idea to think about, urban islands.
									","
											Je tiens donc à vous encourager à réfléchir
											à l'idée de ce qu'est un îlot urbain.
											Vous pensez peut-être que dans la ville la température est plus chaude.
											Pourquoi les abeilles sont-elles mieux dans la ville ?
											C'est une grande question pour nous aider à comprendre
											pourquoi elles devraient être dans la ville.
											Il y a peut-être plus de pollen dans la ville.
											Avec les trains qui viennent dans les centres urbains, ils peuvent
											transporter du pollen, du pollen très léger,
											et c'est un grand supermarché dans la ville.
											Beaucoup de tilleuls vivent le long de la voie ferrée.
											Il y a peut-être moins de pesticides dans les villes
											qu'il y en a dans les zones urbaines.
											Il y a peut-être d'autres choses auxquelles nous ne pensons pas encore,
											mais c'est une idée à laquelle réfléchir, les îlots urbains.
									","
											Also wollte ich Sie dazu ermutigen, über das Konzept
											einer ""urbanen Insel"" nachzudenken.
											Vielleicht ist in einer Stadt die Temperatur höher.
											Wieso geht es Bienen in der Stadt besser?
											Eine große Frage, die uns helfen soll zu verstehen,
											wieso sie in der Stadt sein sollten.
											Vielleicht gibt es in der Stadt mehr Pollen.
											Die Züge, die in die Metropolen fahren, tragen vielleicht
											ganz feinen Pollen mit sich und machen so
											die Stadt zu einem Supermarkt für Bienen.
											Viele Lindenbäume stehen entlang der Bahngleise.
											Vielleicht gibt es in den Städten weniger Pestizide
											als in ländlichen Gegenden.
											Vielleicht spielen Dinge eine Rolle, derer wir uns noch nicht bewusst sind,
											aber das ist ein Denkansatz: urbane Inseln.
									","
											Sizi kentsel adanın ne olduğu konusunda
											düşünmeye teşvik etmek istiyorum.
											Belki şehirde ısının daha yüksek
olduğunu düşünebilirsiniz.
											Neden arılar şehirde 
daha iyi yaşıyor?
											Bu arıların neden
şehirde olması gerektiğini
											anlamamıza yardımcı
olacak kocaman bir soru.
											Belki şehirde daha fazla polen vardır.
											Arılar şehir merkezlerine gelen trenlerle
											yanlarında polenleri de getiriyorlar
											ve şehirler onlar için
büyük bir süpermarket.
											Demir yolları boyunca
birçok ıhlamur ağacı var.
											Belki de şehirlerde kırsal bölgelerde 
olduğundan daha az böcek ilacı var.
											Belki de henüz aklımıza
gelmeyen bir çok şey var
											fakat bir fikir var ki o da şehir adaları.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											El síndrome de colapso de la colonia no es lo único
											que afecta a las abejas. Las abejas se están muriendo,
											y ese es un gran reto para nuestro tiempo.
											Lo que se ve aquí es un mapa del mundo
											y hacemos un seguimiento de la propagación del ácaro varroa.
									","
											And colony collapse disorder is not the only thing
											affecting honeybees. Honeybees are dying,
											and it's a huge, huge grand challenge of our time.
											What you can see up here is a map of the world,
											and we're tracking the spread of this varroa mite.
									","
											Et l'effondrement de colonie n'est pas la seule chose
											qui affecte les abeilles. Les abeilles sont en train de mourir,
											et c'est un problème énorme de notre époque.
											Ce que vous voyez ici est une carte du monde,
											et nous allons suivre la propagation de cet acarien varroa.
									","
											Und Völkerkollaps ist nicht die einzige Sache,
											die Honigbienen befällt. Honigbienen sterben
											und das ist eine riesengroße Aufgabe für uns.
											Hier sehen Sie eine Weltkarte, auf der wir verfolgen,
											wie schnell sich die Varroamilbe verbreitet.
									","
											Bal arılarını etkileyen tek şey 
koloni çöküşünün yarattığı karmaşa değil.
											Bal arıları ölüyor
											ve bu çağımız için çok büyük bir sorun.
											Burada gördüğünüz şey bir dünya haritası
											ve biz bu Varroa parazitinin
yayılışını izliyoruz.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Este ácaro cambió las reglas del juego
											en la apicultura y se puede ver, en la parte superior derecha,
											que los años están cambiando, llegamos a tiempos modernos
											y se puede ver la propagación del ácaro varroa
											desde comienzos del siglo XX hasta ahora.
											En 1968, llegó a la mayor parte de Asia,
											en 1971, se extendió a Europa y América del Sur,
											y luego, cuando llegamos a la década de 1980,
											y específicamente a 1987, finalmente llegó
											a América del Norte y a los Estados Unidos,
											y las reglas del juego cambiaron
											para las abejas en los Estados Unidos.
									","
											Now, the varroa mite is what changed the game
											in beekeeping, and you can see, at the top right,
											the years are changing, we're coming up to modern times,
											and you can see the spread of the varroa mite
											from the early 1900s through now.
											It's 1968, and we're pretty much covering Asia.
											1971, we saw it spread to Europe and South America,
											and then, when we get to the 1980s,
											and specifically to 1987, the varroa mite finally came
											to North America and to the United States,
											and that is when the game changed
											for honeybees in the United States.
									","
											L'acarien varroa est ce qui a changé la donne
											dans l'apiculture et vous pouvez le voir, en haut à droite,
											les années changent, nous arrivons à l'époque moderne,
											et vous pouvez voir la propagation de l'acarien varroa
											depuis le début des années 1900 à maintenant.
											C'est en 1968, et nous couvrons assez bien l'Asie.
											En 1971, nous l’avons vu se répandre en Europe et en Amérique du Sud,
											et puis, quand nous arrivons à 1980,
											et plus précisément à 1987, l'acarien varroa est enfin arrivé
											en Amérique du Nord et aux États-Unis,
											et c'est là que la donne a changé
											pour les abeilles domestiques aux États-Unis.
									","
											Die Varroamilbe hat die Vorzeichen der Imkerei verändert.
											Hier oben rechts sehen Sie den Lauf der Zeit in Jahren,
											wir kommen langsam der heutigen Zeit nahe
											und man kann die Verbreitung der Varroamilbe
											vom frühen 20. Jh. bis jetzt sehen.
											Im Jahr 1968 bedeckt sie fast ganz Asien.
											1971 beobachteten wir die Verbreitung nach Europa und Südamerika
											und bei Eintritt in die 80er Jahre,
											besonders 1987, erreichte die Varroamilbe schließlich
											Nordamerika und die USA
											und damals veränderte sich die
											Situation für Honigbienen in den USA total.
									","
											Varroa paraziti arıcılıkta
oyunu değiştiren şey
											ve sağ üstte görebileceğiniz gibi
											yıllar değişiyor ve biz 
modern amanlara geliyoruz
											ve parazitin 1900'lü yılların başından
günümüze kadar yayılışını görebilirsiniz.
											1968, parazitin Asya'yı istila ettiği yıl.
											1971, Avrupa ve Güney Amerika'ya yayılışı
											ve sonra 1980'lere geldiğimizde,
											özellikle 1987 yılına geldiğimizde,
											varroa paraziti sonunda 
Kuzey Amerika ve ABD'ye kadar geliyor
											ve bu da Birleşik Devletler'de
											bal arıları için oyunun değiştiği yıl.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Muchos de nosotros recordaremos que en nuestra infancia,
											tal vez sufrimos una picadura de abeja o vimos abejas en las flores.
											Piensen en los niños de hoy. Su infancia es un poco diferente.
											No experimentan eso.
											Las abejas ya no están alrededor.
											Necesitamos a las abejas, pero están desapareciendo y esto es un gran problema.
									","
											Many of us will remember our childhood growing up,
											maybe you got stung by a bee, you saw bees on flowers.
											Think of the kids today. Their childhood's a bit different.
											They don't experience this.
											The bees just aren't around anymore.
											So we need bees and they're disappearing and it's a big problem.
									","
											Bon nombre d'entre nous se souviennent de notre enfance,
											peut-être avez-vous été piqué par une abeille, vous avez vu des abeilles sur les fleurs.
											Pensez aux enfants aujourd'hui. Leur enfance est un peu différente.
											Ils ne vivent pas ça.
											Les abeilles ne sont tout bonnement plus là.
											Nous avons besoin des abeilles et elles sont en train de disparaître et c'est un gros problème.
									","
											Viele von uns erinnern sich vielleicht noch an Bienenstiche
											in der Kindheit oder man sah Bienen auf Blumen.
											Denken Sie an die Kinder heute. Die Kindheit verläuft etwas anders.
											Sie erleben das nicht.
											Die Bienen sind einfach nicht mehr da.
											Wir brauchen also Bienen und ihr Verschwinden ist ein großes Problem.
									","
											Birçoğunuz çocukluğunuzu hatırlarsınız,
											belki bir arı sizi soktu,
çiçeklerde arılar gördünüz.
											Bugünün çocuklarını düşünün.
											Onların çocuklukları biraz farklı.
											Böyle bir tecrübeleri yok.
											Arılar artık etrafta yoklar.
											Arılara ihtiyacımız var, onlar ortadan
kayboluyor ve bu büyük bir sorun.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											¿Qué podemos hacer?
											Me dedico a la investigación de abejas melíferas.
											Obtuve mi doctorado en el estudio de la salud de las abejas melíferas.
											Empecé a estudiar estas abejas en el 2005.
											En el 2006, las abejas comenzaron a desaparecer,
											y de repente este chico nerd
											que iba a la escuela a estudiar insectos
—(Risas)—
											se convirtió en alguien muy relevante en el mundo.
											Y así resultó ser.
									","
											What can we do here?
											So, what I do is honeybee research.
											I got my Ph.D. studying honeybee health.
											I started in 2005 studying honeybees.
											In 2006, honeybees started disappearing,
											so suddenly, like, this little nerd kid
											going to school working with bugs — (Laughter) —
											became very relevant in the world.
											And it worked out that way.
									","
											Que pouvons-nous y faire ?
											Donc, je fais des recherches sur les abeilles.
											J'ai obtenu mon doctorat en étudiant la santé des abeilles.
											J'ai commencé à étudier les abeilles en 2005.
											En 2006, les abeilles ont commencé à disparaître,
											si soudainement, et ce petit gamin studieux
											qui allait à l'école et travaillait sur les insectes (Rires)
											est devenu très utile dans ce monde.
											Et ça a fonctionné de cette façon.
									","
											Was können wir tun?
											Ich beschäftige mich mit Bienenforschung.
											Mein Promotionsthema war die Gesundheit von Bienen.
											2005 begann ich, Bienen zu erforschen.
											2006 begannen Bienen zu verschwinden,
											also wurde dieses kleine Streberkind,
											das irgendwelche Viecher erforschte, – (Lachen) –
											plötzlich superwichtig.
											Und das ging gut aus.
									","
											Bu durumda ne yapabiliriz?
											Benim yaptığım bal arılarını araştırmak.
											Bal arısı sağlığı üzerine doktoramı aldım.
											2005 yılında bal arılarını
incelemeye başladım.
											2006 yılında bal arıları
yok olmaya başladılar,
											böceklerle çalışmak için 
okula giden küçük inek öğrenci
											aniden dünyanın ihtiyacı olan biri oldu
											ve böyle sonuçlandı.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Así que mi investigación se centra en formas de hacer que las abejas sean más saludables,
											y no en la investigación de lo que está matando a las abejas, per se.
											No soy uno de los muchos investigadores alrededor del mundo
											que examinan los efectos de pesticidas o enfermedades
											o la pérdida del hábitat y la malnutrición en las abejas.
											Estamos buscando maneras de hacer que las abejas sean más saludables
											a través de vacunas y yogur, como probióticos,
											y otros tipos de terapias que puedan ser suministradas a las abejas por vía oral,
											y este proceso es tan fácil que incluso un niño de 7 años puede hacerlo.
											Solo hay que mezclar un poco de polen, azúcar y agua,
											y cualquier ingrediente activo que se desee agregar
											y se le da directamente a las abejas. Sin productos químicos,
											solo refuerzos inmunitarios.
									","
											So my research focuses on ways to make bees healthier.
											I don't research what's killing the bees, per se.
											I'm not one of the many researchers around the world
											who's looking at the effects of pesticides or diseases
											or habitat loss and poor nutrition on bees.
											We're looking at ways to make bees healthier
											through vaccines, through yogurt, like probiotics,
											and other types of therapies in ways that can be fed orally to bees,
											and this process is so easy, even a 7-year-old can do it.
											You just mix up some pollen, sugar and water,
											and whatever active ingredient you want to put in,
											and you just give it right to the bees. No chemicals involved,
											just immune boosters.
									","
											Donc ma recherche se concentre sur les moyens de rendre les abeilles en meilleure santé.
											Je ne recherche pas ce qui tue les abeilles, en soi.
											Je ne suis pas un des nombreux chercheurs partout dans le monde
											qui se penche sur les effets des pesticides ou des maladies
											ou la perte d'habitat et la mauvaise nutrition chez les abeilles.
											Nous examinons les moyens de rendre les abeilles en meilleure santé.
											grâce à des vaccins, par le biais du yaourt, comme les probiotiques,
											et d'autres sortes de thérapies qu'on puisse administrer aux abeilles par voie orale,
											et ce processus est tellement facile, que même un enfant de 7 ans peut le faire.
											Vous mélangez simplement du pollen, du sucre et de l'eau,
											et tout ingrédient actif que vous souhaitez y mettre,
											et vous le donnez aux abeilles. Aucun produit chimique,
											simplement des intensificateurs d'immunité.
									","
											Meine Forschung konzentriert sich auf die Verbesserung der Bienengesundheit.
											Ich untersuche nicht direkt ihre Todesursachen.
											Ich bin keiner der vielen Forscher auf der Welt,
											der sich die Auswirkungen von Pestiziden und Krankheiten
											oder Lebensraumverlust oder Mangelernährung anschaut.
											Wir suchen nach Wegen, Bienen gesünder zu machen,
											durch Impfungen, durch Joghurt, Probiotik
											und andere Therapien, die man an Bienen verfüttern kann,
											und dieser Prozess ist so einfach, dass selbst ein Kind es tun könnte.
											Man vermischt einfach Pollen, Zucker und Wasser
											und den Stoff, den man ihnen verabreichen möchte,
											und gibt es den Bienen. Keine Chemikalien, einfach nur
											eine Stärkung des Immunsystems.
									","
											Böylece araştırmam arıları daha sağlıklı
bir hale getirmek üzerine yoğunlaştı.
											Arıları neyin öldürdüğünü
araştırmıyorum aslında.
											Ben hastalıkların, böcek ilaçlarının,
yetersiz beslenmenin veya habitat kaybının
											arılar üzerindeki etkisini araştıran
araştırmacılardan biri değilim.
											Aşılarla, yoğurtla, probiyotiklerle,
											ve oral yolla verilebilecek
tedavi yöntemleriyle
											arıları daha sağlıklı bir hale 
getirmenin yollarını arıyoruz
											ve bu süreç 7 yaşındaki bir çocuğun 
bile yapabileceği kadar kolay.
											Sadece biraz polen, şeker, su
											ve istediğiniz herhangi bir aktif maddeyi 
karıştırın ve doğrudan arılara verin.
											Hiçbir kimyasal yok,
sadece bağışıklık güçlendiriciler.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Pensamos en nuestra propia salud de forma prospectiva.
											Hacemos ejercicio, comemos de manera saludable, tomamos vitaminas.
											¿Por qué no pensamos en las abejas de esa misma forma?
											Llevarlas a las zonas donde están prosperando
											y tratar de mejorar su salud antes de que se enfermen.
									","
											Humans think about our own health in a prospective way.
											We exercise, we eat healthy, we take vitamins.
											Why don't we think about honeybees in that same type of way?
											Bring them to areas where they're thriving
											and try to make them healthier before they get sick.
									","
											Nous les humains pensons à notre propre santé de façon prospective.
											Nous faisons de l'exercice, nous mangeons sain, nous prenons des vitamines.
											Pourquoi ne pensons-nous pas aux abeilles de la même façon ?
											Implantons-les dans les zones où elles se développent
											et essayons de les rendre plus saines avant qu'elles ne tombent malades.
									","
											Menschen denken über unsere eigene Gesundheit sehr aktiv nach.
											Wir machen Sport, essen gesund, nehmen Vitamine.
											Wieso sollten Honigbienen nicht genau dasselbe tun?
											Wieso sollten wir sie nicht an Orte bringen, wo sie gedeihen,
											uns um ihre Gesundheit kümmern, bevor sie krank werden.
									","
											Biz sağlığımızı ileriye dönük düşünürüz.
											Spor yaparız, sağlıklı 
besleniriz, vitamin alırız.
											Neden arılar için de
bu şekilde düşünmeyelim?
											Onları uygun şartlarda 
büyüyebilecekleri bir yere getirin
											ve hasta olmadan önce
sağlıklı olmalarını sağlayın.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Pasé muchos años de mi posgrado tratando de pinchar abejas y hacer vacunas
											con agujas. (Risas) Años,
											años en la mesa de trabajo, «Oh, Dios mío, son las 3 a.m.
											y todavía estoy inyectando abejas». (Risas)
											Luego un día dije: «¿por qué no hacemos simplemente una vacuna oral?»
											Es como, «¡uf!», así que eso es lo que hacemos. (Risas)
									","
											I spent many years in grad school trying to poke bees and do vaccines
											with needles. (Laughter) Like, years,
											years at the bench, ""Oh my gosh, it's 3 a.m.
											and I'm still pricking bees."" (Laughter)
											And then one day I said, ""Why don't we just do an oral vaccine?""
											It's like, ""Ugh,"" so that's what we do. (Laughter)
									","
											J'ai passé plusieurs années d'études à tenter de piquer des abeilles et faire des vaccins
											avec des aiguilles. (Rires)
											Des années sur le banc, « Oh mon Dieu, il est 3 heures du matin
											et je suis encore là à piquer des abeilles ». (Rires)
											Et puis un jour, j'ai dit, « Pourquoi ne pas juste faire un vaccin oral ? »
											Je me suis dit « Ouf » c'est ce que nous faisons. (Rires)
									","
											Ich verbrachte viele Jahre an der Uni mit dem Versuch,
											Bienen mit Nadeln zu impfen. (Lachen) Wirklich jahrelang
											verbrachte ich im Labor: ""Meine Güte, es ist 3 Uhr morgens
											und ich piekse immer noch Bienen."" (Lachen)
											Und dann sagte ich eines Tages: ""Wieso keine orale Impfung?""
											Und alle stöhnten auf und so taten wir das. (Lachen)
									","
											Lisedeyken yıllarca arıları iğnelerle 
dürtmeye ve aşı yapmaya çalıştım.
											(Kahkahalar)
											Bankta yıllarım aynen şöyle geçti:
											""Tanrım! Saat üç olmuş
ve ben hala arıları dürtüklüyorum.""
											Bir gün ''Neden oral
bir aşı yapmıyoruz?'' dedim.
											Bunu düşününce tepkimiz ''Öff''
o yüzden yaptığımız bu.
											(Kahkahalar)
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
