en,tr,es,fr,de,title,speaker,duration,tags
"
											Now at this point,
you might be thinking to yourself,
											""Why are y'all worried about hate?
											You didn't hate Vicky.
											Bullying isn't hate.""
											Isn't it?
									","
											Bu noktada belki de
kendinize soruyorsunuz,
											''Nefrete dair bu endişe neden?
											Vicky'den nefret etmedin.
											Zorbalık nefret değil.''
											Değil mi?
									","
											En este punto, estarán pensando
											""¿Por qué estás tan preocupada
por el odio?
											No odiabas a Vicky.
											El acoso escolar no es odio"".
											Pero ¿es realmente así?
									","
											A cet instant, vous pensez peut-être :
											« Pourquoi s'inquiéter de la haine ?
											Vous ne haïssiez pas Vicky.
											Persécuter n'est pas haïr. »
											Non ?
									","
											In diesem Moment denken Sie vielleicht:
											""Warum machst du dir
solche Sorgen um Hass?
											Du hast Vicky nicht gehasst.
											Mobbing ist nicht Hass.""
											Ist es nicht?
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											Gordon Allport,
											the psychologist who pioneered
the study of hate in the early 1900s,
											developed what he called
a ""scale of prejudice.""
											At one end are things like genocide
and other bias-motivated violence.
											But at the other end
											are things like believing
that your in-group
											is inherently superior to some out-group,
											or avoiding social interaction
with those others.
											Isn't that all hate?
											I mean, it wasn't an accident
											that I was a rich kid
picking on a poor kid,
											or that Vicky, it turns out,
would eventually end up being gay.
											Poor kids and gay kids
are more likely to be bullied,
											even by kids who also end up being gay.
											I know there was a lot going on
in my little 10-year-old mind.
											I'm not saying hate was the only
reason I picked on Vicky
											or even that I was consciously
hateful or anything,
											but the fact is,
											the people we discriminate against
in our public policies and in our culture
											are also the groups of people
most likely to be bullied in school.
											That is not just a coincidence.
											That's hate.
									","
											1900'lü yılların başında
											nefret üzerine çalışma yapan 
psikolog Gordon Allport
											bir ''önyargı ölçeği'' geliştirdi.
											Ölçeğin bir tarafında soykırım
ve diğer önyargı bazlı şiddet vardı.
											Diğer yanında ise
											kendi çevrenizdeki insanların
birtakım dış gruplardan
											doğuştan daha üstün olduğuna dair görüşler
											ve bu gruplarla sosyal etkileşime
girmekten kaçınma vardı.
											Bunlar nefret değil mi?
											Benim zengin bir çocuk olup
											yoksul bir çocukla uğraşıp durmam
											veya Vicky'nin eşcinsel olması
bir tesadüf değildi.
											Yoksul ve eşcinsel çocuklar
zorbalığa daha çok maruz kalıyor,
											hatta daha sonra eşcinsel olduğunu
anlayan çocuklar tarafından bile.
											10 yaşındaki küçük aklımdan
çok şey geçiyordu.
											Vicky'yle uğraşmamın tek sebebinin
nefret olduğunu
											veya bilinçli bir şekilde
nefret dolu olduğumu söylemiyorum
											fakat gerçek şu ki
											kendi kamusal düzen ve kültürümüzde
ayrımcılık yaptığımız insanlar
											aynı zamanda okulda büyük ihtimalle
zorbalığa maruz kalan çocuklar.
											Bu yalnızca bir tesadüf değil.
											İşte bu nefret.
									","
											Gordon Allport,
											el primer psicólogo en investigar
el tema del odio a principio de 1900,
											desarrolló lo que denominó
una ""escala de prejuicio"".
											En un extremo se encuentra el genocidio
y otros tipos de violencia por prejuicio.
											Y en el otro extremo
											está la creencia de sentirse
dentro de un grupo,
											superiores a quienes
están fuera del grupo,
											o renuenciar a relacionarse
socialmente con esos otros.
											¿No es odio todo eso?
											Es decir, no fue casualidad
											que yo fuera una niña rica
acosando a una niña pobre,
											o que Vicky, según pude saber,
terminara siendo homosexual.
											Los niños pobres y homosexuales
están más expuestos al acoso escolar,
											aun por parte de niños
que terminan siendo homosexuales.
											Sé que pasaban muchas cosas
en mi mentecilla de niña de 10 años.
											No quiero decir que el odio
fuese la única razón para acosar a Vicky
											ni que yo era consciente de mi odio,
											pero lo cierto es que las personas
que discriminamos
											con las políticas públicas
en nuestra cultura
											son las mismas que están más expuestas
a ser acosadas en la escuela.
											Esto no es mera coincidencia.
											Es odio.
									","
											Gordon Allport,
											le psychologue précurseur dans l'étude
de la haine au début des années 1900,
											a développé ce qu'il a appelé
« échelle de préjugé ».
											A une extrémité, il y a les choses
comme le génocide
											et la violence motivée par des préjugés.
											Mais à l'autre extrémité,
											il y a des choses comme
la croyance que votre groupe
											est intrinsèquement supérieur
aux gens en dehors du groupe
											ou le fait d'éviter les interactions
sociales avec les autres.
											N'est-ce pas de la haine ?
											Ce n'était pas un accident
											que je sois un enfant riche
persécutant un pauvre
											ou qu'il se soit avéré
que Vicky était homosexuelle.
											Les enfants pauvres et homosexuels
ont plus de risques d'être persécutés,
											même par des enfants
qui s'avèrent aussi homosexuels.
											Il se passait beaucoup de choses
dans ma tête à 10 ans.
											La haine n'était pas
ma seule raison de harceler Vicky
											et je n'étais pas consciemment haineuse,
											mais le fait est
											que les gens contre lesquels
il y a discrimination
											dans nos politiques publiques
et dans notre culture
											sont aussi les groupes de personnes
les plus persécutés à l'école.
											Ce n'est pas une coïncidence.
											C'est de la haine.
									","
											Gordon Allport,
											der Psychologe, der die Forschung
über Hass Anfang des 20. Jh. vorantrieb,
											entwickelte eine ""Vorurteils-Skala"".
											An einem Ende der Skala stehen Sachen
wie Genozid und andere Hass-Verbrechen.
											Aber am anderen Ende
											stehen Dinge wie:
der Glaube, dass deine Gruppe
											von Natur aus besser ist 
als irgendeine andere Gruppe,
											oder die Vermeidung von
sozialer Interaktion mit diesen Leuten.
											Ist das nicht alles Hass?
											Ich meine, es war kein Zufall,
											dass ich als reiches Kind
auf einem armen Kind herumhackte.
											Oder dass Vicky
schlussendlich lesbisch wurde.
											Arme und homosexuelle Kinder
werden eher gemobbt,
											sogar von Kindern,
die selbst homosexuell werden.
											Ich meine, es ging vieles in meinem
kleinen 10-jährigen Kopf vor.
											Hass war bestimmt nicht
der einzige Grund, Vicky zu hänseln
											und ich war bestimmt nicht
bewusst hasserfüllt.
											Aber Fakt ist,
											die Menschen, die wir in Politik und
in unserer Kultur diskriminieren
											gleichwohl die Gruppen von Menschen sind,
die in der Schule gemobbt werden.
											Das ist nicht nur Zufall.
											Das ist Hass.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											I am defining hate in a broad way
											because I think we have a big problem.
											And we need to solve all of it,
not just the most extremes.
											So for instance,
											we probably all agree
that marching down the street,
											chanting about you should take away
rights from some group of people
											because of their skin color
or their gender,
											we'd all agree that's hate, right? OK.
											What if you believe
that group of people is inferior,
											but you don't say it?
											Is that hate?
											Or what if you believe
that group of people is inferior
											but you aren't aware
that you believe it —
											what's known as implicit bias.
											Is that hate?
											I mean they all have
the same roots, don't they?
											In the historic patterns
of racism and sexism
											that have shaped our history
and still infect our society today.
											Isn't it all hate?
									","
											Nefreti çok geniş bir çapta tanımlıyorum
											çünkü büyük bir sorunumuz 
olduğunu düşünüyorum.
											Bunu tümden çözmemiz gerekiyor,
yalnızca en aşırı olanlarını değil.
											Örneğin,
											sokakta yürüyüş yaparak
ten rengi
											veya cinsiyetleri yüzünden bazı grupların
haklarının elinden alınması için
											tezahüratlar yapmanın
nefret olduğununa
											hepimiz katılıyoruz, değil mi?
											Ya o grubun sizden daha aşağı
olduğunu düşünüyor
											ama söylemiyorsanız?
											Bu nefret mi?
											Peki ya o insanların
sizden aşağı olduğuna inanıyor
											fakat buna inandığınızı
bile bilmiyorsanız —
											buna bilinçaltı önyargısı deniyor.
											Peki bu nefret mi?
											Yani hepsinin temelinde
aynı şey var, değil mi?
											Bunu tarihimize şekil veren
ırkçılık ve seksizmin
											tarihi aşamalarında görüyoruz
ve hâlâ toplumumuza etki ediyor.
											Bunlar nefret değil mi?
									","
											Y defino el odio en un sentido amplio
											porque creo que tenemos un gran problema.
											Y es necesario resolverlo a fondo,
no solo los casos más extremos.
											Por ejemplo, todos estamos de acuerdo
con que manifestarse en las calles
											en contra de los derechos
de algunas personas
											en razón del color de piel o del género
											es odio, ¿verdad? Muy bien.
											¿Qué pasa si creemos
que ese grupo de gente es inferior,
											pero no lo decimos?
											¿Es odio?
											¿O qué pasa si creemos
que ese grupo de gente es inferior
											pero no nos damos cuenta 
de que lo pensamos?
											Lo que se conoce como prejuicio implícito.
											¿Es odio?
											Quiero decir, todos tienen la misma raíz
											en los patrones históricos
de racismo y sexismo
											que han construido nuestra historia
y aun infectan nuestra sociedad actual.
											¿No es odio todo eso?
									","
											Ma définition de la haine est large
											car je crois que nous avons
un gros problème.
											Nous devons le résoudre entièrement,
pas uniquement le plus extrême.
											Par exemple,
											nous sommes d'accord
que manifester dans la rue
											en scandant qu'il faut retirer
les droits d'un groupe de personnes
											à cause de leur couleur de peau
ou de leur sexe,
											c'est de la haine, n'est-ce pas ?
											Et si vous croyez que ce groupe
de personnes est inférieur
											mais ne le dites pas ?
											Est-ce de la haine ?
											Ou si vous croyez que ce groupe
de personnes est inférieur
											mais n'avez pas conscience
que vous le croyez —
											c'est un préjugé implicite.
											Est-ce de la haine ?
											Toutes ces choses ont la même origine.
											Dans les modèles historiques
du racisme et du sexisme
											qui ont façonné notre histoire
et infectent encore notre société,
											n'est-ce pas de la haine ?
									","
											Ich definiere Hass in einem weiten Sinne,
											weil ich denke, dass wir
ein großes Problem haben.
											Und wir müssen es komplett lösen,
nicht nur die extremsten Probleme.
											Also zum Beispiel,
											wir sind uns wohl einig:
auf der Straße marschieren,
											zu fordern, bestimmten Leuten Rechte wegen
Hautfarbe oder Geschlecht zu entziehen,
											wir würden alle sagen,
dass das Hass ist, oder?
											O.K.
											Was wäre, wenn Sie denken,
dass diese Gruppe minderwertiger ist,
											aber es nicht sagen?
											Ist das Hass?
											Oder was wäre, wenn Sie denken,
dass diese Gruppe minderwertiger ist,
											Ihnen das aber nicht bewusst ist —
											das nennt man ""implizite Verzerrung"".
											Ist das Hass?
											Sie haben alle die gleichen Ursprünge
											in den historischen Mustern
von Rassismus und Sexismus,
											die unsere Geschichte prägten
und weiterhin die Gesellschaft infizieren.
											Ist das nicht alles Hass?
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											I'm not saying they're the same thing,
											just like I am not saying
											that being a bully
is as bad as being a Nazi,
											just like I'm not saying that being a Nazi
is the same thing as punching a Nazi ...
									","
											Aynı şey olduklarını söylemiyorum,
											bir zorba olmanın
											bir Nazi olmak kadar
kötü olduğunu da söylemiyorum,
											hatta Nazi olmakla bir Nazi yumruklamanın
aynı şey olduğunu da söylemiyorum
									","
											No digo que sean lo mismo,
											como tampoco diría
											que un acosador escolar
sea igual de malo que un nazi,
											así como ser un nazi no es igual
que pegarle a un nazi.
									","
											Je ne dis pas que c'est la même chose,
											tout comme je ne dis pas
											que harceler équivaut à être un nazi
											et je ne dis pas qu'être un nazi
équivaut à frapper un nazi...
									","
											Ich sage nicht, das ist alles das Gleiche,
											so wie ich genauso wenig sage,
											ein Mobber zu sein
ist genauso schlimm wie ein Nazi.
											Ebenso wenig wie ein Nazi zu sein
dasselbe ist, wie einen Nazi zu schlagen.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											But hating a Nazi is still hate, right?
											What about hating someone
who isn't as enlightened as you?
											See, what I learned
											is that we all are against hate
											and we all think hate is a problem.
											We think it's their problem,
											not our problem.
											They're hateful.
											I mean, if I think the people
who didn't vote like me
											are stupid racist monsters who don't
deserve to call themselves Americans,
											alright, fine, I'm not being nice,
											I get it.
									","
											Ancak bir Naziden nefret etmek de
nefret, değil mi?
											Peki ya sizin kadar kültürlü olmayan
birinden nefret etmek?
											Bundan öğrendiğim şey,
											hepimiz nefrete karşıyız
											ve hepimiz nefretin bir sorun
olduğu kanısındayız.
											Onların sorunu olduğunu düşünüyoruz,
											bizim değil.
											Nefret dolu olan onlar.
											Benimle aynı yönde oy vermeyen insanların
											Amerikalı olmaya layık olmayan
ırkçı yaratıklar olduğunu düşünüyorsam
											pekâlâ, nazik davranmıyorum,
											anladım.
									","
											Pero odiar a un nazi 
es odio también, ¿o no?
											¿Qué pasa si odiamos a alguien 
que no es tan tolerante como uno?
											Lo que yo aprendí
											es que todos estamos en contra del odio
											y todos pensamos
que el odio es un problema.
											Pensamos que es problema del otro,
											no nuestro.
											Ellos son los que odian.
											Es decir, si pienso que las personas
que no votaron como yo
											son monstruos racistas e imbéciles
que no merecen llamarse esdaounidenses,
											está bien, no las estoy alabando,
											lo admito.
									","
											Mais haïr un nazi,
c'est de la haine, n'est-ce pas ?
											Qu'en est-il de haïr quelqu'un
qui n'est pas aussi cultivé que vous ?
											J'ai appris
											que nous sommes tous contre la haine
											et pensons tous que la haine
est un problème.
											Nous pensons que c'est leur problème,
											pas le nôtre.
											Ils sont haineux.
											Si je pense que les gens
n'ayant pas voté pour moi
											sont de stupides montres racistes
ne méritant pas de se dire américains,
											je ne suis pas gentille,
											je le sais.
									","
											Aber einen Nazi zu hassen
ist trotzdem Hass, oder?
											Wie ist es mit Hass auf jemanden,
der nicht so aufgeklärt ist wie du?
											Was ich festgestellt habe,
											ist, dass wir alle gegen Hass sind
											und dass wir alle glauben,
Hass ist ein Problem.
											Wir glauben, es ist deren Problem,
											nicht unseres.
											Die da sind hasserfüllt.
											Wenn ich Leute, die nicht wie ich wählen,
											für dumme, rassistische Monster halte,
die nicht Wert sind Amerikaner zu heißen,
											okay, fein, ich bin nicht nett,
											versteh ich.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											I'm not hateful, I'm just right, right?
									","
											Nefret etmiyorum, 
sadece haklıyım, değil mi?
									","
											No las odio, solo digo la verdad, ¿sí?
									","
											Je ne suis pas haineuse,
j'ai simplement raison, non ?
									","
											Ich bin nicht hasserfüllt,
ich habe nur recht, oder?
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											Wrong.
											We all hate.
											And I do not mean that
in some abstract, generic sense.
											I mean all of us ...
											me and you.
											That sanctimonious pedestal of superiority
on which we all place ourselves,
											that they are hateful and we are not,
											is a manifestation
of the essential root of hate:
											that we are fundamentally good
and they are not,
											which is what needs to change.
									","
											Yanlış.
											Hepimiz nefret ediyoruz.
											Bunu tam belli olmayan
genelleyici bir anlamda söylemiyorum.
											Hepimizi kastediyorum...
											beni ve sizi.
											Kendimizi yerleştirdiğimiz
o yukarıdan bakan üstünlük mertebesi,
											nefret dolu olan biz değil, 
onlarmış gibi...
											aslında nefretin 
en temelinde yatan bir gösteri:
											Biz doğuştan iyiyiz, onlar değil,
											işte bu değişmesi gereken şey.
									","
											Incorrecto.
											Todos odiamos.
											Y no lo digo en un sentido
abstracto o genérico.
											Me refiero a todos nosotros,
											a Uds. y a mí.
											Esa superioridad de subirnos
a un pedestal de moralina
											para decir que los otros odian
y nosotros no
											es una manifestación
de la verdadera raíz del odio,
											de que nosotros somos 
esencialmente buenos y ellos no.
											Esto es lo que debe cambiar.
									","
											Faux.
											Nous haïssons tous.
											Je ne le dis pas dans un sens
abstrait et générique.
											Je parle de nous tous...
											de vous et moi.
											Le piédestal moralisateur
de la supériorité
											sur lequel nous nous plaçons tous,
											ils sont haineux et pas nous,
											est une manifestation d'une source
primordiale de haine :
											nous sommes fondamentalement bons
mais ils ne le sont pas,
											ce qui doit changer.
									","
											Falsch.
											Wir alle hassen.
											Und ich meine das nicht in einem
abstrakten, allgemeinen Sinn.
											Ich meine uns alle —
											mich und Sie.
											Das scheinheilige
Podest der Überlegenheit,
											auf das wir uns alle stellen,
											dass die da hasserfüllt sind
und wir sind es nicht,
											ist eine Manifestation
des grundlegenden Ursprungs von Hass:
											dass wir von Grund auf gut sind
und die anderen sind es nicht,
											was genau das ist, was sich ändern muss.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											So in trying to understand and solve hate,
											I read every book
and every research study I could find,
											but I also went and talked
to some former Nazis
											and some former terrorists
											and some former genocidal killers,
											because I figured if they could
figure out how to escape hate,
											surely the rest of us could.
									","
											Nefreti anlayıp çözmede
											bulabildiğim her kitap 
ve araştırmayı okudum,
											ayrıca eski Nazi ve eski terörist
											ve eski soykırım canileriyle de
											görüştüm,
											çünkü onlar nefretten arınmayı
başarabilmişlerse geri kalanımız da
											yapabilir diye düşündüm.
									","
											Pues bien, para comprender
y resolver el tema del odio,
											leí tantos libros e investigaciones
como pude,
											pero también hablé con exnazis,
											exterroristas,
											exgenocidas seriales,
											porque pensé que si ellos pudieron
encontrar la manera de escapar al odio,
											nosotros también podíamos.
									","
											En essayant de comprendre
et résoudre la haine,
											j'ai lu tous les livres
et études que j'ai pu trouver,
											mais j'ai aussi été parler
à d'anciens nazis,
											d'anciens terroristes
											et d'anciens auteurs de génocide,
											car je me suis dit que s'ils pouvaient
trouver comment se sortir de la haine,
											nous le pouvions aussi.
									","
											Um also Hass zu verstehen und zu lösen,
											las ich jedes Buch und jede Studie,
die ich finden konnte.
											Aber ich sprach auch
mit einigen früheren Nazis
											und früheren Terroristen
											und früheren Massenmördern,
											weil ich dachte, wenn sie
dem Hass entkommen konnten,
											kann es der Rest von uns auch.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											Let me give you just one example
of the former terrorist I spent time with
											in the West Bank.
											When Bassam Aramin was 16 years old,
											he tried to blow up an Israeli
military convoy with a grenade.
											He failed, fortunately,
											but he was still sentenced
to seven years in prison.
											When he was in prison,
they showed a film about the Holocaust.
											Up until that point,
											Bassam had thought the Holocaust
was mostly a myth.
											He went to go watch the film
											because he thought he would enjoy
seeing Jews get killed.
											But when he saw what really happened,
he broke down crying.
											And eventually, after prison,
											Bassam went on to get
a master's degree in Holocaust studies
											and he founded an organization
where former Palestinian combatants
											and Israeli combatants come together,
											work together, try to find common ground.
											By his own account,
Bassam used to hate Israelis,
											but through knowing Israelis
and learning their stories
											and working together for peace,
											he overcame his hate.
											Bassam says he still
doesn't hate Israelis,
											even after the Israeli military —
											shot and killed his [10]-year-old
daughter, Abir,
											while she was walking to school.
									","
											Batı Şeria'da birlikte 
zaman geçirdiğim eski teröristi
											örnek vermek istiyorum.
											Bassam Aramin 16 yaşındayken
											İsrailli bir askeri konvoyu
el bombasıyla havaya uçurmaya çalıştı.
											Neyse ki başaramadı
											ama yine de 7 yıl hapse mahkum oldu.
											Hapishanede Nazi Soykırımı
hakkında bir film gösterildi.
											O ana kadar,
											Bassam, Nazi Soykırımının
bir efsane olduğunu sanıyordu.
											Fimi izlemeye gitti
											çünkü Yahudilerin öldürülüşünü
izlemekten keyif alacağını sanıyordu.
											Gerçekten ne olduğunu görünce de
gözyaşlarına hakim olamadı.
											Sonunda hapishaneden çıkınca
											Soykırım araştırmaları üzerine
yüksek lisans derecesi aldı
											ve eski Filistinli ve İsrailli askerlerin
bir araya geldiği
											birlikte çalışarak 
ortak payda bulmaya çalıştığı
											bir organizasyon kurdu.
											Kendi söylediklerine göre
İsraillilerden nefret ediyordu
											ama onları tanıyıp
hikâyelerini öğrenerek
											ve barış için birlikte çalışarak
											bu nefretin üstesinden geldi.
											Bassam hâlâ İsraillilerden
nefret etmediğini söylüyor,
											hatta İsrailli askerler
											10 yaşındaki kızı Abir'i,
											okula giderken vurup öldürdüğü hâlde.
									","
											Les contaré el caso
de un exterrorista que entrevisté
											en Cisjordania.
											Cuando Bassam Aramin tenía 16 años,
intentó explotar
											un convoy miltar israelí con una granada.
											Afortunadamente, no lo logró
											pero todavía cumplía una condena
de siete años en prisión.
											En la cárcel, le mostraron
una película sobre el Holocausto.
											Hasta ese momento,
											Bassam pensaba que el Holocausto
era más bien un mito.
											Quiso ver la película
											porque pensó que disfrutaría
con la muerte de los judíos.
											Pero cuando vio lo que pasó
realmente, se puso a llorar.
											Y cuando salió de prisión
											Bassam estudió para obtener su maestría
en estudios sobre el Holocausto
											y fundó una organización

											en la que excombatientes palestinos
e israelíes se reunían,
											trabajaban en conjunto e intentaban
encontrar intereses comunes.
											Según palabras del mismo Bassam,
odiaba a los israelíes,
											pero al conocerlos, oír sus historias
											y trabajar con ellos por la paz,
											superó su odio.
											Dice que aun hoy sigue
sin guardarles rencor,
											aun después de que los militares israelíes
											mataran de un disparo
a su hija de 12 años, Abir,
											cuando iba a la escuela.
									","
											Laissez-moi vous donner un exemple
											d'un ancien terroriste
avec lequel j'ai passé du temps
											en Cisjordanie.
											Quand Bassam Aramin avait 16 ans,
											il a essayé de faire exploser un convoi
militaire israélien avec une grenade.
											Heureusement, il a échoué
											mais a malgré tout été condamné
à sept ans de prison.
											En prison, on lui a montré
un film sur l'Holocauste.
											Jusqu'à ce moment-là,
											Bassam pensait que l'Holocauste
était surtout un mythe.
											Il a regardé le film
											car il pensait qu'il apprécierait
de voir des Juifs se faire tuer.
											Quand il a vu ce qu'il s'est passé
réellement, il a fondu en larmes.
											Finalement, après la prison,
											Bassam a fait des études
et obtenu un master sur l'Holocauste
											et a créé une organisation
où les anciens combattants palestiniens
											et les combattants israéliens
se réunissent,
											travaillent ensemble
pour trouver un terrain d'entente.
											Selon son propre témoignage,
Bassam haïssait les Israéliens,
											mais en connaissant des Israéliens,
en découvrant leur histoire
											et en travaillant ensemble pour la paix,
											il a surmonté sa haine.
											Bassam dit qu'il ne hait pas
les Israéliens,
											même après que les militaires israéliens
											ont tué sa fille de 10 ans, Abir,
											sur le chemin de l'école.
									","
											Ein Beispiel eines früheren Terroristen,
mit dem ich Zeit verbrachte
											im Westjordanland.
											Als Bassam Aramin 16 Jahre alt war,
											wollte er einen israelischen Militärkonvoi
mit einer Granate sprengen.
											Er scheiterte, glücklicherweise,
											aber er kam trotzdem
für 7 Jahre ins Gefängnis.
											Im Gefängnis zeigten sie einen Film
über den Holocaust.
											Bis zu diesem Punkt,
											dachte Bassam, der Holocaust wäre
hauptsächlich ein Mythos.
											Er ging hin, um den Film zu sehen,
											weil er dachte, er hätte Spaß zu sehen,
wie Juden getötet werden.
											Aber als er sah, was wirklich geschah,
brach er weinend zusammen.
											Nach dem Gefängnis,
											machte Bassam einen Master
in Holocaust-Studien
											und gründete eine Organisation,
in der frühere palästinische Kämpfer
											und israelische Kämpfer zusammenkommen,
											zusammen arbeiten,
versuchen Gemeinsamkeiten zu finden.
											Nach eigenen Angaben
hasste Bassam Israelis,
											aber durch das Kennenlernen von Israelis
und ihren Geschichten
											und das Zusammenarbeiten für Frieden,
											überwand er seinen Hass.
											Bassam sagt, er hasst
nach wie vor nicht Israelis,
											auch nicht, nachdem
das israelische Militär
											seine [10] Jahre alte Tochter
Abir erschossen,
											als sie auf dem Schulweg war.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Sigh)
									","
											(İç çeker)
									","
											(Suspira)
									","
											(Soupir)
									","
											(Seufzen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											Bassam even forgave the soldier
who killed his daughter.
											That soldier, he taught me,
											was just a product
of the same hateful system as he was.
									","
											Bassam, kızını öldüren askeri
bile affetti.
											O asker bana şunu öğretti,
											o da Bassam'ın içinde olduğu 
aynı nefret dolu sistemin bir parçasıydı.
									","
											Bassam llegó incluso a perdonar
al soldado que mató a su hija.
											Él me enseñó que ese soldado
											era producto del mismo sistema
del odio donde él estuvo.
									","
											Bassam a même pardonné
le soldat qui a tué sa fille.
											Ce soldat, m'a-t-il appris,
											n'était qu'un produit
du même système haineux que lui.
									","
											Bassam vergab sogar dem Soldaten,
der seine Tochter tötete.
											Dieser Soldat, erklärte er mir,
											war nur ein Produkt desselben
hasserfüllten Systems.
											Genau wie er.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
