fr,en,pt,tr,de,title,speaker,duration,tags
"
											C'est ce qui est bien
avec la réalité virtuelle.
											Avec tous les autres médias,
											c'est votre conscience 
qui interprète le média.
											Avec la réalité virtuelle,
votre conscience devient le média.
											C'est pourquoi le potentiel
de la réalité virtuelle est énorme.
											Mais où en sommes-nous ?
											Quel est le statut actuel de l'art ?
											Eh bien,
											nous en sommes là.
											Nous en sommes à l'équivalent
de la première année du cinéma.
											Voici le film des frères Lumière,
											qui a fait fuir des gens
dans une salle de cinéma bondée,
											car ils pensaient
qu'un train leur fonçait dessus.
											Tout comme les tout débuts de ce média,
											avec la réalité virtuelle,
nous devons dépasser le spectacle
											pour entrer dans la narration.
											Il a fallu des décennies à ce média
											pour trouver sa méthode
de narration préférée,
											sous la forme d'un long métrage.

											Avec la réalité virtuelle, aujourd'hui,
nous apprenons encore la grammaire
											plutôt que la syntaxe.
									","
											So here's what special about VR.
											In all other mediums,
											your consciousness interprets the medium.
											In VR, your consciousness is the medium.
											So the potential for VR is enormous.
											But where are we now?
											What is the current state of the art?
											Well,
											we are here.
											We are the equivalent
of year one of cinema.
											This is the Lumière Brothers film
											that allegedly sent a theater full
of people running for their lives
											as they thought a train
was coming toward them.
											Similar to this early stage
of this medium,
											in VR, we also have to move
past the spectacle
											and into the storytelling.
											It took this medium decades
											to figure out its preferred
language of storytelling,
											in the form of a feature film.
											In VR today, we're more learning grammar
											than writing language.
									","
											Eis o que é tão especial na RV.
											Em todo os outros meios,
											a vossa consciência interpreta o meio.
											Na RV, a vossa consciência é o meio.
											Por isso, o potencial da RV é enorme.
											Onde estamos agora?
											Qual é o estado da arte?
											Bem,
											estamos aqui.
											Somos o equivalente ao ano 1 do cinema.
											Este é o filme dos Irmãos Lumière
											que alegadamente fez com que toda a gente
num cinema fugisse a sete pés
											por pensarem que um comboio
se estava a dirigir de encontro a eles.
											Similarmente, na fase inicial deste meio,
											na RV temos também de ultrapassar
o espetáculo
											e de mergulhar na narração.
											Levou décadas a este meio
											para perceber a sua linguagem
preferida de narração,
											na forma de um filme.
											Hoje, na RV, estamos mais
a aprender uma gramática
											do que a escrever uma linguagem.
									","
											İşte sanal gerçeklikle ilgili 
özel olan şey bu.
											Diğer araçlarda
											bilinciniz aracı yorumlar.
											Sanal gerçeklikte bilinciniz araçtır.
											Yani sanal gerçekliğin 
potansiyeli devasadır.
											Ama şimdi neredeyiz?
											Sanatın şimdiki durumu nedir?
											İşte
											biz buradayız.
											Sinemanın ilk senesine eşitiz.
											Bu bir söylentiye göre trenin kendilerine
											doğru geldiğini düşündükleri için bir 
tiyatro dolusu insanın hayatlarını
											kurtarmak için kaçmasına
sebep olan Lumière Brothers filmi.
											Bu aracın erken evrelerine benzer şekilde
											sanal gerçeklikte de gözlüğü geçip
											hikâye anlatımına geçmemiz gerek.
											Bu aracın tercih ettiği
											hikâye anlatım şeklini 
sinema filmi formunda
											anlamak onlarca yıl aldı.
											Bugün sanal gerçeklikte yazılı dilden çok
											gramer öğreniyoruz.
									","
											Das Besonders bei VR ist folgendes:
											In allen anderen Medien
											deutet unser Bewusstsein das Medium.
											Bei VR ist das Bewusstsein das Medium.
											Daher ist das Potential von VR enorm.
											Aber wo stehen wir gerade?
											Was ist der aktuelle Stand der Technik?
											Nun, wir sind hier.
											Das entspricht etwa
dem ersten Jahr des Kinos.
											Das ist der Film der Gebrüder Lumière,
											der angeblich einen Kinosaal voller
Menschen um ihr Leben laufen ließ,
											als sie dachten, eine Zug käme auf sie zu.
											Ähnlich wie bei der
Frühphase dieses Mediums
											müssen wir auch bei VR über
das Spektakel hinauskommen
											und mit dem Geschichtenerzählen beginnen.
											Dieses Medium hat Jahrzehnte gebraucht,
											um seine bevorzugte
Erzählweise herauszufinden,
											nämlich den Spielfilm.
											Heute lernen wir bei VR eher Grammatik
											als das Schreiben.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Vrse, mon entreprise de réalité virtuelle,
a créé 15 films l'année dernière.
											Nous avons appris des choses.
											Nous avons compris qu'il existe
un chemin direct vers vos sens,
											vos émotions et même votre corps.
									","
											We've made 15 films in the last year
at our VR company, Vrse,
											and we've learned a few things.
											We found that we have a unique,
direct path into your senses,
											your emotions, even your body.
									","
											Fizemos 15 filmes no ano passado
na nossa empresa de RV, Vrse,
											e aprendemos algumas coisas.
											Descobrimos que temos uma única via
direta para os nossos sentidos,

											as nossas emoções,
até para o nosso corpo.
									","
											Geçen sene sanal gerçeklik şirketimiz 
Vrse ile 15 film yaptık
											ve birkaç şey öğrendik.
											Hislerinize, duygularınıza 
ve hatta vücudunuza eşsiz,
											doğrudan bir yol olduğunu bulduk.
									","
											Im letzten Jahr hat unsere
VR-Firma, Vrse, 15 Filme gemacht,
											und wir haben einiges gelernt.
											Wir merkten, dass wir einen einzigartigen,
direkten Zugang zu unseren Sinnen,
											Emotionen und sogar
zu unserem Körper haben.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Je vais vous montrer quelque chose.
											Pour cette démonstration,
											nous prenons toutes les directions
où vous pourriez regarder
											et l'étirer dans ce rectangle géant.
											OK. Allons-y.
									","
											So let me show you some things.
											For the purpose of this demo,
											we're going to take every direction
that you could possibly look,
											and stretch it into this giant rectangle.
											OK, here we go.
									","
											Deixem-me mostrar-vos
algumas coisas.
											Para o propósito desta demonstração,
											vamos tomar todas as direções possíveis
em que possam olhar,
											e esticá-las neste retângulo gigante.
											Ok, aqui vamos nós.
									","
											O zaman size bir şeyler göstereyim.
											Bu gösterimin amacı olarak
											görebileceğiniz her yönü alarak,
											bu devasa dikdörtgene genişleteceğiz.
											Tamam, işte burada.
									","
											Ich möchten Ihnen ein paar Dinge zeigen.
											Für diese Demonstration
											nehmen wir jede Perspektive ein,
aus der man es betrachten kann,
											und führen es in einem
riesigen Rechteck zusammen.
											Okay, legen wir los.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											D'abord : le mouvement de la caméra
est complexe dans la réalité virtuelle.
											Pas bien fait, ça peut donner la nausée.
											Si vous bougez la caméra
à vitesse constante en ligne droite,
											vous pouvez vous en sortir.
											Le premier jour à l'école du cinéma,
											ils vous disent d'apprendre
toutes les règles
											avant de vous en affranchir.
											Nous n'avons pas appris
toutes les règles,
											à peine quelques-unes.
											Mais nous voulons déjà
les transgresser
											pour voir jusqu'où
peut aller notre créativité.
											Ici, où nous décollons du sol,
j'ai ajouté une accélération.
											Le but est de vous donner
la sensation physique
											que vous décollez du sol.
											La réalité virtuelle offre
cette sensation.
									","
											So, first: camera movement
is tricky in VR.
											Done wrong, it can actually make you sick.
											We found if you move the camera
at a constant speed in a straight line,
											you can actually get away with it, though.
											The first day in film school,
											they told me you have to learn
every single rule
											before you can break one.
											We have not learned every single rule.
											We've barely learned any at all,
											but we're already trying to break them
											to see what kind of creative things
we can accomplish.
											In this shot here, where we're moving up
off the ground, I added acceleration.
											I did that because I wanted
to give you a physical sensation
											of moving up off the ground.
											In VR, I can give that to you.
									","
											Primeiro: o movimento de câmara
é difícil em RV.
											Se for mal feito,
pode mesmo causar enjoo.
											Descobrimos que se moverem a câmara
a uma velocidade constante, em linha reta,
											conseguem fazê-lo sem problemas.
											No primeiro dia na escola de cinema,
											disseram-me que temos de aprender
todas as regras
											antes de as podermos quebrar.
											Não aprendemos todas as regras.
											Quase não aprendemos regras nenhumas,
											mas já estamos a tentar quebrá-las
											para vermos que coisas criativas
conseguimos realizar.
											Nesta filmagem, quando nos afastávamos
do chão, acrescentei aceleração.
											Fiz isso porque queria dar-vos
a sensação física
											de nos afastarmos do chão.
											Na RV, posso dar-vos isso.
									","
											Öncelikle, sanal gerçeklikte 
kamera hareketi hassastır.
											Yanlış yapılırsa sizi rahatsız edebilir.
											Ancak düz bir çizgide sabit hızda 
kamerayı hareket ettirseniz,
											bundan kurtulabileceğinizi bulduk.
											Film okulundaki ilk gün
											kuralları yıkmadan önce 
her kuralı öğrenmek
											zorunda olduğumu söylediler.
											Her kuralı öğrenmedik.
											Çok azını öğrendik,
											ama ne tür yaratıcı şeyler
başarabileceğimizi
											görmek için onları zaten 
bozmaya çalışıyorduk.
											Buradaki çekimde yerden 
uzaklaşırken hız ekledim.
											Bunu yaptım, çünkü yerden 
uzaklaşmanın verdiği
											fiziksel hissi vermek istedim.
											Sanal gerçeklikte bunu size verebilirim.
									","
											Erstens: Kameraführung
ist knifflig bei VR.
											Falsch gemacht kann es Sie krank machen.
											Wir merkten, wenn wir bei konstanter
Geschwindigkeit geradlinig filmten,
											kriegt man es aber ganz gut hin.
											Am ersten Tag in der Filmschule
											wurde uns gesagt,
man müsste jede Regel lernen,
											bevor man eine brechen dürfte.
											Wir lernten aber nicht alle Regeln.
											Wir lernte kaum welche,
											aber wir brachen sie schon,
											um zu sehen, welche kreativen
Dinge wir erreichen könnten.
											In dieser Aufnahme entfernen wir uns
vom Boden, ich habe sie beschleunigt,
											weil ich Ihnen den physischen
Eindruck vermitteln wollte,
											vom Boden abzuheben.
											Mit VR kann ich das erreichen.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Musique)
									","
											(Music)
									","
											(Música)
									","
											(Müzik)
									","
											(Musik)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Sans surprise, la musique
est très importante dans ce média aussi.
											Elle oriente nos perceptions.
											Dans ce projet réalisé
avec le New York Times, Zach Ritcher
											et notre ami JR,
											nous vous embarquons
dans un hélicpotère
											et même si vous volez
700 mètres au-dessus de Manhattan,
											vous n'avez pas peur.
											Vous êtes triomphant
à la place de JR.
											La musique vous montre la voie.
									","
											Not surprisingly, music matters a lot
in this medium as well.
											It guides us how to feel.
											In this project we made
with the New York Times, Zach Richter
											and our friend, JR,
											we take you up in a helicopter,
											and even though you're flying
2,000 feet above Manhattan,
											you don't feel afraid.
											You feel triumphant for JR's character.
											The music guides you there.
									","
											Sem surpresa, a música também tem
muita importância neste meio.
											Orienta-nos no modo de sentir.
											Neste projeto que fizemos com
o New York Times,
											com Zach Richter e o nosso amigo, JR,
											vamos levar-vos de helicóptero,
											e, embora estejam a voar a 61 km
de altura sobre Manhattan,
											não sentem medo.
											Sentem-se triunfantes pela personagem JR.
											A música orienta-vos aqui.
									","
											Sürpriz değil, bu araçta da
müzik çok önemli.
											Ne hissetmemiz gerektiğiyle
ilgili bize bir rehber.
											New York Times'la yaptığımız 
bu projede Zach Richter
											ve arkadaşımız JR'la
											sizi helikoptere alıyoruz
											ve Manhattan'ın 610 metre
üstünde uçtuğunuz hâlde
											korkmuyorsunuz.
											JR'in karakteri için iftihar ediyorsunuz.
											Müzik size rehberlik ediyor.
									","
											Es ist wenig überraschend, dass Musik
in diesem Medium auch sehr wichtig ist.
											Es lenkt unsere Gefühle.
											In diesem Projekt, das wir mit
der New York Times, Zach Richter
											und unserem Freund JR machten,
											heben wir in einem Helikopter ab,
											und obwohl man 600 m
über Manhattan fliegt,
											hat man keine Angst.
											Man fühlt sich triumphal wegen JRs Figur.
											Die Musik lotst einen hier.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Musique)
									","
											(Music)
									","
											(Música)
									","
											(Müzik)
									","
											(Musik)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Contre la croyance populaire,
											il y a de la composition
dans la réalité virtuelle,
											mais elle est différente
de celle d'un film,
											avec son cadre rectangulaire.
											La composition est désormais
au niveau de votre conscience
											et s'adapte aux mouvements
du monde environnant.
											Dans ce film, « Waves of Grace »,
une collaboration entre Vrse,
											les Nations Unies, Gabo Arora
et Imraan Ismail,
											le gros plan a un rôle fluctuant
dans la réalité virtuelle :
											il signifie
que vous êtes proche de quelqu'un.
											Cette personne occupe
votre espace personnel,
											qui est habituellement réservé
aux personnes que nous aimons.
											Vous vous sentez proche
de ce personnage
											car vous ressentez une proximité physique.
									","
											Contrary to popular belief,
											there is composition in virtual reality,
											but it's completely
different than in film,
											where you have a rectangular frame.
											Composition is now
where your consciousness exists
											and how the world moves around you.
											In this film, ""Waves of Grace,""
which was a collaboration between Vrse,
											the United Nations, Gabo Arora,
and Imraan Ismail,
											we also see the changing role
of the close-up in virtual reality.
											A close-up in VR means
you're actually close up to someone.
											It brings that character inside
of your personal space,
											a space that we'd usually reserve
for the people that we love.
											And you feel an emotional
closeness to the character
											because of what you feel
to be a physical closeness.
									","
											Contrariamente à crença popular,
											há composição na realidade virtual,
											mas é diferente dos filmes,
											onde temos um enquadramento
retangular.
											A composição está
onde a nossa consciência existe
											e como o mundo se move à nossa volta.
											Neste filme, ""Waves of Grace"",
que foi uma colaboração entre a Vrse,
											as Nações Unidas, Gabo Arora
e Imraan Ismail,
											vemos também a mudança do uso
do plano aproximado na realidade virtual.
											Um plano aproximado em RV significa
que se está mesmo próximo de alguém.
											Traz essa personagem
para o vosso espaço pessoal,
											um espaço que usualmente reservaríamos
para as pessoas que amamos.
											E sentimos uma proximidade emocional
com a personagem
											por causa do que sentimos
ser uma proximidade física.
									","
											Genel kanının aksine
											sanal gerçeklikte kompozisyon bulunur,
											ama dikdörtgen çerçevelerinizin olduğu
											filmdekinden tamamen farklıdır.
											Artık kompozisyon bilincinizin 
var olduğu yerdir
											ve dünyanın etrafınızda nasıl döndüğüdür.
											Vrse, Birleşmiş Milletler, Gabo Arora,
ve İmraan İsmail ile
											bir işbirliği olan
""Zerafet Dalgası"" filminde
											sanal gerçekliğin değişen rolünü 
yakından da gördük.
											Sanal gerçeklikte yakın çekim demek 
birine yakın çekim demek.
											Karakteri genelde 
sevdiğiniz insanlar için
											ayırdığınız bir alan olan 
kişisel alanınıza getirir.
											Karaktere duygusal bir 
yakınlık hissedersiniz,
											çünkü hissettiğiniz şey 
fiziksel yakınlıktır.
									","
											Entgegen der gängigen Meinung
											gibt es bei virtueller Realität
eine Komposition,
											aber sie ist ganz anders als im Film,
											wo es einen rechteckigen Rahmen gibt.
											Komposition existiert dort,
wo Ihre Wahrnehmung ist
											und in der Art, wie die Welt
sich um einen bewegt.
											In dem Film, ""Waves of Grace"",
der eine Zusammenarbeit zwischen Vrse,
											der UN, Gabo Agora und Imran Ismail war,
											sehen wir auch die sich ändernde Rolle
der Nahaufnahme in virtueller Realität.
											Eine Nahaufnahme bedeutet bei VR,
das man jemandem wirklich nah ist.
											Die Spielfigur dringt in
den persönlichen Freiraum ein.
											Einen Raum, den wir normalerweise
denen vorbehalten, die wir lieben.
											Man fühlt eine emotionale Nähe zur Figur,
											wegen der gefühlten körperlichen Nähe.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											Réaliser des projets de réalité virtuelle
diffère de la réalisation du rectangle.
											Il s'agit plus de chorégraphier
l'attention du spectateur.
											Un outil que nous pouvons utiliser
pour guider votre attention
											est le « son spatialisé ».
											Je peux diffuser un son partout,
à votre droite ou votre gauche
											et même derrière vous,
											et quand vous tournez la tête,
le son tourne en conséquence.
											Je peux utiliser cette technique
pour orienter votre regard.
											La prochaine fois que quelqu'un
chante derrière votre épaule,
											ce sera peut-être Bono.
									","
											Directing VR is not like
directing for the rectangle.
											It's more of a choreography
of the viewer's attention.
											One tool we can use
to guide your attention
											is called ""spatialized sound.""
											I can put a sound anywhere
in front of you, to left or right,
											even behind you,
											and when you turn your head,
the sound will rotate accordingly.
											So I can use that to direct your attention
to where I want you to see.
											Next time you hear someone
singing over your shoulder,
											it might be Bono.
									","
											Realizar com a RV não é parecido
com a realização para o retângulo.
											É mais uma coreografia
da atenção do espectador.
											Uma ferramenta que podemos usar
para guiar a nossa atenção
											chama-se ""som espacializado"".
											Posso pôr um som em qualquer lado,
na vossa frente, à esquerda ou à direita,
											até atrás de vocês,
											e quando virarem a cabeça,
o som vai rodar também.
											Posso usar isso para dirigir
a vossa atenção
											para o que quero que vejam.
											Da próxima vez que ouvirem alguém
a cantar por cima do vosso ombro,
											pode ser o Bono.
									","
											Sanal gerçekliği yönetmek 
dikdörtgeni yönetmek gibi değil.
											Bu daha çok seyircinin 
dikkatinin koreografisi.
											Dikkatinizi yönlendirmek için 
kullanabileceğimiz araçlardan birine
											""uzamsal ses"" adı verilir.
											Önünüzde, solunuzda veya sağınızda, 
hatta arkanızda bile,
											herhangi bir yere ses koyabilirim
											ve başınızı çevirdiğinizde, 
ses ona göre dönecektir.
											Bu yüzden bunu dikkatinizi görmek 
istediğim yere çekmek için kullanabilirim.
											Bir daha omzunuzun arkasında 
şarkı söyleyen birini duyarsanız,
											o Bono olabilir.
									","
											VR-Regie kann man nicht
mit Standard-Regie vergleichen.
											Es ist eher eine Choreografie der
Aufmerksamkeit des Betrachters.
											Um die Aufmerksamkeit zu lenken,
											können wir ""räumlichen Klang"" verwenden.
											Ich kann Klang irgendwo vor Ihnen,
links oder rechts
											oder sogar hinter Ihnen positionieren.
											Und wenn Sie Ihren Kopf drehen,
dreht sich der Klang mit.
											Dadurch kann ich Ihre Aufmerksamkeit
auf das lenken, was Sie sehen sollen.
											Wenn Sie nächstes Mal jemanden
hinter sich singen hören,
											könnte es Bono sein.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											(Rires)
									","
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
											La réalité virtuelle nous donne
l'impression d'appartenir à quelque chose.
											Au fil de l'histoire humaine, nous avons
vécu au sein de petites unités familiales,
											d'abord dans des grottes,
											puis dans des clans et tribus,
puis des villages et des villes,
											et nous sommes désormais
des citoyens du monde.
											Mais je crois que nous sommes toujours
programmés pour nous soucier avant tout
											des choses qui nous sont proches.
											Or, la réalité virtuelle vous donne
l'impression que tout est proche.
											C'est pour cela
que c'est une machine à empathie.
											Notre film « Clouds Over Sidra »
vous mène dans un camp de réfugiés syriens
											et au lieu de regarder une histoire
sur les personnes qui y vivent,
											il s'agit d'une histoire
sur notre présence ici.
									","
											VR makes us feel
like we are part of something.
											For most of human history,
we lived in small family units.
											We started in caves,
											then moved to clans and tribes,
then villages and towns,
											and now we're all global citizens.
											But I believe that we are still
hardwired to care the most
											about the things that are local to us.
											And VR makes anywhere
and anyone feel local.
											That's why it works as an empathy machine.
											Our film ""Clouds Over Sidra""
takes you to a Syrian refugee camp,
											and instead of watching a story
about people over there,
											it's now a story about us here.
									","
											A RV faz-nos sentir
que fazemos parte de alguma coisa.
											Durante a maior parte da História Humana,
vivemos em pequenas unidades familiares.
											Começámos nas cavernas,
											depois mudámos para clãs e tribos,
depois aldeias e cidades,
											e agora somos todos cidadãos globais.
											Mas acredito que ainda somos feitos
para nos importarmos ao máximo
											com as coisas que nos são locais.
											E a RV faz com que qualquer sítio
e qualquer pessoa se sinta local.
											É por isso que funciona
como uma máquina de empatia.
											O nosso filme ""Clouds over Sidra""
leva-nos a um campo de refugiados sírios,
											e, em vez de assistirmos a uma história
sobre as pessoas, ali,
											é agora uma história sobre nós, aqui.
									","
											Sanal gerçeklik bizi bir şeyin 
parçası gibi hissettirir.
											İnsanlık tarihinin büyük bölümünde 
küçük aile üniteleri şeklinde yaşadık.
											Mağaralarda başladık,
											sonra klanlara ve kabilelere, 
sonra köylere ve kasabalara taşındık
											ve şimdi hepimiz küresel vatandaşlarız.
											Ama inanıyorum ki hâlâ bize yerel 
gelen şeyleri daha çok
											önemsemek üzere donanmışız.
											Sanal gerçeklikse her yere ve 
herkese yerellik hissi veriyor.
											Bu yüzden empati makinesi olarak çalışır.
											Filmimiz ""Sidra Üzerinde Bulutlar"" sizi 
bir Suriye mülteci kampına götürüyor
											ve oradaki insanların 
hikâyelerini seyretmektense,
											artık orada bizimle ilgili hikâye oluyor.
									","
											VR gibt uns das Gefühl,
Teil von etwas zu sein.
											Fast die gesamte Menschheitsgeschichte,
lebten wir in kleinen Familieneinheiten.
											Erst lebten wir in Höhlen,
											dann lebten wir in Clans und Stämmen,
dann in Dörfern und Städten
											und jetzt sind wir alle Weltbürger.
											Aber wir sind immer noch so veranlagt,
dass uns die Dinge am wichtigsten sind,
											die nah bei uns sind.
											Und durch VR fühlt sich jeder Ort
und jedermann nah an.
											Daher dient es als Empathie-Maschine.
											Unser Film ""Clouds Over Sierra"" bringt
Sie in ein syrisches Flüchtlingslager.
											Aber statt eine Geschichte
über die Menschen dort zu sehen,
											ist es jetzt eine Geschichte
über uns hier.
									",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
"
","
","
","
","
",The birth of virtual reality as an art form,Chris Milk,17:34,"beauty,collaboration,communication,composing,entertainment,film,future,innovation,media,technology,virtual reality,visualizations,art"
