es,fr,en,pt,title,speaker,duration,tags
"
											Esto es muy distinto a borrar un recuerdo.
											Los veteranos siempre van a recordar
sus experiencias traumáticas,
											pero con la suficiente práctica,
											esos recuerdos ya no serán tan crudos
o tan dolorosos, como fueron alguna vez.
											Emocionalmente, no sentirán como 
si apenas sucedió el día anterior,
											y ese es un sitio inmensamente mejor
en el cual estar.
									","
											Cela ne revient pas à effacer un souvenir.
											Les vétérans se souviendront
de leurs expériences traumatisantes
											mais, avec assez de pratique,
											ces souvenirs ne sont plus aussi crus
ou douloureux qu'ils l'étaient.
											Ils n'ont plus l'impression
que c'est arrivé hier
											et c'est immensément mieux pour eux.
									","
											Now, this is different
than erasing a memory.
											Veterans will always remember
their traumatic experiences,
											but with enough practice,
											those memories are no longer as raw
or as painful as they once were.
											They don't feel emotionally
like they just happened yesterday,
											and that is an immensely
better place to be.
									","
											Isto é diferente de apagar uma memória.
											Os veteranos vão sempre lembrar-se
das suas experiências traumáticas,
											mas, se praticarem o suficiente,
											essas memórias deixam de ser tão cruas
ou dolorosas como eram antes.
											Emocionalmente, eles não sentem
que acabou ainda ontem,
											e esse é um lugar imensamente
melhor para se estar.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Pero a veces es difícil,
											y como cualquier entrenamiento,
puede que no funcione para todo el mundo
											Y existen problemas de confianza.
											A veces me preguntan:
											""Si Ud. no ha estado allá, doctor,
¿cómo puede ayudarme?""
											Lo cual es entendible,
											pero,
											para retornar a la vida de civil
											no requieres de alguien
que haya estado allí.
											No requieres de entrenamiento para
operaciones en el campo de batalla,
											requieres de entrenamiento
para volver a casa.
									","
											Mais c'est souvent difficile.
											Comme tout entraînement, cela peut
ne pas fonctionner pour tout le monde.
											Il y a des problèmes de confiance.
											Parfois, on me demande :
											« Si vous n'y êtes pas allé,
comment pouvez-vous aider ? »
											Ce qui est compréhensible.
											Mais au moment
de retourner à la vie civile,
											vous n'avez pas besoin
de quelqu'un qui y était.
											Vous n'avez pas besoin d'entraînement
pour les opérations de combat
											mais d'entraînement
sur comment rentrer à la maison.
									","
											But it's often difficult.
											And, like any training,
it may not work for everybody.
											And there are trust issues.
											Sometimes I'm asked,
											""If you haven't been there, Doc,
how can you help me?""
											Which is understandable.
											But at the point of returning
to civilian life,
											you do not require
somebody who's been there.
											You don't require training
for operations on the battlefield;
											you require training on how to come home.
									","
											Mas muitas vezes é difícil.
											E, como em qualquer treino,
pode não funcionar para todos.
											E há problemas de confiança.
											Às vezes perguntam-me:
											""Se o Doutor não esteve lá,
como pode ajudar-me?""
											O que é compreensível.
											Mas no momento do regresso à vida civil,
											não é preciso alguém
que tenha estado lá.
											Não é preciso treino para
operações no campo de batalha;
											é preciso treino em como voltar para casa.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											En los últimos 10 años de mi trabajo
											he estado expuesto a recuentos detallados
											de las peores experiencias 
que puedan imaginar.
											A diario.
											Y no siempre ha sido fácil.
											Han habido momentos en que sentí
que mi corazón se quebraba,
											o que he absorbido demasiado.
											Pero,
											estos tratamientos con base en 
entrenamientos funcionan tan bien
											que lo que sea que este trabajo
tome de mí, lo devuelve con creces
											porque veo a las personas mejorar.
											Veo transformadas
las vidas de las personas.
									","
											Les dix dernières années,
dans mon travail,
											j'ai été exposé
à des descriptions détaillées
											des pires expériences imaginables,
											quotidiennement.
											Cela n'a pas toujours été facile.
											Il y a eu des moments
où j'ai senti mon cœur se briser
											ou senti que j'en avais trop absorbé.
											Mais ces traitements basés
sur l'entraînement fonctionnent si bien
											que, peu importe ce que mon travail
me prend, il me rend encore plus
											car je vois les gens aller mieux.
											Je vois la vie des gens se transformer.
									","
											For the past 10 years of my work,
											I have been exposed to detailed accounts
											of the worst experiences
that you can imagine,
											daily.
											And it hasn't always been easy.
											There have been times
where I have just felt my heart break
											or that I've absorbed too much.
											But these training-based
treatments work so well,
											that whatever this work takes out of me,
it puts back even more,
											because I see people get better.
											I see people's lives transform.
									","
											Nos últimos 10 anos do meu trabalho,
											eu estive exposto a relatos detalhados
											das piores experiências
que possam imaginar,
											diariamente.
											E nem sempre foi fácil.
											Houve vezes que simplesmente
sentia o meu coração a partir
											ou que absorvia demasiado.
											Mas estes tratamentos baseados
em treinos funcionam tão bem,
											que o que quer que este trabalho me tire,
devolve ainda mais,
											porque vejo pessoas a melhorar.
											Vejo as suas vidas a transformar.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Carlos ahora puede disfrutar
salidas con sus nietos,
											que es algo que no podía hacer
ni con sus propios hijos.
											Y lo que es sorprendente para mí,
es que después de 43 años de sufrimiento
											solamente le llevó 10 semanas de 
entrenamiento intenso recuperar su vida.
											Y cuando hablé con él, me dijo:
											""Sé que no puedo recuperar esos años
											pero por lo menos ahora, sean los que sean
los días que me quedan en esta Tierra,
											puedo vivirlos en paz.
											Y también dijo:
											""Espero que estos veteranos más jóvenes
											no esperen para buscar
la ayuda que necesitan"".
											Y esa es mi esperanza también.
											Porque...
											esta vida es corta.
											Y si uno es lo suficientemente afortunado
de haber sobrevivido a una guerra,
											o cualquier tipo de
experiencia traumática,
											esta en deuda consigo
de vivir la vida bien.
											No debería esperar para recibir
el tratamiento que necesita
											para que eso suceda.
									","
											Carlos peut maintenant profiter
de sorties avec ses petits-enfants,
											ce qu'il ne pouvait même pas faire
avec ses propres enfants.
											Pour moi, cela est génial
qu'après 43 ans de souffrance,
											cela ne lui ait pris que 10 semaines
d'entraînement intensif
											pour reprendre sa vie en main.
											Quand je lui ai parlé, il m'a dit :
											« Je sais que je ne peux pas
récupérer ces années.
											Mais au moins maintenant, quel que soit
le nombre de jours qu'il me reste,
											je peux les vivre en paix. »
											Il a aussi dit : « J'espère
que ces jeunes vétérans n'attendront pas
											pour obtenir l'aide nécessaire. »
											Je l'espère aussi.
											Car...
											la vie est trop courte
											et si vous avez la chance
d'avoir survécu à la guerre
											ou toute expérience traumatisante,
											vous vous devez de bien vivre votre vie.
											Vous ne devriez pas attendre
pour avoir l'entraînement nécessaire
											pour que cela arrive.
									","
											Carlos can now enjoy outings
with his grandchildren,
											which is something he couldn't even do
with his own children.
											And what's amazing to me
is that after 43 years of suffering,
											it only took him 10 weeks
of intense training to get his life back.
											And when I spoke with him, he told me,
											""I know that I can't get those years back.
											But at least now, whatever days
that I have left on this Earth,
											I can live them in peace.""
											He also said, ""I hope that these
younger veterans don't wait
											to get the help they need.""
											And that's my hope, too.
											Because ...
											this life is short,
											and if you are fortunate enough
to have survived war
											or any kind of traumatic experience,
											you owe it to yourself
to live your life well.
											And you shouldn't wait
to get the training you need
											to make that happen.
									","
											O Carlos agora pode desfrutar
e passear com os seus netos,
											uma coisa que não conseguia fazer
nem com os seus filhos.
											E o fantástico para mim é que,
depois de 43 anos de sofrimento,
											só foram precisas 10 semanas
de treino intenso para voltar a ter vida.
											Quando falei com ele, ele disse-me:
											""Eu sei que não posso
recuperar esses anos.
											""Mas, pelo menos agora, qualquer
número de dias que tenha neste Terra
											""posso vivê-los em paz.""
											E também disse: ""Espero que estes
veteranos mais novos
											""não esperem para encontrar
a ajuda que precisam.""
											E essa também é a minha
esperança.
											Porque ...
											a vida é curta,
											e se tivermos a sorte
de sobreviver à guerra
											ou a qualquer tipo de
experiência traumática,
											devemos a nós próprios
vivermos uma boa vida.
											E vocês não deveriam esperar
para ter o treino necessário
											para que isso aconteça.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											La mejor manera de terminar el
sufrimiento humano causado por guerras,
											es nunca ir a la guerra.
											Pero todavía no hemos
llegado a ello como especie.
											Hasta que lo hagamos,
											el sufrimiento mental que creamos
en nuestros hijos y nuestras hijas
											cuando los enviamos a pelear,
											puede ser calmado.
											Pero debemos asegurar que 
la ciencia, que el nivel de energía,
											que el valor que colocamos
al enviarlos a pelear una guerra,
											sea por lo menos reflejado
en cuán bien los preparamos
											para volver a casa y a nosotros.
											Todo eso les debemos.
									","
											La meilleure façon de mettre fin
											à la souffrance humaine
causée par la guerre
											est de ne jamais aller à la guerre.
											Mais, en tant qu'espèce,
nous n'en sommes pas là.
											D'ici à ce que nous y soyons,
											la souffrance mentale que nous créons
chez nos fils et nos filles
											quand nous les envoyons combattre
											peut être soulagée.
											Mais nous devons nous assurer
que la science, le niveau d'énergie,
											la valeur que nous plaçons
quand nous les envoyons à la guerre
											est au moins reflétée
											par la façon dont nous les préparons
à revenir à la maison.
											Cela, nous leur devons.
									","
											Now, the best way of ending
human suffering caused by war
											is to never go to war.
											But we are just not there
yet as a species.
											Until we are,
											the mental suffering that we create
in our sons and in our daughters
											when we send them off to fight
											can be alleviated.
											But we must ensure that the science,
the energy level, the value
											that we place on sending them off to war
											is at the very least mirrored
											in how well we prepare them
to come back home to us.
											This much, we owe them.
									","
											A melhor forma para acabar
com o sofrimento causado pela guerra
											é nunca entrar em guerra.
											Mas ainda não chegámos lá,
como espécie.
											Até lá chegarmos,
											o sofrimento mental que criamos
aos nossos filhos e filhas
											quando os enviamos para lutar
											pode ser aliviado.
											Mas temos de assegurar que a ciência,
o nível de energia, o valor
											que colocamos em enviá-los para a guerra
											são, no mínimo, espelhados
											em quão bem os preparamos
para voltarem para casa, para nós.
											É o mínimo que lhes devemos.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											Gracias.
									","
											Merci.
									","
											Thank you.
									","
											Obrigado.
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
											(Aplausos)
									","
											(Applaudissements)
									","
											(Applause)
									","
											(Aplausos)
									","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
"
","
","
","
","We train soldiers for war. Let's train them to come home, too",Hector Garcia,10:31,"PTSD,psychology,war,depression,mental health,society,military"
