en,tr,pt,fr,es,de,title,speaker,duration,tags
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											We like to call this the helicopter mode.
									","
											Buna helikopter modu diyoruz.
									","
											Gostamos de chamar a isso
o ""modo helicóptero"".
									","
											On appelle souvent ça le mode hélico.
									","
											Nos gusta llamar esta 
posición el helicóptero.
									","
											Wir nennen das Hubschraubermodus.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											Now, the deeper something is etched
into your consciousness,
											the fewer details we need
to have an emotional reaction.
									","
											Daha derinlerde,
bir şey bilinçaltınıza işlemiş,
											çok az ayrıntıyla duygusal
bir reaksiyon verebiliyoruz.
									","
											Quanto mais fundo algo estiver gravado
na nossa consciência,
											menos detalhes precisamos
para ter uma reação emocional.
									","
											Alors, plus une chose est ancrée
profondément dans notre conscience,
											moins on a besoin de détails
pour susciter des émotions.
									","
											Si algo está profundamente
grabado en tu conciencia,
											harán falta menos detalles para
crear una reacción emocional.
									","
											Je tiefer etwas in ihr Bewusstsein
eingraviert ist,
											desto weniger Details brauchen wir
für eine emotionale Reaktion.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											So why does an image like this work?
											It works, because we as readers
											are incredibly good
at filling in the blanks.
											Now, when you draw,
there's this concept of negative space.
											And the idea is, that instead
of drawing the actual object,
											you draw the space around it.
											So the bowls in this drawing are empty.
											But the black ink prompts your brain
to project food into a void.
											What we see here is not a owl flying.
											What we actually see
is a pair of AA batteries
											standing on a nonsensical drawing,
											and I animate the scene
by moving my desk lamp up and down.
									","
											Böyle bir görsel neden işe yarıyor?
											İşe yarıyor çünkü bizler okuyucu olarak
											boşlukları doldurmada çok iyiyiz.
											Çizim yaparken negatif boşluk
dediğimiz bir konsept var.
											Burada yaptığımız,
asıl nesneyi çizmek yerine
											çevresindeki boşluğu çizmek.
											Mesela bu çizimdeki kâseler boş.
											Ama siyah mürekkep beyninizin
boşlukta yiyecek var sanmasını sağlıyor.
											Burada aslında uçan bir baykuş görmüyoruz.
											Aslında gördüğümüz bir çift kalem pil,
											anlamsız bir çizimde duruyorlar.
											Masa lambamı aşağı yukarı oynatarak
sahneyi hareketlendiren benim.
									","
											Então porque é que as imagens
funcionam assim?
											Funcionam, porque nós, como leitores,
											somos incrivelmente bons em 
preencher espaços em branco.
											Quando desenhamos,
há um conceito negativo de espaço.
											E a ideia é que,
em vez de desenhar o objeto real,
											desenhamos o espaço ao redor.
											As tigelas neste desenho estão vazias.
											Mas a tinta preta induz o nosso
cérebro a projetar comida no vazio.
											O que vemos aqui não é uma coruja a voar.
											Na verdade, vemos um par de baterias AA
											postas de pé num desenho
sem sentido.
											Animei a cena, movendo para cima
e para baixo a lâmpada da mesa.
									","
											Pourquoi de telles images
provoquent-elles des émotions ?
											Elles le font, car nous,
en tant que lecteurs,
											nous sommes particulièrement
doués pour remplir les vides.
											En fait, en dessin,
il y a ce concept d'espace négatif.
											Au lieu de dessiner l'objet réel,
											on dessine l'espace qui l'entoure.
											De fait, les bols sont vides
dans ce dessin.
											Mais l'encre noire incite votre cerveau à 
imaginer la nourriture dans l'espace vide.
											Ce qu'on voit ici,
ce n'est pas un hibou en vol.
											On voit en réalité deux piles classiques
											posées sur un dessin absurde,
											et j'anime la scène en bougeant
ma lampe de bureau de haut en bas.
									","
											¿Por qué esta ilustración funciona?
											Funciona porque como lectores
											somos muy buenos para
rellenar los espacios en blanco.
											Cuando dibujan existe
el concepto del espacio negativo.
											La idea es que en vez de
dibujar el objeto,
											se dibuja el espacio que lo rodea.
											Los cuencos en este dibujo están vacíos.
											Pero la tinta negra incita a tu cerebro
a proyectar comida en el vacío.
											Lo que vemos aquí no es un búho volando.
											Lo que vemos es un par de pilas AA
											sobre un dibujo sin sentido,
											y animo la escena moviendo
una lámpara de mesa de arriba a abajo.
									","
											Also, warum wirkt ein solches Bild so?
											Das Bild funktioniert, da wir als Leser
											durchaus gut darin sind, Lücken zu füllen.
											Wenn man zeichnet,
gibt es das Konzept des Negativ-Raums.
											Die Idee ist, statt das
eigentliche Objekt zu zeichnen,
											zeichnet man den umgebenden Raum.
											Die Schüsseln auf dem Bild sind leer.
											Die schwarze Tinte fordert Ihr Gehirn auf,
sich in der Leere Essen vorzustellen.
											Was wir sehen, ist keine fliegende Eule.
											Was wir wirklich sehen, sind AA-Batterien,
											die auf einem sinnlosem Bild stehen,
											und ich belebe die Szene, indem ich meine
Tischlampe nach oben und unten bewege.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											The image really only exists in your mind.
											So, how much information do we need
to trigger such an image?
											My goal as an artist
is to use the smallest amount possible.
											I try to achieve a level of simplicity
											where, if you were to take away
one more element,
											the whole concept would just collapse.
											And that's why my personal favorite tool
as an artist is abstraction.
											I've come up with this system
which I call the abstract-o-meter,
											and this is how it works.
											So you take a symbol, any symbol,
for example the heart and the arrow,
											which most of us would read
as the symbol for love,
											and I'm an artist, so I can draw this
											in any given degree
of realism or abstraction.
											Now, if I go too realistic on it,
it just grosses everybody out.
									","
											Görsel gerçekten de sadece zihninizde.
											Peki böyle bir görseli oluşturmak için
ne kadar bilgiye ihtiyacımız var?
											Ressam olarak amacım
mümkün olan en düşük miktarı kullanmak.
											Belli düzeyde bir sadelik amacım var,
											öyle ki tek bir etkeni
bile ortadan kaldırsak
											tüm konsept yerle bir olabilir.
											Bu yüzden de ressam olarak
favori tekniğim soyutlama.
											Soyutluk-ölçer dediğim
bir sistem oluşturdum
											ve şu şekilde işe yarıyor.
											Herhangi bir sembol ele alalım,
mesela kalp ve ok,
											çoğumuz bunu aşkın
sembolü olarak yorumlar
											ve ben de bir ressamım,
											dolayısıyla istediğim realizm
ve soyutluk düzeyinde bunu çizebilirim.
											Eğer çok realist gidersem
herkesin midesi bulanır.
									","
											A imagem realmente só existe
na nossa mente.
											De quanta informação precisamos
para induzir uma imagem como esta?
											O meu objetivo como artista é usar
a menor quantidade possível.
											Tentar alcançar um nível de simplicidade
											no qual, se houver um elemento a mais,
											todo o conceito se poderá perder.
											Por isso, a minha ferramenta preferida
como artista, é a abstração.
											Comecei com o sistema a que chamo 
""medidor abstrato"",
											e é assim que funciona.
											Pegamos num símbolo, qualquer símbolo, 
por exemplo, o coração com uma flecha,
											que muitos de nós interpretaríamos
como símbolo para o amor,
											e eu sou um artista,
por isso, posso desenhar isto
											num certo nível de realismo ou abstração.
											Se o fizer muito realista,
desagradaria a todos.
									","
											L'image n'existe que dans notre cerveau.
											De combien d'informations avons-nous
besoin pour déclencher une telle image ?
											En tant qu'artiste, je cherche
à minimiser leur usage.
											J'essaie d'atteindre
un niveau de simplicité
											tel que si on enlève un seul élément,
											le concept entier s'effondre.
											Voilà pourquoi, en tant qu'artiste,
l'abstraction est mon outil préféré.
											J’ai développé un système
que j'ai nommé « abstractomètre ».
											Ça fonctionne comme ceci :
											vous prenez n'importe quel symbole,
un cœur avec une flèche, par exemple,
											le symbole de l'amour
pour la plupart d'entre nous.
											Comme je suis un artiste,
je peux choisir de le dessiner
											avec n'importe quel degré
de réalisme ou d'abstraction.
											Si mon dessin est trop réaliste,
c'est dégoûtant.
									","
											La imagen realmente
solo existe en tu mente.
											Entonces, ¿cuánta información
nos hace falta para crear esta imagen?
											Mi objetivo como artista es usar
la menor cantidad posible.
											Intento alcanzar 
un nivel de simplicidad tal
											que al eliminar un elemento más,
											todo el concepto colapsaría.
											Por eso mi herramienta favorita
como artista es la abstracción.
											He inventado un sistema
que llamo el abstractómetro
											y funciona así.
											Tomas cualquier símbolo,
por ejemplo, el corazón y la flecha,
											que la mayoría de nosotros
entenderíamos como el símbolo del amor,
											y como artista puedo dibujar esto
											usando cualquier nivel
de realismo o abstracción.
											Si lo hago muy realista,
nos parecerá grotesco.
									","
											Das Bild existiert nur in Ihren Köpfen.
											Wie viel Informationen benötigen wir,
um so ein Bild auszulösen?
											Mein Ziel als Künstlers ist,
die kleinstmögliche Menge zu gebrauchen.
											Ich versuche,
eine Einfachheit zu erreichen,
											bei der, wenn Sie nur ein Element
entfernen würden,
											das ganze Konzept zusammenbricht.
											Mein persönliches Lieblingsmittel
als Künstler ist die Abstraktion.
											Ich habe ein System
namens ""Abstakt-O-Meter"" erfunden,
											und so funktioniert es.
											Sie nehmen ein beliebieges Zeichen,
z. B. ein Herz und einen Pfeil,
											das die meisten von uns
als Zeichen für Liebe lesen,
											und ich bin Künstler,
also kann ich es zeichnen,
											in jedem Realitäts- oder Abstraktionsgrad.
											Wenn ich zu realistisch bin,
widert das jeden an.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											If I go too far on the other side
and do very abstract,
											nobody has any idea
what they're looking at.
											So I have to find
the perfect place on that scale,
											in this case it's somewhere in the middle.
											Now, once we have reduced an image
to a more simple form,
											all sorts of new connections
become possible.
											And that allows for totally
new angles in storytelling.
									","
											Soyutluğu çok fazla öne çıkarırsam da
											kimsenin ne olduğundan haberi olmaz.
											O yüzden ölçekte
o harika noktayı yakalamam lazım,
											bu durumda ortalarda bir yerde.
											Bir görseli daha basit
bir hâle indirgediğimizde
											her tür yeni bağlantı mümkün oluyor.
											Bu da hikâye anlatımı için
tamamen yeni bakış açıları demek.
									","
											Se eu for muito para o outro lado,
e o fizer bem abstrato,
											ninguém terá ideia do que está a ver.
											Tenho que encontrar o lugar
perfeito nessa escala,
											neste caso, será algures no meio.
											Uma vez reduzida uma imagem
à sua forma mais simples,
											novas conexões tornam-se possíveis,
											permitindo ângulos totalmente
novos na narrativa.
									","
											Mais si je pousse mon dessin
trop loin dans l'abstraction,
											plus personne ne le reconnaît.
											Donc je dois trouver l'endroit
parfait sur mon échelle,
											dans ce cas-ci, c'est au milieu.
											Maintenant qu'on a réduit l'image
à une forme plus simple,
											une large variété de connexions
nouvelles s'ouvrent à nous.
											Ça ouvre de toutes nouvelles
perspectives à la narration.
									","
											Si me voy hacia el otro extremo
y lo hago muy abstracto,
											nadie tendrá idea de lo estamos viendo.
											Tengo que encontrar
el lugar perfecto en la escala,
											y en este caso, está por el medio.
											Una vez que hemos reducido
la ilustración a una forma más simple,
											todo tipo de conexiones se hacen posibles.
											Y eso nos permite tener
nuevos ángulos en la historia.
									","
											Wenn ich andersrum übertreibe
und zu abstrakt bin,
											weiß keiner, was sie anschauen.
											Ich muss die richtige Position
auf der Skala finden,
											in dem Fall ist es irgendwo in der Mitte.
											Sobald wir das Bild vereinfacht haben,
											werden neue Verbindungen möglich.
											Das ermöglicht völlig neue Blickwinkel
beim Geschichten erzählen.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											And so, what I like to do is,
											I like to take images from really remote
cultural areas and bring them together.
											Now, with more daring references —
									","
											Yapmayı sevdiğim şey,
											uzak kültürel yerlerden görseller alıp
bunları bir araya getirmek.
											Daha cesurca referanslarla...
									","
											E o que gosto de fazer
											é pegar em imagens de áreas remotas
e colocá-las juntas,
											com referências mais ousadas...
									","
											Et donc, ce que j'aime faire,
											c'est associer des images issues
d'endroits culturellement éloignés.
											Avec des références plus audacieuses —
									","
											Lo que me gusta hacer
											es tomar imágenes de áreas
culturales remotas y combinarlas.
											Ahora, con referencias más atrevidas...
									","
											Was ich gern mache, ist,
											Bilder aus entlegenen Kulturräumen zu
nehmen und diese zusammenzubringen.
											Mit mutigeren Anspielungen —
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rire)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											I can have more fun.
											But of course, I know that eventually
things become so obscure
											that I start losing some of you.
											So as a designer, it's absolutely key
to have a good understanding
											of the visual and cultural
vocabulary of your audience.
											With this image here,
a comment on the Olympics in Athens,
											I assumed that the reader
of the ""New Yorker""
											would have some rudimentary
idea of Greek art.
											If you don't, the image doesn't work.
											But if you do, you might
even appreciate the small detail,
											like the beer-can pattern here
on the bottom of the vase.
									","
											Daha fazla eğlenebilirim.
											Ancak biliyorum ki sonunda
çizimler anlaşılmaz bir hâl alacak
											ve beni anlamamaya başlayacaksınız.
											O yüzden bir tasarımcı olarak
hitap ettiğiniz kitlenin
											görsel ve kültürel dil dağarcığına
hakim olmak kesinlikle çok önemli.
											Bu görseli ele alalım,
Atina'daki olimpiyatlardan bir yorum,
											Öyle sanıyorum ki
''New Yorker'' dergisinin okuyucusu
											Yunan sanatı hakkında ön bilgiye sahip.
											Çünkü değilseniz
bu görsel mesajını veremez.
											Ama bilginiz varsa
en küçük ayrıntıyı bile görürsünüz,
											tıpkı kupanın dibindeki
bira tenekesi deseni gibi.
									","
											Posso divertir-me mais.
											Claro. entendo que eventualmente 
as coisas ficam tão obscuras
											que começo a perder a vossa atenção.
											Como ""designer"", é indispensável ter
um bom entendimento
											visual, cultural e de vocabulário
do meu público.
											Com esta imagem aqui,
um comentário nas Olimpíadas de Atenas,
											presumi que o leitor nova-iorquino
											tivesse algumas noções rudimentares
sobre a arte Grega.
											Se não se tiver, a imagem não funciona.
											Se se tiver, poder-se-á até apreciar
os pequenos detalhes,
											como o padrão das latas de cerveja
no fundo da jarra.
									","
											je m'amuse encore plus.
											Mais bien sûr, je sais que tôt ou tard
ça va devenir trop occulte,
											et je vais perdre
quelques-uns d'entre vous.
											Pour un dessinateur, c'est donc absolument
essentiel d'avoir une bonne compréhension
											du vocabulaire visuel et culturel
de son audience.
											Avec cette image, un commentaire
sur les Jeux Olympiques d'Athènes,
											je fais le pari que le lecteur
du « New Yorker »
											a des connaissances
rudimentaires en art grec.
											Si ce n'est pas le cas,
l'image ne fait pas sens.
											Si c'est le cas, vous apprécierez
le dessin jusqu'au moindre petit détail,
											le motif des canettes de bière 
dans le bas du vase, par exemple.
									","
											me divierto más.
											Pero sé que eventualmente
las cosas se harán tan imprecisas
											que comenzaré a confundir
a algunos de Uds.
											Así que como diseñador es realmente clave
tener un buen entendimiento
											del vocabulario visual
y cultural de la audiencia.
											Con esta ilustración, un comentario
sobre las Olimpíadas en Atenas,
											asumo que el lector del ""New Yorker""
											tendrá una idea rudimentaria
del arte griego.
											Si no, la imagen no funciona.
											Si lo tienen, incluso apreciarán
los pequeños detallas,
											como este diseño de latas de cervezas
en la parte inferior del jarrón.
									","
											kann ich mehr Spaß haben.
											Aber natürlich weiß ich,
die Dinge werden irgendwann unklar,
											sodass ich einige von Ihnen verliere.
											Als Künstler ist es unentbehrlich,
ein gutes Verständnis
											vom visuellen und kulturellen Wortschatz
der Zielgruppe zu haben.
											Mit dem Bild hier, einem Kommentar
zu den olympischen Spielen in Athen,
											nahm ich an, Leser vom ""New Yorker""
											hätten eine Grundvorstellung
von griechischer Kunst.
											Wenn man das nicht hat,
funktioniert das Bild nicht.
											Wenn ja, schätzt man
vielleicht das kleinste Detail,
											wie das Bierdosenmuster hier
unten auf der Vase.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											A recurring discussion I have
with magazine editors,
											who are usually word people,
											is that their audience, you,
											are much better at making
radical leaps with images
											than they're being given credit for.
											And the only thing I find frustrating
is that they often seem to push me
											towards a small set
of really tired visual clichés
											that are considered safe.
											You know, it's the businessman
climbing up a ladder,
											and then the ladder moves,
morphs into a stock market graph,
											and anything with dollar signs;
that's always good.
									","
											Genellikle sözcüklerle anlaşan
dergi editörleriyle
											tekrar tekrar girdiğim bir tartışma,
											sanatın hitap ettiği kişiler, sizler,
											görsellere sanıldığından çok daha fazla
											radikal anlamlar
yükleyebiliyorsunuz.
											Bu konuda tatmin olamadığım tek şey,
											beni genellikle zararsız olarak düşünülen
											görsel klişelere itiyor olmaları.
											Mesela bir merdivene
tırmanan bir iş insanı,
											merdiven hareket ediyor
ve borsa pazarına dönüşüyor,
											bir de dolar simgeli şeyler var,
bunlar hep güzel.
									","
											Uma discussão recorrente
que tenho com os editores de revistas,
											que geralmente são pessoas de palavras,
											é que o público deles, vocês,
											são melhores a fazer
saltos radicais com as imagens
											do que se pensa.
											E a única coisa que acho frustrante
é frequentemente empurrarem-me
											para um pequeno conjunto
de clichês visuais gastos
											que são considerados seguros.
											É como um empresário a subir a escada,
											a escada move-se, transforma-se 
num gráfico do mercado de ações da Bolsa
											e qualquer coisa com cifrões de dólar, 
é sempre bom.
									","
											Une discussion récurrente que j'ai
avec les éditeurs de magazines,
											qui sont généralement
des gens de lettres,
											c'est que leur lectorat, vous,
											est bien meilleur pour faire
des connexions radicales avec des images
											que ce que l'on croit.
											S’il y a bien une chose qui me frustre,
c'est qu'ils me poussent souvent
											à avoir recours à une petite collection
de clichés visuels vraiment éculés
											mais considérés sans risque.
											Vous savez, l'homme d'affaires
qui grimpe une échelle,
											puis l'échelle bouge et se transforme
en graphique du marché boursier,
											ou n'importe quoi avec le symbole
dollar ; c'est toujours bon.
									","
											Un debate recurrente que tengo
con los editores de revistas,
											que son por lo general gente de palabras,
											es que la audiencia, o sea Uds.,
											están más dispuestos a aceptar
cambios radicales en las ilustraciones
											que lo que creen.
											Lo único que me parece frustrante
es que con frecuencia me obligan
											a usar un pequeño número de clichés
visuales repetidos hasta el cansancio
											porque son más seguros.
											Como el hombre de negocios
que va subiendo una escalera
											y esta se mueve y se transforma
en un gráfico de la bolsa de valores,
											y cualquier cosa con el signo del dólar,
que siempre es bueno.
									","
											Immer wieder habe ich Diskussion
mit Zeitschriftenredakteuren,
											die meistens Wörter-Typen sind,
											darüber, dass ihre Zielgruppe, Sie,
											viel besser darin sind,
riesige Sprünge durch Bilder zu machen,
											als man erwarten kann.
											Mich frustriert nur, dass sie
mich oft dazu bringen wollen,
											eine kleine Zahl an wirklich banalen
visuellen Klischees zu benutzen,
											die als sicher angesehen werden.
											Wissen Sie, ein auf die Leiter
steigender Geschäftsmann,
											dann bewegt sich die Leiter,
wird zu einer Börsenkurve,
											oder sonst was mit Dollarzeichen;
das ist immer gut.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											If there are editorial decision makers
here in the audience,
											I want to give you a piece of advice.
											Every time a drawing
like this is published,
											a baby panda will die.
									","
											İzleyiciler arasında
karar verici editörler varsa
											size bir tavsiye vermek istiyorum.
											Böyle bir çizim her yayınlandığında
											yavru bir panda ölecek.
									","
											Se houver aqui editores nesta audiência,
											Quero dar-vos um pequeno conselho.
											Sempre que um desenho
como este for publicado,
											um panda bebé vai morrer.
									","
											S'il y a des décideurs éditoriaux
parmi vous aujourd'hui,
											j'aimerais vous donner un conseil.
											Chaque fois qu'un dessin
comme celui-ci est publié,
											un bébé panda mourra.
									","
											Si en la audiencia tenemos personas
que toman decisiones editoriales,
											quiero darles un consejo.
											Cada vez que se publica
una ilustración como esta,
											muere un bebé panda.
									","
											Wenn es hier im Publikum
redaktionelle Entscheider gibt,
											würde ich Ihnen gerne einen Rat geben.
											Immer wenn so ein Bild
veröffentlicht wird,
											stirbt ein Baby-Panda.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											Literally.
									","
											Gerçekten.
									","
											Literalmente.
									","
											Littéralement.
									","
											Literalmente.
									","
											Im wahrsten Sinne des Wortes.
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Applaus)
									",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
"
","
","
","
","
","
",You are fluent in this language (and don't even know it),Christoph Niemann,12:42,"art,creativity,design,culture,empathy,humor,beauty,communication,humanity"
