tr,es,pt,fr,de,title,speaker,duration,tags
"
											Geçenlerde Abraham Lincoln'un çok müthiş bir sözüne denk geldim,
											bu noktada ondan bir alıntının hoşunuza gideceğini düşündüm, haklıyım değil mi?
											(Gülüşmeler)
											Bunu 1862 Aralık'ta
											kongrenin ikinci yıllık toplantısında söylemiş.
											Yalnız itiraf etmeliyim o sırada neler olup bittiği konusunda hiç bir fikrim yok
											biz Ingiltere'de Amerika tarihi okutmuyoruz çünkü.
											(Gülüşmeler)
											Özellikle saklıyoruz, politikamız böyle.
											(Gülüşmeler)
											Neyse, 1862'de mutlaka ki çok önemli şeyler oluyordu
											aramızdaki Amerikalılar
											bilirler.
									","
											Me encontré con una gran cita de Abraham Lincoln,
											Que pensé, les gustará que sea citado en este punto.
											(Risas)
											Él dijo esto en diciembre de 1862
											para la segunda reunión anual del congreso.
											Debo explicar que no tengo ni idea de lo 
que estaba sucediendo en ese momento.
											En Inglaterra no enseñamos historia norteamericana.
											(Risas)
											Lo suprimimos. Esa es nuestra política.
											(Risas)
											Así que, sin duda, algo fascinante 
estaba pasando en diciembre de 1862,
											que los estadounidenses entre nosotros
											deben saber.
									","
											Li há pouco tempo uma brilhante citação
de Abraham Lincoln,
											e achei que vocês gostariam
de ter uma citação nesta altura.
											(Risos)
											Ele disse isto em dezembro de 1862
na segunda reunião anual do Congresso.
											Devo dizer-vos que não faço a menor ideia
do que se passava na altura.
											Não ensinamos história americana
na Grã-Bretanha.
											(Risos)
											Suprimimo-la. É a nossa política.
											(Risos)
											Sem dúvida, em dezembro de 1862,
estava a ocorrer qualquer coisa fascinante
											que os americanos aqui presentes
devem saber.
									","
											Je suis tombé récemment sur une superbe citation de Lincoln,
											que je suis certain que vous aimerez voir cité à ce point.
											(Rires)
											Il a dit cela en décembre 1862
											à la seconde réunion annuelle du Congrès.
											Je me dois de dire que je n'ai aucune idée de ce qui se passait à l'époque.
											On n'enseigne pas l'histoire américaine en Grande-Bretagne.
											(Rires)
											On la supprime. Vous savez, c'est notre politique.
											(Rires)
											Sans aucun doute, quelque chose de fascinant se passait en décembre 1862,
											dont les Américains parmi nous
											seront au courant.
									","
											Ich bin vor kurzem auf ein Zitat von Abraham Lincoln gestoßen,
											von dem ich dachte, dass Sie ihn an dieser Steller gerne zitiert hätten.
											(Gelächter)
											Er sagte dies im Dezember des Jahres 1862
											bei der zweiten jährlichen Tagung des Kongresses.
											Ich sollte dazu sagen, dass ich keine Ahnung habe, was zu der Zeit passierte.
											Wir lehren keine amerikanische Geschichte in Großbritannien.
											(Gelächter)
											Wir verdrängen sie, wissen Sie. Das ist unsere Politik.
											(Gelächter)
											Also, zweifellos passierte irgendetwas Faszinierendes im Dezember 1862,
											worüber die Amerikaner unter uns
											Bescheid wissen werden.
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Şöyle söylemiş:
											""Sakin geçmişin
											dogmaları
											fırtınalı bugün için yetersizdir.""
											Bir durum
											şartlar zorlaştıkça aşılması zor hale gelebilir,
											o zaman biz de zorlukların üzerine tırmanarak o durumu aşmalıyız.
											Ben bu yaklaşıma bayıldım.
											Bir durumun üstesinden, zorluklardan kaçarak değil onları kullanarak gelmek.
											""Bizim davamız yeni,
											demek ki yeni düşüncelerimiz olmalı
											ve eylemlerimiz de yeni olmalı.
											Kendimizi azat etmeliyiz
											ancak ondan sonra ülkemizi kurtarabiliriz.""
									","
											Pero él dijo esto:
											""Los dogmas
											del pasado silencioso
											son inadecuados para el presente tempestuoso.
											La ocasión
											es una montaña de dificultades,
											y debemos crecer con la circunstancia"".
											Me encanta.
											No ponernos a la altura, sino crecer con ellas.
											""Como nuestro caso es nuevo,
											entonces tenemos que pensar de nuevo
											y actuar de nuevo.
											Debemos desencantarnos nosotros mismos
											y así podremos salvar a nuestro país"".
									","
											Mas o que ele disse foi o seguinte:
											""Os dogmas do passado calmo
											""não são adequados
a um presente tempestuoso.
											"" A ocasião é extraordinariamente difícil
											""e nós temos de nos elevar com a ocasião.""
											Adoro isto.
											Não elevarmo-nos ""perante"" o desafio,
mas sim com ele.
											""Como o nosso caso é novo,
											""temos de pensar de uma nova maneira
e agir de uma nova maneira.
											""Temos de nos desenredar
											""e assim conseguiremos
salvar o nosso país.""
									","
											Mais il a dit ceci:
											""Les dogmes
											du passé serein
											sont inadéquats pour le présent tempétueux.
											Les circonstances
											voient les difficultés s'accumuler,
											et nous devons nous élever avec les circonstances.""
											J'aime cela.
											Pas s'élever jusqu'à, s'élever avec.
											""Comme notre cas est nouveau,
											nous devons penser et agir
											de manière nouvelle
											Nous devons nous désengager de nos liens
											et alors nous sauverons notre pays.""
									","
											Aber er sagte dies:
											""Die Dogmen
											der ruhigen Vergangenheit
											sind für die stürmische Gegenwart unzureichend.
											Die Lage
											ist voller Schwierigkeiten,
											und wir müssen mit der Lage wachsen.""
											Ich liebe das.
											Nicht der Lage gewachsen sein, sondern mit der Lage wachsen.
											""So wie unsere Situation neu ist,
											so müssen wir auf neue Art denken
											und auf neue Art handeln.
											Wir müssen uns selbst entfesseln
											und dann werden wir unser Land retten.""
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											""Azat etmek"" bu söze de bayıldim.
											Ne demek olduğunu biliyor musunuz?
											Tutsak olduğumuz fikirler var demek
											hep olduğunu ve hep olacağını varsaydığımiz
											doğal gidişatın parçası saydığımız.
											Fikirlerimizin çoğu
											içinde bulunduğumuz yüzyılın şartlarına göre oluşmamış
											tersine geçmiş yüzyılların sorunlarıyla başetmek için ortaya çıkmışlar.
											Ama zihinlerimiz hala bu fikirlerle hipnotize edilmiş halde.
											Bu fikirlerden kendimizi azat etmemiz gerek.
											Bunu yapmaktan bahsetmek elbette yapmaktan daha kolay.
											Bu arada neyi sorgusuz kabullendiğimizi bilmek çok zordur.
											Bunun nedeni de sorgulamamamızdır.
									","
											Me encanta esa palabra, ""desencantar""
											¿Saben lo que significa?
											Significa que todos nosotros estamos encantados con
											lo que simplemente damos por sentado
											como el orden natural de las cosas, cómo son las cosas.
											Y muchas de nuestras ideas
											han sido formadas, no para enfrentar 
las circunstancias de este siglo,
											sino las circunstancias de los siglos previos.
											Pero nuestras mentes siguen hipnotizadas por ellas.
											Y tenemos que desencantarnos 
nosotros mismos de algunas de ellas.
											Ahora, esto es más fácil decirlo que hacerlo.
											Es muy difícil saber lo que toman por hecho.
											Y la razón es que lo toman por hecho.
									","
											Adoro esta palavra, ""desenredar"".
											Sabem o que significa?
											Que há ideias em que
todos estamos enredados,
											que consideramos serem dados adquiridos,
											como a ordem natural das coisas,
o modo como as coisas são.
											Muitas das nossas ideias formaram-se,
											não para corresponderem
às circunstâncias deste século,
											mas para lidarem com as circunstâncias
dos séculos anteriores.
											Mas as nossas mentes
ainda estão hipnotizadas por elas.
											Temos de nos desenredar,
de nos libertar de algumas delas.
											Isto é bem mais fácil
de dizer do que fazer.
											A propósito, é muito difícil saber
o que é para nós um dado adquirido.
											Porque tomamos isso como uma certeza.
									","
											J'aime ce mot ""se désengager""
											Vous savez ce qu'il veut dire?
											Qu'il y a des idées qui nous captivent tous,
											que nous considérons comme acquises,
											comme étant l'ordre naturel des choses, la manière dont elles vont.
											Et bon nombre de nos idées
											ont été formées, non pour répondre aux circonstances de ce siècle,
											mais pour affronter celles des siècles passés.
											Mais nos esprits sont toujours hypnotisés par elles.
											Et nous devons nous désengager de certaines d'entre elles.
											Maintenant c'est plus facile à dire qu'à faire.
											C'est d'ailleurs très difficile de savoir ce que vous tenez pour acquis.
											La raison c'est que vous le tenez pour acquis.
									","
											Ich liebe das: ""sich selbst entfesseln"".
											Wissen Sie, was das bedeutet?
											Dass es Ideen gibt, an die wir alle gefesselt sind,
											die wir einfach als selbstverständlich annehmen,
											als die natürliche Ordnung der Dinge, so wie es nun einmal ist.
											Und viele unserer Ideen
											haben sich herausgebildet, nicht um den Umständen dieses Jahrhunderts zu genügen,
											sondern um die Umstände vergangener Jahrhunderte zu bewältigen.
											Doch wir sind immer noch von ihnen wie hypnotisiert.
											Und wir müssen uns von einigen dieser Ideen befreien.
											Nun, leichter gesagt als getan.
											Es ist im Übrigen sehr schwer zu erkennen, was man für selbstverständlich hält.
											Und der Grund dafür ist, dass man es für selbstverständlich hält.
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Örnek vermek için size bir soru sorayım
											Bu salondakilerden kaçınız 25 yaşının üstünde?
											Sorgulamadan varsaydığınızı düşündüğüm şey bu değil.
											Bu gerçeğin farkında olduğunuza eminim.
											Burada yaşı 25'in altında kimse var mı?
											Güzel. Şimdi, 25'in üstü olanlar,
											kol saatiniz varsa elinizi kaldırabilir misiniz?
											Baya fazla bir sayı öyle değil mi?
											Bir de bir oda dolusu liseliye sorun aynı soruyu.
											O yaşta gençlerin çoğu kol saati takmıyor.
											Takamazlar veya takmalarına izin verilmez demiyorum
											sadece genellikle takmamayı tercih ediyorlar.
											Bunun nedeni, bizim, yani 25 üstülerin,
											dijital öncesi bir dünyada büyümüş olmamız.
											Bizler zamanı öğrenmek için
											zamanı bize söyleyecek bir alete ihtiyaç duyuyoruz.
											Çağımızın çocukları dijital bir dünyada yaşıyorlar,
											ve onlar için zaman her yerde.
											Takip etmek için özel bir alete ihtiyaçları yok.
											Bu arada sizin de yok
											sadece siz bunu hep yapmış olduğunuz için buna alışkınsınız.
											Kızım Kate, 20 yaşında, hiç saat takmıyor.
											Anlamsız buluyor.
											""Tek fonksiyonlu bir alet bu"" diyor.
											(Gülüşmeler)
											""Ne sıkıcı.""
											""Hayır hayır!"" diyorum. ""Tarihi de söylüyor.""
											(Gülüşmeler)
											""Birden fazla özelliği var.""
									","
											Así que déjenme preguntarles algo que quizás den por hecho.
											¿Cuántos de ustedes son mayores de 25 años?
											Eso no es lo que creo que dan por hecho.
											Estoy seguro que ya están familiarizados con eso.
											¿Hay alguna persona aquí menor de 25 años?
											Grandioso. Ahora, los mayores de 25,
											¿Podrían levantar sus manos si 
están usando un reloj de pulsera?
											Somos la mayoría, ¿no lo creen?
											Pregunten lo mismo en un cuarto lleno de adolescentes.
											Los adolescentes no usan relojes de pulsera.
											No quiero decir que no pueden o no se les permite,
											simplemente eligen no usarlos.
											Y la razón es, como ven, que hemos sido educados
											en una cultura pre-digital, nosotros 
los que tenemos más de 25.
											Y así, para nosotros, si quieres saber la hora,
											tienes que usar algo para saberlo.
											Los niños ahora viven en un mundo digitalizado,
											y para ellos, la hora está en todas partes.
											No ven ninguna razón en usar reloj.
											Y, por cierto, no es necesario que lo hagan ustedes;
											es sólo que siempre lo han hecho, y lo continúan haciéndolo.
											Mi hija, Kate, que tiene 20 años, nunca usó un reloj,
											Ella no ve el propósito.
											Como ella dice, ""Es un dispositivo de una sola función"".
											(Risas)
											""O sea, ¿qué inútil es eso?""
											Y yo digo: ""No, no, también te dice la fecha"".
											(Risas)
											""Tiene múltiples funciones"".
									","
											Vou perguntar uma coisa
que vocês devem tomar como certo.
											Quantos aqui têm mais de 25 anos?
											Não é isso que eu acho
que vocês têm como certo.
											De certeza que conhecem bem esse facto.
											Alguém com menos de 25 anos?
											Ótimo. Agora, os que têm mais de 25 anos.
											Podem pôr o braço no ar
se estão a usar relógio de pulso?
											Somos muitos, não é?
											Perguntem a mesma coisa
a uma sala cheia de adolescentes.
											Os adolescentes não usam relógio de pulso.
											Não significa que não possam usar,
mas optam por não o fazer.
											Isto acontece porque nós,
com mais de 25 anos,
											fomos criados numa cultura pré-digital.
											Para nós, se queremos saber as horas,
											temos de usar um objeto
que as diga.
											Os miúdos agora vivem
num mundo digitalizado.
											Para eles, as horam estão em todo o lado.
											Não veem nenhuma razão para usar relógio.
											Já agora, nós também não precisamos,
											mas sempre o fizemos
e portanto continuamos a fazê-lo.
											A minha filha Kate
de 20 anos nunca usa relógio.
											Não vê qualquer utilidade.
											Tal como ela diz:
""É um aparelho unifuncional"".
											(Risos)
											Como quem diz: ""Que antiquado!""
											E eu digo: ""Não, não, também tem a data"".
											(Risos)
											""Tem múltiplas funções"".
									","
											Laissez moi vous demander quelque chose que vous pouvez tenir pour acquis.
											Combien d'entre vous ont plus de 25 ans?
											Ce n'est pas ce que je pense que vous tenez pour acquis.
											Je suis certain que cela vous est déjà familier.
											Il y a des gens de moins de 25 ans?
											Bien. Maintenant, les plus de 25 ans,
											pouvez vous levez la main si vous portez une montre?
											C'est beaucoup d'entre nous, non?
											Posez la même question dans une salle pleine d'adolescents.
											Les adolescents ne portent pas de montre.
											Je ne veux pas dire qu'ils ne peuvent pas ou n'ont pas le droit,
											c'est simplement souvent leur choix.
											Et la raison c'est que, vous voyez, nous avons été élevés
											dans une culture pré-numérique, nous les plus de 25 ans.
											Et donc pour nous, si nous voulons avoir l'heure,
											nous devons porter quelque chose pour nous la donner.
											Les gamins vivent aujourd'hui dans un monde numérique,
											et ils trouvent l'heure partout.
											Ils ne voient pas pourquoi faire ça.
											D'ailleurs vous n'en avez pas besoin non plus,
											c'est juste que vous l'avez toujours fait, et vous continuez.
											Ma fille ne porte jamais de montre, ma fille Kate, qui a 20 ans.
											Elle n'en voit pas la raison.
											Comme elle dit, ""C'est un accessoire mono-fonctionnel.""
											(Rires)
											""du genre, c'est plutôt ringard?""
											Et je dis ""Non, non, ça donne aussi la date.""
											(Rires)
											""ça a plusieurs fonctions.""
									","
											Lassen Sie mich etwas fragen, was Sie womöglich für selbstverständlich halten.
											Wie viele von Ihnen hier sind über 25?
											Das ist nicht etwas, von dem ich glaube, dass Sie es für selbstverständlich halten.
											Ich glaube, das ist Ihnen bereits bewusst.
											Ist irgendwer unter 25 hier?
											Gut. Nun, diejenigen über 25,
											würden Sie bitte aufzeigen, wenn Sie eine Armbanduhr tragen?
											Das sind ziemlich viele von uns, nicht wahr?
											Fragen Sie mal einen Raum voller Teenager dasselbe.
											Teenager tragen keine Armbanduhren.
											Ich meine nicht, dass sie keine tragen könnten oder dürften,
											doch sie entscheiden sich oft, keine zu tragen.
											Und der Grund dafür ist, dass diejenigen von uns über 25
											in einer vor-digitalen Kultur aufgewachsen sind.
											Und für uns heißt das, wenn man wissen will, wie spät es ist,
											muss man etwas tragen, das einem die Zeit anzeigt.
											Die Kinder heutzutage Leben in einer digitalisierten Welt,
											und für sie ist die Zeit überall.
											Sie sehen keinen Grund dafür, dies zu tun.
											Und, übrigens, Sie müssten es auch nicht;
											es ist nur so, dass Sie es immer getan haben, und so machen Sie es weiterhin.
											Meine Tochter trägt nie eine Armbanduhr, meine Tochter Kate, die 20 ist.
											Sie versteht den Sinn nicht.
											Und sie sagt: ""Das ist ein Gerät mit nur einer Funktion"".
											(Gelächter)
											""Wie schwach ist das denn?""
											Und ich sage: ""Nein, nein, sie zeigt auch das Datum an!""
											(Gelächter)
											""Die Uhr ist ein Multifunktionsgerät.""
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Neyse görüyorsunuz, eğitim konusunda da tutsak olduğumuz düşünceler var.
											Bir kaç örnek vermeme izin verin.
											Bunlardan bir tanesi çizgisellik fikri,
											bir yerden başlarsınız, bir yolu takip edersiniz,
											ve eğer her şeyi doğru yaparsanız, hayatınızın sonunda
											hayatınızı iyi bir yola oturtmuş olursunuz.
											TED'de konuşan herkes bize alttan alta
											bazen de açık açık şunu söyledi,
											hayat çizgisel değildir, organiktir.
											Hayatlarımızı simbiotik olarak
											yeteneklerimizi ortaya çıkaracak
											olay ve durumlara bağlı olarak oluştururuz.
											Ancak farkındaysanız
											çizgisel anlatımı bir takıntı haline getirmiş durumdayız.
											Eğitimin doruk noktası da
											üniversiteye girmek.
											Sanırım insanları üniversiteye sokmayı da takıntı haline getirdik,
											en azından bazı çeşit üniversitelere.
											Üniversiteye gitmeyin demiyorum, ama herkesin gitmesi de gerekmiyor
											veya herkesin hemen gitmesi gerekmiyor.
											Belki daha sonra gidebilirler, hemen değil.
									","
											Pero como ven, hay cosas con las 
que nos encantamos en la educación.
											Déjenme darles un par de ejemplos.
											Uno de ellos es la idea de linealidad,
											que se inicia aquí, y vas a través de un trayecto,
											y si haces todo bien, terminarás
											establecido para el resto de su vida.
											Todos los que han hablado en TED, 
implícitamente nos contaron,
											o, a veces explícitamente, una historia diferente,
											que la vida no es lineal, es orgánica.
											Creamos nuestras vidas en simbiosis
											mientras exploramos nuestros talentos
											en relación con las circunstancias 
que contribuyen a crear para nosotros.
											Pero ya sabes, nos hemos obsesionado
											con esta narración lineal.
											Y probablemente el pináculo de la educación
											es entrar a la universidad.
											Creo que estamos obsesionados con 
hacer que la gente entre a la universidad,
											ciertos tipos de universidad.
											No quiero decir que no deban ir 
a la universidad, pero no todos necesitan ir,
											y no todos necesitan ir ahora.
											Tal vez van más tarde, no de inmediato.
									","
											Mas há coisas que são
uma questão de educação.
											Vou dar-vos alguns exemplos.
											Um deles é a ideia de linearidade,
											em que se começa aqui, segue-se um caminho
											e, se se fizermos tudo direito,
											acabamos por definir o resto da vida.
											Todos os que falaram nas TED
contaram-nos, de forma implícita,
											ou por vezes explícita,
uma história diferente,
											que a vida não é linear, é orgânica.
											Criamos as nossas vidas
de uma maneira simbiótica
											enquanto exploramos as nossas aptidões
											em relação às circunstâncias
que elas nos ajudam a criar.
											Mas ficámos obcecados
com esta narrativa linear.
											Provavelmente, o ponto mais alto no ensino
é a entrada na faculdade.
											Acho que estamos obcecados
em meter pessoas na faculdade,
											em algumas faculdades.
											Não digo que não devam ir,
mas nem todos têm de ir,
											ou de ir neste momento.
											Talvez o façam mais tarde,
não imediatamente.
									","
											Mais vous voyez, il y a des choses qui nous subjuguent en éducation.
											Laissez moi vous donner deux exemples.
											L'une d'elles est l'idée de linéarité,
											qui commence là, et vous suivez un cursus,
											et si vous faites tout bien, vous finirez
											équipé pour le restant de vos jours.
											Tous ceux qui ont parlé à TED ont raconté implicitement,
											ou parfois explicitement, une histoire différente,
											que la vie n'est pas linéaire, mais organique.
											Nous créons nos vies en symbiose
											en découvrant nos talents
											en relation avec les circonstances
											Mais vous savez, nous sommes devenus obsédés
											par ce récit linéaire.
											Et vraisemblablement le summum de l'éducation
											c'est d'entrer à l'université.
											Je pense que nous sommes obsédés par l’entrée à l’université
											certaines sortes d'universités.
											Je ne veux pas dire qu'il ne faut pas y aller, mais tout le monde n'en a pas besoin,
											et tout le monde n'a pas besoin d'y aller maintenant.
											Peut-être qu'ils y iront plus tard, pas tout de suite.
									","
											Aber wissen Sie, es gibt Dinge, an die wir in der Bildung gefesselt sind.
											Lassen Sie mich Ihnen ein paar Beispiele nennen.
											Eines davon ist diese Idee von Linearität.
											Dass man hier anfängt, eine gewisse Bahn durchläuft,
											und wenn man alles richtig gemacht hat, ist man zum Schluss
											bereit für den Rest seines Lebens.
											Jeder, der bei TED geredet hat, hat uns implizit, oder
											manchmal auch explizit, eine andere Geschichte davon erzählt,
											dass das Leben nicht linear ist, sondern organisch.
											Wir gestalten unser Leben in einer Symbiose.
											Wir ergründen unsere Talente
											in Beziehung zu den Lebensumständen, die diese helfen für uns zu schaffen.
											Aber wissen Sie, wir sind wirklich von diesem
											linearen Erzählschema besessen geworden.
											Und wahrscheinlich ist der Gipfel der Bildung,
											in eine Universität aufgenommen zu werden.
											Ich glaube, wir sind davon besessen, Leute auf die Universität zu schicken,
											spezielle Arten von Universitäten —
											Das heißt nicht, dass man nicht zur Universität gehen sollte, aber nicht jeder muss es.
											Und nicht jeder muss sofort gehen.
											Vielleicht später, nicht unmittelbar.
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Bir süre önce San Francisco'daydım
											kitap imzalamak için.
											30 yaşlarında bir adam bir kitap satın alıyordu.
											Ne iş yaptığını sordum.
											Bana itfaiyeci olduğunu söyledi.
											Ne kadar zamandır itfaiyeci olduğunu sordum.
											""Hep öyleydim."" diye yanıtladı.
											Bu mesleği seçmeye ne zaman karar verdiğini sordum.
											""Çocukken"" dedi. ""Hatta okulda bu yüzden sorun yaşadım
											çünkü okuldaki herkes itfaiyeci olmak istiyordu.""
											""Ama ben gerçekten itfaiyeci olmak istiyordum.""
											""Lise son sınıfa geldiğimde,
											öğretmenlerim beni ciddiye almıyorlardı.
											Hele bir öğretmen vardı, o hiç ciddiye almıyordu.
											Bana eğer tüm yapmak istediğim buysa
											hayatımı çöpe atıyor olduğumu söyledi.
											Üniversiteye gitmemi, bir profesyonel olmamı
											çok potansiyelim olduğunu
											ve harcandığımı söyledi.""
											""Onurum kırıldı çünkü
											bunları tüm sınıfın önünde söyledi. Gerçekten korkunç hissettim.
											Ama benim istediğim buydu onun için ben de okulu bıraktım.
											Itfaiye birliğine başvurdum ve kabul edildim.""
											Sonra ekledi, ""Biliyor musunuz, tam siz konuyu açmadan önce
											o öğretmeni düşünüyordum.""
											""Çünkü altı ay kadar önce,
											adamın hayatını kurtardım.""
											(Gülüşmeler)
											""Bir araba kazası geçirmişti"" dedi.
											""ve ben onu arabadan çıkardım, ilkyardım uyguladım,
											ve hayatını kurtardım.""
											""Sanırım artık benim hakkımdaki fikirleri artık biraz daha olumlu olmuştur.""
									","
											Hace un tiempo estuve en San Francisco
											autografiando libros.
											Había un hombre comprando un libro, de unos 30 años.
											Y le dije: ""¿A qué te dedicas?""
											Y él dijo: ""Soy bombero"".
											Y le dije: ""¿Cuánto tiempo llevas siendo un bombero?""
											Él dijo: ""Siempre, siempre he sido un bombero"".
											Y yo le dije: ""Bueno, ¿Cuándo lo decidiste?
											Él dijo: ""Cuando era niño"". Dijo: 
""En realidad, fue un problema para mí en la escuela,
											porque en la escuela, todo el mundo quería ser bombero"".
											Él dijo: ""Pero yo quería ser bombero"".
											Y dijo: ""Cuando llegué al último año de la escuela,
											mis profesores no lo tomaban en serio.
											Había un maestro en especial que no lo tomó en serio.
											Me dijo que estaba desperdiciando mi vida
											si eso es todo lo que elegía hacer,
											que debería ir a la universidad 
y convertirme en un profesional,
											que tenía un gran potencial,
											y que yo estaba desperdiciando mi talento en hacer eso"".
											Y él dijo: ""Fue humillante, porque él
											lo dijo delante de toda la clase, y realmente me sentí muy mal.
											Pero es lo que yo quería, y tan pronto como salí de la escuela,
											Me postulé para el cuerpo de bomberos y fui aceptado"".
											Y él dijo: ""Recientemente estuve pensando en ese hombre,
											hace unos minutos cuando estabas hablando, acerca de este profesor"",
											dijo, ""porque hace 6 meses,
											le salvé la vida"".
											(Risas)
											Dijo, ""Tuvo un accidente de auto,
											y lo saque, logre darle resucitación cardiopulmonar,
											y también le salvé la vida a su esposa"".
											Él dijo, ""Creo que ahora, él piensa mejor de mí"".
									","
											Aqui há tempos, estive em São Francisco
numa sessão de autógrafos.
											Estava um sujeito dos seus 30 anos
a comprar o livro
											e perguntei-lhe o que fazia.
											Respondeu-me: ""Sou bombeiro"".
											E eu perguntei:
""Há quanto tempo é bombeiro?""
											Ele disse: ""Desde sempre.
Sempre fui bombeiro"".
											E eu perguntei:
""Quando é que decidiu?""
											""Em miúdo"", disse ele. ""Foi um problema,
											""porque, na escola,
toda a gente queria ser bombeiro"".
											(Risos)
											Ele disse: ""Mas eu queria
mesmo ser bombeiro.
											""Quando cheguei ao último ano,
											""os professores não me levavam a sério.
											""Havia um professor
que não me levava a sério.
											""Dizia que eu iria desperdiçar a vida
											""se essa fosse a minha escolha,
											""que devia ir para a faculdade,
devia ter uma carreira a sério,
											""que tinha muito potencial
											""e que ia desperdiçar
as aptidões que tinha"".
											""Foi humilhante porque
foi em frente de toda a turma,
											""e senti-me horrivelmente.
											""Mas era o que queria
e, assim que deixei a escola,
											""candidatei-me e fui aceite.
											""Sabe, estive a pensar nele,
											""há instantes,
quando o senhor estava a falar,
											""porque há seis meses,
salvei-lhe a vida"".
											(Risos)
											""Ele teve um acidente de automóvel,
eu tirei-o do carro, fiz-lhe RCP
											""e também salvei a mulher dele.
											""Acho que agora
tem mais consideração por mim"".
									","
											Et j'étais à San Francisco il y a un certain temps
											à une séance de dédicaces.
											Il y avait ce type qui achetait un livre, la trentaine.
											Et je lui ai dit, ""Vous faites quoi?""
											Et il a répondu, ""Je suis pompier.""
											Et j'ai dit, ""Depuis combien de temps êtes-vous pompier?""
											Il dit, ""Toujours, j'ai toujours été pompier.""
											Et j'ai dit, ""Eh bien, quand avez vous choisi?""
											Il a dit, ""Tout gamin"", et ajouta, ""En fait, c'était un problème pour moi à l'école,
											parce qu'à l'école, tout le monde voulait être pompier.""
											Il a dit, ""Mais je voulais être pompier.""
											Et il a dit, ""Quand je suis arrivé en Terminale,
											mes profs ne m'ont pas pris au sérieux.
											Un prof en particulier ne m'a pas pris sérieusement.
											Il a dit que je gâchais ma vie
											si c'était tout ce que je voulais en faire,
											que je devrais aller à l'université, viser une profession de haut niveau,
											que j'avais beaucoup de potentiel,
											et que je gaspillais mon talent avec ça.""
											Et il a dit, ""C'était humiliant parce qu'il
											a dit ça devant toute la classe, et je ne savais plus où me mettre.
											Mais c'est ce que je voulais, et dès que j'ai quitté l'école,
											j'ai postulé chez les pompiers et j'ai été accepté.""
											Et il a dit, ""Vous savez, je pensais à ce type tout à l'heure,
											il y a quelques minutes pendant que vous parliez.
											il a dit, ""parce qu'il y a six mois,
											je lui ai sauvé la vie.""
											(Rires)
											Il a dit, ""Il a eu un grave accident de voiture,
											je l'ai sorti de là, je lui ai donné un massage cardiaque,
											et j'ai aussi sauvé la vie de sa femme.""
											Il a dit, ""Je pense que maintenant il a une meilleure opinion de moi.""
									","
											Ich war vor einiger Zeit in San Francisco
											und habe Bücher signiert.
											Da war dieser Mann, so Mitte 30, und hat ein Buch gekauft.
											Und ich habe gefragt: ""Was machen Sie beruflich?""
											Und er sagte: ""Ich bin Feuerwehrmann.""
											Und ich sagte: ""Wie lange sind Sie schon Feuerwehrmann?""
											Er sagte: ""Schon immer. Ich war schon immer ein Feuerwehrmann.""
											Und ich sagte: ""Wann haben Sie sich denn dazu entschieden?""
											Er sagte: ""Schon als Kind."" Er sagte: ""In der Schule war das wirklich ein Problem,
											denn wenn man in der Schule ist, will jeder Feuerwehrmann werden.""
											Er sagte: ""Aber ich wollte Feuerwehrmann werden.""
											Und er sagte: ""Als ich ins letzte Schuljahr kam,
											nahmen meine Lehrer das nicht ernst.
											Dieser eine Lehrer nahm es nicht ernst.
											Er sagte, ich würde mein Leben wegschmeißen,
											wenn das alles wäre, was ich damit tun wolle,
											und dass ich auf die Uni gehen sollte und ein Studium absolvieren,
											dass ich großes Potenzial hätte,
											und dass ich nur mein Talent verschwenden würde.""
											Und er sagte: ""Das war erniedrigend, weil er
											das vor der gesamten Klasse sagte, und ich fühlte mich furchtbar.
											Aber es war, was ich wollte, und direkt nach der Schule
											bewarb ich mich bei der Feuerwehr und wurde angenommen.""
											Und er sagte: ""Wissen Sie, ich habe kürzlich an diesen Lehrer gedacht,
											gerade vor einigen Minuten als Sie redeten"",
											sagte er, ""denn vor sechs Monaten
											habe ich ihm das Leben gerettet.""
											(Gelächter)
											Er sagte: ""Er steckte in einem Unfallwagen
											und ich habe ihn herausgezogen, ihn wiederbelebt,
											und dann auch noch das Leben seiner Frau gerettet.""
											Er sagte: ""Ich glaube, er hält jetzt mehr von mir.""
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
