es,fr,pt,title,speaker,duration,tags
"
											Es probable que alguno esté pensando
											lo mismo que aquellas
personas que pensaron
											que un día la cocina peruana jamás
podría estar en los corazones del mundo.
											Imagino que estarán pensando:
											¿Cómo vamos a lograr
											que el mensaje público hable
de una alimentación equilibrada,
											fruto de la cocina en el hogar
											como la gran herramienta para combatir
la desigualdad, las enfermedades,
											para recuperar el medioambiente?
											¿Cómo lograr que los políticos
											elaboren agendas de política pública
global en ese sentido?
											Eso parece imposible.
											¿Cómo van a lograr eso?
											Pues, la verdad, 
no sabemos cómo lograr esto.
									","
											On peut toujours penser
											la même chose que ceux qui imaginaient
											que la cuisine péruvienne ne pourrait
jamais être adoptée dans le monde entier.
											J'imagine que vous vous dites :
											« Comment faire en sorte
											que les autorités publiques parlent
d'alimentation équilibrée,
											basée sur la cuisine domestique,
											comme du grand outil pour combattre 
les inégalités, les maladies
											et pour sauver l'environnement ?
											Comment faire en sorte que les politiciens
											fixent des priorités générales
de politique publique dans ce sens ?
											Ça paraît impossible.
											Comment y arriver ? »
											Eh bien, nous ne savons pas
comment y parvenir concrètement.
									","
											É provável que alguém esteja a pensar
											o mesmo que aquelas pessoas pensaram,
											que jamais a cozinha peruana
poderia estar nos corações do mundo.
											Imagino que estejam a pensar:
											""Como vamos conseguir
											""que a mensagem pública
fale de uma alimentação equilibrada,
											""fruto da cozinha no lar,
											""como a grande ferramenta
para combater as desigualdades,
											""as doenças,
											""para recuperar o meio ambiente?
											Como conseguir que os políticos
											elaborem agendas de política pública
global nesse sentido?
											Isso parece impossível.
											Como vão conseguir isso?
											Bom, a verdade é que não sabemos
como conseguir isto.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											(Risas)
									","
											(Rires)
									","
											(Risos)
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Y es por eso que, desde hace mucho tiempo,
											en todo el mundo, los cocineros
estamos trabajando unidos,
											cada uno en su terreno,
											para luchar por este objetivo
de llevar este mensaje,
											sin esperar que lo hagan los estados.
									","
											C'est pour ça que, depuis longtemps,
											dans le monde entier, 
les cuisiniers s'unissent,
											chacun dans leur pays,
											pour porter ce message,
											sans attendre que les États le fassent.
									","
											É por isso que, já há muito tempo,
											em todo o mundo, os cozinheiros
estão a trabalhar juntos,
											cada um no seu terreno,
											para lutar por este objectivo
de levar esta mensagem,
											sem esperar que os governos o façam.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Por ejemplo, aquí en Nueva York,
Dan Barber, en su Blue Hill,
											muy cerca en Nueva York
											viene batallando desde hace mucho tiempo
											por demostrar que una agricultura
variada, diversa y sostenible
											puede llevar masivamente productos
de calidad, alimentos de calidad,
											a todas las familias
											que sean además deliciosos, asequibles,
saludables, amigables y sostenibles.
									","
											Par exemple Dan Barber, avec le Blue Hill,
											à côté de New York,
											bataille depuis longtemps
											pour démontrer qu'une agriculture
variée, diverse et durable
											peut nourrir massivement, avec
des produits et des aliments de qualité,
											toutes les familles.
											Et ces produits restent délicieux, sains,
abordables, écologiques et durables.
									","
											Por exemplo, aqui em Nova Iorque,
Dan Barber, no seu restaurante Blue Hill,
											tem lutado desde há muito
											por mostrar que uma agricultura variada,
diversa e sustentável
											pode levar massivamente 
produtos e alimentos de qualidade,
											a todas as famílias
											que sejam ainda deliciosos, acessíveis,
saudáveis, amigáveis e sustentáveis.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											O en Francia, el gran cocinero
Alain Ducasse en su Hôtel Plaza Athénée
											en la Avenue Montaigne,
la más lujosa de París,
											decide eliminar la carne de su menú
											sin temer a que sus clientes,
muchas veces caprichosos,
											lo abandonen,
											consciente del impacto negativo
que el exceso del consumo de carne
											afecta nuestro medioambiente,
											convencido de que haciendo su discurso
coherente desde su restaurante
											puede llegar con su mensaje
a muchos más hogares.
									","
											En France aussi, le grand cuisinier
Alain Ducasse à l'Hôtel Plaza Athénée,
											avenue Montaigne,
la plus luxueuse de Paris,
											décide d'éliminer la viande de son menu
											sans craindre que ses clients,
souvent capricieux,
											ne partent.
											Conscient des conséquences négatives de
l'excès de consommation de viande
											pour notre environnement
											et convaincu qu'avec un discours
cohérent dans son restaurant,
											son message peut toucher
beaucoup plus de foyers.
									","
											Ou em França, onde o grande cozinheiro
Alain Ducasse, no seu Hôtel Plaza Athénée,
											na Avenue Montaigne,
a avenida mais luxuosa de Paris,
											decide eliminar a carne do seu menu,
											sem recear que os seus clientes,
muitas vezes caprichosos,
											o abandonem,
											consciente do impacto negativo
que o excesso de consumo de carne
											tem no nosso meio ambiente,
											convencido de que,
tendo um discurso coerente,
											a partir do seu restaurante,
											pode chegar com a sua mensagem
a muito mais lugares.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											O en el caso del Perú,
											Pedro Miguel Schiaffino,
un gran amigo y cocinero,
											que se va a lo más alejado de la Amazonía
											en busca de ingredientes,
de tradiciones, de artesanía,
											convencido de que trayéndolos
a su restaurante
											puede convencer a los diez
millones de limeños
											de, de pronto, utilizar estos productos
											y así llevar prosperidad 
a estas comunidades
											respetando y valorando
su identidad cultural.
											En todo el mundo,
											cocineros unidos gracias a la cocina,
											como ocurrió con nuestros padres
que se unieron en la mesa
											gracias al amor.
									","
											Au Pérou également,
											Pedro Miguel Schiaffino,
un grand ami et cuisinier,
											qui explore les profondeurs de l'Amazonie
											à la recherche d'ingrédients,
de traditions, d'artisanat,
											persuadé qu'en les intégrant
au menu de son restaurant,
											peut convaincre les 10 millions
d'habitants de Lima
											d'adopter rapidement ces produits,
											améliorant la prospérité
des communautés d'Amazonie,
											tout en respectant et en valorisant
leur identité culturelle.
											Dans le monde entier,
											les cuisiniers s'unissent
par leur travail,
											comme nos ancêtres le faisaient,
en se réunissant à table
											par amour.
									","
											Ou no caso do Peru,
											Pedro Miguel Schiaffino,
um grande amigo e cozinheiro,
											que vai à mais distante Amazónia
											em busca de ingredientes,
de tradições, de artesanato,
											convencido de que,
trazendo-os para o seu restaurante
											pode convencer os dez milhões de limenhos
											a utilizar de imediato esses produtos
											e assim levar prosperidade
a estas comunidades
											respeitando e valorizando
a sua identidade cultural.
											Em todo o mundo,
											cozinheiros unidos graças à cozinha,
											como aconteceu com os nossos pais, 
que se uniram à mesa
											graças ao amor.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Como ocurrió con la generación de cocineros
											que en el Perú un día 
decidió trabajar unida
											en favor de su cultura.
											Y como ocurre ahora,
											convencidos de que no podemos esperar
a que otros lo hagan,
											sino que tenemos que pasar a la acción
											porque gracias
a las oportunidades mediáticas
											y a la popularidad que tiene hoy día
la cocina profesional en el mundo
											los cocineros sabemos
que podemos hacer mucho
											para llevar este mensaje de volver a poner
a la cocina en el centro del hogar
											de manera que un día cercano,
											todas las familias, todos los hogares,
todas las personas
											con la buena información
											elijan ingredientes que contribuyen
a recuperar la salud y el medioambiente,
											a combatir la desigualdad
											y a recuperar sobre todo la paz emocional
que tanta falta nos hace.
									","
											C'est ce qui s'est produit avec
la génération de cuisiniers
											qui, un jour, au Pérou, décida de s'unir
											en faveur de sa culture.
											À présent,
											on est convaincus qu'on ne peut
pas attendre que d'autres le fassent,
											qu'on doit agir,
											grâce aux opportunités médiatiques
											et à la popularité actuelle de la cuisine
professionnelle dans le monde.
											Les cuisiniers savent
qu'ils peuvent faire beaucoup
											pour porter le message de 
valoriser la cuisine domestique
											pour que, prochainement,
											toutes les familles, tous les foyers,
toutes les personnes,
											ayant reçu les bonnes informations,
											choisissent les ingrédients contribuant
à préserver la santé et l'environnement,
											à combattre l'inégalité
											et surtout à retrouver la paix 
émotionnelle qui nous fait tant défaut.
									","
											Como aconteceu
com a geração de cozinheiros
											que, no Peru, um dia,
decidiu trabalhar unida
											em favor da sua cultura.
											Como acontece agora,
											convencidos de que não podemos
esperar que outros o façam,
											que temos, sim, de passar à acção
											porque, graças às oportunidades mediáticas
											e à popularidade que tem, hoje em dia,
a cozinha profissional no mundo,
											nós, os cozinheiros,
sabemos que podemos fazer muito
											para levar esta mensagem
de voltar a pôr a cozinha no centro do lar
											de forma que, num dia próximo,
											todas as famílias, todos os lares,
todas as pessoas
											bem informados,
											escolham ingredientes que contribuem
para recuperar a saúde e o meio ambiente,
											a combater a desigualdade,
											e a recuperar sobretudo a paz emocional
que tanta falta nos faz.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Ese es el poder de la cocina,
											una de las herramientas más infalibles
para alcanzar el bienestar.
									","
											C'est ça, le pouvoir de la cuisine,
											un des outils les plus infaillibles
pour atteindre le bien-être.
									","
											Esse é o poder da cozinha,
											uma das ferramentas mais infalíveis
para alcançar o bem-estar.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											Gracias.
									","
											Merci.
									","
											Obrigado.
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
											(Aplausos)
									","
											(Applaudissements)
									","
											(Aplausos)
									",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
"
","
","
",Can home cooking change the world?,Gastón Acurio,13:25,"TED en Español,South America,food,culture,social change,society,community"
