en,pt,de,fr,tr,es,title,speaker,duration,tags
"
											What do you think?
											Bentham or Kant?
											Here's what we found.
											Most people sided with Bentham.
											So it seems that people
want cars to be utilitarian,
											minimize total harm,
											and that's what we should all do.
											Problem solved.
											But there is a little catch.
											When we asked people
whether they would purchase such cars,
											they said, ""Absolutely not.""
									","
											O que acham?
											Bentham ou Kant?
											Estes são os resultados.
											A maioria concordou com Bentham.
											Parece que as pessoas preferem 
que os carros sejam utilitários,
											minimizem os danos totais,
e é isso que todos nós devemos fazer.
											Problema resolvido.
											Mas há um pequeno senão.
											Quando perguntámos às pessoas 
se elas comprariam esses carros,
											elas responderam: ""Claro que não.""
									","
											Was denken Sie?
											Bentham oder Kant?
											Hier ist unser Ergebnis.
											Die Meisten sind auf Benthams Seite.
											Die Menschen scheinen also zu wollen,
dass Autos utilitaristisch sind
											und den Gesamtschaden minimieren
											und das sollten wir alle tun.
											Problem gelöst.
											Da gibt es aber einen Haken.
											Als wir die Leute fragten,
ob sie solche Autos kaufen würden
											antworteten sie: „Niemals.“
									","
											Qu'en pensez-vous ?
											Bentham ou bien Kant ?
											Voici notre solution.
											La plupart étaient pour Bentham.
											Les gens veulent donc que la voiture
soit utilitariste,
											réduire les dommages,
											ce que nous devrions tous faire.
											Problème résolu.
											Mais il y a un petit piège.
											Lorsque nous leur avons demandé
s'ils achèteraient ces voitures,
											ils ont répondu : « Absolument pas. »
									","
											Siz ne düşünüyorsunuz?
											Bentham mı, Kant mı?
											Bizim bulgumuzu paylaşayım.
											Çoğu insan Bentham'a hak verdi.
											Öyle ki, insanlar arabaların faydacı
olmalarını istiyorlar gibi görünüyor,
											toplam zararı en aza indirgemesini,
											ki bu hepimizin
yapması gereken şey aslında.
											Sorun çözüldü.
											Dikkat etmemiz gereken bir nokta var.
											İnsanlara bu tarz arabaları satın alma
durumlarını sorduğumuzda,
											''Kesinlikle hayır.'' dediler.
									","
											¿Uds. qué piensan?
											¿Bentham o Kant?
											El resultado fue este:
											la mayoría optó por Bentham.
											Así que parece que la gente quiere 
que los autos sean utilitarios,
											minimizar el daño total,
											y eso es lo que deberíamos hacer.
											Problema solucionado.
											Pero hay una pequeña trampa.
											Cuando le preguntamos a la gente
si comprarían estos autos,
											la respuesta fue un ""No"" rotundo.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											They would like to buy cars
that protect them at all costs,
											but they want everybody else
to buy cars that minimize harm.
									","
											Elas gostariam de comprar carros 
que as protegessem a todo o custo,
											mas querem que os restantes 
comprem carros que minimizem os danos.
									","
											Sie möchten Autos kaufen,
die sie um jeden Preis schützen,
											aber alle anderen sollen Autos kaufen,
die Schaden minimieren.
									","
											Ils aimeraient acheter des voitures qui
les protègent à tout prix,
											mais ils veulent que tous les autres les
achètent pour réduire les dommages.
									","
											Kendilerini her an koruyan
arabalar satın almak isterken,
											diğer herkesin zararı en aza indirgeyen
arabalardan almalarını istiyorlar.
									","
											Les gustaría comprar un auto
que los proteja a ellos a toda costa,
											pero quieren que los demás compren autos
que minimicen el daño.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											We've seen this problem before.
											It's called a social dilemma.
											And to understand the social dilemma,
											we have to go a little bit
back in history.
											In the 1800s,
											English economist William Forster Lloyd
published a pamphlet
											which describes the following scenario.
											You have a group of farmers —
											English farmers —
											who are sharing a common land
for their sheep to graze.
											Now, if each farmer
brings a certain number of sheep —
											let's say three sheep —
											the land will be rejuvenated,
											the farmers are happy,
											the sheep are happy,
											everything is good.
											Now, if one farmer brings one extra sheep,
											that farmer will do slightly better,
and no one else will be harmed.
											But if every farmer made
that individually rational decision,
											the land will be overrun,
and it will be depleted
											to the detriment of all the farmers,
											and of course,
to the detriment of the sheep.
									","
											Já vimos este problema.
											Chama-se dilema social.
											Para perceber o dilema social,
											temos que recuar um pouco na história.
											No início do século XIX,
											o economista inglês William Forster Lloyd 
publicou um folheto
											que descrevia o seguinte cenário:
											Temos um grupo de pastores
— pastores ingleses —
											que partilham um terreno
para as ovelhas pastarem.
											Se cada pastor levar
um certo número de ovelhas
											— por exemplo, três ovelhas —
											o terreno recuperará,
os pastores ficam contentes,
											as ovelhas ficam contentes,
											tudo fica bem.
											Se um pastor levar uma ovelha extra,
											terá uma pequena vantagem, 
mas ninguém será prejudicado.
											Mas, se cada pastor tomar
a mesma decisão,
											a terra será sobreutilizada
e ficará empobrecida
											prejudicando todos os pastores
											e, claro, as ovelhas também.
									","
											Das Problem kannten wir.
											Man nennt es soziales Dilemma.
											Um das soziale Dilemma zu verstehen,
											müssen wir in die Vergangenheit schauen.
											Im 19. Jahrhundert veröffentlichte
											der englische Ökonom
William Forster Lloyd ein Merkblatt,
											das das folgende Szenario beschreibt.
											Eine Gruppe von Bauern –
											englische Bauern –
											teilen sich ein Stück Land,
auf dem ihre Schafe grasen.
											Wenn jeder Bauer
eine bestimmte Anzahl Schafe hat,
											sagen wir 3 Schafe,
											wird das Land verjüngt.
											Die Bauern sind glücklich
											und die Schafe sind glücklich.
											Alles ist gut.
											Wenn jetzt aber ein Bauer
ein Schaf mehr hat,
											geht es ihm etwas besser
und niemand kommt zu Schaden.
											Trifft aber jeder Bauer diese
individuelle rationale Entscheidung,
											ist das Stück Land überlaufen
und wird erschöpft,
											zum Nachteil aller Bauern
											und natürlich zum Nachteil der Schafe.
									","
											Nous connaissons ce type de problème.
											C'est un dilemme social.
											Pour comprendre ce dilemme social,
											nous devons remonter un peu dans le temps.
											Dans les années 1800,
											l'économiste anglais William Forster Lloyd
a publié un pamphlet
											décrivant le scénario suivant.
											Vous avez un groupe de fermiers—
											fermiers anglais—
											qui se partagent des terres
pour leurs moutons.
											Si chaque fermier ramène un certain nombre
de moutons—
											disons trois moutons—
											la terre sera régénérée,
											les fermiers heureux,
											les moutons heureux,
											tout est en ordre.
											Maintenant si un fermier en ramène un
de plus,
											il s'en sortira un peu mieux,
au détriment de personne.
											Mais si chaque fermier faisait de même,
											la terre serait surexploitée et appauvrie
											au détriment de tous les fermiers
											et bien sûr à celui des moutons.
									","
											Bu problemle daha önce karşılaşmıştık.
											Buna ''toplumsal ikilem'' deniyor.
											Toplumsal ikilemi anlayabilmek için,
											biraz eskilere gitmemiz gerekir.
											1800'lerde,
											İngiliz iktisatçı William Forster Lloyd,
											şu senaryoyu aktaran bir broşür yayınladı:
											Bir grup çiftçi var,
											İngiliz çiftçiler,
											koyunlarını otlatmak için
umumi bir araziyi paylaşıyorlar.
											Her bir çiftçi,
belirli sayıda koyun getirirse
											- 3 koyun diyelim -
											toprak yenilenmiş olacak,
											çiftçiler mutlu,
											koyunlar mutlu,
											her şey iyi olacak.
											Fakat bir çiftçi,
fazladan bir koyun daha getirirse,
											o çiftçinin işleri için daha iyi olacak
ve bu kimseye zarar vermeyecek.
											Ama her bir çiftçi, bireysel olarak
bu mantıklı kararı verecek olursa,
											alan istilaya uğramış olacak
ve yeşillik tükenecek,
											bu da her çiftçinin zararına olacak
											ve tabii ki koyunların da zararına olacak.
									","
											Ya conocemos este tipo de problema.
											Es un dilema social.
											Y para entender el dilema social,
											hay que retroceder
un poco en la historia.
											En el 1800,
											el economista inglés William Forster Lloyd
publicó un folleto
											que describe la siguiente situación.
											Hay un grupo de pastores,
											pastores ingleses,
											que comparten un prado común
donde pastan sus ovejas.
											Si cada pastor 
trae una cierta cantidad de ovejas,
											digamos tres ovejas,
											el suelo se recupera bien,
											los pastores contentos,
											las ovejas contentas,
											todo va bien.
											Ahora, si uno de los pastores
trae una oveja extra,
											ese pastor va a estar un poquito mejor,
y nadie más va a salir perjudicado.
											Pero si cada pastor tomara esa decisión
individualmente racional,
											el prado se vería sobreexplotado
y el pasto se agotaría,
											en detrimento de todos los pastores,
											y por supuesto,
en detrimento de las ovejas.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											We see this problem in many places:
											in the difficulty of managing overfishing,
											or in reducing carbon emissions
to mitigate climate change.
											When it comes to the regulation
of driverless cars,
											the common land now
is basically public safety —
											that's the common good —
											and the farmers are the passengers
											or the car owners who are choosing
to ride in those cars.
											And by making the individually
rational choice
											of prioritizing their own safety,
											they may collectively be
diminishing the common good,
											which is minimizing total harm.
											It's called the tragedy of the commons,
											traditionally,
											but I think in the case
of driverless cars,
											the problem may be
a little bit more insidious
											because there is not necessarily
an individual human being
											making those decisions.
											So car manufacturers
may simply program cars
											that will maximize safety
for their clients,
											and those cars may learn
automatically on their own
											that doing so requires slightly
increasing risk for pedestrians.
											So to use the sheep metaphor,
											it's like we now have electric sheep
that have a mind of their own.
									","
											Vemos este problema em muitos sítios:
											na dificuldade de controlar 
a pesca excessiva,
											ou em reduzir as emissões de carbono 
para atenuar as mudanças climáticas.
											Quando se trata da regulamentação 
de carros autónomos,
											os terrenos baldios são,
basicamente, a segurança pública
											— ou seja, o bem comum.
											Os pastores são os passageiros
											ou os donos de carros que escolham 
conduzir esse tipo de veículo.
											E ao fazer essa escolha
individual e racional
											de dar prioridade à sua segurança,
											eles podem estar, em conjunto,
a prejudicar o bem comum,
											que é o que está
a minimizar os danos totais.
											É a chamada ""tragédia dos comuns"",
tradicionalmente.
											Mas eu penso que, no caso 
de carros autónomos,
											o problema pode ser 
um pouco mais insidioso
											pois não é necessariamente um ser humano
											a tomar essas decisões.
											Os fabricantes de automóveis
podem programar carros
											que irão maximizar
a segurança dos seus clientes,
											e esses carros poderão aprender sozinhos
											que, ao fazer isso, aumentará
o risco para os peões.
											Na metáfora das ovelhas,
											é como se tivéssemos ovelhas eletrónicas 
que pensam por si mesmas.
									","
											Wir sehen dieses Problem überall:
											beim Versuch Überfischung zu vermeiden
											oder beim Versuch Emission zu reduzieren,
um den Klimawandel einzudämmen.
											Wenn es um Vorschriften
für fahrerlose Autos geht,
											steht das gemeinsame Land
für die öffentliche Sicherheit –
											das Gemeinwohl –
											und die Bauern sind die Passagiere
											oder die Autobesitzer,
die in diesen Autos fahren.
											Beim Treffen der individuellen
rationalen Entscheidung,
											die eigene Sicherheit zu bevorzugen,
											könnten sie das Gemeinwohl
zusammen vermindern,
											was den Gesamtschaden verringert.
											Man nennt dies die Tragik der Allmende,
											herkömmlicherweise,
											aber im Fall fahrerloser Autos,
											könnte das Problem
etwas komplizierter sein,
											weil nicht unbedingt ein Mensch
											diese Entscheidungen trifft.
											Autohersteller könnten also einfach
Autos so programmieren,
											dass sie maximale Sicherheit
für ihre Kunden gewähren
											und diese Autos könnten
automatisch, alleine lernen,
											dass diese Sicherheit mit einem
erhöhten Risiko für Fußgänger einhergeht.
											In der Schaf-Metapher
											würde das elektronische Schafe
mit eigener Meinung bedeuten.
									","
											Nous rencontrons ce problème
à plusieurs endroits :
											dans la difficulté à gérer la surpêche,
											ou à réduire les émissions de carbone pour
atténuer le changement climatique.
											Quand il s'agit du règlement des voitures
sans conducteur,
											la terre commune représente
la sécurité publique —
											c'est le bien commun —
											et les fermiers sont les passagers
											ou les propriétaires de ces voitures qui 
décident de les conduire.
											En faisant ce choix rationnel
											de prioriser leur propre sécurité,
											ils sont peut être en train d'affaiblir
le bien commun,
											de réduire donc les dommages.
											C'est la Tragédie des biens communs,
											typiquement,
											mais je pense que dans le cas des voitures
sans conducteur,
											le problème est peut-être
un peu plus insidieux
											car ce n'est pas forcément
un seul être humain
											qui prend ces décisions.
											Les fabricants de voitures pourraient 
simplement les programmer
											pour maximiser la sécurité des clients,
											et elles pourraient apprendre
par elles-mêmes
											qu'en agissant de cette manière, elles
augmenteraient le risque des piétons.
											Revenons à notre métaphore,
											c'est comme si maintenant nous avions
des moutons électriques conscients.
									","
											Bu sorun ile birçok kez karşılaşıyoruz:
											aşırı balık avlanması hususunda,
											ya da iklim değişikliğini azaltmak adına
karbon salınımını azaltmada.
											Sürücüsüz araba hukukuna baktığımızda,
											umumi alan toplum güvenliği oluyor
											- yani kamu yararı -
											ve çiftçiler yolcular oluyor
											veya o arabaları kullanmayı
tercih eden araç sahipleri oluyor.
											Ve kendi güvenliklerine öncelik tanıyan,
											bireysel mantıklı seçimlerini yaparak
											hep birlikte genelin iyiliğini azaltarak
											toplam zarar riskini aza indirgemeyi
düşürüyor olabilirler.
											Buna bilindiği üzere
ortak malların trajedisi
											deniyor,
											fakat bana kalırsa,
sürücüsüz araba hususunda
											sorun biraz daha derin olabilir,
											çünkü temelde bu kararları veren
											bir insan söz konusu değil.
											Araba imalatçıları, müşterileri için
üst düzey güvenlik önlemleri alan
											araba programlayabilirler
											ve bu arabalar, otomatik olarak
bu seçimleri yapmanın
											yayalar için riskleri bir nebze de olsa
arttırdığını öğrenebilir.
											Koyun benzetmesine dönecek olursak,
											şu anda kendi fikirlerini verebilen
elektrikli koyunlara sahibiz diyebiliriz.
									","
											Es un problema que se ve mucho:
											en la dificultad de
controlar la sobrepesca,
											o al reducir las emisiones de carbono
para contrarrestar el cambio climático.
											Volviendo al tema de la regulación
de vehículos autónomos,
											el prado común vendría a ser
básicamente la seguridad pública;
											ese es el bien común.
											Y los pastores serían los pasajeros
											o los dueños de los autos que 
eligen viajar en esos vehículos.
											Y al tomar la decisión
individualmente racional
											de priorizar su propia seguridad,
											podrían estar disminuyendo
colectivamente el bien común,
											que es minimizar el daño total.
											Esto se llama ""tragedia de los comunes"",
											tradicionalmente,
											pero creo que en el caso
de los vehículos autónomos,
											el problema es tal vez
un poquito más traicionero
											porque no es necesariamente
un ser humano
											el que toma las decisiones.
											Entonces, los fabricantes podrían
simplemente programar los autos
											para maximizar la seguridad
de sus clientes.
											Y esos autos podrían aprender,
automáticamente y por su cuenta,
											que hacer eso requiere aumentar
levemente el riesgo de los peatones.
											O sea que, volviendo a las ovejas:
											es como si ahora tuviéramos
ovejas eléctricas que piensan solas.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											And they may go and graze
even if the farmer doesn't know it.
									","
											Elas podem ir pastar
sem que o pastor saiba disso.
									","
											Und diese könnten grasen,
ohne, dass der Bauer davon weiß.
									","
											Ils peuvent brouter sans que le fermier
le sache.
									","
											Ve kendi başlarına kaçıp
çiftçinin haberi olmadan otlanabilirler.
									","
											Y pueden irse a pastar solas
aunque el pastor no lo sepa.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											So this is what we may call
the tragedy of the algorithmic commons,
											and if offers new types of challenges.
											Typically, traditionally,
											we solve these types
of social dilemmas using regulation,
											so either governments
or communities get together,
											and they decide collectively
what kind of outcome they want
											and what sort of constraints
on individual behavior
											they need to implement.
											And then using monitoring and enforcement,
											they can make sure
that the public good is preserved.
											So why don't we just,
											as regulators,
											require that all cars minimize harm?
											After all, this is
what people say they want.
											And more importantly,
											I can be sure that as an individual,
											if I buy a car that may
sacrifice me in a very rare case,
											I'm not the only sucker doing that
											while everybody else
enjoys unconditional protection.
									","
											É a isso que chamamos
a tragédia dos algoritmos comuns,
											e isso apresenta novos tipos de problemas.
											Tipicamente,
											nós resolvemos este tipo de 
dilemas sociais com regulamentações
											em que os governos
e as comunidades se juntam,
											e decidem coletivamente
que tipo de resultado querem
											e que tipo de restrições é necessário
aplicar no comportamento individual.
											E depois, com o acompanhamento 
e a sua imposição,
											podem certificar-se de que 
o bem público é preservado.
											Então porque é que nós,
enquanto entidades reguladoras,
											não exigimos que todos os carros 
minimizem os danos?
											Afinal, as pessoas dizem 
que é isso que querem.
											E mais importante ainda,
											enquanto indivíduo, tenho a certeza
de que, se comprasse um carro,
											numa situação improvável, 
decidisse sacrificar-me,
											eu não seria o único a fazer isso
											enquanto as demais pessoas
teriam uma proteção ilimitada.
									","
											Der Name dafür könnte also
Tragik der algorithmischen Allmende sein
											und diese stellt uns vor
ganz neue Probleme.
											Normalerweise
											haben wir diese Art von sozialen Dilemmas
mit Vorschriften gelöst.
											Entweder Regierungen
oder Gemeinden kommen zusammen
											und entscheiden gemeinsam,
welches Ergebnis sie möchten
											und welche Einschränkungen 
des individuellen Verhaltens
											sie einführen müssen.
											Dann wird mittels Überwachung
und Vollstreckung sichergestellt,
											dass das Gemeinwohl gewahrt bleibt.
											Warum sagen wir dann nicht,
											als Regulatoren,
											dass alle Autos Schaden minimieren müssen?
											Im Grunde, ist es das,
was Menschen wollen.
											Und was noch wichtiger ist,
											ich, als Individuum, kann sicher sein,
											dass, wenn ich ein Auto kaufe,
dass mich im seltenen Fall opfern würde,
											ich nicht der einzige Dumme bin,

											während alle anderen
bedingungslose Sicherheit genießen.
									","
											C'est ce qu'on pourrait appeler la 
Tragédie des communs algorithmiques,
											qui offre de nouveaux types de défis.
											De manière générale, typiquement,
											nous résolvons ces types de dilemmes 
sociaux grâce aux lois :
											soit les gouvernements soit
les communautés se réunissent
											pour décider ensemble quel est
le résultat voulu
											et quelles sortes de contraintes liées
au comportement
											doivent être appliquées.
											Ensuite grâce à la surveillance
et au contrôle,
											ils peuvent s'assurer que le bien civil
soit préservé.
											Pourquoi ne pourrions-nous pas,
											en tant que régulateurs,
											exiger à ce que toutes les voitures
réduisent les dommages ?
											Après tout, c'est ce que veulent les gens.
											Plus important encore,
											je peux être sûr qu'en tant qu'individu,
											si j'achète une voiture pouvant
me sacrifier dans un cas très rare,
											je ne vais pas être le seul pigeon
											à le faire alors que tous les autres
sont protégés.
									","
											Bunu da şu şekilde ifade edebiliriz:
algoritmik ortak malların trajedisi.
											Beraberinde yeni zorluklar getiriyor.
											Genellikle, çoğunlukla,
											bu tür toplumsal ikilemleri
yasalar nezdinde çözüme kavuştururuz;
											ya hükümet ya da topluluklar
bir araya gelir
											ve hep birlikle ne tür bir sonuç
elde etmek istediklerine karar verirler
											ve bireysel davranışlarda,
ne tür kısıtlamalara gidilmesi gerektiğini
											kararlaştırırlar.
											Gözlem ve yürürlülüğü kullanarak
											kamu yararının korunduğuna emin olurlar.
											Düzenleyiciler olarak,
											neden bütün arabalara
											zararı en aza indirgeme statüsü
kazandırmıyoruz?
											Nihayetinde,
herkes bunu istediğini dile getiriyor.
											Daha da önemlisi,
											bir birey olarak eminim ki
											çok nadir bir durumda beni
gözden çıkarabilecek bir araba alırsam,
											diğer herkes
											koşulsuz korumanın keyfini çıkarırken
bunu yapan tek keriz ben olmam.
									","
											O sea que a esto podríamos llamarlo
""la tragedia de los comunes algorítmicos"",
											y nos presenta nuevos desafíos.
											Típicamente, tradicionalmente,
											este tipo de dilemas sociales
se resuelven implementando regulación.
											Ya sea el gobierno
o la comunidad, se juntan
											y deciden colectivamente
qué resultado quieren obtener,
											y qué tipo de restricciones
a la conducta individual
											necesitan implementar.
											Y luego, a través del control
y la imposición de normas,
											pueden garantizar
la preservación del bien común.
											Entonces ¿por qué no exigimos,
											en nuestro rol de reguladores,
											que todos los autos
tienen que minimizar el daño?
											A fin de cuentas, eso es
lo que la gente dice que quiere.
											Y más importante aún,
											puedo estar seguro de que, como individuo,
											si compro un auto que en un caso
muy extremo podría llegar a sacrificarme,
											no soy el único papanatas haciéndolo
											mientras todos los demás
gozan de protección ilimitada.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											In our survey, we did ask people
whether they would support regulation
											and here's what we found.
											First of all, people
said no to regulation;
											and second, they said,
											""Well if you regulate cars to do this
and to minimize total harm,
											I will not buy those cars.""
											So ironically,
											by regulating cars to minimize harm,
											we may actually end up with more harm
											because people may not
opt into the safer technology
											even if it's much safer
than human drivers.
									","
											No inquérito, perguntámos às pessoas 
se apoiariam a regulamentação
											e obtivemos este resultado:
											Para começar, as pessoas disseram 
que não apoiariam a regulamentação.
											E em segundo, disseram:
											""Se regulamentarem os carros para 
fazer isso e minimizar os danos totais,
											""não irei comprar esses carros.""
											Então, ironicamente,
											ao regulamentar os carros 
para minimizarem os danos,
											pode-se estar a causar mais danos
											pois as pessoas podem não optar 
pela tecnologia mais segura
											mesmo sendo mais segura
do que os condutores humanos.
									","
											In unser Umfrage haben wir gefragt,
ob Vorschriften befürwortet werden
											und hier ist die Antwort.
											Zuerst haben sich die Teilnehmer
gegen Vorschriften ausgesprochen.
											Dann haben sie gesagt:
											„Wenn Autos so reguliert werden
und den Schaden minimieren sollen,
											kaufe ich das Auto nicht. “
											Ironischerweise
											indem wir Autos regulieren,
so dass sie Schaden minimieren
											könnten wir noch mehr Schaden nehmen,
											weil die Menschen sich nicht
für sichere Technologie entscheiden,
											obwohl sie viel sicherer
als der Mensch ist.
									","
											Dans notre enquête, nous avons demandé
s'ils valideraient un telle loi
											et voici le résultat.
											Tout d'abord, les gens ont répondu
non à la loi ;
											ensuite, ils ont dit :
											« Si vous légiférer pour que les voitures
réduisent les dommages,
											je ne les achèterais pas. »
											Donc ironiquement,
											en réglant les voitures pour réduire
les dommages,
											ça pourrait être pire
											car les gens n'opteraient pas pour
la technologie plus sécurisée
											même si c'est plus sûr qu'un conducteur.
									","
											Ankette insanlara, yasal düzenlemeye
destek verip vermeyeceklerini sorduk
											ve sonuç şu şekildeydi.
											İlk önce, insanlar yasaya hayır dediler
											ve sonra dediler ki,
											''Arabaları bunun için ve toplam zararı
en aza indirgemek için düzenlersek,
											bu arabaları satın almam.''
											İşe bakın ki,
											zararı en aza indirgemek için
arabaları düzenleyerek
											daha fazla zarara sebebiyet verebiliriz,
											çünkü insanlar daha güvenli olan bu
teknolojiye dahil olmak istemeyebilirler,
											insan sürücülerden daha güvenli olsa bile.
									","
											En nuestra encuesta indagamos
acerca de la idea de la regulación,
											y el resultado fue este:
											Primero, la gente dijo 
""no"" a la regulación;
											y segundo:
											""Bueno, si van a regular los autos
para actuar así y minimizar el daño total,
											yo no los voy a comprar"".
											Entonces, irónicamente,
											al regular los autos
para minimizar el daño,
											podríamos acabar con más daño
											porque la gente no adoptaría
esta nueva tecnología
											aun cuando es mucho más segura
que los conductores humanos.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
											I don't have the final
answer to this riddle,
											but I think as a starting point,
											we need society to come together
											to decide what trade-offs
we are comfortable with
											and to come up with ways
in which we can enforce those trade-offs.
									","
											Eu não possuo a resposta final
para este enigma,
											mas acho que, para começar,
											é necessário que a sociedade
											concorde nas decisões mais adequadas
											e encontre formas de como 
se podem impor essas decisões.
									","
											Ich habe keine ultimative Antwort
für dieses Rätsel,
											aber ich denke,
											zuallererst sollte die Gesellschaft
zusammen kommen
											und die Kompromisse beschließen,
die wir verkraften können
											und Ideen entwickeln,
wie wir diese durchsetzen können.
									","
											Je n'ai pas la réponse finale de
cette énigme,
											mais pour commencer,
											notre société devrait s'unir
											pour décider quels compromis
nous correspondent le plus
											et trouver des moyens pour les appliquer.
									","
											Bu bilmeceye nihai bir cevabım yok,
											ama başlangıç noktası olarak,
											toplumun bir araya gelip
											risk oranı dengesinde ortak bir noktada
karara varması gerekir
											ve bu denge unsurunun uygulamasında
izleyeceğimiz yol belirlenebilir.
									","
											No tengo la respuesta final
a este acertijo,
											pero creo que, para empezar,
											necesitamos que la sociedad
se ponga de acuerdo
											sobre las concesiones
que está dispuesta a aceptar,
											y las posibles maneras
de imponer esas concesiones.
									",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
"
","
","
","
","
","
",What moral decisions should driverless cars make?,Iyad Rahwan,13:35,"AI,driverless cars,law,innovation,morality,technology"
