es,en,pt,fr,title,speaker,duration,tags
"
											Dibujando las letras de este título,
recreo un poco el clima del texto.
											Dejo al lector ver a la historia
a través de la mirilla de la puerta.
											Para eso le di forma a conceptos e ideas
que ya existen en nuestro imaginario:
											la idea de sueño, de caos,
el concepto de maravilla.
											La tipografía y la forma de las letras
funcionan un poco como los gestos
											y el tono de voz.
											No es lo mismo decir
											""El público de TEDxRíodelaPlata
es enorme"",
											que decir ""El público de
TEDxRíodelaPlata es enorme"".
											Los gestos y el tono
son parte del mensaje.
											Dándole forma a las letras
puedo decidir con más precisión
											lo que quiero decir y cómo,
											más allá del texto literal.
									","
											Drawing the letters of this title,
I recreate the text's atmosphere a little.
											I let the reader see the story
through a peephole in the door.
											To do that, I gave shape
to concepts and ideas
											that already exist in our imagination:
											the idea of dreams,
											of chaos,
											the concept of wonder.
											The typography and the shape of letters
work a bit like gestures
											and tone of voice.
											It's not the same to say,
											(In a flat tone of voice)
""TEDxRíodelaPlata's audience is huge,""
											as it is to say (In an animated voice),
""TEDxRíodelaPlata's audience is huge!""
											Gestures and tone are part of the message.
											By giving shape to the letters,
											I can decide more precisely
what I mean to say and how,
											beyond the literal text.
									","
											Ao desenhar as letras deste título
recrio um pouco o clima do texto.
											Levo o leitor a ver a história
através do óculo da porta.
											Para isso dei forma a conceitos e ideias
que já existem no nosso imaginário:
											a ideia de sonho, de caos,
o conceito de maravilha.
											A tipografia e a forma das letras
funcionam um pouco como os gestos
											e como o tom da voz.
											Não é a mesma coisa dizer:
											""O público da TEDxRiodelaPlata
é enorme"",
											ou dizer:
											""O público da TEDxRiodelaPlata
é enorme!""
											Os gestos e o tom
fazem parte da mensagem.
											Dando forma às letras,
posso decidir com mais precisão
											o que quero dizer e como,
									","
											En dessinant les lettres de ce titre,
je recrée un peu l'atmosphère du texte.
											Je laisse le lecteur voir l'histoire
à travers le trou de la serrure.
											Je donne corps à des concepts et des idées
préexistants dans notre imaginaire :
											l'idée du rêve, du chaos,
le concept du merveilleux.
											La typographie et la forme des lettres
fonctionnent un peu comme les gestes
											et le ton de la voix.
											Ce n'est pas pareil de dire
											« Le public de TEDxRiodelaPlata
est très nombreux »,
											que de dire « Le public de
TEDxRiodelaPlata est très nombreux ».
											Les gestes et le ton
font partie du message.
											En donnant leur forme aux lettres,
je peux décider avec plus de précision
											ce que je veux dire et comment,
											au-delà du texte littéral.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Puedo decir mi mala palabra favorita
de una manera muy florida
											y ser muy cursi cuando hablo de amor.
											Puedo hablar en voz alta e imponente,
											o en voz suave y poética.
											Y puedo contar la diferencia
entre Buenos Aires
											y Berlín,
											dos ciudades que conozco muy bien.
									","
											I can say my favorite swear word
in a very flowery way
											and be really corny
when I talk about love.
											I can talk loudly and in a grandiose way
											or in a soft and poetic voice.
											And I can communicate the difference
between Buenos Aires
											and Berlin,
											two cities I know very well.
									","
											para além do texto literal.
											Posso dizer o meu palavrão preferido
de modo muito floreado
											e ser muito vulgar
quando falo de amor.
											Posso falar em voz alta e imponente,
											ou em voz suave e poética.
											Posso contar a diferença
entre Buenos Aires
											e Berlim,
									","
											Je peux dire mon gros mot préféré
d'une manière très distinguée
											et être très cucul quand je parle d'amour.
											Je peux parler d'une voix haute
et imposante,
											ou d'une voix douce et poétique.
											Et je peux raconter la différence
entre Buenos Aires
											et Berlin,
											deux villes que je connais bien.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Y fue justamente en Berlín
											en donde mi trabajo
se volvió más colorido,
											más expresivo,
											más preciso contando historias.
											Todo lo que no podía decir en esa fiesta
											parada, sosteniendo mi copa de vino,
											explotaba en formas
y colores sobre el papel.
											Sin darme cuenta, esta limitación
que sentía en el lenguaje
											se convirtió en un motor
											que me impulsó a perfeccionar
las herramientas
											con las que sí podía expresarme.
											Si no podía decirlo hablando,
											esta era mi forma de decir
y contar cosas al mundo.
									","
											It was precisely in Berlin
where my work became more colorful,
											more expressive,
											more precise at telling stories.
											Everything I couldn't say
at those parties,
											standing there holding my glass of wine,
											exploded in shapes and colors on paper.
											Without my realizing it,
this limitation that language has
											became an engine
											that propelled me to perfect the tools
with which I could express myself.
											If I couldn't say it by speaking,
											this was my way of talking
											and telling things to the world.
									","
											duas cidades que conheço muito bem.
											Foi precisamente em Berlim
											onde o meu trabalho
se tornou mais colorido,
											mais expressivo,
											mais preciso a contar histórias.
											Tudo o que não pude dizer
naquela festa,
											parada, agarrada ao meu copo de vinho,
											explodia em formas e cores no papel.
											Sem dar por isso, esta limitação
que sentia com a linguagem
											transformou-se num motor
											que me impeliu a aperfeiçoar
as ferramentas
											com que me podia exprimir.
											Se não conseguia dizê-lo,
através da fala,
											esta era a minha forma de dizer
e contar coisas ao mundo.
									","
											Et c'était justement à Berlin
											que mon travail est devenu plus coloré,
											plus expressif,
											plus précis pour raconter des histoires.
											Tout ce que je ne pouvais pas dire
à cette fête
											debout, tenant mon verre de vin,
											je l'exploitais en formes
et en couleurs sur le papier.
											Sans m'en rendre compte, cette limitation
que je sentais dans le langage
											s'est convertie en un moteur
											qui m'a poussée à perfectionner
les outils
											avec lesquels je pouvais m'exprimer.
											Si je ne pouvais pas le dire en parlant,
											c'était ma façon de dire
et d'expliquer les choses au monde.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Desde entonces mi gran búsqueda
es la de encontrar mi propia voz,
											y decir las historias con el tono
y el gesto exactos que yo quiero.
											Ni más ni menos.
											Por eso combino colores, texturas,
											y, por supuesto, letras
que son el corazón.
											Y por eso siempre quiero que tengan
formas verdaderamente bellas,
											exquisitas.
											Contar historias dibujando letras —
											ese es mi trabajo.
											Y con eso busco una reacción en el lector,
											despertarlo de alguna manera,
											hacerlo soñar, emocionar.
									","
											Since then, my big quest
has been to find my own voice
											and to tell stories with the exact
tone and gesture I want.
											No more, no less.
											That's why I combine colors,
											textures
											and of course, letters,
											which are the heart.
											And that's why I always want them to have
shapes that are truly beautiful
											and exquisite.
											Telling stories by drawing letters —
											that's my job.
											And with that I look for
a reaction in the reader,
											to wake them up somehow,
											to make them dream,
											make them feel moved.
									","
											A partir daí, a minha grande busca
é encontrar a minha voz
											e dizer as histórias com o tom
e o gesto exatos que eu quero.
											Nem mais nem menos,
											Por isso, combino cores, texturas
											e, claro, as letras que são o coração.
											Por isso, quero que elas tenham
sempre formas realmente belas,
											requintadas.
											Contar histórias, desenhando letras
											é esse o meu trabalho.
											Com isso, procuro uma reação no leitor,
											despertá-lo de qualquer forma,
											fazendo-o sonhar, emocionar-se.
									","
											Dès lors, ma grande recherche
est de trouver ma propre voix,
											de raconter les histoires avec le ton
et le geste exactement comme je veux.
											Ni plus ni moins.
											Pour cela, je combine les couleurs,
les textures,
											et, bien sûr, les lettres
qui sont au cœur.
											Pour cela, je veux toujours qu'elles aient
des formes vraiment belles,
											raffinées.
											Raconter des histoires en dessinant
des lettres,
											c'est mon travail.
											A travers ça, je cherche
la réaction du lecteur,
											le réveiller d'une certaine façon,
											le faire rêver, s'émouvoir.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Creo que si el mensaje es importante,
											requiere trabajo y artesanía.
											Y si el lector es importante,
											merece también recibir belleza y fantasía.
									","
											I believe that
if the message is important,
											it requires work and craftsmanship.
											And if the reader is important,
											they deserve beauty and fantasy as well.
									","
											Creio que, se a mensagem é importante,
											exige trabalho artesanal.
											E se o leitor é importante,
											também merece receber beleza e fantasia.
									","
											Je crois que si le message est important,
											il demande du travail et du savoir-faire.
											Et si le lecteur est important,
											il mérite aussi de recevoir de la beauté
et de la fantaisie.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											(Aplausos)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Applaudissements)
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
