es,tr,de,pt,title,speaker,duration,tags
"
											¿Pero qué me dicen de la pizza?
											Bueno, con la pizza, realmente
											no hay victoria, 
¿cómo se gana una pizza?
											No puedes. Pero, lo que si 
buscas es la respuesta a,
											""¿Estamos satisfechos?""
											Y a veces eso puede 
significar diferentes cantidades
											en momentos diferentes 
o con gente distinta
											o días distintos.
											y decidimos cuando 
nos sentimos satisfechos.
											Si todavía tenemos hambre, 
podemos comer algo mas.
											Sin embargo, si comes demasiado,
											te sientes saciado.
									","
											Peki ya pizza?
											Pekala, pizzada, kazanmaktan pek söz edemeyiz—
											kazanmak olmaz. Pizzayı nasıl kazanırsınız ki?
											Kazanmazsınız. Ama
											""Tatmin olduk mu?"" diye sorarsınız.
											Bazen farklı miktarlarda olabilir
											farklı zamanlarda ya da farklı insanlarla
											ya da farklı günlerde.
											Ne zaman tatmin olduğumuz karar vermeliyiz.
											Hala açsak, biraz daha alabiliriz.
											Gerçi, çok yerseniz
											iğrenç hissedersiniz.
									","
											Aber was ist mit Pizza?
											Nun, bei Pizza haben wir nicht wirklich –
											es gibt kein Gewinnen. Wie gewinnen Sie Pizza?
											Können Sie nicht. Aber Sie suchen nach:
											""Sind wir zufrieden?""
											Und manchmal können das 
unterschiedliche Mengen
											über verschiedene Zeiten oder 
mit verschiedenen Menschen
											oder an verschiedenen Tagen sein.
											Und wir entscheiden, wann wir zufrieden sind.
											Wenn wir immer noch hungrig sind, 
könnten wir ein wenig mehr nehmen.
											Wenn Sie aber zu viel wollen,
											fühlen Sie sich nur noch dick.
									","
											E quanto à ""pizza""?
											Na ""pizza"", não há vencedor.
											Como ganhamos na ""pizza""?
											Não ganhamos.
											Mas perguntamos:
											""Estamos satisfeitos?""
											Podem ser diferentes quantidades
											em alturas diferentes
ou com pessoas diferentes,
											ou em dias diferentes.
											Temos que decidir 
quando estamos satisfeitos.
											Se ainda estivermos com fome, 
podemos comer mais.
											Se comermos de mais, no entanto,
											vamo-nos sentir mal.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											(Risas)
									","
											(Kahkahalar)
									","
											(Lachen)
									","
											(Risos)
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											Así que, ¿Y si tomamos 
este modelo basado en la pizza
											y le damos un sitio destacado 
en la educación sexual?
											Gran parte de la educación 
sexual que existe hoy
											está muy influenciada 
por el modelo del béisbol,
											y da lugar a un tipo de educación 
que en vez de contribuir
											genera una sexualidad 
malsana en los jóvenes.
											Y esos jóvenes 
se convierten en adultos.
									","
											Peki ya pizza örneğini ele alıp
											cinsel eğitimin üzerine yerleştirirsek?
											Günümüzde yapılan çoğu cinsel eğitim
											beyzbol örneğinden oldukça etkilenmiştir.
											ve bu gençlerde sağlıksız cinselliğe
											neden olmaktan başka hiçbir şeye yaramıyor.
											Ve bu gençler yaşlanıyorlar.
									","
											Was also, wenn wir dieses 
Pizza-Modell nehmen könnten,
											und es auf die sexuelle Erziehung übertragen?
											Ein Großteil der sexuellen Aufklärung heute
											ist von dem Baseball-Modell beeinflusst,
											und erschafft eine Erziehung,
											die eine ungesunde Sexualität 
bei jungen Leuten erschafft.
											Und diese jungen Menschen werden älter.
									","
											Então, que tal pegarmos
no modelo da ""pizza""
											e o sobrepusermos na educação sexual?
											Muito do que acontece 
hoje com a educação sexual
											é tão influenciada pelo modelo do basebol,
											oferecendo uma educação
											que só produz uma sexualidade 
pouco saudável para os jovens.
											Esses jovens vão envelhecer.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											Pero si podemos dar 
una educación sexual
											que sea parecida a la pizza,
											crearemos una educación 
que invite a la gente
											a pensar en sus propios deseos,
											a tomar sus propias decisiones 
sobre lo que quieren,
											a hablar de ello con sus compañeros,
											y finalmente a buscar
											no algún tipo de resultado externo
											sino aquello que nos da satisfacción
											y que decidimos tener.
									","
											Daha çok pizza örneğindeki gibi cinsel eğitim
											oluşturabilirsek,
											insanları kendi arzularını düşünmeye
											itecek bir eğitim oluşturabiliriz
											istekleri hakkında bilinçli kararlar verebilsinler diye
											partnerleriyle bunu konuşabilsinler diye,
											ve sonuçta,
											dışardan gelecek bir sonuç değil ama
											neyin tatmin edici hissettireceğini arayabilsinler diye,
											ve buna karar vermeliyiz.
									","
											Aber wenn wir eine sexuelle Erziehung schaffen,
											die mehr wie Pizza ist,
											dann könnten wir eine Erziehung gestalten, 
die Menschen einlädt,
											über ihre eigenen Bedürfnisse nachzudenken,
											Entscheidungen darüber zu fällen, was sie wollen,
											mit ihren Partnern zu sprechen,
											und um letztendlich nicht
											nach einem externen Ergebnis Ausschau zu halten,
											sondern danach, was befriedigend ist,
											und das entscheiden wir.
									","
											No entanto, se pudermos 
criar uma educação sexual
											que seja mais como a ""pizza"",
											podemos criar uma educação 
que incentive as pessoas
											a pensar nos seus próprios desejos,
											a tomar decisões conscientes 
sobre o que querem,
											a falar sobre isso com os seus parceiros,
											e, em última instância, procurar

											não um resultado externo
											mas aquilo que dá satisfação,
											e nós é que decidimos isso.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											Puede que hayan notado
											al comparar el béisbol con la pizza,
											que en el béisbol todo son órdenes.
											Todas con signos de exclamación.
											Mientras que con el modelo 
de la pizza, tenemos preguntas.
											¿Y quién debe contestar esas preguntas?
											Lo hace uno mismo.
									","
											Belki fark etmişsinizdir,
											beyzbol ve pizza karşılaştırmasında,
											beyzbolda hep emirler var.
											Hep ünlem işaretleri.
											Fakat pizza örneğinde, sorular var.
											Bu sorulara kim cevap vermek zorunda kalıyor?
											Sen kalıyorsun, ben kalıyorum.
									","
											Sie haben vielleicht schon
											beim Vergleich von Baseball und Pizza bemerkt,
											dass es bei Baseball um Kommandos geht.
											Es sind alles Ausrufezeichen.
											Aber bei dem Pizza-Modell sind es Fragen.
											Und wer beantwortet diese Fragen?
											Sie. Ich.
									","
											Vocês devem ter notado,
											na comparação entre o basebol e a ""pizza"",
											que, no basebol, tudo são comandos.
											Tudo é pontos de exclamação.
											Mas com o modelo da ""pizza"", 
tudo são perguntas.
											E quem responde a essas perguntas?
											Vocês. Eu.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											Así que recuerden, 
cuando pensemos sobre
											educación sexual y relaciones sexuales,
											béisbol, estás fuera.
											La pizza es la mejor 
manera de pensar sobre
											el sexo de forma 
sana y gratificante,
											y tener una buena comprensión 
de la educación sexual.
									","
											Unutmayın, cinsel eğitimi ve
											cinsel aktiviteleri düşünürken
											beyzbol, sen yoksun.
											Pizza, sağlıklı
											tatminkar cinsel aktiviteyi ve iyi, kapsamlı cinsel eğitimi
											düşünmenin bir yoludur.
									","
											Also erinnern Sie sich, wenn wir über
											sexuelle Erziehung und Aktivitäten nachdenken,
											sind Sie bei Baseball raus.
											Pizza ist der Weg, um über gesunde,
											befriedigenden Sex nachzudenken,
											und über gute, verständliche sexuelle Erziehung.
									","
											Então lembrem-se, quando pensamos
											na educação sexual e na atividade sexual
como basebol,
											ficamos de fora.
											A ""pizza"" é a forma de pensar
											numa atividade sexual
agradável e saudável,
											e numa educação sexual ampla e boa.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											Muchas gracias por su tiempo.
									","
											Zaman ayırdığınız için çok teşekkür ederim.
									","
											Vielen Dank für Ihre Zeit.
									","
											Muito obrigado pela vossa atenção.
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
											(Aplausos)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Aplausos)
									",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
"
","
","
","
",Sex needs a new metaphor. Here's one ...,Al Vernacchio,8:21,"culture,food,sex"
