es,fr,de,pt,title,speaker,duration,tags
"
											Y rendimientos del sistema de impulso.
											Estamos viendo una bomba de 20 kilotones con un efecto de 10 millones de newtons.
											Pues, aquí tenemos un pequeño problema:
											las dosis de radiación en la cabina — 700 rad por explosión.
											Rendimientos de fisión durante el desarrollo:
											esperaban producir bombas puras. Pero no lo consiguieron.
											Ojos quemados — eso es lo que les pasa a las personas en Miami que están mirando hacia arriba.
											La cabina de pasajeros. Noten que no es tan malo.
											Es una frecuencia muy baja. Basicamente como estos altavoces.
											Y ahora tenemos las evaluaciones de los daños del terreno
											cuando hay una explosión en la plataforma.
											Finalmente, en 1964, la NASA interviene y dice,
											""Bueno, apoyaremos un estudio de viabilidad para una versión pequeña
											que podría lanzarse en partes con Saturnos V para ser montada luego.""
									","
											Et le rendement d'un système de propulsion.♫
											Nous recherchons un rendement de 20 Kilotonnes pour un effet de 10 millions de Newtons.
											Okay, ici nous avons un petit problème :
											les doses de radiation dans la cabine d'équipage — 7 Sv par dose.
											Les rendements de fission pendant le développement :
											ils espéraient obtenir des bombes propres. Ca n'a pas été le cas.
											Brûlure des yeux — c'est ce qui arrive aux gens de Miami qui vont mieux.
											Compartiment personnel. Remarquez, ça n'est pas trop mal.
											C'est ultra basse frequence. C'est un peu comme ces haut-parleurs pour les basses.
											Et nous avons maintenant des évaluations de risque au sol
											quand vous avez une explosion sur le pas de tir.
											Finallement, tout à la fin, en 1964, la NASA mit un pied dans le projet et dit,
											""D'accord, nous allons soutenir une étude de faisabilité pour une petite version
											qui pourrait être lancée avec des Saturn V assemblées ensemble.""
									","
											Und die Sprengkraft des Pulssystems.
											Hier geht es um 20 Kilotonnen Sprengkraft, für eine Wirkkraft von 10 Millionen Newton.
											Gut, hier haben wir ein kleines Problem:
											die Strahlenbelastung am Mannschaftsstand — 700 Rads pro Schuss.
											Sprengkraft der Kernspaltung während der Entwicklung:
											sie hofften darauf, saubere Bomben zu bekommen. Bekamen sie nicht.
											Augenverätzung — das passiert den Menschen in Miami wenn sie nach oben schauen.
											Mannschaftskabine. Beachten Sie, so schlecht ist das nicht.
											Das sind sehr kleine Frequenzen. Im Grunde wie bei diesen Basslautsprechern.
											Und nun die Abschätzung der Gefahren am Boden,
											wenn es auf der Abschussrampe explodiert.
											Schlussendlich, Ende 1964 kam die NASA und sagte,
											""OK wir unterstützen eine Machbarkeits-Studie einer kleinen Version
											die in Teilen mit Saturn 5 abgeschossen und zusammengebaut wird.""
									","
											O rendimento do sistema de pulso:
falamos de rendimentos de 20 ktons
											para um impulso efetivo 
de 10 milhões de newtons.
											Aqui temos um pequeno problema,
											as doses de radiação na estação 
da tripulação: 700 rads por tiro.
											(Risos)
											Rendimentos de fissão 
durante o desenvolvimento:
											estavam com esperança de obter 
bombas limpas. Não conseguiram.
											Queimaduras oculares: acontece às pessoas 
de Miami que olham para cima.
											(Risos)
											Ruído no compartimento do pessoal: 
não é mau, são frequências muito baixas.
											É como estes sub-altifalantes.
											E agora a análise dos perigos terrestres
quando há uma explosão no módulo.
											Finalmente, mesmo no final de 1964, 
a NASA aparece e diz:
											""Ok, vamos custear um estudo
de viabilidade duma versão pequena
											""que poderá ser lançada com os
Saturnos V em secções, e montada de novo"".
											Foi isto o que a NASA fez,
											e conseguiu uma versão de 8 passageiros
que poderia ir a Marte.
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											Pues eso es que hizo la NASA, obteniendo, ya saben,
											una versión de 8 hombres que iría a Marte.
											Les gustó porque los hombres podrían vivir allí —
											como vivir en un submarino.
											Esta es la cabina de los tripulantes. Gira, para que lo que está al revés
											quede derecho cuando entra en el modo de gravedad artificial.
											Los científicos todavía iban a ir,
											e iban a llevar siete astronautas y siete científicos.
											Esta es una versión con 20 hombres para ir a Júpiter.
											literas, refugios para tormentas, gimnasio.
											Saben, iba a ser un bonito y largo viaje.
									","
											C'est donc ce qu'a fait la NASA, avoir, vous savez,
											une version pour huits personnes qui irait sur Mars.
											Ils aimaient ça parce que les gars pourraient vivre là-bas en quelque sorte —
											c'est comme vivre dans un sous-marin.
											Ca c'est le compartiment pour l'équipage. Ca commute de tel façon que ce qui est à l'envers
											est dans le bon sens quand vous êtes en mode gravité articiel.
											Les scientifiques s'entendaient toujours bien ensemble,
											and ils auraient pris sept astronautes et sept scientifiques.
											C'est une version pour 20 personnes pour aller jusqu'à Jupiter :
											couchettes, abris, salle d'exercices.
											Vous savez, ça allait être un beau long voyage.
									","
											Das ist was die NASA tat, um eine
											Acht-Mann-Version zu bekommen, die zum Mars fliegen würde.
											Ihnen gefiel es, denn die Männer konnten eingeschränkt sogar so dort leben —
											es ist wie in einem U-Boot zu leben.
											Das ist das Abteil für die Besatzung. Das kehrt sich um, sodass was jetzt auf dem Kopf steht
											später richtig herum ist wenn man in den Zustand der Schwerelosigkeit kommt.
											Die Wissenschaftler haben sich angeschlossen,
											und sie würden sieben Astronauten und sieben Wissenschaftler mitnehmen.
											Das ist eine Version für 20 Männer, um zum Jupiter zu gelangen:
											Kojen, Schutzbunker, Übungsraum.
											Wissen Sie, es sollte eine lange Reise werden.
									","
											Eles gostaram porque os tipos 
poderiam viver lá e pensar:
											""É como viver num submarino.""
											Este é o compartimento da tripulação.
											Ele gira, e o que está em baixo
fica em cima
											quando se entra em gravidade artificial.
											Ainda cabiam os cientistas,
											levaria sete astronautas 
e sete cientistas.
											Esta é uma versão para 20 homens,
para ir a Júpiter.
											Beliches, abrigos de emergência, 
sala de ginástica.
											Sabem, ia ser uma 
viagem longa e agradável.
											A versão da Força Aérea: 
aqui temos uma versão militar.
											Este é o tipo de coisa 
que continua confidencial,
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											Aquí la versión de la Fuerza Aérea. Tenemos una versión militar.
											Este es el tipo de cosas que no han sido des-clasificadas,
											simplemente es que la gente logró sacarlas a escondidas y,
											ya saben, en sus lechos de muerte, me las dieron.
											Una especie de concepción artística —
											Estas son básicamente presentaciones en Power Point
											dadas a la Fuerza Aérea hace 40 años.
											Miren a los hombrecitos allí, fuera del vehículo.
											Y una parte de la NASA se interesó,
											pero la oficina central de la NASA, puso fin al proyecto.
											Pues, al final, podemos
											ver al proyecto siguiendo su itinerario programado
											hasta 1965. Entonces todo se truncó.
									","
											Voici la version de l'armée de l'air. C'est une version militaire.
											C'est le genre de truc qui n'a pas été déclassifié,
											juste des gens qui ont réussi à ramener ça chez eux et après,
											vous savez, qui me les ont donné sur leur lit de mort.
											Une sorte de vue d'artiste —
											c'est en quelque sorte des présentations PowerPoint
											données à l'armée de l'air il y 40 ans.
											Regardez ces mecs là, en dehors du véhicule.
											Une partie de la NASA était intéressée,
											mais les gens au siège de la NASA, ils ont tué le projet.
											Donc, finallement, à la fin, nous pouvons
											voir la chose comme ayant suivi son chemin
											jusqu'en 1965. Et alors tous ces chemins se sont terminés.
									","
											Hier die Version der Air Force. Wir haben eine Militärversion.
											Das ist die Art von Dingen die nicht genehmigt wurden,
											aber die Männer haben es geschafft, Dinge mit nach Hause zu nehmen und
											mir dann an ihrem Sterbebett zu geben.
											Von künstlerischem Entwurf —
											das sind im Grunde PowerPoint Präsentationen
											die der Air Force vor 40 Jahren übergeben wurden.
											Schauen Sie sich die kleinen Jungen außerhalb des Fahrzeuges an.
											Ein Teil der NASA war interessiert
											aber das Hauptquartier hat das Projekt beendet.
											Schlussendlich, am Ende können wir
											erkennen, dass die Sache einige Entwurfsphasen durchlief,
											bis 1965. Und dann wurden alle diese Entwürfe verworfen.
									","
											mas que alguém conseguiu surripiar 
e, sabem como é,
											ofereceu-me, no seu leito de morte.
											(Risos)
											Conceções artísticas.
											Estas são basicamente 
apresentações de PowerPoint
											dadas à Força Aérea há 40 anos.
											Vejam ali os homenzinhos, fora do veículo.
											Uma parte da NASA estava 
interessada nisto,
											mas o quartel-general da NASA
matou o projeto.
											Então, finalmente, pode-se ver
											que a coisa seguiu o seu percurso 
de ""design"" até 1965,
											e depois todo esse processo 
chegou a um impasse.
											Resultado: nenhum.
											Este projeto é declarado encerrado.
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											¿Resultados? Ninguno.
											Este proyecto es declarado terminado.
											Ese es el final. Lo que puedo decir para terminar es,
											ayer oímos que una de las 10 cosas malas que nos pueden pasar
											es que un asteroide lleve nuestro nombre.
											Y una de las cosas malas que podría pasarle a la NASA
											es que este asteroide con nuestro nombre aparezca en nueve meses,
											y todo digan, ""¿Pues, qué vamos a hacer?""
											Y Orion es verdadamente unas de las únicas, sino la única,
											tecnologías disponibles que podría hacer algo.
									","
											Résultats ? Aucun.
											Ce projet est à présent terminé.
											C'est donc la fin. Tout ce que je peux dire pour terminer ceci,
											nous avons entendu hier qu'une des 10 mauvaises choses qui peut nous arriver
											c'est un astéroid qui nous fonce dessus.
											Et une des mauvaises choses qui pourrait arriver à la NASA
											est que si cet astéroid pointe son nez dans les 9 prochains mois,
											et que tout le monde dit, ""Et bien, qu'allons-nous faire ?""
											Orion est vraiment une des seules sinon la seule,
											technologie disponible sur l'étagère qui pourrait faire quelque chose.
									","
											Ergebnisse? Keine.
											Dieses Projekt ist hiermit abgeschlossen.
											Das ist also das Ende. Alles was ich abschließend sagen kann ist,
											was wir gestern gehört haben, dass eines der 10 schlimmsten Dinge die uns passieren können,
											ein Asteroid mit unserem Namen darauf ist.
											Und eines der schlimmen Dinge die der NASA passieren könnten,
											ist ein Asteroit mit unserem Namen darauf, neun Monate entfernt,
											und jeder sagt, ""Was werden wir machen?""
											und Orion eine der wenigen, wenn nicht sogar die einzige
											einsatzbereite Technologie ist, die etwas nützen könnte.
									","
											Então, este é o fim.
											Tudo o que posso dizer, para encerrar,
											é que ouvimos ontem que uma
das 10 coisas más que nos podem acontecer
											é haver um asteroide 
com o nosso nome escrito.
											E uma das coisas más 
que pode acontecer à NASA
											é se esse asteroide aparece 
com o nosso nome, nove meses depois,
											e todos dizem: ""O que havemos de fazer?""
											Orion é realmente uma das únicas, 
se não a única,
											tecnologia disponível 
que poderia fazer alguma coisa.
											(Risos)
											Então, eu vou dar-vos
a boa e a má notícia.
											A boa notícia é que a NASA 
tem um pequeno e secreto departamento
											para planos de contingência
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											Pues les diré una buena noticia y una mala.
											La buena noticia es que la NASA tiene una pequeña y secreta
											división de planes de contingencia que está examinando esta cuestión.
											e intentando preservar conocimientos de Orion en caso de tan malaventura.
											Quizás guarde unas pocas bombas de plutonio por ahí.
											Esa es la buena noticia. La mala noticia es que
											cuando me puse en contacto con ellos
											para intentar recolectar algunos documentos suyos
											se volvieron locos, porque yo tenía todas las cosas que no tenían ellos.
											Y la NASA me compró 1,759 páginas de estas cosas.
											Pues es la situación que tenemos. No es — no es bastante buena.
									","
											Je vais donc vous dire la bonne et la mauvaise nouvelle.
											La bonne nouvelle est que la NASA a un petit secret
											un département qui continue les recherche sur un plan d'urgence
											et qui essaie de conserver les connaissances du projet Orion dans le cas d'une telle malchance.
											Peut-être qu'ils gardent plusieurs petites bombes de plutonium sous le coude.
											Ca c'est la bonne nouvelle. La mauvaise c'est,
											quand j'entrais en contact avec ces gens-là
											pour essayer d'obtenir quelques documents d'eux,
											ils devenaient fous, parce que j'avais tous les trucs qu'ils n'avaient pas.
											Et la NASA m'en a acheté 1759 pages.
											Donc c'est l'état dans lequel nous sommes aujourd'hui — pas terrible.
									","
											Ich werde Ihnen die guten und die schlechten Nachrichten geben.
											Die gute Nachricht ist, dass die NASA eine kleine, geheime
											Notfallabteilung hat, die darauf ein Auge hat,
											und versucht das Wissen zu Orion zu erhalten, für solch einen unglücklichen Vorfall.
											Vielleicht haben sie ein paar kleine Bomben mit Plutonium zur Seite gelegt.
											Das sind die guten Nachrichten. Die schlechte Nachricht ist,
											als ich mit diesen Leuten in Kontakt getreten bin
											und versucht habe ein paar Dokumente zu erhalten,
											sind sie verrückt geworden, weil ich all die Unterlagen besitze, die sie nicht haben.
											NASA erwarb 1,759 Seiten dieser Unterlagen von mir.
											So das ist der Stand der Dinge. Es steht nicht — es steht gar nicht gut.
									","
											que está a atento e a tentar 
manter preservado
											o conhecimento de Orion, 
no caso desse infortúnio.
											Talvez manter reservadas 
algumas bombinhas de plutónio.
											Esta é a boa notícia.
											A má notícia é que, 
quando contactei estas pessoas
											para tentar obter deles alguns documentos,
											eles ficaram loucos porque eu tinha
todas estes coisas e eles não,
											e a NASA adquiriu-me a mim 
1759 páginas deste material.
											Esta é a situação em que estamos: 
e não é muito boa.
											(Risos)
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
											(Aplausos)
									","
											(Applaudissements)
									","
											(Applaus)
									","
											(Aplausos)
									",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
"
","
","
","
",The story of Project Orion,George Dyson,8:38,"NASA,Planets,future,history,physics,rocket science,science,space,storytelling,technology"
