tr,pt,title,speaker,duration,tags
"
											Küresel olarak, her gün,
											tahmini 100.000 çocuk 
sigara içmeye başlıyor.
											Melbourne Kriket Sahasını 
doldurmaya yetecek sayıda çocuk.
											Bu çocuklardan çoğu dünyanın
daha fakir kesimlerinden.
											Avustralyayı ele alırsak,
											ortalama sigaraya başlama yaşı 16,2.
											Bana oldukça genç görünüyorlar,
ama daha da kötüsü
											dünyanın tüm ülkelerinden 
veriye sahip olmadığımız için
											bunun en yaşlısı olduğuna inanıyoruz.
									","
											Agora, as boas notícias.
											As coisas estão a mudar.
											O setor financeiro está a aderir à festa.
											Depois de cerca de 2000 reuniões
com líderes financeiros,
											principalmente nos cafés
de Melbourne e de Sydney,
											de Londres, Paris e Nova Iorque,
e por todo o planeta,
											o afastamento dos investimentos
na indústria tabaqueira
											está a começar a ter um efeito
de bola de neve.
											Os líderes financeiros ficam alarmados
quando lhes apresentamos os factos,
											e, numa maioria esmagadora,
querem fazer parte da solução.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Bu yaş çoğu yerde daha aşağıda.
											Sıra iyi haberlerde.
									","
											Aqui, na Austrália, já temos
											10 636 101 contas de reforma
											isentas de tabaco.
											A propósito, esta é a minha.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Koşullar değişiyor.
											Finans sektörü sahneye çıkıyor.
											Finans patronlarıyla 
2000 civarında toplantıdan sonra,
											genelde, Melbourne'daki kafelerde, 
Sydney'de,
											Londora, Paris, New York, 
dünyanın her yerinde
											tütün şirketlerine yatırım yapmama durumu
											git gide artıyor.
											Gerçekler anlatıldığında 
finans patronları endişelendiler
											ve kararlı bir şekilde 
çözümün bir parçası olmak istediler.
											Burada, Avustralya'da, şu anda
									","
											(Aplausos)
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											10.636.101 adet tütün kullanmayan
											emeklilik hesabı var.
											Bu arada, onlardan biri de benim.
											(Alkışlar)
									","
											Ainda há muito trabalho a fazer,
											mas eu assisti à conversa
											passar de ""Devemos caminhar
para a isenção do tabaco?""
											para ""Porque é que ainda não o fizemos?""
											Só no ano passado,
											grandes organizações financeiras
deram passos importantes
											para a isenção do tabaco
											em oito países diferentes,
											na Austrália, na Nova Zelândia,
na Holanda, na Suécia,
											na Dinamarca, em França, 
na Irlanda e nos EUA.
											em fundos de riqueza soberana,
gestores de fundos, fundos de pensões,
											bancos, seguros e resseguros.
											Desde que começaram
os portfólios isentos de tabaco
											mais de seis mil milhões de dólares
foram desviados
											do investimento na indústria tabaqueira.
											O caso de estudo está bem provado.

									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Daha yapacak çok işimiz var.
									","
											Quando fez o anúncio da isenção
do tabaco em março deste ano,
											o CEO da AMP Capital disse:
											""Não estamos preparados
para entregar retornos de investimentos
											""a qualquer custo para a sociedade"".
											É esta a pergunta que precisamos
de fazer a nós mesmos:
											""Não haverá uma linha de base
abaixo da qual não passamos
											""só para termos lucros?""
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											""Sigarayı bırakmalı mıyız?""dan başlayıp
											""Neden hâlâ bırakmadık?"" sorusuna 
kadar giden konuşmalar duydum.
											Geçen yıl,
											başlıca tütünsüz yaşam hareketleri, 
8 farklı ülkede,
											önde gelen finansal kuruluşlari
tarafından gerçekleştirildi.
											Avustralya, Yeni Zelanda, Hollanda, İsveç,
											Danimarka, Fransa, İzlanda ve Amerika.
											İktidar partileri varlık fonları, 
fon sorumluları, emeklilik fonları
											bankalar, sigortacılar ve 
reasürörler tarafınadan.
											Sigarasız yaşam kampanyaları 
başladığından beri,
											8 milyardan fazla para
											tütün endüstrisine yatırımdan
uzaklaştırıldı.
											Örnek olay kesin olarak kanıtlandı.
											Bu yıl, Mart ayında 
tütünsüz yaşam duyuruları yapılırken
									","
											Todo este tempo, tive muita ajuda
e um apoio incrível.
											Mas se tentarem fazer qualquer coisa
											recomendo fortemente que tenham
uma princesa na vossa equipa.
											Sua Alteza Real, a Princesa Dina Mired,
											é a embaixatriz mundial
para este trabalho.
											Também temos um lorde,
um cavaleiro, um ex-primeiro ministro,
											um antigo ministro federal
e um monte de diretores executivos.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											AMP Capital'in yönetim kurulu başkanı
şunları söyledi:
											""Topluma herhangi bir maliyetle 
yatırım getirisi vermeye
											hazır değiliz.""
											Kendimize sormamız gereken soru şu ki:
											Gelir elde ederken batmayacağımız
											standart dayanağımız yok mu?
											Bu mücadelem boyunca, 
birçok yardım ve destek gördüm.
									","
											Mas a capacidade de mudar as coisas
											não se baseia exclusivamente
nestas pessoas altamente influentes.
											O poder para fazer isso está em todos nós.
											Todos aqui podem fazer parte da solução.
											Com efeito, todos aqui
devem fazer parte da solução.
											A maior parte das pessoas,
nesta sala, possui empresas,
											através dos fundos de reforma,
dos bancos, e dos seguros.
											É altura para lhes perguntar:
											""Estão a investir o nosso dinheiro
em empresas que fazem produtos
											""que matam sete milhões
de pessoas por ano?""
											É o vosso dinheiro.
											É o meu dinheiro, é o nosso dinheiro.
											Esta pergunta é muito razoável.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											Şimdiyse, eğer bir şeyler
yapmak istiyorsanız,
											takımınızda bir prenses olmasını
tavsiye ederim.
											Prenses hazretleri, Dina Mired,
											bu işin küresel elçisi.
											Ayrıca prens, şövalye, eski bir başbakan
											federal bakan ve birden fazla 
yönetim kurulu başkanına da sahibiz.
											Ancak bir şeyleri değiştirmek için bu güç,
									","
											Aqui há pouco espaço
											com sete milhões de pessoas
aqui do meu lado.
											Mas se não agirmos já,
e agirmos em conjunto,
											precisamos de arranjar espaço
para mil milhões de pessoas
											antes do fim deste século.
											E isso é um palco muito grande.
											Mas já não há mais espaço.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											sadece bu önemli insanlarla sınırlı değil.
											Güç hepimizde.
											Buradaki herkes 
çözümün bir parçası olabilir.
											Aslında buradaki herkes 
çözümün bir parçası olmalı.
											Bu salondaki çoğu kişi emeklilik fonları, 
bankları ve sigortacıları yoluyla
											şirketlere bağlılar.
											Şu an şu soruyu sormanın vakti:
											Paramızı her yıl 7 milyon kişinin
ölmesine neden olan
											şirketlere mi yatırıyorlar?
											Sizin paranızı.
											Benim paramı, bizim paramızı.
											Bu kesinlikle sorulması gereken bir soru.
											Şu an burada
oldukça sıkışık bir durumdayız
									","
											Obrigada.
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
											arkamdaki 7 milyon insan ile.
											Ama şu an bir şeyleri
beraber yapmaya başlamazsak,
											bu yüzyıl bitmeden
											1 milyar insan için daha 
mezar yeri bulmamız gerekecek.
											Bu çok büyük bir sahne.
											Ancak daha fazla yer kalmadı.
											Teşekkürler.
											(Alkışlar)
									","
											(Aplausos)
									",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
"
","
",You may be accidentally investing in cigarette companies,Bronwyn King,14:38,"health,finance,investment,global issues,cancer,economics,money,health care,public health,social change,TEDx"
