de,en,es,fr,title,speaker,duration,tags
"
											Patienten kommen zu ihnen
											und dann wollen sie einfach etwas tun. Wir Amerikaner können nicht einfach
											dastehen, wir müssen etwas tun. Also wollen sie Medikamente.
											Sie wollen Behandlung. Sie möchten hören: ""Sie haben das und so behandelt man das.""
											Wenn man das vom Arzt nicht bekommt,
											geht man woanders hin.
											Das ist nicht sehr gut für eine Arztpraxis.
											Oder, noch schlimmer:
											Wenn man irgendwann eine Diagnose bekommt und der Arzt diesen Test nicht verordnete,
											wird er verklagt.
									","
											Patients come to them,
											they want to do something. We're
Americans, we can't just stand
											there, we have to do something. And so
they want a drug.
											They want a treatment. They want to be told, this is what you have and this is how
											you treat it. If the doctor
doesn't give you that,
											you go somewhere else.
											That's not very good for doctors'
business.
											Or even worse,
											if you are diagnosed with something
eventually, and the doctor didn't order that test,
											you get sued.
									","
											Los pacientes acuden a ellos, 
quieren hacer algo.
											Somos estadounidenses, no podemos 
quedarnos de brazos cruzados;
											tenemos que hacer algo. 
Y lo que quieren son medicamentos,
											un tratamiento, que se les diga 
lo que tienen y la forma de tratarlo.
											Si el médico no lo hace, 
irán a otro lugar.
											Eso no es muy bueno 
para el negocio de los médicos.
											O peor aún, si les diagnostican algo
											y el médico no ordenó 
las pruebas, los demandan.
									","
											Les patients viennent les voir,
											ils veulent faire quelque chose. Nous sommes Américains, nous ne pouvons pas
											nous contenter d'attendre là, nous devons faire quelque chose. Et ils veulent donc des médicaments.
											Ils veulent un traitement. Ils veulent qu'on leur dise ""voilà ce que vous avez, et voilà
											comment ça se traite"". Si le médecin ne vous donne pas ça,
											vous allez le chercher ailleurs.
											Ce n'est pas très bon pour les affaires du médecin.
											Ou pire,
											si finalement on vous diagnostique quelque chose, et que le médecin n'avait pas prescrit ce test,
											on vous traine en justice.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Es gibt Pharmakonzerne, die ständig bestrebt sind, die Anzeichen zu erweitern,
											die Anzahl der Menschen, die für eine Behandlung geeignet sind,
											denn das trägt natürlich ihren Zwecken bei. Es gibt Interessengruppen
											wie die, die sich die ""Pre-Vivors"" ausgedacht haben,
											die immer mehr Leuten ein Risiko oder eine Erkrankung andrehen wollen,
											damit sie mehr Gelder gewinnen können,
											ihren Bekanntheitsgrad erhöhen, etc.
									","
											We have pharmaceutical companies that are
constantly trying to expand
											the indications, expand the number of people who are eligible for a given treatment,
											because that obviously helps their bottom line.
We have advocacy groups,
											like the one that's come up with
pre-vivor,
											who want to make more and more people feel they are at risk, or might have a condition,
											so that they can raise more funds
											and raise visibility, et cetera.
									","
											Tenemos las compañías farmacéuticas 
que constantemente tratan de ampliar
											las indicaciones y el número de personas 
elegibles para un tratamiento dado,
											porque eso, obviamente, 
incrementa sus ingresos.
											Tenemos grupos de apoyo, como el 
que ha surgido con el presuperviviente,
											que quieren hacer 
que más y más personas sientan 

											que están en riesgo o que podrían 
tener una enfermedad,
											para así recaudar más fondos 
y aumentar su visibilidad, etc.
									","
											Nous avons des compagnies pharmaceutiques qui tentent constamment d'étendre
											les indications, pour augmenter le nombre de personnes éligibles pour un traitement donné,
											parce que ça aide forcément leur bilan économique. Nous avons des lobbies,
											comme celui qui a inventé ""prévivant"",
											qui veulent que de plus en plus de personnes se sentent ""à risque"", ou pensent qu'elles ont une maladie,
											pour qu'elles puissent lever plus de fonds
											et améliorer leur visibilité, etc.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Aber es geht hier nicht darum,
											bestimmte Gruppen zu beschuldigen, obwohl das Journalisten
											natürlich gern tun.
											Wir alle tragen Verantwortung.
											Ich trage Verantwortung.
											Ich bin Yankees-Fan, mir muss man also nicht sagen,
											wie es ist, den schlechtesten Angriff zu bejubeln,
											wenn es darum geht, das Äußerste zu geben.
											Danke.
											Aber alle tragen Verantwortung.
									","
											But this isn't actually,
											despite what journalists typically do,
this isn't actually about blaming
											particular players.
											We are all responsible.
											I'm responsible.
											I actually root for the Yankees, I mean talk
about
											rooting for the worst
possible
											offender when it comes to doing
everything you can do.
											Thank you.
											But everyone is responsible.
									","
											Pero, no se trata, a pesar de 
lo que los periodistas suelen hacer,
											no se trata de culpar a 
unos jugadores en particular.
											Todos somos responsables.
											Yo soy responsable.
											De hecho, apoyo a los Yankees,
											me refiero a apoyar al 
peor delincuente posible,
											cuando se trata de hacer 
todo lo que se puede hacer.
											Gracias. (Risas)
											Pero cada uno es responsable.
									","
											Mais en fait il ne s'agit pas,
											malgré ce que les journalistes font sans cesse, il ne s'agit aps de blâmer
											des joueurs particuliers.
											Nous sommes tous responsables.
											Je suis responsable.
											Je suis supporter des Yankees, c'est dire que
											je supporte le pire attaquant possible
											quand on en vient à faire tout ce qu'on peut faire.
											(rires) Merci!
											Mais tout le monde est responsable.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Ich habe Medizin studiert
											und natürlich nicht den Kurs ""Skeptisch Denken"" belegt,
											oder ""Wie man keine Tests verordnet"".
											In unserem System
											tut man das eben.
											Und um diese ganzen Motivationen zu verstehen,
											musste ich schon Journalist sein. In der Wirtschaft sagt man gern:
											Es gibt keine schlechten Menschen,
											nur schlechte Gründe.
									","
											I went to medical school,
											and I didn't have a course called How to Think Skeptically,
											or How Not to Order Tests.
											We have this system
											where that's what you do.
											And it actually took being a journalist
											to understand all these incentives. You know, economists like to say,
											there are no bad people,
											there are just bad incentives.
									","
											Fui a la escuela de medicina
											y nunca llevé cursos llamados 
“cómo pensar con escepticismo”
											o “cómo hacer para no ordenar exámenes”.
											Tenemos este sistema
											en el que eso es 
justamente lo que hacemos.
											Es más, tuve que ser un periodista 
quien entendiera todos estos incentivos.
											Ya saben, a los economistas 
les gusta decir
											que no hay gente mala,
											solo hay malos incentivos.
									","
											Je suis allé en fac de médecine,
											et je n'ai pas eu de cours intitulé ""Comment penser de manière sceptique"",
											ou ""comment ne pas prescrire d'analyse"".
											Nous avons un système
											où c'est ce qu'on fait.
											Et en fait il a fallu que je devienne journaliste
											pour comprendre toutes ces incitations. Vous savez, les économistes aiment dire
											""il n'y a pas de gens mauvais,
											il n'y a que des mauvaises incitations"".
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Und das stimmt sogar.
											Denn wir haben so eine Art ""Feld der Träume"" der medizinischen Technologie erschaffen.
											Man stellt ein MRT in jede Ecke und einen Roboter
											in jedes Krankenhaus, der sagt, dass alle robotische Chirurgie brauchen.
											Wir haben ein System erschaffen, wo sie herbeikommen werden, wenn man es baut.
											Aber perverserweise kann man
											Leute anlocken, sie überzeugen,
											dass sie vorbeikommen müssen.
									","
											And that's actually true.
											Because what we've created is a sort of Field of Dreams, when it comes to medical technology.
											So when you put another MRI in
every corner, you put a robot
											in every hospital saying that everyone has to have robotic surgery.
											Well, we've created a system where if you
build it, they will come.
											But you can actually perversely
											tell people to come, convince them
											that they have to come.
									","
											Y efectivamente, eso es cierto.
											Porque hemos creado 
una especie de “Campo de sueños”

											cuando se trata de la tecnología médica.
											Al traer otra máquina para resonancia 
magnética, estamos llevando al hospital
											un robot que dice que todos debemos 
hacernos una cirugía robótica.
											Bueno, hemos creado un sistema en 
el que si lo construyes, ellos vendrán.
											Pero en realidad se puede convencer
											perversamente a gente sana
de que tienen que venir.
									","
											Et c'est vrai.
											Parce ce que nous avons créé est une sorte de ""jusqu'au bout du rêve"", quand on en vient à la technologie médicale.
											Et quand on met un IRM dans tous les coins, on met un robot
											dans chaque hôpital, en disant que tout le monde doit avoir une chirurgie robotisée.
											Bref, nous avons créé un système où, si vous construisez, ils viendront.
											Mais, plus pervers, vous pouvez aussi
											dire aux gens de venir, les convaincre
											qu'ils doivent venir.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Erst als Journalist wurde mir bewusst, wie sehr ich Teil dieses Problems bin,
											wie wir alle Teil dieses Problems sind.
											Ich medikalisierte jeden Risikofaktor, schrieb Geschichten, gab Schreibaufträge,
											jeden Tag, die zwar nicht direkt die Leute
											verstören sollten, aber das passierte ganz oft.
									","
											It was when I became a journalist that I really realized how I was part of this problem,
											and how we all are part of this problem.
											I was medicalizing every risk factor, I was writing stories, commissioning stories,
											every day, that were trying to,
											not necessarily make people worried, although that was what often happened.
									","
											Al hacerme periodista, me di cuenta 
realmente que yo era parte del problema
											y ​​cómo todos somos 
parte de este problema.
											Todos los días, 
medicalizaba factores de riesgo,
											escribía cuentos, encargaba historias 
que no necesariamente
											intentaban que la gente se preocupara,
aunque eso era lo que ocurría a menudo.
									","
											C'est quand je suis devenu journaliste que j'ai vraiment réalisé combien je faisais partie du problème,
											et combien nous faisions tous partie de ce problème.
											Je médicalisais chaque facteur de risque, j'écrivais des histoires, des récits,
											chaque jour, qui essayaient,
											d'inquiéter les gens, pas obligatoirement, mais c'est ce qui arrivait souvent.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Aber es gibt Auswege.
											Letzte Woche war ich bei meinem Internisten,
											und er sagte zu mir:
											""Wissen Sie"", und sagte mir etwas,
											das alle in diesem Publikum mir ohne Entgelt gesagt hätten,
											aber ich habe ihn dafür bezahlt, nämlich dies:
											Ich muss abnehmen.
											Er hat recht. Ich habe schon seit zwölf Jahren
											einen extrem überhöhten Blutdruck,
											bekam ihn zur selben Zeit wie mein Vater,
											und es ist eine Krankheit. Nicht Vor-Hypertonie, sondern
											echte Hypertonie, Bluthochdruck.
									","
											But, you know, there are ways out.
											I saw my own internist last week,
											and he said to me,
											""You know,"" and he told me something that
											everyone in this audience could have
told me for free,
											but I paid him for the privilege, which
is that
											I need to lose some weight.
											Well, he's right. I've had honest-to-goodness high blood pressure
											for a dozen years now, same
											age my father got it,
											and it's a real disease. It's not pre-hypertension, it's actual
											hypertension, high blood pressure.
									","
											Pero, ya saben, hay soluciones.
											Vi a mi propio internista 
la semana pasada y me dijo:
											“Ya sabes” y me dijo algo 
que todos en esta audiencia
											me hubiesen dicho de forma gratuita,
											pero le pagué por la exclusiva:
											que necesito perder peso.
											Bueno, tiene razón. Honestamente, 
sufro de presión arterial alta
											desde hace doce años,
											a la misma edad que mi padre la tuvo 
y es una enfermedad real.
											No se trata de prehipertensión,
											es realmente hipertensión, 
presión arterial alta.
									","
											Mais, vous savez, il y a des portes de sortie.
											J'ai vu mon interne la semaine dernière,
											et il m'a dit,
											""vous savez"", et il m'a dit quelque chose que
											tout le monde dans la salle aurait pu me dire gratuitement,
											mais je l'ai payé pour ce privilège, qui est que
											je devais perdre du poids.
											Certes, il a raison. J'ai véritablement de la tension
											depuis une douzaine d'années,
											au même âge que mon père quand il en a eu,
											et c'est une vraie maladie. Ce n'est pas de la pré-hypertension,
											c'est vraiement de l'hypertension, une forte pression sanguine.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Er hat recht,
											aber er sagte nicht zu mir:
											""Sie haben Vor-Übergewicht"" oder
											Vor-Diabetes oder so etwas. Er sagte nicht:
											""Nehmen Sie besser dieses Statin um den Cholesterinspiegel zu senken.""
											Statt dessen sagte er: ""Nehmen Sie mal ein bisschen ab. Dann kommen Sie zurück
											oder rufen Sie mich an und sagen Sie, wie es Ihnen geht.""
									","
											Well, he's right,
											but he didn't say to me,
											well, you have pre-obesity or
											you have pre-diabetes, or anything like that. He didn't say,
											better start taking this Statin, you need to lower your cholesterol.
											No, he said, ""Go out and lose some weight. Come back and see me in a bit,
											or just give me a call and let me know how you're doing.""
									","
											Bueno, él tiene razón, pero no me dijo
											que tenía preobesidad o 
prediabetes, ni nada de eso.
											Tampoco dijo que debía tomar estatinas,
											que necesitaba bajar el colesterol.
											Me dijo: “Baja un poco de peso
y regresa a verme en breve
											o simplemente llámeme
y házme saber lo que está haciendo”.
									","
											Bon, il a raison,
											mais il ne m'a pas dit,
											""Vous avez une pré-obésité"", ou
											""un pré-diabète"", ou quoi que ce soit. Il ne m'a pas dit
											vous devriez commencer à prendre cette Statine, vous devez réduire votre cholésterol.
											Non, il a dit, ""Sortez et perdez du poids. Revenez me voir dans quelques temps,
											ou passez-moi juste un coup de fil et faites-moi savoir comment vous allez"".
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
											Für mich ist das
											ein Fortschritt.
											Billy Beane übrigens kam zum selben Schluss.
											Er erkannte,
											indem er diesen Jungen beobachtete und schließlich einstellte, und der sich als Erfolg entpuppte,
											dass man keine voreiligen Entscheidungen trifft,
											dass beim Baseball nicht jeder Ball ein Homerun ist, was Teams wie die Yankees gern denken,
											die holen sich gern solche Typen an Bord.
											Dieser Junge sagte zu ihm, du musst die Leute beobachten und dann
											die Leute finden, die gern ein Stück gehen,
											denn man kommt auch im Gehen zur nächsten Base,
											und das ist auch gut. In unserem Gesundheitssystem
											müssen wir herausfinden,
											ob der Ball gut geworfen wurde
											oder ob wir ihn einfach durchgehen lassen sollen und nicht unseren Schläger schwingen?
											Danke.
									","
											So that's, to me,
											a way forward.
											Billy Beane, by the way, learned the same
thing.
											He learned,
											from watching this kid who he eventually hired, who was really successful for him,
											that it wasn't swinging for the fences, it
wasn't swinging at every pitch
											like the sluggers do, which is what all the expensive teams like the Yankees like to —
											they like to pick up those guys.
											This kid told him, you know, you gotta watch the guys, and you gotta go out and find
											the guys who like to walk,
											because getting on base by a walk
											is just as good, and in our healthcare
system
											we need to figure out,
											is that really a good pitch
											or should we let it go by and not swing at everything?
											Thanks.
									","
											Así que ese es mi camino a seguir.
											Billy Beane, por cierto, 
se enteró de lo mismo.
											Aprendió, de ver a este chico,
											que finalmente contrató
y que fue todo un éxito para él,
											que no estaba bateando hacia las vallas,
											que no bateaba todas las bolas
como hacen los bateadores,
											como hacen todos los equipos 
caros a los Yankees les gusta hacer,
											a ellos les gusta reclutar estos chicos.
											Este chico le dijo, tienes que ver a 
los chicos, tienes que salir y buscar
											a quienes les gusta caminar
											porque llegar a base caminando
											es igualmente bueno y 
en nuestro sistema de salud
											tenemos que averiguar
											¿es realmente un buen lanzamiento,
											o debemos dejar pasar 
y no batearle a todo?
											Gracias. (Aplausos)
									","
											Et pour moi, c'est
											un pas en avant.
											Billy Beane, d'ailleurs, a appris la même chose.
											Il a appris,
											en regardant ce jeune qu'il avait fini par embaucher, qui réussisait vraiment selon lui,
											que ce n'était pas de frapper vers les barrières, que ce n'était pas de frapper sur tous les lancers
											comme le font les cogneurs, et c'est ce qu'aiment faire toutes les équipes coûteuses comme les Yankees,
											ils aiment prendre ces gars-là.
											Ce gamin lui a dit, vous savez, vous devez observer les gars, sortir et trouver
											les gars qui aiment marcher,
											car arriver à la base en marchant
											est tout aussi bon. Et dans notre système de santé
											nous devons comprendre,
											est-ce que c'est vraiment un bon lancer
											ou devrions-nous laisser aller et ne pas frapper à tous els coups ?
											Merci.
									",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
"
","
","
","
",Are we over-medicalized?,Ivan Oransky,10:24,"cancer,health,health care,medicine,science,activism,aging,disease,bioethics,society,culture,sports,public health"
