en,es,pt,de,tr,fr,title,speaker,duration,tags
"
											Now, this wasn't just a victory
for us and our sticky balls.
											This was also a victory to me
											in drug delivery,
											and it represents a paradigm shift,
											a revolution —
											to go from just using drugs,
just injecting them
											and hoping they go to the right
places in the body,
											to using immune cells
as special delivery drivers in your body.
											For this example, we used two molecules,
e-selectin and trail,
											but really, the possibility
of drugs you can use are endless.
									","
											Pero esto no fue solo una victoria para 
nosotros y nuestras pelotas pegajosas.
											Para mí, esto también fue una victoria
											en el suministro de fármacos,
											y representa un cambio de paradigma,
											una revolución.
											Es pasar de solo consumir fármacos,
por inyección,
											y esperar que lleguen 
al lugar correcto del cuerpo,
											a usar células inmunológicas como 
repartidores especiales en el cuerpo.
											Para este ejemplo, usamos dos moléculas,
E-selectina y TRAIL
											pero, en realidad, las posibilidades
de fármacos a usar son interminables.
									","
											e pouca ou nenhuma
carga tumoral nos outros órgãos.
											Esta não foi só uma vitória
para nós e para as nossas bolas.
											Também foi uma vitória para mim
											na administração de medicamentos,
											e representa uma mudança
de paradigma,
											uma revolução:
											o passar do uso de medicamentos,
simplesmente injetá-los
											e esperar que cheguem
aos sítios certos,
											ao uso de células imunitárias
como transportadoras de encomendas.
											Neste exemplo usámos duas moléculas,
a e-seletina e o TRAIL,
									","
											Das war nicht nur ein Sieg für uns
und unsere klebrigen Nüsse.
											Das war auch ein Sieg für mich
bei der Wirkstoffabgabe
											und stellt einen Paradigmen-Wechsel dar:
											eine Revolution —
											vom Einsatz von Medikamenten
durch einfache Injektion
											und dann hoffen, dass sie
zur richtigen Stelle gehen,
											zum Einsatz von Immunzellen
als Spezial-Lieferanten in unserem Körper.
											Für dieses Beispiel setzten wir
zwei Moleküle ein: E-Selektin und TRAIL,
											aber tatsächlich lassen sich
unendlich viele Medikamente einsetzen.
									","
											Şimdi bu bizim için ve yapışkan 
toplarımız için sadece bir zafer değildi.
											Bu ayrıca ilaç taşınım sistemi için de bir zafer
											ilaç taşınım sisteminde
											bir paradigma kaymasını
											bir devrimi gösteriyor
											sadece ilaçları kullanarak ve 
enjekte ederek,
											vücutta doğru yerlere 
gitmelerini ummaktan
											bağışıklı hücrelerini özel teslimat
şoförü olarak vücudumuzda kullanmaya.
											Örnek olarak, iki molekül kullandık. 
E-Selectin ve Trail.
											Fakat gerçekten, kullanabilecek 
ilaçların olasılığı sonsuz.
									","
											Ce n'était pas juste une victoire
pour nous et nos boules collantes.
											C'était aussi une victoire pour moi
											dans la livraison de médicaments,
											et cela représente
un changement de paradigme,
											Une révolution -
											De simplement utiliser 
des médicaments, juste en les injectant
											en espérant qu'ils vont aller au bon
endroit dans le corps,
											à l'utilisation de cellules immunitaires
comme transporteurs dans notre corps.
											Dans cet exemple, nous avons utilisé 
deux molécules, e-selectin et Trail,
											mais vraiment, les possibilités 
de médicaments
											que l'on peut utiliser sont infinies.
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											And I talked about cancer,
											but where disease goes,
so do immune cells.
											So this could be used for any disease.
											Imagine using immune cells
to deliver crucial wound-healing agents
											after a spinal cord injury,
											or using immune cells to deliver drugs
past the blood-brain barrier
											to treat Parkinson's
or Alzheimer's disease.
									","
											Y hablé de cáncer,
											pero adonde va la enfermedad,
van las células inmunológicas.
											Así que esto podría usarse 
para cualquier enfermedad.
											Imaginen usar células inmunológicas para 
entregar agentes cicatrizantes vitales
											tras una lesión en la médula espinal,
o usar células inmunológicas
											para suministrar medicamentos
más allá de la barrera hematoencefálica
											para tratar el Parkinson o el Alzheimer.
									","
											mas a quantidade de substâncias
que podemos usar é infinita.
											E eu falei sobre o cancro,
											mas onde quer que as doenças cheguem,
também chegam as células imunitárias.
											Isto pode utilizar-se
para qualquer doença.
											Imaginem utilizar células imunitárias
para administrar cicatrizantes cruciais
											após uma lesão na medula espinal,
											ou usar células imunitárias para passar
fármacos pela barreira sangue-cérebro
									","
											Ich sprach über Krebs,
											aber wo Krankheit auftritt
gehen die Immunzellen hin.
											Das könnte für jede Krankheit 
eingesetzt werden.
											Stellen Sie sich den Einsatz
von Immunzellen vor,
											um nach einer Wirbelsäulenverletzung

											wesentliche Wundheilungsmittel
zu verabreichen,
											oder den Einsatz von Immunzellen,

											um Medikamente durch die 
Blut-Hirn-Schranke zu bringen,
											um die Parkinsonsche
oder Alzheimer-Krankheit zu behandeln.
									","
											Kanser hakkında konuştum,
											hastalığın nereye gittiğinden
ve bağışıklık hücrelerinden.
											Bu her hastalık için kullanılabilir.
											Bir spinal kord yaralanmasından sonra
hayati yara iyileştirme ajanlarına
											bağışıklık hücrelerinin 
ulaştığını hayal edin,
											ya da Alzheimer, Parkinson gibi 
hastalıkların tedavisi için
											kan beyin bariyerini geçen bağışıklı 
hücresi ilaçlarının teslim için kullanıldığını.
									","
											J'ai parlé de cancer,
											mais où la maladie va,
les cellules immunitaires vont.
											Cela pourrait être utilisé 
pour n'importe quelle maladie.
											Imaginez utiliser des cellules
immunitaires
											pour administrer des agents 
cicatrisants cruciaux
											après une lésion de la moelle épinière,
											ou utiliser des cellules immunitaires 
pour administrer des médicaments
											au-delà de la barrière hémato-encéphalique
											pour traiter les maladies de Parkinson
ou d'Alzheimer.
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											These are the ideas that excite me
about science the most.
											And from where I stand,
I see so much promise and opportunity.
									","
											Estas son las ideas 
que me apasionan de la ciencia.
											Y desde mi punto de vista,
veo muchas promesas y oportunidades.
									","
											para tratar a doença de Parkinson
ou de Alzheimer.
											São estas as ideias que mais me
entusiasmam na ciência.
									","
											Das sind die Konzepte, die für mich
wissenschaftlich am reizvollsten sind.
											Von meinem Standpunkt sehe ich
so viel Verheißung und Möglichkeiten.
									","
											Bunlar bilimde beni en çok 
heyecanladıran fikirler.
											Durduğum yerden çok fazla fırsat 
ve umut görüyorum.
									","
											Ce sont de telles idées scientifiques
qui m'excitent le plus.
											Et d'où je suis, Je vois tellement de 
promesses et d'opportunités.
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											Thank you.
									","
											Gracias.
									","
											E de onde estou,
vejo imenso potencial e oportunidades.
									","
											Danke!
									","
											Teşekkür ederim.
									","
											Merci.
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
											(Applause)
									","
											(Aplausos)
									","
											Obrigada.
									","
											(Applaus)
									","
											(Alkışlar)
									","
											(Applaudissements)
									",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
"
","
","
","
","
","
",We can hack our immune cells to fight cancer,Elizabeth Wayne,5:32,"TED Fellows,human body,cancer,science"
